"NAME:","Girvan at Robstone"
"NUMBER:","82001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/10/1963 00:00,1.950,58.50,"12b","Chart","",""
08/10/1963 00:00,2.100,65.91,"12b","Chart","",""
21/10/1963 00:00,1.980,59.97,"12b","Chart","",""
12/11/1963 00:00,2.380,80.27,"12b","Chart","",""
18/11/1963 00:00,2.164,69.13,"12b","Chart","",""
21/11/1963 00:00,2.040,62.92,"12b","Chart","",""
23/11/1963 00:00,2.070,64.41,"12b","Chart","",""
08/09/1964 00:00,1.920,57.05,"12b","Chart","",""
22/09/1964 00:00,2.225,72.24,"12b","Chart","",""
07/10/1964 00:00,2.190,70.45,"12b","Chart","",""
08/12/1964 00:00,1.890,55.60,"12b","Chart","",""
12/12/1964 00:00,2.286,75.37,"12b","Chart","",""
10/01/1965 00:00,1.830,52.73,"12b","Chart","",""
13/01/1965 00:00,2.130,67.42,"12b","Chart","",""
09/09/1965 00:00,1.980,59.97,"12b","Chart","",""
09/12/1965 00:00,1.615,42.76,"12b","Chart","",""
14/08/1966 00:00,1.920,57.05,"12b","Chart","",""
29/11/1966 00:00,2.130,67.42,"12b","Chart","",""
01/12/1966 00:00,1.980,59.97,"12b","Chart","",""
17/12/1966 00:00,1.950,58.50,"12b","Chart","",""
19/12/1966 00:00,2.469,84.97,"12b","Chart","",""
28/12/1966 00:00,1.890,55.60,"12b","Chart","",""
27/02/1967 00:00,1.950,58.50,"12b","Chart","",""
05/09/1967 00:00,1.920,57.05,"12b","Chart","",""
01/10/1967 00:00,1.920,57.05,"12b","Chart","",""
09/10/1967 00:00,2.620,93.09,"12b","Chart","",""
04/02/1968 00:00,2.164,69.13,"12b","Chart","",""
01/04/1968 00:00,1.980,59.97,"12b","Chart","",""
03/07/1968 00:00,2.560,89.84,"12b","Chart","",""
30/09/1968 00:00,2.040,62.92,"12b","Chart","",""
31/10/1968 00:00,1.950,58.50,"12b","Chart","",""
27/11/1968 00:00,2.100,65.91,"12b","Chart","",""
21/12/1969 00:00,2.170,69.44,"12b","Chart","",""
12/01/1970 00:00,1.250,27.08,"12b","Chart","",""
19/02/1970 00:00,2.200,70.96,"12b","Chart","",""
22/04/1970 00:00,1.970,59.48,"12b","Chart","",""
16/08/1970 00:00,2.130,67.42,"12b","Chart","",""
31/10/1970 00:00,2.060,63.91,"12b","Chart","",""
04/11/1971 00:00,2.260,74.03,"12b","Chart","",""
19/01/1972 00:00,2.360,79.22,"12b","Chart","",""
02/04/1972 00:00,1.950,58.50,"12b","Chart","",""
09/11/1972 00:00,1.880,55.12,"12b","Chart","",""
05/12/1972 00:00,1.890,55.60,"12b","Chart","",""
11/12/1972 00:00,2.140,67.92,"12b","Chart","",""
23/01/1973 00:00,1.940,58.02,"12b","Chart","",""
05/04/1973 00:00,2.060,63.91,"12b","Chart","",""
14/11/1973 00:00,2.170,69.44,"12b","Chart","",""
