"NAME:","Lugar Water at Langholm"
"NUMBER:","83004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/04/1972 16:00,1.880,70.50,"2a","Chart","",""
11/12/1972 18:00,2.490,126.43,"2a","Chart","",""
19/02/1973 00:00,2.050,84.41,"2a","Dundee Univ.","",""
01/03/1973 00:00,1.890,71.29,"2a","Dundee Univ.","",""
12/11/1973 00:00,2.240,101.49,"2a","Dundee Univ.","",""
26/11/1973 00:00,1.950,76.07,"2a","Dundee Univ.","",""
22/12/1973 00:00,2.660,145.00,"2a","Dundee Univ.","",""
05/01/1974 00:00,2.340,111.13,"2a","Dundee Univ.","",""
08/01/1974 00:00,2.340,111.13,"2a","Dundee Univ.","",""
10/01/1974 00:00,2.010,81.02,"2a","Dundee Univ.","",""
12/01/1974 00:00,1.900,72.07,"2a","Dundee Univ.","",""
17/01/1974 00:00,2.410,118.14,"2a","Dundee Univ.","",""
30/01/1974 00:00,2.420,119.16,"2a","Dundee Univ.","",""
17/09/1974 00:00,2.050,84.41,"2a","Dundee Univ.","",""
09/11/1974 00:00,2.060,85.27,"2a","Dundee Univ.","",""
17/12/1974 00:00,1.890,71.29,"2a","Dundee Univ.","",""
27/12/1974 00:00,1.960,76.89,"2a","Dundee Univ.","",""
05/01/1975 00:00,2.720,151.86,"2a","Dundee Univ.","",""
14/01/1975 00:00,2.510,128.54,"2a","Dundee Univ.","",""
15/01/1975 00:00,2.380,115.11,"2a","Dundee Univ.","",""
19/01/1975 00:00,2.220,99.61,"2a","Dundee Univ.","",""
22/01/1975 00:00,2.290,106.25,"2a","Dundee Univ.","",""
18/09/1975 00:00,2.420,119.16,"2a","Dundee Univ.","",""
27/11/1975 00:00,1.970,77.71,"2a","Dundee Univ.","",""
01/12/1975 00:00,2.110,89.63,"2a","Dundee Univ.","",""
02/01/1976 00:00,2.040,83.56,"2a","Dundee Univ.","",""
03/02/1977 00:00,2.820,163.67,"2a","Dundee Univ.","",""
10/09/1977 00:00,2.140,92.30,"2a","Dundee Univ.","",""
29/09/1977 00:00,1.810,65.15,"2a","Dundee Univ.","",""
30/09/1977 00:00,2.360,113.11,"2a","Dundee Univ.","",""
07/10/1977 00:00,2.220,99.61,"2a","Dundee Univ.","",""
31/10/1977 00:00,3.490,254.57,"2a","Dundee Univ.","",""
04/11/1977 00:00,2.030,82.71,"2a","Dundee Univ.","",""
15/03/1978 03:15,1.690,56.47,"2a","Digital Archive","",""
26/03/1978 16:30,1.681,55.85,"2a","Digital Archive","",""
10/09/1978 04:00,2.217,99.34,"2a","Digital Archive","Non-independent peak removed A",""
13/09/1978 16:45,1.784,63.21,"2a","Digital Archive","",""
29/09/1978 00:00,2.630,141.62,"2a","Digital Archive","",""
24/10/1978 09:45,1.713,58.09,"2a","Digital Archive","",""
15/11/1978 00:00,2.280,105.29,"2a","Dundee Univ.","",""
22/11/1978 00:00,1.910,72.86,"2a","Dundee Univ.","",""
07/01/1979 10:30,1.889,71.21,"2a","Digital Archive","",""
02/03/1979 00:00,1.980,78.53,"2a","Dundee Univ.","",""
11/03/1979 00:00,2.060,85.27,"2a","Dundee Univ.","",""
13/08/1979 07:30,1.726,59.01,"2a","Digital Archive","",""
04/10/1979 20:30,1.751,60.80,"2a","Digital Archive","",""
19/10/1979 09:00,1.827,66.43,"2a","Digital Archive","",""
30/10/1979 17:00,2.340,111.13,"2a","Digital Archive","",""
11/11/1979 18:00,2.204,98.13,"2a","Digital Archive","",""
25/11/1979 12:00,2.628,141.40,"2a","Digital Archive","Non-independent peak removed A",""
17/12/1979 12:15,1.975,78.12,"2a","Digital Archive","",""
26/12/1979 23:15,1.979,78.45,"2a","Digital Archive","",""
03/01/1980 23:15,2.202,97.94,"2a","Digital Archive","",""
20/06/1980 12:30,1.718,58.44,"2a","Digital Archive","",""
27/07/1980 00:00,2.747,155.01,"2a","Digital Archive","",""
30/07/1980 17:00,1.621,51.78,"2a","Digital Archive","",""
29/08/1980 23:00,2.213,98.96,"2a","Digital Archive","",""
12/09/1980 16:30,2.128,91.23,"2a","Digital Archive","",""
14/09/1980 00:30,2.229,100.46,"2a","Digital Archive","",""
27/09/1980 02:30,1.787,63.44,"2a","Digital Archive","",""
07/10/1980 10:30,3.233,217.27,"2a","Digital Archive","",""
23/10/1980 20:00,2.834,165.36,"2a","Digital Archive","",""
11/12/1980 01:30,1.832,66.81,"2a","Digital Archive","",""
13/12/1980 12:45,1.820,65.90,"2a","Digital Archive","Non-independent peak removed A",""
24/12/1980 13:30,1.761,61.53,"2a","Digital Archive","",""
02/01/1981 14:30,3.531,260.81,"2a","Digital Archive","",""
14/01/1981 10:00,2.477,125.06,"2a","Digital Archive","",""
02/02/1981 21:15,2.304,107.60,"2a","Digital Archive","",""
07/03/1981 21:45,1.747,60.51,"2a","Digital Archive","",""
18/09/1981 04:15,2.062,85.44,"2a","Digital Archive","",""
20/09/1981 03:15,2.392,116.32,"2a","Digital Archive","",""
23/09/1981 21:30,2.844,166.57,"2a","Digital Archive","",""
26/09/1981 17:45,2.164,94.46,"2a","Digital Archive","",""
02/10/1981 04:15,3.025,189.30,"2a","Digital Archive","",""
02/11/1981 00:00,2.225,100.08,"2a","Digital Archive","",""
23/11/1981 08:15,2.014,81.36,"2a","Digital Archive","",""
27/11/1981 02:15,2.051,84.50,"2a","Digital Archive","",""
30/11/1981 11:00,1.930,74.46,"2a","Digital Archive","",""
04/01/1982 01:30,2.408,117.94,"2a","Digital Archive","Non-independent peak removed B",""
12/03/1982 06:15,1.905,72.47,"2a","Digital Archive","",""
24/09/1982 21:00,2.628,141.40,"2a","Digital Archive","",""
27/09/1982 20:00,2.963,181.35,"2a","Digital Archive","Non-independent peak removed A",""
02/10/1982 21:30,1.592,49.86,"2a","Digital Archive","",""
18/10/1982 21:15,3.225,216.16,"2a","Digital Archive","",""
21/10/1982 04:00,1.587,49.54,"2a","Digital Archive","",""
06/11/1982 01:45,2.407,117.83,"2a","Digital Archive","",""
16/11/1982 01:15,2.302,107.41,"2a","Digital Archive","",""
23/11/1982 17:00,2.456,122.87,"2a","Digital Archive","",""
08/12/1982 13:30,1.587,49.54,"2a","Digital Archive","",""
15/12/1982 12:00,1.780,62.92,"2a","Digital Archive","",""
19/12/1982 07:45,3.452,248.87,"2a","Digital Archive","",""
03/01/1983 00:00,2.211,98.78,"2a","Digital Archive","",""
06/03/1983 13:30,1.645,53.39,"2a","Digital Archive","",""
18/03/1983 22:00,1.884,70.82,"2a","Digital Archive","",""
08/10/1983 15:00,2.101,88.84,"2a","Digital Archive","",""
12/10/1983 13:00,1.992,79.52,"2a","Digital Archive","",""
15/10/1983 12:15,2.648,143.64,"2a","Digital Archive","Non-independent peak removed A",""
14/12/1983 07:45,2.225,100.08,"2a","Digital Archive","",""
02/01/1984 16:00,1.608,50.91,"2a","Digital Archive","",""
13/01/1984 03:30,2.877,170.61,"2a","Digital Archive","",""
03/02/1984 10:45,1.671,55.16,"2a","Digital Archive","",""
04/02/1984 18:45,2.482,125.59,"2a","Digital Archive","",""
04/10/1984 03:30,2.509,128.44,"2a","Digital Archive","",""
18/10/1984 13:15,2.202,97.94,"2a","Digital Archive","",""
20/10/1984 21:00,1.851,68.26,"2a","Digital Archive","",""
22/10/1984 06:00,1.618,51.58,"2a","Digital Archive","",""
25/10/1984 05:00,1.873,69.96,"2a","Digital Archive","",""
10/11/1984 04:15,1.989,79.27,"2a","Digital Archive","",""
27/11/1984 16:30,2.535,131.22,"2a","Digital Archive","",""
24/12/1984 05:00,1.827,66.43,"2a","Digital Archive","",""
22/07/1985 14:30,1.907,72.63,"2a","Digital Archive","",""
15/08/1985 18:15,1.769,62.11,"2a","Digital Archive","",""
01/09/1985 02:30,2.033,82.96,"2a","Digital Archive","",""
03/09/1985 07:00,1.696,56.89,"2a","Digital Archive","",""
07/09/1985 20:15,2.020,81.86,"2a","Digital Archive","",""
16/09/1985 22:45,1.988,79.19,"2a","Digital Archive","",""
19/09/1985 01:15,2.240,101.49,"2a","Digital Archive","",""
21/09/1985 05:15,3.291,225.43,"2a","Digital Archive","",""
21/12/1985 02:45,1.771,62.26,"2a","Digital Archive","",""
10/01/1986 03:30,1.999,80.10,"2a","Digital Archive","",""
12/01/1986 20:45,1.911,72.94,"2a","Digital Archive","",""
20/03/1986 09:30,1.774,62.48,"2a","Digital Archive","",""
22/03/1986 19:30,1.683,55.99,"2a","Digital Archive","",""
07/05/1986 19:15,1.912,73.02,"2a","Digital Archive","",""
21/10/1986 20:45,1.583,49.28,"2a","Digital Archive","",""
23/10/1986 03:15,1.881,70.58,"2a","Digital Archive","",""
05/11/1986 10:30,2.124,90.87,"2a","Digital Archive","",""
08/11/1986 02:00,1.688,56.34,"2a","Digital Archive","",""
23/11/1986 12:45,1.600,50.39,"2a","Digital Archive","",""
25/11/1986 00:00,1.899,71.99,"2a","Digital Archive","",""
02/12/1986 18:00,2.093,88.14,"2a","Digital Archive","Non-independent peak removed A",""
11/12/1986 06:30,1.636,52.78,"2a","Digital Archive","",""
12/12/1986 23:00,2.026,82.37,"2a","Digital Archive","",""
15/12/1986 05:15,1.612,51.18,"2a","Digital Archive","",""
28/12/1986 20:45,2.374,114.51,"2a","Digital Archive","",""
30/12/1986 19:15,2.013,81.28,"2a","Digital Archive","",""
02/03/1987 02:45,1.895,71.68,"2a","Digital Archive","",""
27/03/1987 23:45,2.081,87.09,"2a","Digital Archive","",""
06/06/1987 16:45,1.726,59.01,"2a","Digital Archive","",""
11/07/1987 07:00,2.550,132.83,"2a","Digital Archive","",""
12/08/1987 23:30,2.083,87.26,"2a","Digital Archive","",""
17/08/1987 08:00,2.079,86.92,"2a","Digital Archive","Non-independent peak removed B",""
20/08/1987 19:45,1.998,80.02,"2a","Digital Archive","",""
18/10/1987 08:00,2.139,92.21,"2a","Digital Archive","",""
22/10/1987 07:45,1.884,70.82,"2a","Digital Archive","",""
26/12/1987 11:30,1.882,70.66,"2a","Digital Archive","",""
02/01/1988 09:45,2.349,112.02,"2a","Digital Archive","",""
12/01/1988 22:45,1.924,73.98,"2a","Digital Archive","",""
19/01/1988 14:45,1.655,54.06,"2a","Digital Archive","",""
24/01/1988 12:30,1.905,72.47,"2a","Digital Archive","",""
31/01/1988 00:15,1.728,59.15,"2a","Digital Archive","",""
01/02/1988 15:30,2.457,122.97,"2a","Digital Archive","",""
09/02/1988 21:00,2.207,98.41,"2a","Digital Archive","",""
13/02/1988 17:30,1.645,53.39,"2a","Digital Archive","",""
15/02/1988 20:30,1.650,53.72,"2a","Digital Archive","",""
12/03/1988 03:30,2.019,81.78,"2a","Digital Archive","",""
15/03/1988 19:45,2.244,101.87,"2a","Digital Archive","",""
22/07/1988 04:15,1.740,60.01,"2a","Digital Archive","",""
18/08/1988 18:30,1.768,62.04,"2a","Digital Archive","",""
02/09/1988 18:15,1.598,50.26,"2a","Digital Archive","",""
05/09/1988 03:30,1.637,52.85,"2a","Digital Archive","",""
06/09/1988 18:15,1.806,64.85,"2a","Digital Archive","",""
26/10/1988 04:30,2.013,81.28,"2a","Digital Archive","",""
18/12/1988 19:00,2.668,145.90,"2a","Digital Archive","",""
05/01/1989 23:30,1.605,50.72,"2a","Digital Archive","",""
11/01/1989 17:45,1.920,73.66,"2a","Digital Archive","",""
28/01/1989 05:00,1.588,49.60,"2a","Digital Archive","",""
04/02/1989 19:15,1.708,57.73,"2a","Digital Archive","",""
15/02/1989 09:00,1.648,53.59,"2a","Digital Archive","",""
22/03/1989 06:45,1.994,79.69,"2a","Digital Archive","",""
24/03/1989 00:45,2.206,98.31,"2a","Digital Archive","",""
13/04/1989 16:30,1.620,51.71,"2a","Digital Archive","",""
17/12/1989 04:30,1.669,55.02,"2a","Digital Archive","",""
24/12/1989 18:15,2.391,116.21,"2a","Digital Archive","",""
23/01/1990 07:15,1.739,59.94,"2a","Digital Archive","",""
25/01/1990 16:45,1.587,49.54,"2a","Digital Archive","",""
29/01/1990 19:45,2.201,97.85,"2a","Digital Archive","Non-independent peak removed A",""
06/02/1990 15:15,2.172,95.19,"2a","Digital Archive","",""
12/02/1990 01:00,1.858,68.80,"2a","Digital Archive","",""
17/02/1990 15:00,2.136,91.94,"2a","Digital Archive","",""
24/02/1990 18:15,1.748,60.59,"2a","Digital Archive","",""
26/02/1990 07:45,2.047,84.16,"2a","Digital Archive","",""
06/03/1990 16:45,2.449,122.14,"2a","Digital Archive","",""
07/03/1990 23:15,1.706,57.59,"2a","Digital Archive","",""
10/03/1990 06:45,1.962,77.05,"2a","Digital Archive","",""
29/08/1990 14:00,1.787,63.44,"2a","Digital Archive","",""
06/09/1990 19:45,2.208,98.50,"2a","Digital Archive","",""
03/10/1990 03:45,2.189,96.75,"2a","Digital Archive","",""
06/10/1990 13:30,2.254,102.81,"2a","Digital Archive","Non-independent peak removed B",""
18/10/1990 08:15,1.761,61.53,"2a","Digital Archive","",""
28/10/1990 19:45,1.732,59.44,"2a","Digital Archive","",""
11/12/1990 20:30,1.718,58.44,"2a","Digital Archive","",""
23/12/1990 07:15,1.759,61.38,"2a","Digital Archive","",""
25/12/1990 12:30,2.756,156.06,"2a","Digital Archive","Non-independent peak removed A",""
28/12/1990 17:30,1.606,50.78,"2a","Digital Archive","",""
01/01/1991 20:15,1.987,79.11,"2a","Digital Archive","",""
18/01/1991 21:45,1.824,66.20,"2a","Digital Archive","",""
23/02/1991 03:00,1.765,61.82,"2a","Digital Archive","",""
02/04/1991 07:15,1.685,56.13,"2a","Digital Archive","",""
12/04/1991 21:15,2.117,90.25,"2a","Digital Archive","",""
31/10/1991 16:00,2.308,107.99,"2a","Digital Archive","",""
