"NAME:","Irvine at Shewalton"
"NUMBER:","83005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
13/01/1972 16:15,1.100,20.46,"7d","Chart","",""
19/01/1972 06:00,2.830,160.76,"7d","Chart","",""
10/02/1972 20:00,2.440,115.33,"7d","Chart","",""
30/03/1972 14:00,1.790,58.14,"7d","Chart","",""
01/04/1972 19:00,2.680,142.26,"7d","Chart","",""
02/04/1972 18:00,2.680,142.26,"7d","Chart","",""
08/04/1972 01:00,2.100,82.63,"7d","Chart","",""
30/05/1972 13:00,1.880,64.74,"7d","Chart","",""
18/06/1972 07:00,2.500,121.76,"7d","Chart","",""
25/06/1972 08:00,1.720,53.28,"7d","Chart","",""
26/03/1978 19:00,2.203,91.87,"7d","Digital Archive","",""
10/09/1978 09:00,3.456,252.42,"7d","Digital Archive","",""
13/09/1978 20:30,2.187,90.40,"7d","Digital Archive","",""
22/09/1978 16:30,2.095,82.19,"7d","Digital Archive","",""
29/09/1978 00:00,2.907,170.77,"7d","Digital Archive","",""
24/10/1978 11:30,2.382,109.30,"7d","Digital Archive","",""
22/11/1978 22:00,2.541,126.27,"7d","Digital Archive","",""
07/01/1979 10:30,2.832,161.01,"7d","Digital Archive","",""
15/01/1979 20:00,2.194,91.04,"7d","Digital Archive","",""
02/03/1979 07:00,2.636,137.08,"7d","Digital Archive","",""
07/08/1979 00:00,3.091,196.10,"7d","Digital Archive","",""
23/08/1979 14:00,2.161,88.04,"7d","Digital Archive","",""
18/09/1979 23:00,2.238,95.15,"7d","Digital Archive","",""
19/10/1979 11:30,2.180,89.76,"7d","Digital Archive","",""
30/10/1979 20:00,3.225,215.83,"7d","Digital Archive","",""
03/11/1979 07:15,2.452,116.60,"7d","Digital Archive","",""
11/11/1979 22:00,2.495,121.21,"7d","Digital Archive","",""
17/11/1979 20:30,2.105,83.06,"7d","Digital Archive","",""
25/11/1979 15:00,2.773,153.58,"7d","Digital Archive","",""
04/01/1980 02:15,3.007,184.28,"7d","Digital Archive","",""
12/02/1980 13:15,2.532,125.27,"7d","Digital Archive","",""
27/07/1980 07:00,3.333,232.52,"7d","Digital Archive","",""
30/08/1980 05:00,3.008,184.42,"7d","Digital Archive","",""
12/09/1980 17:45,2.848,163.07,"7d","Digital Archive","Non-independent peak removed A",""
27/09/1980 04:30,2.789,155.57,"7d","Digital Archive","",""
07/10/1980 17:00,2.480,119.59,"7d","Digital Archive","",""
24/10/1980 12:30,2.601,133.03,"7d","Digital Archive","",""
01/12/1980 00:00,1.573,43.87,"7d","SEPA DXL","",""
11/12/1980 03:00,2.084,81.24,"7d","Digital Archive","",""
14/12/1980 13:15,2.367,107.78,"7d","Digital Archive","",""
24/12/1980 11:00,2.522,124.16,"7d","Digital Archive","",""
02/01/1981 19:00,3.229,216.43,"7d","Digital Archive","",""
17/01/1981 09:45,2.114,83.85,"7d","Digital Archive","",""
03/02/1981 01:30,2.615,134.64,"7d","Digital Archive","",""
07/02/1981 16:15,2.875,166.56,"7d","Digital Archive","",""
07/03/1981 10:15,2.598,132.69,"7d","Digital Archive","",""
10/03/1981 16:45,2.975,179.89,"7d","Digital Archive","",""
15/06/1981 02:00,2.538,125.93,"7d","Digital Archive","",""
18/09/1981 05:00,2.840,162.04,"7d","Digital Archive","",""
20/09/1981 04:45,2.796,156.45,"7d","Digital Archive","",""
23/09/1981 23:15,2.944,175.70,"7d","Digital Archive","",""
27/09/1981 04:00,2.908,170.90,"7d","Digital Archive","",""
02/10/1981 09:30,3.306,228.28,"7d","Digital Archive","",""
09/10/1981 07:45,2.164,88.31,"7d","Digital Archive","",""
02/11/1981 00:00,2.460,117.45,"7d","Digital Archive","",""
03/11/1981 22:00,2.113,83.76,"7d","Digital Archive","",""
27/11/1981 02:15,2.325,103.56,"7d","Digital Archive","",""
30/11/1981 06:30,2.366,107.68,"7d","Digital Archive","",""
04/01/1982 01:00,2.835,161.40,"7d","Digital Archive","",""
24/09/1982 20:45,2.097,82.37,"7d","Digital Archive","",""
27/09/1982 20:45,3.011,184.84,"7d","Digital Archive","",""
20/10/1982 05:00,2.231,94.49,"7d","Digital Archive","",""
30/10/1982 17:30,2.342,105.26,"7d","Digital Archive","",""
06/11/1982 05:15,2.476,119.16,"7d","Digital Archive","",""
16/11/1982 03:30,2.706,145.37,"7d","Digital Archive","",""
18/11/1982 13:15,2.744,149.99,"7d","Digital Archive","",""
23/11/1982 16:45,2.870,165.91,"7d","Digital Archive","",""
15/12/1982 11:00,2.193,90.95,"7d","Digital Archive","",""
19/12/1982 10:45,3.068,192.82,"7d","Digital Archive","",""
01/01/1983 08:00,2.266,97.81,"7d","Digital Archive","",""
06/01/1983 00:00,2.197,91.32,"7d","Digital Archive","",""
12/01/1983 04:00,2.258,97.04,"7d","Digital Archive","",""
14/01/1983 05:30,2.154,87.40,"7d","Digital Archive","",""
18/03/1983 22:00,2.637,137.19,"7d","Digital Archive","",""
08/10/1983 16:15,2.114,83.85,"7d","Digital Archive","",""
12/10/1983 12:45,2.581,130.76,"7d","Digital Archive","",""
16/10/1983 13:30,2.627,136.03,"7d","Digital Archive","",""
18/10/1983 19:45,2.098,82.45,"7d","Digital Archive","",""
01/01/1984 02:45,2.745,150.12,"7d","Digital Archive","",""
13/01/1984 07:00,2.978,180.30,"7d","Digital Archive","",""
04/02/1984 19:30,2.903,170.24,"7d","Digital Archive","",""
04/10/1984 04:45,2.235,94.86,"7d","Digital Archive","",""
18/10/1984 16:15,2.164,88.31,"7d","Digital Archive","",""
22/10/1984 07:00,2.456,117.02,"7d","Digital Archive","",""
25/10/1984 07:45,2.931,173.96,"7d","Digital Archive","",""
04/11/1984 01:00,2.884,167.74,"7d","Digital Archive","",""
10/11/1984 06:45,2.109,83.41,"7d","Digital Archive","",""
27/11/1984 19:45,2.876,166.70,"7d","Digital Archive","",""
30/03/1985 21:30,2.303,101.40,"7d","Digital Archive","",""
01/04/1985 19:45,2.117,84.11,"7d","Digital Archive","",""
17/07/1985 16:30,2.214,92.90,"7d","Digital Archive","",""
22/07/1985 16:15,2.438,115.12,"7d","Digital Archive","",""
03/08/1985 09:30,2.358,106.87,"7d","Digital Archive","",""
27/08/1985 14:30,2.139,86.06,"7d","Digital Archive","",""
01/09/1985 05:15,2.565,128.95,"7d","Digital Archive","",""
03/09/1985 09:15,2.189,90.58,"7d","Digital Archive","",""
07/09/1985 23:00,2.196,91.23,"7d","Digital Archive","",""
17/09/1985 00:30,2.482,119.81,"7d","Digital Archive","",""
19/09/1985 09:30,2.883,167.61,"7d","Digital Archive","",""
21/09/1985 11:30,3.212,213.86,"7d","Digital Archive","Non-independent peak removed A",""
01/10/1985 05:45,2.760,151.96,"7d","Digital Archive","",""
01/12/1985 04:30,2.676,141.78,"7d","Digital Archive","",""
21/12/1985 13:15,2.289,100.03,"7d","Digital Archive","",""
10/01/1986 07:30,2.594,132.23,"7d","Digital Archive","",""
05/03/1986 01:30,2.245,95.81,"7d","Digital Archive","",""
07/05/1986 17:45,2.188,90.49,"7d","Digital Archive","",""
10/05/1986 08:45,2.591,131.89,"7d","Digital Archive","",""
27/10/1986 10:30,2.553,127.60,"7d","Digital Archive","",""
05/11/1986 11:00,3.117,199.84,"7d","Digital Archive","",""
08/11/1986 02:00,2.266,97.81,"7d","Digital Archive","",""
16/11/1986 08:30,2.429,114.17,"7d","Digital Archive","",""
25/11/1986 01:45,2.505,122.30,"7d","Digital Archive","",""
02/12/1986 19:15,2.838,161.78,"7d","Digital Archive","",""
05/12/1986 02:30,2.312,102.28,"7d","Digital Archive","",""
17/12/1986 19:45,2.221,93.55,"7d","Digital Archive","",""
28/12/1986 23:45,2.375,108.59,"7d","Digital Archive","",""
30/12/1986 18:30,2.844,162.55,"7d","Digital Archive","",""
20/01/1987 05:45,2.626,135.91,"7d","Digital Archive","",""
01/03/1987 23:45,2.695,144.05,"7d","Digital Archive","",""
27/03/1987 07:15,2.469,118.41,"7d","Digital Archive","",""
10/07/1987 21:30,2.269,98.10,"7d","Digital Archive","",""
16/08/1987 11:45,2.417,112.92,"7d","Digital Archive","Non-independent peak removed A",""
21/08/1987 00:00,2.551,127.38,"7d","Digital Archive","",""
01/09/1987 11:30,2.103,82.89,"7d","Digital Archive","",""
21/09/1987 12:30,2.398,110.95,"7d","Digital Archive","",""
17/10/1987 09:00,2.103,82.89,"7d","Digital Archive","",""
19/10/1987 22:15,2.491,120.78,"7d","Digital Archive","",""
22/10/1987 09:30,2.889,168.40,"7d","Digital Archive","",""
20/12/1987 09:30,2.456,117.02,"7d","Digital Archive","",""
26/12/1987 12:15,2.917,172.09,"7d","Digital Archive","Non-independent peak removed A",""
24/01/1988 11:15,2.363,107.37,"7d","Digital Archive","",""
09/02/1988 21:30,2.543,126.49,"7d","Digital Archive","",""
15/02/1988 21:00,2.264,97.62,"7d","Digital Archive","",""
15/03/1988 21:45,2.860,164.62,"7d","Digital Archive","",""
19/03/1988 10:15,2.500,121.76,"7d","Digital Archive","",""
18/04/1988 23:30,2.369,107.98,"7d","Digital Archive","",""
14/08/1988 10:30,2.315,102.58,"7d","Digital Archive","",""
18/08/1988 19:45,2.647,138.36,"7d","Digital Archive","",""
02/09/1988 21:00,2.509,122.74,"7d","Digital Archive","",""
07/09/1988 03:00,2.780,154.45,"7d","Digital Archive","",""
06/10/1988 19:30,2.188,90.49,"7d","Digital Archive","",""
30/11/1988 03:00,2.211,92.62,"7d","Digital Archive","",""
09/12/1988 15:00,2.139,86.06,"7d","Digital Archive","",""
26/12/1988 08:15,2.237,95.05,"7d","Digital Archive","",""
06/01/1989 00:00,2.222,93.64,"7d","Digital Archive","",""
12/01/1989 00:00,2.128,85.09,"7d","Digital Archive","",""
