"NAME:","Clyde at Blairston"
"NUMBER:","84005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/03/1956 00:00,2.060,300.55,"2b","Dundee Univ.","",""
18/08/1956 00:00,1.980,282.97,"2b","Dundee Univ.","",""
29/08/1956 00:00,2.170,325.27,"2b","Dundee Univ.","",""
05/12/1956 00:00,1.840,253.05,"2b","Dundee Univ.","",""
11/12/1956 00:00,1.700,224.25,"2b","Dundee Univ.","",""
14/12/1956 00:00,2.290,352.96,"2b","Dundee Univ.","",""
22/01/1957 00:00,1.880,261.49,"2b","Dundee Univ.","",""
26/01/1957 00:00,1.710,226.26,"2b","Dundee Univ.","",""
25/08/1957 00:00,1.900,265.74,"2b","Dundee Univ.","",""
08/12/1957 00:00,2.000,287.33,"2b","Dundee Univ.","",""
20/12/1957 00:00,1.710,226.26,"2b","Dundee Univ.","",""
08/01/1958 00:00,2.230,339.03,"2b","Dundee Univ.","",""
11/02/1958 00:00,1.750,234.40,"2b","Dundee Univ.","",""
03/07/1958 00:00,2.000,287.33,"2b","Dundee Univ.","",""
30/07/1958 00:00,2.170,325.27,"2b","Dundee Univ.","",""
22/08/1958 00:00,1.780,240.57,"2b","Dundee Univ.","",""
12/12/1958 00:00,1.880,261.49,"2b","Dundee Univ.","",""
28/07/1959 00:00,1.700,224.25,"2b","Dundee Univ.","",""
26/10/1959 00:00,2.270,348.30,"2b","Dundee Univ.","",""
22/01/1960 00:00,1.880,261.49,"2b","Dundee Univ.","",""
31/01/1960 00:00,1.840,253.05,"2b","Dundee Univ.","",""
03/02/1960 00:00,1.840,253.05,"2b","Dundee Univ.","",""
28/02/1960 00:00,2.270,348.30,"2b","Dundee Univ.","",""
01/12/1960 00:00,2.270,348.30,"2b","Dundee Univ.","",""
04/12/1960 00:00,2.170,325.27,"2b","Dundee Univ.","",""
26/12/1960 00:00,2.240,341.34,"2b","Dundee Univ.","",""
12/01/1961 00:00,1.890,263.61,"2b","Dundee Univ.","",""
06/02/1961 00:00,1.810,246.78,"2b","Dundee Univ.","",""
06/04/1961 00:00,1.720,228.29,"2b","Dundee Univ.","",""
08/08/1961 00:00,2.880,499.35,"2b","Dundee Univ.","",""
23/10/1961 00:00,2.180,327.55,"2b","Dundee Univ.","",""
08/11/1961 00:00,1.680,220.22,"2b","Dundee Univ.","",""
05/12/1961 00:00,1.720,228.29,"2b","Dundee Univ.","",""
11/12/1961 00:00,2.440,388.60,"2b","Dundee Univ.","",""
09/01/1962 00:00,2.000,287.33,"2b","Dundee Univ.","",""
16/01/1962 00:00,2.950,517.79,"2b","Dundee Univ.","",""
24/01/1962 00:00,1.870,259.37,"2b","Dundee Univ.","",""
31/01/1962 00:00,2.030,293.91,"2b","Dundee Univ.","",""
12/02/1962 00:00,2.780,473.39,"2b","Dundee Univ.","",""
03/04/1962 00:00,1.780,240.57,"2b","Dundee Univ.","",""
07/04/1962 00:00,1.780,240.57,"2b","Dundee Univ.","",""
04/08/1962 00:00,1.700,224.25,"2b","Dundee Univ.","",""
24/08/1962 00:00,1.690,222.23,"2b","Dundee Univ.","",""
26/08/1962 00:00,2.050,298.33,"2b","Dundee Univ.","",""
09/09/1962 00:00,2.240,341.34,"2b","Dundee Univ.","",""
12/09/1962 00:00,2.670,445.36,"2b","Dundee Univ.","",""
24/11/1962 00:00,1.820,248.87,"2b","Dundee Univ.","",""
08/12/1962 00:00,2.290,352.96,"2b","Dundee Univ.","",""
05/03/1963 00:00,2.010,289.52,"2b","Dundee Univ.","",""
25/03/1963 00:00,1.740,232.36,"2b","Dundee Univ.","",""
26/09/1963 00:00,1.680,220.22,"2b","Dundee Univ.","",""
22/10/1963 00:00,1.920,270.01,"2b","Dundee Univ.","",""
12/11/1963 00:00,2.060,300.55,"2b","Dundee Univ.","",""
18/11/1963 00:00,2.150,320.73,"2b","Dundee Univ.","",""
21/11/1963 00:00,2.290,352.96,"2b","Dundee Univ.","",""
24/11/1963 00:00,2.950,517.79,"2b","Dundee Univ.","",""
07/10/1964 00:00,2.570,420.37,"2b","Dundee Univ.","",""
08/12/1964 00:00,2.210,334.42,"2b","Dundee Univ.","",""
12/12/1964 00:00,2.130,316.21,"2b","Dundee Univ.","",""
10/01/1965 00:00,2.540,412.97,"2b","Dundee Univ.","",""
14/01/1965 00:00,1.870,259.37,"2b","Dundee Univ.","",""
16/01/1965 00:00,2.100,309.46,"2b","Dundee Univ.","",""
27/03/1965 00:00,1.850,255.15,"2b","Dundee Univ.","",""
29/07/1965 00:00,1.990,285.15,"2b","Dundee Univ.","",""
26/09/1965 00:00,2.200,332.13,"2b","Dundee Univ.","",""
01/11/1965 00:00,2.450,391.02,"2b","Dundee Univ.","",""
09/12/1965 00:00,2.540,412.97,"2b","Dundee Univ.","",""
