"NAME:","Kelvin at Bridgend"
"NUMBER:","84006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/09/1956 00:00,1.460,6.16,"8b","CEH POT","",""
19/10/1956 00:00,1.880,9.92,"8b","CEH POT","",""
27/11/1956 00:00,0.530,0.80,"8a","CEH POT","",""
05/12/1956 00:00,1.830,9.43,"8b","CEH POT","",""
25/01/1957 00:00,1.830,9.43,"8b","CEH POT","",""
07/02/1957 00:00,1.440,6.01,"8b","CEH POT","",""
19/03/1957 00:00,2.080,11.99,"8b","CEH POT","",""
21/04/1957 00:00,0.910,2.53,"8b","CEH POT","",""
11/05/1957 00:00,0.730,1.67,"8a","CEH POT","",""
28/06/1957 00:00,0.650,1.28,"8a","CEH POT","",""
25/07/1957 00:00,1.040,3.26,"8b","CEH POT","",""
24/08/1957 00:00,1.920,10.32,"8b","CEH POT","",""
06/09/1957 00:00,0.910,2.53,"8b","CEH POT","",""
25/10/1957 00:00,1.650,7.76,"8b","CEH POT","",""
05/11/1957 00:00,1.500,6.49,"8b","CEH POT","",""
07/12/1957 00:00,2.120,12.43,"8b","CEH POT","",""
08/01/1958 00:00,1.890,10.01,"8b","CEH POT","",""
11/02/1958 00:00,1.380,5.54,"8b","CEH POT","",""
30/03/1958 00:00,0.990,2.97,"8b","CEH POT","",""
04/04/1958 00:00,0.610,1.10,"8a","CEH POT","",""
23/05/1958 00:00,1.300,4.96,"8b","CEH POT","",""
27/06/1958 00:00,1.230,4.47,"8b","CEH POT","",""
28/07/1958 00:00,1.840,9.52,"8b","CEH POT","",""
10/08/1958 00:00,1.820,9.33,"8b","CEH POT","",""
24/09/1958 00:00,1.510,6.57,"8b","CEH POT","",""
04/10/1958 00:00,1.420,5.85,"8b","CEH POT","",""
01/11/1958 00:00,1.090,3.56,"8b","CEH POT","",""
19/12/1958 00:00,1.390,5.62,"8b","CEH POT","",""
01/01/1959 00:00,1.550,6.90,"8b","CEH POT","",""
14/02/1959 00:00,1.050,3.32,"8b","CEH POT","",""
14/03/1959 00:00,1.080,3.50,"8b","CEH POT","",""
11/04/1959 00:00,0.920,2.59,"8b","CEH POT","",""
12/05/1959 00:00,0.550,0.87,"8a","CEH POT","",""
28/06/1959 00:00,0.890,2.43,"8b","CEH POT","",""
27/07/1959 00:00,1.730,8.48,"8b","CEH POT","",""
01/08/1959 00:00,0.610,1.10,"8a","CEH POT","",""
01/09/1959 00:00,0.280,0.18,"8a","CEH POT","",""
26/10/1959 00:00,2.030,11.45,"8b","CEH POT","",""
13/11/1959 00:00,1.880,9.92,"8b","CEH POT","",""
22/12/1959 00:00,1.710,8.30,"8b","CEH POT","",""
31/01/1960 00:00,1.900,10.11,"8b","CEH POT","",""
01/02/1960 00:00,1.870,9.82,"8b","CEH POT","",""
03/03/1960 00:00,1.520,6.65,"8b","CEH POT","",""
12/04/1960 00:00,1.830,9.43,"8b","CEH POT","",""
13/05/1960 00:00,1.740,8.57,"8b","CEH POT","",""
12/06/1960 00:00,1.120,3.75,"8b","CEH POT","",""
18/07/1960 00:00,0.510,0.73,"8a","CEH POT","",""
25/08/1960 00:00,1.720,8.39,"8b","CEH POT","",""
13/09/1960 00:00,1.420,5.85,"8b","CEH POT","",""
04/10/1960 00:00,1.160,4.00,"8b","CEH POT","",""
30/11/1960 00:00,2.050,11.67,"8b","CEH POT","",""
03/12/1960 00:00,2.050,11.67,"8b","CEH POT","",""
12/01/1961 00:00,1.990,11.03,"8b","CEH POT","",""
05/02/1961 00:00,1.940,10.52,"8b","CEH POT","",""
12/04/1961 00:00,1.370,5.47,"8b","CEH POT","",""
08/05/1961 00:00,1.110,3.68,"8b","CEH POT","",""
06/06/1961 00:00,0.430,0.49,"8a","CEH POT","",""
13/07/1961 00:00,1.100,3.62,"8b","CEH POT","",""
08/08/1961 00:00,2.180,13.10,"8b","CEH POT","",""
28/09/1961 00:00,1.860,9.72,"8b","CEH POT","",""
26/10/1961 00:00,1.460,6.16,"8b","CEH POT","",""
07/11/1961 00:00,1.870,9.82,"8b","CEH POT","",""
11/12/1961 00:00,2.230,13.67,"8b","CEH POT","",""
31/01/1962 00:00,2.040,11.56,"8b","CEH POT","",""
11/02/1962 00:00,2.320,14.72,"8b","CEH POT","",""
29/03/1962 00:00,0.900,2.48,"8b","CEH POT","",""
07/04/1962 00:00,1.340,5.25,"8b","CEH POT","",""
08/05/1962 00:00,0.480,0.63,"8a","CEH POT","",""
23/06/1962 00:00,0.510,0.73,"8a","CEH POT","",""
25/07/1962 00:00,0.840,2.18,"8b","CEH POT","",""
10/08/1962 00:00,2.010,11.24,"8b","CEH POT","",""
09/09/1962 00:00,2.520,17.20,"8b","CEH POT","",""
30/10/1962 00:00,1.410,5.77,"8b","CEH POT","",""
23/11/1962 00:00,1.810,9.23,"8b","CEH POT","",""
08/12/1962 00:00,2.120,12.43,"8b","CEH POT","",""
04/01/1963 00:00,1.080,3.50,"8b","CEH POT","",""
15/02/1963 00:00,0.490,0.66,"8a","CEH POT","",""
18/03/1963 00:00,1.660,7.85,"8b","CEH POT","",""
17/04/1963 00:00,1.470,6.24,"8b","CEH POT","",""
20/05/1963 00:00,1.520,6.65,"8b","CEH POT","",""
26/06/1963 00:00,0.910,2.53,"8b","CEH POT","",""
23/07/1963 00:00,1.270,4.74,"8b","CEH POT","",""
