"NAME:","Clyde at Daldowie"
"NUMBER:","84013"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
09/10/1963 00:00,2.860,212.15,"1a","FSR","",""
21/10/1963 00:00,2.890,217.56,"1a","FSR","",""
12/11/1963 00:00,3.190,273.74,"1a","FSR","",""
18/11/1963 00:00,3.320,299.21,"1a","FSR","",""
21/11/1963 00:00,3.600,356.23,"1a","FSR","",""
24/11/1963 00:00,4.410,536.24,"1a","FSR","",""
07/10/1964 00:00,3.770,392.22,"1a","Dundee Univ.","",""
09/12/1964 00:00,3.110,258.39,"1a","Dundee Univ.","",""
12/12/1964 00:00,3.310,297.23,"1a","Dundee Univ.","",""
10/01/1965 00:00,3.700,377.28,"1a","Dundee Univ.","",""
14/01/1965 00:00,3.010,239.58,"1a","Dundee Univ.","",""
17/01/1965 00:00,3.300,295.25,"1a","Dundee Univ.","",""
27/03/1965 00:00,2.960,230.33,"1a","Dundee Univ.","",""
29/07/1965 00:00,3.240,283.46,"1a","Dundee Univ.","",""
26/09/1965 00:00,3.650,366.71,"1a","Dundee Univ.","",""
01/11/1965 00:00,3.720,381.53,"1a","Dundee Univ.","",""
09/12/1965 00:00,3.780,394.37,"1a","Dundee Univ.","",""
05/02/1966 00:00,2.970,232.17,"1a","Dundee Univ.","",""
23/06/1966 00:00,3.140,264.12,"1a","Dundee Univ.","",""
14/08/1966 00:00,4.720,610.49,"1a","Dundee Univ.","",""
17/12/1966 00:00,3.390,313.19,"1a","Dundee Univ.","",""
19/12/1966 00:00,3.620,360.41,"1a","Dundee Univ.","",""
01/03/1967 00:00,3.320,299.21,"1a","Dundee Univ.","",""
01/10/1967 00:00,2.940,226.66,"1a","Dundee Univ.","",""
07/10/1967 00:00,3.070,250.82,"1a","Dundee Univ.","",""
09/10/1967 00:00,4.200,487.56,"1a","Dundee Univ.","",""
26/10/1967 00:00,3.020,241.44,"1a","Dundee Univ.","",""
22/12/1967 00:00,2.890,217.56,"1a","Dundee Univ.","",""
17/01/1968 00:00,3.050,247.06,"1a","Dundee Univ.","",""
23/03/1968 00:00,2.930,224.83,"1a","Dundee Univ.","",""
01/04/1968 00:00,3.230,281.51,"1a","Dundee Univ.","",""
05/05/1968 00:00,4.020,446.92,"1a","Dundee Univ.","",""
01/11/1968 00:00,3.160,267.95,"1a","Dundee Univ.","",""
22/12/1968 00:00,3.000,237.72,"1a","Dundee Univ.","",""
02/11/1969 00:00,2.310,256.64,"7b","Dundee Univ.","",""
22/11/1969 00:00,2.640,314.75,"7b","Dundee Univ.","",""
14/12/1969 00:00,2.460,282.49,"7b","Dundee Univ.","",""
22/12/1969 00:00,2.540,296.66,"7b","Dundee Univ.","",""
02/02/1970 00:00,2.520,293.09,"7b","Dundee Univ.","",""
22/02/1970 00:00,3.100,403.17,"7b","Dundee Univ.","",""
23/04/1970 00:00,2.200,238.30,"7b","Dundee Univ.","",""
31/10/1970 00:00,3.130,409.23,"7b","Dundee Univ.","",""
03/11/1970 00:00,2.230,243.25,"7b","Dundee Univ.","",""
24/11/1970 00:00,2.200,238.30,"7b","Dundee Univ.","",""
03/12/1970 00:00,2.440,278.99,"7b","Dundee Univ.","",""
15/02/1971 00:00,2.130,226.90,"7b","Dundee Univ.","",""
08/04/1972 00:00,2.120,225.29,"7b","Dundee Univ.","",""
12/12/1972 00:00,2.450,280.73,"7b","Dundee Univ.","",""
18/01/1974 00:00,3.030,389.18,"7b","Dundee Univ.","",""
