"NAME:","Deveron at Avochie"
"NUMBER:","9001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
18/11/1959 08:00,1.356,68.87,"QHigh19591","Digital Archive","",""
19/11/1959 10:30,1.834,121.24,"QHigh19591","Digital Archive","",""
13/01/1960 00:15,1.356,68.87,"QHigh19591","Digital Archive","",""
23/01/1960 10:45,1.350,68.30,"QHigh19591","Digital Archive","",""
03/02/1960 22:30,1.348,68.11,"QHigh19591","Digital Archive","",""
29/02/1960 22:45,1.441,77.18,"QHigh19591","Digital Archive","",""
26/08/1960 00:00,2.165,165.42,"QHigh19591","Digital Archive","",""
03/10/1960 17:30,1.651,99.57,"QHigh19591","Digital Archive","",""
13/10/1960 22:45,1.520,85.29,"QHigh19591","Digital Archive","",""
24/10/1960 03:45,1.477,80.83,"QHigh19591","Digital Archive","",""
26/10/1960 16:15,1.476,80.72,"QHigh19591","Digital Archive","",""
02/11/1960 00:45,2.021,145.41,"QHigh19591","Digital Archive","",""
04/11/1960 08:15,1.577,91.38,"QHigh19591","Digital Archive","",""
20/10/1961 12:30,1.767,113.07,"QHigh19591","Digital Archive","",""
23/10/1961 06:45,1.460,79.09,"QHigh19591","Digital Archive","",""
06/01/1962 00:15,1.766,112.95,"QHigh19591","Digital Archive","",""
12/02/1962 05:00,1.380,71.17,"QHigh19591","Digital Archive","",""
15/02/1962 21:00,1.386,71.75,"QHigh19591","Digital Archive","",""
16/08/1962 22:45,1.335,66.89,"QHigh19591","Digital Archive","",""
30/09/1962 12:30,1.664,101.04,"QHigh19591","Digital Archive","",""
24/11/1962 17:00,1.355,68.77,"QHigh19591","Digital Archive","",""
14/12/1962 23:15,1.899,129.41,"QHigh19591","Digital Archive","",""
16/12/1962 05:45,1.355,68.77,"QHigh19591","Digital Archive","",""
06/03/1963 20:00,1.594,93.23,"QHigh19591","Digital Archive","",""
27/06/1963 13:30,1.622,96.32,"QHigh19591","Digital Archive","",""
05/08/1963 14:15,1.652,99.68,"QHigh19591","Digital Archive","",""
03/09/1963 20:45,1.426,75.68,"QHigh19591","Digital Archive","",""
19/08/1964 01:45,1.465,79.60,"QHigh19591","Digital Archive","",""
04/09/1965 08:45,1.526,85.92,"QHigh19591","Digital Archive","",""
08/09/1965 15:45,1.844,122.48,"QHigh19591","Digital Archive","",""
18/09/1965 13:45,1.990,141.26,"QHigh19591","Digital Archive","",""
10/12/1965 06:00,1.332,66.60,"QHigh19591","Digital Archive","",""
