"NAME:","Isla at Grange"
"NUMBER:","9003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/08/1960 00:00,2.500,58.55,"QHigh19601","SEPA POT","",""
27/08/1960 00:00,1.790,32.27,"QHigh19601","SEPA POT","",""
13/10/1960 00:00,2.090,42.69,"QHigh19601","SEPA POT","",""
01/11/1960 00:00,1.980,38.74,"QHigh19601","SEPA POT","",""
03/11/1960 00:00,2.040,40.88,"QHigh19601","SEPA POT","",""
12/01/1961 00:00,1.550,24.71,"QHigh19601","SEPA POT","",""
09/08/1961 00:00,1.740,30.63,"QHigh19601","SEPA POT","",""
20/10/1961 00:00,2.090,42.69,"QHigh19601","SEPA POT","",""
10/12/1961 00:00,1.930,37.00,"QHigh19601","SEPA POT","",""
05/01/1962 00:00,2.130,44.15,"QHigh19601","SEPA POT","",""
08/01/1962 00:00,1.560,25.01,"QHigh19601","SEPA POT","",""
15/01/1962 00:00,1.710,29.67,"QHigh19601","SEPA POT","",""
30/09/1962 00:00,1.660,28.08,"QHigh19601","SEPA POT","",""
24/11/1962 00:00,2.100,43.05,"QHigh19601","SEPA POT","",""
14/12/1962 00:00,2.180,46.01,"QHigh19601","SEPA POT","",""
20/12/1962 00:00,1.570,25.31,"QHigh19601","SEPA POT","",""
06/03/1963 00:00,1.810,32.93,"QHigh19601","SEPA POT","",""
27/06/1963 00:00,2.040,40.88,"QHigh19601","SEPA POT","",""
05/08/1963 00:00,1.990,39.10,"QHigh19601","SEPA POT","",""
20/08/1963 00:00,2.450,56.52,"QHigh19601","SEPA POT","",""
03/09/1963 00:00,1.540,24.41,"QHigh19601","SEPA POT","",""
18/08/1964 00:00,2.030,40.52,"QHigh19601","SEPA POT","",""
28/08/1964 00:00,2.130,44.15,"QHigh19601","SEPA POT","",""
13/01/1965 00:00,1.660,28.08,"QHigh19601","SEPA POT","",""
29/07/1965 00:00,1.520,23.82,"QHigh19601","SEPA POT","",""
03/09/1965 00:00,2.130,44.15,"QHigh19601","SEPA POT","",""
08/09/1965 00:00,2.360,52.93,"QHigh19601","SEPA POT","",""
10/09/1965 00:00,1.650,27.77,"QHigh19601","SEPA POT","",""
18/09/1965 00:00,2.510,58.96,"QHigh19601","SEPA POT","",""
09/12/1965 00:00,2.410,54.92,"QHigh19601","SEPA POT","",""
15/12/1965 00:00,1.780,31.94,"QHigh19601","SEPA POT","",""
02/01/1966 00:00,1.670,28.40,"QHigh19601","SEPA POT","",""
30/03/1966 00:00,1.620,26.84,"QHigh19601","SEPA POT","",""
23/06/1966 00:00,2.210,47.14,"QHigh19601","SEPA POT","",""
28/06/1966 00:00,2.540,60.19,"QHigh19601","SEPA POT","",""
05/08/1966 00:00,2.820,72.14,"QHigh19601","SEPA POT","",""
30/11/1966 00:00,1.750,30.96,"QHigh19601","SEPA POT","",""
02/12/1966 00:00,2.010,39.81,"QHigh19601","SEPA POT","",""
23/01/1967 00:00,1.830,33.59,"QHigh19601","SEPA POT","",""
25/01/1967 00:00,1.690,29.03,"QHigh19601","SEPA POT","",""
06/05/1967 00:00,1.600,26.23,"QHigh19601","SEPA POT","",""
02/11/1967 00:00,1.600,26.23,"QHigh19601","SEPA POT","",""
06/11/1967 00:00,1.810,32.93,"QHigh19601","SEPA POT","",""
11/12/1967 00:00,2.050,41.24,"QHigh19601","SEPA POT","",""
15/01/1968 00:00,2.060,41.60,"QHigh19601","SEPA POT","",""
05/05/1968 00:00,3.080,83.91,"QHigh19601","SEPA POT","",""
07/01/1969 00:00,1.910,36.31,"QHigh19601","SEPA POT","",""
29/04/1969 00:00,1.750,30.96,"QHigh19601","SEPA POT","",""
28/05/1969 00:00,1.930,37.00,"QHigh19601","SEPA POT","",""
23/02/1970 00:00,1.560,25.01,"QHigh19601","SEPA POT","",""
01/03/1970 00:00,1.650,27.77,"QHigh19601","SEPA POT","",""
25/07/1970 00:00,1.620,26.84,"QHigh19601","SEPA POT","",""
17/08/1970 00:00,2.590,62.27,"QHigh19601","SEPA POT","",""
20/08/1970 00:00,2.200,46.77,"QHigh19601","SEPA POT","",""
26/11/1970 00:00,1.740,30.63,"QHigh19601","SEPA POT","",""
24/11/1971 00:00,1.690,29.03,"QHigh19601","SEPA POT","",""
01/05/1973 00:00,1.340,1.72,"QHigh19601","SEPA POT","","AMAX ONLY"
02/12/1973 00:00,1.750,30.96,"QHigh19601","SEPA POT","",""
07/10/1974 00:00,1.527,24.03,"QHigh19601","SEPA POT","",""
10/10/1974 00:00,1.621,26.87,"QHigh19601","SEPA POT","",""
22/10/1974 00:00,1.699,29.32,"QHigh19601","SEPA POT","",""
