"NAME:","Bogie at Redcraig"
"NUMBER:","9004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/12/1980 00:00,0.811,17.98,"1a","SEPA POT","",""
14/12/1980 00:00,0.858,19.45,"1a","SEPA POT","",""
14/01/1981 00:00,0.715,15.08,"1a","SEPA POT","",""
21/01/1981 00:00,0.675,13.91,"1a","SEPA POT","",""
26/01/1981 00:00,0.601,11.81,"1a","SEPA POT","",""
26/09/1981 00:00,0.675,13.91,"1a","SEPA POT","",""
02/10/1981 00:00,1.300,34.61,"1a","SEPA POT","",""
12/10/1981 00:00,0.791,17.37,"1a","SEPA POT","",""
02/12/1981 00:00,0.670,13.77,"1a","SEPA POT","",""
31/12/1981 00:00,0.951,22.45,"1a","SEPA POT","",""
22/01/1982 00:00,0.615,12.20,"1a","SEPA POT","",""
25/01/1982 00:00,0.693,14.43,"1a","SEPA POT","",""
30/01/1982 00:00,0.833,18.67,"1a","SEPA POT","",""
13/10/1982 00:00,1.573,45.02,"1a","SEPA POT","",""
17/10/1982 00:00,0.759,16.39,"1a","SEPA POT","",""
21/12/1983 00:00,0.635,12.77,"1a","SEPA POT","",""
10/01/1984 00:00,0.618,12.29,"1a","SEPA POT","",""
22/02/1984 00:00,0.618,12.29,"1a","SEPA POT","",""
04/03/1984 00:00,0.641,12.94,"1a","SEPA POT","",""
24/03/1984 00:00,0.898,20.72,"1a","SEPA POT","",""
27/03/1984 00:00,0.805,17.80,"1a","SEPA POT","",""
25/10/1984 00:00,0.618,12.29,"1a","SEPA POT","",""
03/11/1984 00:00,1.247,32.68,"1a","SEPA POT","",""
10/11/1984 00:00,1.021,24.77,"1a","SEPA POT","",""
15/11/1984 00:00,0.808,17.89,"1a","SEPA POT","",""
20/11/1984 00:00,1.319,35.31,"1a","SEPA POT","",""
17/12/1984 00:00,0.701,14.67,"1a","SEPA POT","",""
31/01/1985 00:00,0.692,14.40,"1a","SEPA POT","",""
25/06/1985 00:00,0.623,12.43,"1a","SEPA POT","",""
23/09/1985 00:00,0.692,14.40,"1a","SEPA POT","",""
