"NAME:","Ewe at Poolewe"
"NUMBER:","94001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/12/1972 04:15,1.909,77.28,"QHigh19711","Digital Archive","",""
07/02/1973 02:15,1.822,65.12,"QHigh19711","Digital Archive","",""
13/06/1973 20:30,1.899,75.81,"QHigh19711","Digital Archive","",""
14/11/1973 01:45,1.842,67.79,"QHigh19711","Digital Archive","",""
19/11/1973 01:15,2.001,91.67,"QHigh19711","Digital Archive","",""
24/11/1973 20:00,1.977,87.76,"QHigh19711","Digital Archive","",""
05/12/1973 23:00,1.880,73.07,"QHigh19711","Digital Archive","",""
12/12/1973 23:15,1.834,66.72,"QHigh19711","Digital Archive","",""
19/01/1974 13:45,2.017,94.34,"QHigh19711","Digital Archive","",""
12/02/1974 16:15,1.791,61.11,"QHigh19711","Digital Archive","",""
13/11/1974 00:15,1.849,68.75,"QHigh19711","Digital Archive","",""
08/12/1974 01:30,2.139,116.41,"QHigh19711","Digital Archive","",""
22/12/1974 18:00,2.021,95.02,"QHigh19711","Digital Archive","",""
06/01/1975 14:30,1.978,87.92,"QHigh19711","Digital Archive","",""
01/02/1975 19:30,1.795,61.62,"QHigh19711","Digital Archive","",""
25/09/1975 16:30,1.807,63.16,"QHigh19711","Digital Archive","",""
05/12/1975 23:15,1.789,60.86,"QHigh19711","Digital Archive","",""
30/12/1975 19:15,1.974,87.28,"QHigh19711","Digital Archive","",""
13/01/1976 03:30,2.094,107.91,"QHigh19711","Digital Archive","",""
20/01/1976 08:45,2.009,93.00,"QHigh19711","Digital Archive","",""
25/02/1976 14:15,1.788,60.74,"QHigh19711","Digital Archive","",""
06/04/1976 12:15,1.777,59.36,"QHigh19711","Digital Archive","",""
07/05/1977 23:15,1.737,54.53,"QHigh19711","Digital Archive","","AMAX ONLY"
20/11/1977 07:30,2.021,95.02,"QHigh19711","Digital Archive","",""
17/09/1978 08:45,1.831,66.31,"QHigh19711","Digital Archive","",""
06/10/1978 04:30,2.101,109.21,"QHigh19711","Digital Archive","",""
04/11/1978 21:30,1.800,62.26,"QHigh19711","Digital Archive","",""
19/11/1978 04:15,2.080,105.36,"QHigh19711","Digital Archive","",""
03/03/1979 11:00,2.016,94.17,"QHigh19711","Digital Archive","",""
29/11/1979 12:45,2.028,96.21,"QHigh19711","Digital Archive","",""
18/12/1979 16:30,1.807,63.16,"QHigh19711","Digital Archive","",""
13/09/1980 10:30,1.978,87.92,"QHigh19711","Digital Archive","",""
11/10/1980 03:00,1.896,75.37,"QHigh19711","Digital Archive","",""
23/11/1980 11:00,1.992,90.19,"QHigh19711","Digital Archive","",""
10/12/1980 20:00,1.956,84.43,"QHigh19711","Digital Archive","",""
03/01/1981 04:00,2.236,136.20,"QHigh19711","Digital Archive","",""
27/01/1981 02:00,1.802,62.52,"QHigh19711","Digital Archive","",""
08/02/1981 08:30,2.007,92.67,"QHigh19711","Digital Archive","",""
23/09/1981 00:15,2.035,97.41,"QHigh19711","Digital Archive","",""
22/10/1981 00:00,1.774,58.99,"QHigh19711","Digital Archive","",""
11/11/1981 13:15,1.988,89.54,"QHigh19711","Digital Archive","",""
27/11/1981 12:30,2.187,125.95,"QHigh19711","Digital Archive","",""
31/01/1982 00:45,2.130,114.64,"QHigh19711","Digital Archive","",""
04/09/1982 10:00,1.900,75.96,"QHigh19711","Digital Archive","",""
22/09/1982 14:45,1.821,64.98,"QHigh19711","Digital Archive","",""
20/11/1982 06:00,2.006,92.50,"QHigh19711","Digital Archive","",""
26/12/1982 08:30,1.950,83.47,"QHigh19711","Digital Archive","",""
17/01/1983 22:00,2.150,118.55,"QHigh19711","Digital Archive","",""
07/03/1983 06:30,2.087,106.63,"QHigh19711","Digital Archive","",""
21/09/1983 04:00,1.804,62.77,"QHigh19711","Digital Archive","",""
19/10/1983 12:00,2.010,93.17,"QHigh19711","Digital Archive","",""
26/10/1983 12:00,1.940,81.95,"QHigh19711","Digital Archive","",""
15/12/1983 00:30,1.832,66.45,"QHigh19711","Digital Archive","",""
01/01/1984 04:00,2.375,168.26,"QHigh19711","Digital Archive","",""
15/04/1984 05:30,1.819,64.72,"QHigh19711","Digital Archive","",""
29/11/1984 20:00,1.814,64.07,"QHigh19711","Digital Archive","",""
10/12/1984 22:30,2.176,123.72,"QHigh19711","Digital Archive","",""
24/12/1984 09:00,1.830,66.18,"QHigh19711","Digital Archive","",""
28/08/1985 07:00,1.910,77.43,"QHigh19711","Digital Archive","",""
08/10/1985 13:00,1.805,62.90,"QHigh19711","Digital Archive","",""
21/12/1985 18:00,1.945,82.72,"QHigh19711","Digital Archive","",""
21/01/1986 10:00,1.933,80.88,"QHigh19711","Digital Archive","",""
23/03/1986 05:00,1.895,75.23,"QHigh19711","Digital Archive","",""
31/10/1986 04:00,1.889,74.36,"QHigh19711","Digital Archive","",""
11/11/1986 03:00,2.081,105.54,"QHigh19711","Digital Archive","",""
03/12/1986 22:00,2.132,115.06,"QHigh19711","Digital Archive","",""
29/12/1986 06:00,2.009,93.00,"QHigh19711","Digital Archive","",""
01/04/1987 04:30,1.775,59.11,"QHigh19711","Digital Archive","",""
14/09/1987 14:00,1.830,66.18,"QHigh19711","Digital Archive","",""
26/09/1987 08:00,1.803,62.64,"QHigh19711","Digital Archive","",""
23/11/1987 09:00,1.780,59.73,"QHigh19711","Digital Archive","",""
02/01/1988 01:00,1.939,81.79,"QHigh19711","Digital Archive","",""
13/01/1988 11:30,1.801,62.39,"QHigh19711","Digital Archive","",""
16/02/1988 06:30,1.777,59.36,"QHigh19711","Digital Archive","",""
04/09/1988 18:00,1.799,62.13,"QHigh19711","Digital Archive","",""
09/10/1988 13:00,2.113,111.45,"QHigh19711","Digital Archive","",""
11/12/1988 08:30,1.860,70.26,"QHigh19711","Digital Archive","",""
30/12/1988 02:00,1.946,82.87,"QHigh19711","Digital Archive","",""
16/01/1989 21:00,2.118,112.39,"QHigh19711","Digital Archive","",""
30/01/1989 17:30,2.215,131.74,"QHigh19711","Digital Archive","",""
07/02/1989 02:00,2.425,180.90,"QHigh19711","Digital Archive","",""
15/02/1989 11:30,2.004,92.17,"QHigh19711","Digital Archive","",""
12/03/1989 14:30,1.820,64.86,"QHigh19711","Digital Archive","",""
25/08/1989 17:00,1.950,83.48,"QHigh19711","Digital Archive","",""
24/10/1989 19:00,1.936,81.33,"QHigh19711","Digital Archive","",""
20/01/1990 22:30,2.066,102.84,"QHigh19711","Digital Archive","",""
06/02/1990 03:30,2.285,147.00,"QHigh19711","Digital Archive","",""
22/02/1990 15:30,2.100,109.02,"QHigh19711","Digital Archive","",""
07/03/1990 14:30,2.383,170.24,"QHigh19711","Digital Archive","",""
11/03/1990 06:30,2.400,174.51,"QHigh19711","Digital Archive","",""
16/03/1990 18:30,2.364,165.56,"QHigh19711","Digital Archive","",""
07/09/1990 08:00,1.794,61.49,"QHigh19711","Digital Archive","",""
22/09/1990 00:00,1.886,73.93,"QHigh19711","Digital Archive","",""
29/09/1990 06:30,2.020,94.85,"QHigh19711","Digital Archive","",""
20/11/1990 10:30,1.856,69.71,"QHigh19711","Digital Archive","",""
02/01/1991 19:30,2.020,94.85,"QHigh19711","Digital Archive","",""
21/01/1991 06:30,1.928,80.12,"QHigh19711","Digital Archive","",""
11/04/1991 17:00,1.902,76.25,"QHigh19711","Digital Archive","",""
25/09/1991 08:00,1.994,90.52,"QHigh19711","Digital Archive","",""
07/10/1991 12:00,1.792,61.24,"QHigh19711","Digital Archive","",""
18/10/1991 14:30,1.914,78.02,"QHigh19711","Digital Archive","",""
12/11/1991 22:00,2.080,105.36,"QHigh19711","Digital Archive","",""
22/11/1991 08:00,2.014,93.84,"QHigh19711","Digital Archive","",""
03/01/1992 10:30,2.316,154.11,"QHigh19711","Digital Archive","",""
24/02/1992 14:30,2.130,114.68,"QHigh19711","Digital Archive","",""
20/03/1992 18:00,1.920,78.91,"QHigh19711","Digital Archive","",""
07/05/1992 20:00,1.902,76.25,"QHigh19711","Digital Archive","",""
02/09/1992 01:00,2.087,106.63,"QHigh19711","Digital Archive","",""
06/11/1992 21:30,1.879,72.93,"QHigh19711","Digital Archive","",""
27/11/1992 23:00,1.986,89.21,"QHigh19711","Digital Archive","",""
15/12/1992 09:00,2.379,169.25,"QHigh19711","Digital Archive","",""
17/01/1993 18:00,2.252,139.67,"QHigh19711","Digital Archive","",""
06/02/1993 09:30,1.839,67.39,"QHigh19711","Digital Archive","",""
22/03/1993 15:00,1.816,64.33,"QHigh19711","Digital Archive","",""
11/07/1993 12:30,1.868,71.38,"QHigh19711","Digital Archive","",""
19/12/1993 21:00,1.980,88.24,"QHigh19711","Digital Archive","",""
01/02/1994 21:00,1.963,85.53,"QHigh19711","Digital Archive","",""
14/03/1994 16:30,1.979,88.08,"QHigh19711","Digital Archive","",""
24/03/1994 04:30,1.880,73.07,"QHigh19711","Digital Archive","",""
30/04/1994 08:30,1.832,66.45,"QHigh19711","Digital Archive","",""
30/09/1994 21:00,2.089,106.99,"QHigh19711","Digital Archive","",""
13/12/1994 01:30,2.069,103.37,"QHigh19711","Digital Archive","",""
16/01/1995 16:00,2.032,96.89,"QHigh19711","Digital Archive","",""
24/01/1995 12:30,1.971,86.80,"QHigh19711","Digital Archive","",""
07/02/1995 02:00,2.138,116.22,"QHigh19711","Digital Archive","",""
15/02/1995 21:30,1.975,87.44,"QHigh19711","Digital Archive","",""
28/02/1995 17:30,1.983,88.73,"QHigh19711","Digital Archive","",""
31/03/1995 19:30,1.801,62.38,"QHigh19711","Digital Archive","",""
03/10/1995 04:00,1.873,72.08,"QHigh19711","Digital Archive","",""
26/10/1995 10:00,1.948,83.18,"QHigh19711","Digital Archive","",""
25/11/1995 05:30,2.116,112.01,"QHigh19711","Digital Archive","",""
07/10/1996 19:00,1.877,72.65,"QHigh19711","Digital Archive","",""
03/11/1996 23:00,2.160,120.52,"QHigh19711","Digital Archive","",""
