"NAME:","Almond at Almond Weir"
"NUMBER:","19002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/08/1961 00:00,1.070,15.53,"3a","CEH POT","",""
24/11/1961 00:00,0.870,11.24,"3a","CEH POT","",""
04/12/1961 00:00,0.960,13.11,"3a","CEH POT","",""
11/12/1961 00:00,1.070,15.53,"3a","CEH POT","",""
15/01/1962 00:00,0.910,12.06,"3a","Dundee Univ.","",""
11/02/1962 00:00,1.200,18.57,"3a","Dundee Univ.","",""
03/04/1962 00:00,0.850,10.84,"3a","Dundee Univ.","",""
26/08/1962 00:00,1.010,14.19,"3a","Dundee Univ.","",""
09/09/1962 00:00,1.190,18.33,"3a","Dundee Univ.","",""
11/09/1962 00:00,1.200,18.57,"3a","Dundee Univ.","",""
24/11/1962 00:00,1.060,15.30,"3a","Dundee Univ.","",""
08/12/1962 00:00,1.200,18.57,"3a","Dundee Univ.","",""
05/03/1963 00:00,1.180,18.09,"3a","Dundee Univ.","",""
09/10/1963 00:00,0.960,13.11,"3a","Dundee Univ.","",""
21/10/1963 00:00,0.890,11.65,"3a","Dundee Univ.","",""
10/11/1963 00:00,1.090,15.98,"3a","Dundee Univ.","",""
18/11/1963 00:00,1.080,15.75,"3a","Dundee Univ.","",""
21/11/1963 00:00,1.210,18.81,"3a","Dundee Univ.","",""
23/11/1963 00:00,1.180,18.09,"3a","Dundee Univ.","",""
07/12/1964 00:00,0.970,13.32,"3a","Dundee Univ.","",""
11/12/1964 00:00,0.970,13.32,"3a","Dundee Univ.","",""
09/01/1965 00:00,0.880,11.45,"3a","Dundee Univ.","",""
10/01/1965 00:00,1.280,20.54,"3a","Dundee Univ.","",""
13/01/1965 00:00,0.940,12.69,"3a","Dundee Univ.","",""
16/01/1965 00:00,0.950,12.90,"3a","Dundee Univ.","",""
26/03/1965 00:00,1.020,14.41,"3a","Dundee Univ.","",""
29/07/1965 00:00,1.000,13.97,"3a","Dundee Univ.","",""
17/09/1965 00:00,1.070,15.53,"3a","Dundee Univ.","",""
26/09/1965 00:00,1.280,20.54,"3a","Dundee Univ.","",""
31/10/1965 00:00,1.060,15.30,"3a","Dundee Univ.","",""
09/12/1965 00:00,1.130,16.91,"3a","Dundee Univ.","",""
05/02/1966 00:00,0.950,12.90,"3a","Dundee Univ.","",""
22/04/1966 00:00,0.890,11.65,"3a","Dundee Univ.","",""
23/06/1966 00:00,1.120,16.67,"3a","Dundee Univ.","",""
13/08/1966 00:00,1.220,19.05,"3a","Dundee Univ.","",""
05/10/1966 00:00,1.040,14.85,"3a","Dundee Univ.","",""
12/11/1966 00:00,0.890,11.65,"3a","Dundee Univ.","",""
17/12/1966 00:00,0.990,13.76,"3a","Dundee Univ.","",""
19/12/1966 00:00,1.030,14.63,"3a","Dundee Univ.","",""
01/03/1967 00:00,0.860,11.04,"3a","Dundee Univ.","",""
02/10/1967 00:00,0.860,11.04,"3a","Dundee Univ.","",""
07/10/1967 00:00,1.030,14.63,"3a","Dundee Univ.","",""
09/10/1967 00:00,1.260,20.04,"3a","Dundee Univ.","",""
02/11/1967 00:00,0.980,13.54,"3a","Dundee Univ.","",""
22/12/1967 00:00,0.960,13.11,"3a","Dundee Univ.","",""
05/05/1968 00:00,1.380,23.09,"3a","Dundee Univ.","",""
12/09/1968 00:00,0.940,12.69,"3a","Dundee Univ.","",""
01/11/1968 00:00,0.900,11.85,"3a","Dundee Univ.","",""
02/11/1969 00:00,0.810,10.06,"3a","Dundee Univ.","",""
22/11/1969 00:00,1.420,24.15,"3a","Dundee Univ.","",""
