"NAME:","Upper Bann at Dynes Bridge"
"NUMBER:","203017"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
24/04/1971 00:00,2.940,78.03,"4b","Vax","",""
24/06/1971 00:00,2.945,78.20,"4b","Vax","",""
21/11/1971 00:00,2.140,51.17,"4b","Vax","",""
09/01/1972 00:00,2.380,59.01,"4b","Vax","",""
11/01/1972 00:00,2.380,59.01,"4b","Vax","",""
19/01/1972 00:00,2.270,55.39,"4b","Vax","",""
01/02/1972 00:00,2.140,51.17,"4b","Vax","",""
03/02/1972 00:00,2.880,75.94,"4b","Vax","",""
15/02/1972 00:00,2.360,58.35,"4b","Vax","",""
03/03/1972 00:00,2.330,57.36,"4b","Vax","",""
06/03/1972 00:00,2.090,49.57,"4b","Vax","",""
29/12/1972 00:00,2.270,55.39,"4b","Vax","",""
20/01/1973 00:00,3.450,96.10,"4b","Vax","No digital record available",""
20/12/1973 00:00,3.020,80.82,"4b","Vax","",""
08/01/1974 00:00,2.360,58.35,"4b","Vax","",""
10/01/1974 00:00,2.290,56.05,"4b","Vax","",""
30/01/1974 00:00,3.040,81.52,"4b","Vax","",""
07/09/1974 00:00,2.120,50.53,"4b","Vax","",""
14/01/1975 00:00,2.080,49.24,"4b","Vax","",""
15/01/1975 00:00,2.070,48.92,"4b","Vax","",""
20/01/1975 00:00,2.100,49.89,"4b","Vax","",""
25/01/1975 00:00,2.080,49.24,"4b","Vax","",""
21/01/1976 00:00,2.340,57.69,"4b","Vax","",""
20/03/1976 00:00,2.340,57.69,"4b","Vax","",""
15/10/1976 00:00,3.150,85.39,"4b","Vax","No digital record available",""
18/10/1976 00:00,3.000,80.12,"4b","Vax","",""
23/10/1976 00:00,2.900,76.64,"4b","Vax","",""
17/12/1976 00:00,2.880,75.94,"4b","Vax","",""
19/01/1977 00:00,2.420,60.34,"4b","Vax","",""
21/01/1977 00:00,2.570,65.36,"4b","Vax","",""
03/02/1977 00:00,2.170,52.14,"4b","Vax","",""
11/02/1977 00:00,2.420,60.34,"4b","Vax","",""
18/02/1977 00:00,2.250,54.74,"4b","Vax","",""
10/12/1977 00:00,2.370,58.68,"4b","Vax","",""
23/02/1978 00:00,2.100,49.89,"4b","Vax","",""
02/11/1978 00:00,3.050,81.87,"4b","Vax","",""
02/12/1978 00:00,3.030,81.17,"4b","Vax","",""
07/12/1978 00:00,2.820,73.87,"4b","Vax","",""
08/12/1978 00:00,2.910,76.98,"4b","Vax","",""
12/12/1978 00:00,2.560,65.02,"4b","Vax","",""
29/12/1978 00:00,3.700,105.20,"4b","Vax","No digital record avaialble",""
14/01/1979 00:00,2.280,55.72,"4b","Vax","",""
25/03/1979 07:15,2.059,48.57,"4b","Wiski","",""
04/10/1979 00:00,2.390,59.34,"4b","Vax","",""
25/10/1979 00:00,2.270,55.39,"4b","Vax","",""
14/11/1979 00:00,3.055,82.04,"4b","Vax","",""
27/12/1979 00:00,2.120,50.53,"4b","Vax","",""
19/01/1980 00:00,2.320,57.03,"4b","Vax","",""
21/01/1980 00:00,2.990,79.77,"4b","Vax","",""
05/02/1980 00:00,2.580,65.69,"4b","Vax","",""
18/03/1980 00:00,2.345,57.86,"4b","Vax","",""
23/10/1980 00:00,2.710,70.10,"4b","Vax","",""
09/06/1981 00:00,2.380,59.01,"4b","Vax","",""
28/09/1981 00:00,2.180,52.47,"4b","Vax","",""
03/10/1981 00:00,3.120,84.33,"4b","Vax","Data appears to be satisfactory",""
29/10/1981 00:00,2.150,51.50,"4b","Vax","",""
23/11/1981 00:00,2.760,71.81,"4b","Vax","",""
20/12/1981 00:00,2.105,50.05,"4b","Vax","",""
27/12/1981 00:00,2.385,59.18,"4b","Vax","",""
04/01/1982 00:00,2.370,58.68,"4b","Vax","",""
07/11/1982 04:00,2.620,67.04,"4b","Wiski","",""
09/11/1982 00:00,3.080,82.92,"4b","Vax","",""
06/05/1983 00:00,2.025,47.49,"4b","Vax","",""
17/01/1984 00:00,2.740,71.13,"4b","Vax","",""
22/01/1984 00:00,2.225,53.93,"4b","Vax","",""
24/03/1984 00:00,2.550,64.68,"4b","Vax","",""
14/08/1985 00:00,2.200,53.11,"4b","Vax","",""
19/09/1985 00:00,2.160,51.82,"4b","Vax","",""
19/01/1986 00:00,2.100,49.89,"4b","Vax","",""
16/04/1986 00:00,3.160,85.74,"4b","Vax","Rising limb has an unrealistic jump but hydrograph peak appears satisfactory",""
26/08/1986 00:00,2.630,67.38,"4b","Vax","",""
15/12/1986 00:00,2.175,52.30,"4b","Vax","",""
21/10/1987 00:00,3.600,101.54,"4b","Vax","Peak appears to be truncated",""
19/01/1988 00:00,2.825,74.04,"4b","Vax","",""
24/01/1988 00:00,2.019,47.30,"4b","Vax","",""
01/02/1988 08:00,1.896,43.42,"4b","Wiski","",""
15/03/1988 00:00,2.237,54.32,"4b","Vax","",""
26/10/1988 00:00,2.803,73.29,"4b","Vax","",""
23/12/1988 00:00,2.058,48.54,"4b","Vax","",""
11/04/1989 00:00,1.832,41.42,"4b","Vax","",""
17/12/1989 00:00,1.823,41.14,"4b","Vax","",""
06/02/1990 00:00,2.322,57.10,"4b","Vax","",""
16/10/1990 00:00,2.021,47.36,"4b","Vax","",""
24/11/1990 00:00,2.863,75.36,"4b","Vax","",""
28/12/1990 00:00,2.030,47.65,"4b","Vax","",""
