"NAME:","Braid at Ballee"
"NUMBER:","203027"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/01/1973 00:00,1.420,32.33,"1a","Vax","",""
20/02/1973 00:00,1.480,34.89,"1a","Vax","",""
28/11/1973 00:00,1.670,43.68,"1a","Vax","",""
07/12/1973 00:00,1.420,32.33,"1a","Vax","",""
19/12/1973 00:00,1.730,46.66,"1a","Vax","",""
08/01/1974 00:00,2.180,72.25,"1a","Vax","",""
07/09/1974 00:00,1.420,32.33,"1a","Vax","",""
17/09/1974 00:00,1.540,37.56,"1a","Vax","",""
23/09/1974 00:00,1.700,45.16,"1a","Vax","",""
25/11/1974 00:00,1.620,41.27,"1a","Vax","",""
12/12/1974 00:00,1.430,32.75,"1a","Vax","",""
25/01/1975 00:00,1.920,56.77,"1a","Vax","",""
02/01/1976 00:00,1.580,39.39,"1a","Vax","",""
12/02/1976 00:00,1.500,35.77,"1a","Vax","",""
15/10/1976 00:00,2.220,74.79,"1a","Vax","",""
23/10/1976 00:00,2.260,77.39,"1a","Vax","",""
21/01/1977 00:00,1.700,45.16,"1a","Vax","",""
26/01/1977 00:00,1.890,55.11,"1a","Vax","",""
18/06/1977 00:00,1.425,32.54,"1a","Vax","",""
10/12/1977 00:00,1.400,31.49,"1a","Vax","",""
28/01/1978 00:00,1.585,39.63,"1a","Vax","",""
30/09/1978 00:00,1.860,53.47,"1a","Vax","",""
04/12/1978 00:00,1.760,48.19,"1a","Vax","",""
08/12/1978 00:00,1.540,37.56,"1a","Vax","",""
12/12/1978 00:00,1.880,54.56,"1a","Vax","",""
28/12/1978 00:00,2.980,131.81,"1a","Vax","No digital record available",""
15/01/1979 00:00,1.500,35.77,"1a","Vax","",""
04/10/1979 00:00,1.730,46.66,"1a","Vax","",""
14/11/1979 00:00,1.720,46.16,"1a","Vax","",""
26/11/1979 00:00,1.700,45.16,"1a","Vax","",""
27/12/1979 00:00,1.470,34.46,"1a","Vax","",""
26/07/1980 00:00,1.430,32.75,"1a","Vax","",""
05/08/1980 00:00,1.500,35.77,"1a","Vax","",""
23/10/1980 00:00,2.455,90.68,"1a","Vax","",""
14/12/1980 00:00,1.615,41.03,"1a","Vax","",""
19/12/1980 00:00,1.450,33.60,"1a","Vax","",""
24/12/1980 00:00,1.530,37.11,"1a","Vax","",""
02/01/1981 00:00,1.410,31.91,"1a","Vax","",""
14/01/1981 00:00,2.380,85.44,"1a","Vax","",""
17/01/1981 00:00,2.160,70.99,"1a","Vax","",""
04/02/1981 00:00,1.900,55.66,"1a","Vax","",""
22/07/1981 00:00,1.680,44.17,"1a","Vax","",""
20/09/1981 00:00,1.470,34.46,"1a","Vax","",""
22/09/1981 00:00,1.800,50.27,"1a","Vax","",""
26/09/1981 00:00,2.120,68.51,"1a","Vax","",""
02/10/1981 00:00,3.080,140.53,"1a","Vax","Data appears to be satisfactory",""
12/10/1981 00:00,1.580,39.39,"1a","Vax","",""
30/11/1981 00:00,1.410,31.91,"1a","Vax","",""
20/12/1981 00:00,1.440,33.17,"1a","Vax","",""
04/01/1982 00:00,2.080,66.07,"1a","Vax","",""
23/11/1982 00:00,1.900,55.66,"1a","Vax","",""
08/12/1982 00:00,1.710,45.66,"1a","Vax","",""
19/12/1982 00:00,1.940,57.90,"1a","Vax","",""
24/12/1982 00:00,1.780,49.23,"1a","Vax","",""
25/03/1983 00:00,1.400,31.49,"1a","Vax","",""
02/01/1984 00:00,2.095,66.98,"1a","Vax","",""
13/01/1984 00:00,1.580,39.39,"1a","Vax","",""
29/01/1984 00:00,1.515,36.44,"1a","Vax","",""
06/02/1984 00:00,1.920,56.77,"1a","Vax","",""
21/02/1984 00:00,2.030,63.09,"1a","Vax","",""
24/03/1984 00:00,1.491,35.38,"1a","Vax","",""
09/11/1984 00:00,1.650,42.71,"1a","Vax","",""
13/06/1985 00:00,1.425,32.54,"1a","Vax","",""
26/07/1985 00:00,1.910,56.22,"1a","Vax","",""
15/08/1985 00:00,1.685,44.42,"1a","Vax","",""
07/09/1985 00:00,2.920,126.71,"1a","Vax","Data appears to be satisfactory",""
19/09/1985 00:00,1.770,48.71,"1a","Vax","",""
21/09/1985 00:00,2.640,104.28,"1a","Vax","",""
01/12/1985 00:00,1.530,37.11,"1a","Vax","",""
13/01/1986 00:00,1.430,32.75,"1a","Vax","",""
15/01/1986 00:00,1.680,44.17,"1a","Vax","",""
15/04/1986 00:00,1.700,45.16,"1a","Vax","",""
06/08/1986 00:00,1.770,48.71,"1a","Vax","",""
16/11/1986 00:00,2.170,71.62,"1a","Vax","",""
25/11/1986 00:00,1.465,34.24,"1a","Vax","",""
05/12/1986 00:00,1.635,41.99,"1a","Vax","",""
15/12/1986 00:00,1.640,42.23,"1a","Vax","",""
16/08/1987 00:00,1.547,37.88,"1a","Vax","",""
17/08/1987 00:00,1.580,39.39,"1a","Vax","",""
22/10/1987 00:00,2.959,130.01,"1a","Vax","Data appears to be satisfactory",""
19/01/1988 00:00,2.434,89.20,"1a","Vax","",""
24/01/1988 00:00,2.251,76.80,"1a","Vax","",""
10/02/1988 00:00,2.256,77.13,"1a","Vax","",""
15/03/1988 00:00,2.101,67.34,"1a","Vax","",""
06/09/1988 00:00,1.838,52.29,"1a","Vax","",""
05/10/1988 00:00,1.485,35.11,"1a","Vax","",""
26/10/1988 00:00,2.216,74.54,"1a","Vax","",""
01/03/1989 00:00,1.487,35.20,"1a","Vax","",""
