"NAME:","Crumlin at Cidercourt Bridge"
"NUMBER:","203042"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/02/1981 00:00,1.410,23.27,"1b","Digital Archive","",""
05/03/1981 00:00,1.780,36.15,"1b","Digital Archive","",""
03/10/1981 00:00,1.780,36.15,"1b","Digital Archive","",""
02/01/1982 00:00,1.560,28.21,"1b","Digital Archive","",""
08/11/1982 00:00,1.420,23.59,"1b","Digital Archive","",""
16/01/1984 19:00,1.596,29.44,"1b","Digital Archive","",""
22/01/1984 03:15,1.291,19.64,"1b","Digital Archive","",""
28/01/1984 22:00,1.550,27.87,"1b","Digital Archive","",""
01/02/1984 14:30,1.247,18.37,"1b","Digital Archive","",""
21/02/1984 09:45,1.899,40.79,"1b","Digital Archive","",""
24/03/1984 00:45,1.763,35.51,"1b","Digital Archive","",""
28/01/1985 07:00,1.410,23.27,"1b","Digital Archive","",""
15/08/1985 17:30,1.455,24.71,"1b","Digital Archive","",""
07/09/1985 20:45,1.653,31.46,"1b","Digital Archive","",""
19/09/1985 05:45,1.560,28.21,"1b","Digital Archive","",""
21/09/1985 05:15,1.313,20.29,"1b","Digital Archive","",""
15/04/1986 19:30,2.373,61.53,"1b","Digital Archive","",""
26/08/1986 08:00,1.551,27.90,"1b","Digital Archive","",""
15/08/1987 21:15,1.440,24.23,"1b","Digital Archive","",""
17/08/1987 11:00,1.784,36.30,"1b","Digital Archive","",""
21/10/1987 19:45,2.730,79.45,"1b","Digital Archive","",""
15/11/1987 07:00,1.252,18.51,"1b","Digital Archive","",""
19/01/1988 05:00,2.375,61.63,"1b","Digital Archive","",""
24/01/1988 07:15,1.775,35.96,"1b","Digital Archive","",""
01/02/1988 01:15,1.228,17.83,"1b","Digital Archive","",""
03/02/1988 22:45,1.443,24.32,"1b","Digital Archive","",""
15/03/1988 17:30,1.547,27.76,"1b","Digital Archive","",""
06/09/1988 17:00,1.481,25.56,"1b","Digital Archive","",""
04/10/1988 20:45,1.283,19.41,"1b","Digital Archive","",""
19/10/1988 13:15,1.307,20.12,"1b","Digital Archive","",""
26/10/1988 02:00,1.847,38.73,"1b","Digital Archive","",""
02/04/1989 06:45,1.936,42.28,"1b","Digital Archive","",""
16/12/1989 15:00,1.734,34.42,"1b","Digital Archive","",""
25/01/1990 11:00,2.395,62.58,"1b","Digital Archive","",""
06/02/1990 16:00,1.514,26.65,"1b","Digital Archive","",""
15/10/1990 15:30,1.577,28.79,"1b","Digital Archive","",""
28/10/1990 06:15,1.861,39.28,"1b","Digital Archive","",""
23/11/1990 23:00,2.289,57.60,"1b","Digital Archive","",""
18/03/1991 08:30,1.375,22.18,"1b","Digital Archive","",""
12/04/1991 03:15,1.450,24.55,"1b","Digital Archive","",""
31/10/1991 11:15,1.437,24.13,"1b","Digital Archive","",""
18/11/1991 18:00,1.589,29.21,"1b","Digital Archive","",""
21/12/1991 08:30,1.481,25.56,"1b","Digital Archive","",""
23/12/1991 09:15,1.893,40.55,"1b","Digital Archive","",""
08/01/1992 06:45,1.542,27.59,"1b","Digital Archive","",""
30/08/1992 07:45,1.320,20.50,"1b","Digital Archive","",""
25/10/1992 10:30,1.314,20.32,"1b","Digital Archive","",""
06/12/1992 18:00,1.274,19.15,"1b","Digital Archive","",""
15/01/1993 08:30,1.282,19.38,"1b","Digital Archive","",""
23/01/1993 17:00,1.508,26.45,"1b","Digital Archive","",""
26/01/1993 13:30,1.481,25.56,"1b","Digital Archive","",""
03/04/1993 19:45,1.653,31.46,"1b","Digital Archive","",""
05/04/1993 06:30,1.525,27.02,"1b","Digital Archive","",""
17/05/1993 11:30,1.611,29.97,"1b","Digital Archive","",""
30/05/1993 08:15,1.292,19.67,"1b","Digital Archive","",""
03/12/1993 07:30,1.344,21.23,"1b","Digital Archive","",""
28/12/1993 06:30,1.426,23.78,"1b","Digital Archive","",""
02/01/1994 00:30,1.260,18.74,"1b","Digital Archive","",""
03/01/1994 14:15,2.012,45.41,"1b","Digital Archive","",""
09/01/1994 22:15,1.356,21.59,"1b","Digital Archive","",""
03/02/1994 14:30,1.228,17.83,"1b","Digital Archive","",""
27/02/1994 03:15,1.627,30.54,"1b","Digital Archive","",""
22/10/1994 21:15,1.234,18.00,"1b","Digital Archive","",""
13/11/1994 07:15,1.328,20.74,"1b","Digital Archive","",""
21/01/1995 16:30,2.135,50.67,"1b","Digital Archive","",""
11/02/1995 12:00,1.522,26.92,"1b","Digital Archive","",""
24/10/1995 17:45,1.510,26.52,"1b","Digital Archive","",""
16/11/1995 02:00,1.312,20.26,"1b","Digital Archive","",""
04/01/1996 12:30,1.631,30.68,"1b","Digital Archive","",""
12/03/1996 18:00,1.243,18.25,"1b","Digital Archive","",""
24/11/1996 18:00,1.463,24.97,"1b","Digital Archive","",""
19/11/1997 14:15,1.274,19.14,"1b","Digital Archive","",""
26/11/1997 15:00,2.160,51.77,"1b","Digital Archive","",""
18/12/1997 16:15,1.510,26.52,"1b","Digital Archive","",""
25/12/1997 12:30,1.498,26.12,"1b","Digital Archive","",""
04/01/1998 14:45,1.343,21.20,"1b","Digital Archive","",""
06/01/1998 14:45,1.257,18.65,"1b","Digital Archive","",""
03/04/1998 08:15,1.397,22.86,"1b","Digital Archive","",""
24/10/1998 13:30,1.650,31.36,"1b","Digital Archive","",""
27/10/1998 06:00,1.244,18.28,"1b","Digital Archive","",""
02/11/1998 14:30,1.598,29.52,"1b","Digital Archive","",""
24/01/1999 23:45,1.343,21.20,"1b","Digital Archive","",""
20/09/1999 16:30,2.043,46.71,"1b","Digital Archive","",""
03/12/1999 07:15,1.689,32.76,"1b","Digital Archive","",""
09/12/1999 06:45,1.451,24.58,"1b","Digital Archive","",""
22/12/1999 07:30,1.287,19.53,"1b","Digital Archive","",""
24/12/1999 23:30,1.844,38.62,"1b","Digital Archive","",""
09/10/2000 19:45,1.611,29.99,"1b","Digital Archive","",""
06/11/2000 15:45,1.460,24.87,"1b","Digital Archive","",""
08/12/2000 16:45,1.372,22.08,"1b","Digital Archive","",""
20/12/2000 13:45,1.441,24.26,"1b","Digital Archive","",""
05/12/2001 12:30,1.587,29.14,"1b","Digital Archive","",""
23/01/2002 19:15,1.432,23.97,"1b","Digital Archive","",""
03/02/2002 12:45,1.306,20.09,"1b","Digital Archive","",""
18/04/2002 07:30,1.299,19.88,"1b","Digital Archive","",""
30/07/2002 11:30,1.391,22.67,"1b","Digital Archive","",""
21/10/2002 08:00,1.794,36.68,"1b","Digital Archive","",""
27/10/2002 03:15,1.381,22.36,"1b","Digital Archive","",""
08/11/2002 18:15,1.291,19.64,"1b","Digital Archive","",""
14/11/2002 17:45,1.747,34.91,"1b","Digital Archive","",""
20/11/2002 11:45,1.294,19.73,"1b","Digital Archive","",""
24/11/2002 23:00,1.412,23.33,"1b","Digital Archive","",""
20/01/2003 14:15,1.267,18.94,"1b","Digital Archive","",""
28/02/2003 23:00,1.382,22.39,"1b","Digital Archive","",""
29/11/2003 15:15,1.702,33.24,"1b","Digital Archive","",""
08/01/2004 14:45,1.445,24.39,"1b","Digital Archive","",""
31/01/2004 12:00,1.355,21.56,"1b","Digital Archive","",""
20/03/2004 13:30,1.231,17.91,"1b","Digital Archive","",""
04/10/2004 07:00,1.331,20.83,"1b","Digital Archive","",""
21/10/2004 06:45,1.304,20.03,"1b","Digital Archive","",""
08/01/2005 02:15,1.341,21.14,"1b","Digital Archive","",""
24/10/2005 09:30,1.965,43.46,"1b","Digital Archive","",""
02/12/2005 09:45,1.283,19.41,"1b","Digital Archive","",""
07/12/2005 22:30,1.306,20.09,"1b","Digital Archive","",""
30/12/2005 10:00,1.436,24.10,"1b","Digital Archive","",""
12/03/2006 07:15,1.694,32.95,"1b","Digital Archive","",""
26/10/2006 01:15,1.480,25.52,"1b","Digital Archive","",""
24/11/2006 19:45,1.608,29.87,"1b","Digital Archive","",""
11/08/2007 23:15,1.669,32.04,"1b","Digital Archive","",""
08/12/2007 16:15,1.770,35.77,"1b","Digital Archive","",""
