"NAME:","Blackstaff at Eason's"
"NUMBER:","205101"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/06/1979 00:00,1.140,6.11,"1b","Vax","",""
06/08/1979 00:00,1.495,10.51,"1b","Vax","",""
04/10/1979 00:00,1.150,6.21,"1b","Vax","",""
02/11/1979 00:00,1.270,7.57,"1b","Vax","",""
14/11/1979 00:00,1.690,13.50,"1b","Vax","",""
03/01/1980 00:00,1.330,8.30,"1b","Vax","",""
22/01/1980 00:00,1.130,6.00,"1b","Vax","",""
15/08/1980 00:00,1.600,12.07,"1b","Vax","",""
29/08/1980 00:00,1.250,7.33,"1b","Vax","",""
22/10/1980 00:00,1.240,7.21,"1b","Vax","",""
20/11/1980 00:00,1.420,9.47,"1b","Vax","",""
05/03/1981 00:00,1.380,8.94,"1b","Vax","",""
23/03/1981 00:00,1.150,6.21,"1b","Vax","",""
07/05/1981 00:00,1.255,7.39,"1b","Vax","",""
08/06/1981 00:00,1.830,15.91,"1b","Vax","",""
14/09/1981 00:00,1.480,10.30,"1b","Vax","",""
19/09/1981 00:00,1.190,6.65,"1b","Vax","",""
27/09/1981 00:00,1.330,8.30,"1b","Vax","",""
30/09/1981 00:00,1.260,7.45,"1b","Vax","",""
02/10/1981 00:00,2.620,33.74,"1b","Vax","",""
09/10/1981 00:00,1.160,6.32,"1b","Vax","",""
23/11/1981 00:00,1.600,12.07,"1b","Vax","",""
03/01/1982 00:00,1.310,8.05,"1b","Vax","",""
21/01/1982 00:00,1.300,7.93,"1b","Vax","",""
10/06/1982 00:00,1.355,8.62,"1b","Vax","",""
11/06/1982 00:00,1.240,7.21,"1b","Vax","",""
24/08/1982 00:00,1.385,9.00,"1b","Vax","",""
26/09/1982 00:00,1.280,7.69,"1b","Vax","",""
01/10/1982 00:00,1.400,9.20,"1b","Vax","",""
03/10/1982 00:00,1.490,10.44,"1b","Vax","",""
05/11/1982 00:00,1.170,6.43,"1b","Vax","",""
06/11/1982 00:00,1.440,9.74,"1b","Vax","",""
10/11/1982 00:00,1.450,9.88,"1b","Vax","",""
07/12/1982 00:00,1.230,7.10,"1b","Vax","",""
24/01/1983 00:00,1.130,6.00,"1b","Vax","",""
01/03/1983 00:00,1.180,6.54,"1b","Vax","",""
25/03/1983 00:00,1.260,7.45,"1b","Vax","",""
21/01/1984 00:00,1.120,5.90,"1b","Vax","",""
01/09/1984 00:00,1.255,7.39,"1b","Vax","",""
29/12/1984 00:00,1.150,6.21,"1b","Vax","",""
28/01/1985 00:00,1.025,4.96,"1b","Vax","",""
15/08/1985 00:00,1.320,8.17,"1b","Vax","",""
07/09/1985 00:00,1.360,8.68,"1b","Vax","",""
18/09/1985 00:00,1.680,13.34,"1b","Vax","",""
21/09/1985 00:00,1.665,13.10,"1b","Vax","",""
15/11/1985 00:00,1.010,4.82,"1b","Vax","",""
19/12/1985 00:00,1.040,5.10,"1b","Vax","",""
21/12/1985 00:00,1.010,4.82,"1b","Vax","",""
05/01/1986 00:00,1.080,5.49,"1b","Vax","",""
15/04/1986 00:00,1.430,9.60,"1b","Vax","",""
26/08/1986 00:00,1.255,7.39,"1b","Vax","",""
14/11/1986 00:00,1.400,9.20,"1b","Vax","",""
10/07/1987 00:00,1.425,9.54,"1b","Vax","",""
12/08/1987 00:00,1.450,9.88,"1b","Vax","",""
15/08/1987 00:00,1.290,7.81,"1b","Vax","",""
17/08/1987 00:00,1.550,11.31,"1b","Vax","",""
01/09/1987 00:00,1.000,4.73,"1b","Vax","",""
19/09/1987 00:00,1.080,5.49,"1b","Vax","",""
21/09/1987 00:00,1.010,4.82,"1b","Vax","",""
21/10/1987 00:00,1.750,14.51,"1b","Vax","Data appears to be satisfactory",""
12/11/1987 00:00,1.150,6.21,"1b","Vax","",""
03/01/1988 00:00,1.115,5.85,"1b","Vax","",""
19/01/1988 00:00,1.085,5.54,"1b","Vax","",""
24/01/1988 00:00,1.380,8.94,"1b","Vax","",""
15/03/1988 00:00,1.200,6.76,"1b","Vax","",""
20/04/1988 00:00,1.020,4.91,"1b","Vax","",""
06/09/1988 00:00,1.400,9.20,"1b","Vax","",""
30/11/1988 00:00,1.050,5.20,"1b","Vax","",""
16/12/1989 00:00,1.075,5.44,"1b","Vax","",""
25/01/1990 00:00,1.200,6.76,"1b","Vax","",""
06/02/1990 00:00,1.270,7.57,"1b","Vax","",""
16/05/1990 00:00,1.120,5.90,"1b","Vax","",""
06/06/1990 00:00,1.120,5.90,"1b","Vax","",""
