"NAME:","Tweed at Lyne Ford"
"NUMBER:","21005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/08/1961 00:00,1.700,71.99,"54c","FSR Vol 4","",""
23/10/1961 00:00,1.630,66.87,"54c","FSR Vol 4","",""
24/10/1961 00:00,1.920,88.93,"54c","FSR Vol 4","",""
26/10/1961 00:00,1.780,78.01,"54c","FSR Vol 4","",""
11/12/1961 00:00,1.710,72.73,"54c","FSR Vol 4","",""
08/01/1962 00:00,1.790,78.77,"54c","Dundee Univ.","",""
15/01/1962 00:00,3.360,226.61,"54c","Dundee Univ.","",""
13/02/1962 00:00,1.920,88.93,"54c","Dundee Univ.","",""
03/08/1962 00:00,1.980,93.76,"54c","Dundee Univ.","",""
26/08/1962 00:00,1.670,69.78,"54c","Dundee Univ.","",""
09/09/1962 00:00,1.810,80.31,"54c","Dundee Univ.","",""
11/09/1962 00:00,2.170,109.62,"54c","Dundee Univ.","",""
30/09/1962 00:00,1.840,82.63,"54c","Dundee Univ.","",""
08/12/1962 00:00,2.340,124.51,"54c","Dundee Univ.","",""
05/03/1963 00:00,1.660,69.05,"54c","Dundee Univ.","",""
14/03/1963 00:00,1.660,69.05,"54c","Dundee Univ.","",""
01/09/1963 00:00,1.640,67.59,"54c","Dundee Univ.","",""
21/10/1963 00:00,1.740,74.98,"54c","Dundee Univ.","",""
10/11/1963 00:00,1.660,69.05,"54c","Dundee Univ.","",""
12/11/1963 00:00,1.720,73.48,"54c","Dundee Univ.","",""
18/11/1963 00:00,2.520,140.98,"54c","Dundee Univ.","",""
21/11/1963 00:00,1.630,66.87,"54c","Dundee Univ.","",""
23/11/1963 00:00,2.010,96.20,"54c","Dundee Univ.","",""
07/10/1964 00:00,2.130,106.21,"54c","Dundee Univ.","",""
07/12/1964 00:00,2.140,107.06,"54c","Dundee Univ.","",""
08/12/1964 00:00,1.970,92.95,"54c","Dundee Univ.","",""
12/12/1964 00:00,1.790,78.77,"54c","Dundee Univ.","",""
10/01/1965 00:00,2.460,135.42,"54c","Dundee Univ.","",""
26/09/1965 00:00,1.880,85.76,"54c","Dundee Univ.","",""
09/12/1965 00:00,1.910,88.13,"54c","Dundee Univ.","",""
15/12/1965 00:00,1.700,71.99,"54c","Dundee Univ.","",""
25/02/1966 00:00,2.120,105.36,"54c","Dundee Univ.","",""
14/08/1966 00:00,2.440,133.58,"54c","Dundee Univ.","",""
04/09/1966 00:00,1.740,74.98,"54c","Dundee Univ.","",""
27/02/1967 00:00,2.570,145.68,"54c","Dundee Univ.","",""
05/09/1967 00:00,1.650,68.32,"54c","Dundee Univ.","",""
01/10/1967 00:00,1.620,66.14,"54c","Dundee Univ.","",""
09/10/1967 00:00,2.240,115.67,"54c","Dundee Univ.","",""
05/03/1968 00:00,1.630,66.87,"54c","Dundee Univ.","",""
27/09/1968 00:00,1.700,71.99,"54c","Dundee Univ.","",""
20/10/1968 00:00,1.630,66.87,"54c","Dundee Univ.","",""
31/10/1968 00:00,1.630,66.87,"54c","Dundee Univ.","",""
20/12/1968 00:00,1.710,72.73,"54c","Dundee Univ.","",""
22/12/1968 00:00,1.640,67.59,"54c","Dundee Univ.","",""
22/11/1969 00:00,1.640,67.59,"54c","Dundee Univ.","",""
14/12/1969 00:00,2.180,110.47,"54c","Dundee Univ.","",""
01/02/1970 00:00,1.780,78.01,"54c","Dundee Univ.","",""
30/10/1970 00:00,1.830,81.85,"54c","Dundee Univ.","",""
24/11/1970 00:00,1.660,69.05,"54c","Dundee Univ.","",""
14/02/1971 00:00,1.690,71.25,"54c","Dundee Univ.","",""
12/01/1972 00:00,1.520,59.08,"54c","Dundee Univ.","",""
11/12/1972 00:00,2.060,100.33,"54c","Dundee Univ.","",""
05/01/1974 00:00,1.660,69.05,"54c","Dundee Univ.","",""
10/01/1974 00:00,1.640,67.59,"54c","Dundee Univ.","",""
12/01/1974 00:00,1.840,82.63,"54c","Dundee Univ.","",""
30/01/1974 00:00,2.720,160.09,"54c","Dundee Univ.","",""
10/11/1974 00:00,1.630,66.87,"54c","Dundee Univ.","",""
14/11/1974 00:00,1.600,64.71,"54c","Dundee Univ.","",""
21/12/1974 00:00,1.620,66.14,"54c","Dundee Univ.","",""
25/12/1974 00:00,1.670,69.78,"54c","Dundee Univ.","",""
27/12/1974 00:00,1.630,66.87,"54c","Dundee Univ.","",""
14/01/1975 00:00,2.510,140.05,"54c","Dundee Univ.","",""
15/01/1975 00:00,2.210,113.06,"54c","Dundee Univ.","",""
19/01/1975 00:00,2.000,95.39,"54c","Dundee Univ.","",""
23/01/1975 00:00,2.060,100.33,"54c","Dundee Univ.","",""
25/01/1975 00:00,2.010,96.20,"54c","Dundee Univ.","",""
27/01/1975 00:00,1.630,66.87,"54c","Dundee Univ.","",""
30/01/1975 00:00,1.640,67.59,"54c","Dundee Univ.","",""
02/01/1976 00:00,1.540,60.47,"54c","Dundee Univ.","",""
03/02/1977 00:00,2.720,160.09,"54c","Dundee Univ.","",""
18/03/1977 00:00,1.780,78.01,"54c","Dundee Univ.","",""
31/10/1977 00:00,3.080,196.54,"54c","Dundee Univ.","",""
15/11/1978 00:00,2.120,105.36,"54c","Dundee Univ.","",""
26/11/1979 00:00,2.270,118.30,"54c","Dundee Univ.","",""
27/12/1979 00:00,1.820,81.08,"54c","Dundee Univ.","",""
20/11/1980 00:00,1.630,66.87,"54c","Dundee Univ.","",""
07/03/1981 00:00,2.030,97.85,"54c","Dundee Univ.","",""
26/09/1981 00:00,1.760,76.49,"54c","Dundee Univ.","",""
02/10/1981 00:00,2.020,97.02,"54c","Dundee Univ.","",""
23/11/1981 00:00,1.760,76.49,"54c","Dundee Univ.","",""
04/01/1982 00:00,2.160,108.76,"54c","Dundee Univ.","",""
09/02/1982 00:00,1.670,69.78,"54c","Dundee Univ.","",""
12/02/1982 00:00,1.840,82.63,"54c","Dundee Univ.","",""
09/03/1982 00:00,1.620,66.14,"54c","Dundee Univ.","",""
17/10/1982 00:00,1.840,82.63,"54c","Dundee Univ.","",""
20/11/1982 00:00,1.730,74.23,"54c","Dundee Univ.","",""
23/11/1982 00:00,2.340,124.51,"54c","Dundee Univ.","",""
20/12/1982 00:00,2.570,145.68,"54c","Dundee Univ.","",""
02/01/1983 00:00,1.630,66.87,"54c","Dundee Univ.","",""
05/01/1983 00:00,1.670,69.78,"54c","Dundee Univ.","",""
15/10/1983 00:00,1.780,78.01,"54c","Dundee Univ.","",""
13/01/1984 00:00,2.230,114.80,"54c","Dundee Univ.","",""
04/02/1984 00:00,2.040,98.67,"54c","Dundee Univ.","",""
03/11/1984 00:00,1.930,89.73,"54c","Dundee Univ.","",""
10/11/1984 00:00,1.980,93.76,"54c","Dundee Univ.","",""
27/11/1984 00:00,2.110,104.52,"54c","Dundee Univ.","",""
15/08/1985 00:00,1.780,78.01,"54c","Dundee Univ.","",""
21/09/1985 00:00,2.390,129.02,"54c","Dundee Univ.","",""
21/12/1985 00:00,2.110,104.52,"54c","Dundee Univ.","",""
10/01/1986 10:30,1.687,71.03,"54c","Digital Archive","",""
14/01/1986 21:15,1.361,48.42,"54c","Digital Archive","",""
05/03/1986 05:00,1.382,49.79,"54c","Digital Archive","",""
23/03/1986 01:00,1.657,68.83,"54c","Digital Archive","",""
27/05/1986 15:15,1.330,46.43,"54c","Digital Archive","",""
25/10/1986 08:00,1.361,48.42,"54c","Digital Archive","",""
30/10/1986 10:45,1.365,48.68,"54c","Digital Archive","",""
09/11/1986 23:45,2.292,120.24,"54c","Digital Archive","",""
16/11/1986 13:15,1.486,56.74,"54c","Digital Archive","",""
25/11/1986 15:00,1.728,74.08,"54c","Digital Archive","",""
03/12/1986 20:30,1.419,52.23,"54c","Digital Archive","",""
05/12/1986 09:45,1.831,81.93,"54c","Digital Archive","",""
07/12/1986 22:00,1.590,64.00,"54c","Digital Archive","",""
11/12/1986 12:30,1.472,55.79,"54c","Digital Archive","",""
13/12/1986 08:30,1.751,75.81,"54c","Digital Archive","",""
17/12/1986 22:45,1.420,52.29,"54c","Digital Archive","",""
30/12/1986 22:45,1.388,50.18,"54c","Digital Archive","",""
04/01/1987 15:00,1.574,62.86,"54c","Digital Archive","",""
27/03/1987 14:45,1.558,61.73,"54c","Digital Archive","",""
21/08/1987 04:00,1.538,60.33,"54c","Digital Archive","",""
22/09/1987 01:15,1.737,74.75,"54c","Digital Archive","",""
18/10/1987 16:00,3.103,198.95,"54c","Digital Archive","",""
27/12/1987 19:00,1.385,49.98,"54c","Digital Archive","",""
29/12/1987 03:00,1.348,47.58,"54c","Digital Archive","",""
31/12/1987 16:15,1.710,72.73,"54c","Digital Archive","",""
02/01/1988 12:30,1.717,73.26,"54c","Digital Archive","",""
09/01/1988 18:45,1.409,51.56,"54c","Digital Archive","",""
13/01/1988 08:45,1.484,56.60,"54c","Digital Archive","",""
01/02/1988 23:15,2.214,113.41,"54c","Digital Archive","",""
13/02/1988 20:15,1.383,49.85,"54c","Digital Archive","",""
25/07/1988 10:30,1.350,47.71,"54c","Digital Archive","",""
26/10/1988 10:30,1.897,87.10,"54c","Digital Archive","",""
12/01/1989 05:45,2.093,103.09,"54c","Digital Archive","",""
14/01/1989 01:45,1.953,91.57,"54c","Digital Archive","",""
10/03/1989 02:15,1.824,81.39,"54c","Digital Archive","",""
24/03/1989 03:30,1.697,71.77,"54c","Digital Archive","",""
17/12/1989 05:30,1.660,69.05,"54c","Digital Archive","",""
24/12/1989 19:00,1.519,59.01,"54c","Digital Archive","",""
16/01/1990 22:30,1.385,49.98,"54c","Digital Archive","",""
19/01/1990 11:30,1.734,74.53,"54c","Digital Archive","",""
22/01/1990 03:45,1.561,61.94,"54c","Digital Archive","",""
23/01/1990 10:45,2.401,130.02,"54c","Digital Archive","",""
25/01/1990 18:00,1.567,62.37,"54c","Digital Archive","",""
30/01/1990 01:30,2.533,142.20,"54c","Digital Archive","",""
04/02/1990 20:00,2.619,150.34,"54c","Digital Archive","",""
06/02/1990 22:30,1.689,71.18,"54c","Digital Archive","",""
17/02/1990 19:30,2.081,102.08,"54c","Digital Archive","",""
19/02/1990 16:00,2.097,103.42,"54c","Digital Archive","",""
24/02/1990 21:45,2.053,99.75,"54c","Digital Archive","",""
26/02/1990 10:30,2.238,115.50,"54c","Digital Archive","",""
06/10/1990 23:30,2.533,142.20,"54c","Digital Archive","",""
23/12/1990 12:15,2.207,112.80,"54c","Digital Archive","",""
25/12/1990 17:15,2.230,114.80,"54c","Digital Archive","",""
26/12/1990 18:45,2.329,123.53,"54c","Digital Archive","",""
28/12/1990 21:30,2.166,109.27,"54c","Digital Archive","",""
02/01/1991 07:00,2.434,133.03,"54c","Digital Archive","",""
05/01/1991 11:30,1.764,76.79,"54c","Digital Archive","",""
19/01/1991 00:00,1.526,59.49,"54c","Digital Archive","",""
23/02/1991 09:00,1.652,68.46,"54c","Digital Archive","",""
24/02/1991 09:00,2.016,96.70,"54c","Digital Archive","",""
05/03/1991 01:15,1.325,46.11,"54c","Digital Archive","",""
19/03/1991 16:30,1.527,59.56,"54c","Digital Archive","",""
07/10/1991 11:30,1.385,49.98,"54c","Digital Archive","",""
31/10/1991 18:15,1.658,68.90,"54c","Digital Archive","",""
01/11/1991 20:00,1.893,86.78,"54c","Digital Archive","",""
11/11/1991 00:15,1.743,75.20,"54c","Digital Archive","",""
12/11/1991 21:30,1.850,83.41,"54c","Digital Archive","",""
22/12/1991 11:00,1.833,82.08,"54c","Digital Archive","",""
23/12/1991 11:45,2.079,101.91,"54c","Digital Archive","",""
03/01/1992 14:15,1.392,50.44,"54c","Digital Archive","",""
08/01/1992 17:45,2.317,122.46,"54c","Digital Archive","",""
23/02/1992 01:45,1.334,46.69,"54c","Digital Archive","",""
01/04/1992 08:30,1.981,93.84,"54c","Digital Archive","",""
24/04/1992 16:15,1.428,52.82,"54c","Digital Archive","",""
13/08/1992 04:00,1.400,50.97,"54c","Digital Archive","",""
02/11/1992 18:00,1.549,61.10,"54c","Digital Archive","",""
09/11/1992 19:15,1.684,70.81,"54c","Digital Archive","",""
27/11/1992 22:15,1.642,67.74,"54c","Digital Archive","",""
02/12/1992 12:00,1.880,85.76,"54c","Digital Archive","",""
18/12/1992 14:00,1.928,89.57,"54c","Digital Archive","",""
09/01/1993 09:45,1.720,73.48,"54c","Digital Archive","",""
10/01/1993 17:15,1.550,61.17,"54c","Digital Archive","",""
15/01/1993 14:30,2.647,153.02,"54c","Digital Archive","",""
19/01/1993 02:45,1.587,63.78,"54c","Digital Archive","Non-independent peak removed A",""
24/01/1993 01:45,2.064,100.66,"54c","Digital Archive","",""
30/03/1993 14:15,1.432,53.09,"54c","Digital Archive","",""
06/04/1993 07:00,1.401,51.03,"54c","Digital Archive","",""
17/05/1993 19:15,2.372,127.39,"54c","Digital Archive","",""
04/12/1993 04:30,1.593,64.21,"54c","Digital Archive","",""
09/12/1993 07:45,1.731,74.30,"54c","Digital Archive","",""
19/12/1993 10:15,2.226,114.45,"54c","Digital Archive","",""
29/12/1993 12:45,1.588,63.85,"54c","Digital Archive","",""
10/01/1994 04:45,1.716,73.18,"54c","Digital Archive","",""
14/01/1994 03:45,1.649,68.24,"54c","Digital Archive","",""
27/01/1994 01:30,1.493,57.22,"54c","Digital Archive","",""
01/02/1994 18:30,1.870,84.97,"54c","Digital Archive","",""
05/03/1994 10:00,2.074,101.50,"54c","Digital Archive","",""
23/03/1994 17:30,1.625,66.50,"54c","Digital Archive","",""
31/03/1994 00:45,1.558,61.73,"54c","Digital Archive","",""
13/11/1994 20:15,1.596,64.42,"54c","Digital Archive","",""
07/12/1994 06:00,1.337,46.88,"54c","Digital Archive","",""
08/12/1994 11:30,1.745,75.36,"54c","Digital Archive","",""
12/12/1994 05:15,3.211,210.42,"54c","Digital Archive","",""
28/12/1994 22:30,1.544,60.75,"54c","Digital Archive","",""
30/12/1994 10:45,1.543,60.68,"54c","Digital Archive","",""
16/01/1995 18:30,1.378,49.53,"54c","Digital Archive","",""
17/01/1995 22:45,1.656,68.75,"54c","Digital Archive","",""
31/01/1995 17:15,2.214,113.41,"54c","Digital Archive","",""
03/02/1995 10:30,1.673,70.00,"54c","Digital Archive","",""
01/03/1995 00:30,1.592,64.14,"54c","Digital Archive","",""
11/03/1995 08:15,2.294,120.42,"54c","Digital Archive","",""
13/10/1995 02:45,1.478,56.19,"54c","Digital Archive","",""
25/10/1995 00:45,1.639,67.52,"54c","Digital Archive","",""
27/10/1995 00:30,1.981,93.84,"54c","Digital Archive","",""
09/01/1996 03:30,1.920,88.93,"54c","Digital Archive","",""
12/02/1996 15:15,1.456,54.70,"54c","Digital Archive","",""
16/02/1996 12:00,1.387,50.12,"54c","Digital Archive","",""
18/02/1996 05:00,1.404,51.23,"54c","Digital Archive","",""
25/10/1996 00:30,1.451,54.37,"54c","Digital Archive","",""
06/11/1996 04:15,1.641,67.66,"54c","Digital Archive","",""
10/02/1997 11:15,1.389,50.25,"54c","Digital Archive","",""
12/02/1997 23:30,1.342,47.20,"54c","Digital Archive","",""
18/02/1997 01:30,2.561,144.83,"54c","Digital Archive","",""
19/02/1997 23:00,2.921,180.12,"54c","Digital Archive","",""
21/02/1997 04:45,2.154,108.25,"54c","Digital Archive","",""
23/02/1997 12:00,1.658,68.90,"54c","Digital Archive","Non-independent peak removed A",""
28/02/1997 08:15,1.506,58.11,"54c","Digital Archive","",""
02/03/1997 08:15,2.011,96.29,"54c","Digital Archive","",""
16/11/1997 19:15,1.333,46.62,"54c","Digital Archive","",""
18/11/1997 13:15,1.765,76.87,"54c","Digital Archive","",""
21/11/1997 05:45,1.352,47.84,"54c","Digital Archive","",""
08/12/1997 16:30,1.813,80.54,"54c","Digital Archive","",""
11/12/1997 11:15,1.810,80.31,"54c","Digital Archive","",""
26/12/1997 00:45,1.438,53.49,"54c","Digital Archive","Non-independent peak removed B",""
02/01/1998 00:15,1.641,67.66,"54c","Digital Archive","",""
07/01/1998 06:00,1.397,50.77,"54c","Digital Archive","",""
09/01/1998 09:00,1.529,59.70,"54c","Digital Archive","",""
11/02/1998 19:45,1.732,74.38,"54c","Digital Archive","",""
08/04/1998 18:45,1.456,54.70,"54c","Digital Archive","",""
17/08/1998 06:30,1.408,51.50,"54c","Digital Archive","",""
21/10/1998 07:30,1.795,79.15,"54c","Digital Archive","",""
24/10/1998 18:45,1.783,78.24,"54c","Digital Archive","",""
28/10/1998 19:45,1.721,73.55,"54c","Digital Archive","",""
03/11/1998 08:45,1.724,73.78,"54c","Digital Archive","",""
05/11/1998 19:15,1.325,46.11,"54c","Digital Archive","",""
09/11/1998 13:15,1.367,48.81,"54c","Digital Archive","",""
28/11/1998 12:00,1.580,63.28,"54c","Digital Archive","",""
27/12/1998 03:45,1.714,73.03,"54c","Digital Archive","",""
30/12/1998 13:45,1.527,59.56,"54c","Digital Archive","",""
02/01/1999 11:00,1.975,93.35,"54c","Digital Archive","",""
06/01/1999 01:15,1.672,69.93,"54c","Digital Archive","",""
15/01/1999 22:15,2.026,97.52,"54c","Digital Archive","",""
19/01/1999 13:00,1.664,69.34,"54c","Digital Archive","Non-independent peak removed B",""
25/01/1999 05:15,1.725,73.85,"54c","Digital Archive","",""
12/05/1999 21:00,1.335,46.75,"54c","Digital Archive","",""
06/11/1999 00:15,2.001,95.47,"54c","Digital Archive","",""
28/11/1999 21:45,3.013,189.56,"54c","Digital Archive","",""
03/12/1999 12:45,2.026,97.52,"54c","Digital Archive","",""
06/12/1999 11:45,1.423,52.49,"54c","Digital Archive","",""
09/12/1999 16:45,1.786,78.47,"54c","Digital Archive","",""
17/12/1999 08:30,1.903,87.58,"54c","Digital Archive","",""
22/12/1999 22:30,1.874,85.29,"54c","Digital Archive","",""
24/12/1999 05:30,2.607,149.19,"54c","Digital Archive","Non-independent peak removed A",""
06/01/2000 02:00,1.646,68.03,"54c","Digital Archive","",""
07/01/2000 23:45,1.438,53.49,"54c","Digital Archive","",""
01/02/2000 15:00,1.749,75.66,"54c","Digital Archive","",""
10/02/2000 10:30,1.766,76.94,"54c","Digital Archive","",""
27/02/2000 16:30,2.094,103.17,"54c","Digital Archive","",""
02/03/2000 22:30,1.419,52.23,"54c","Digital Archive","",""
09/03/2000 02:00,1.464,55.24,"54c","Digital Archive","",""
26/04/2000 23:15,1.873,85.21,"54c","Digital Archive","",""
14/08/2000 05:30,1.505,58.04,"54c","Digital Archive","",""
11/09/2000 13:30,1.707,72.51,"54c","Digital Archive","",""
20/09/2000 10:00,1.925,89.33,"54c","Digital Archive","",""
27/09/2000 23:00,1.556,61.59,"54c","Digital Archive","",""
09/10/2000 21:15,1.821,81.15,"54c","Digital Archive","",""
25/10/2000 09:45,2.576,146.25,"54c","Digital Archive","",""
07/11/2000 18:30,1.767,77.02,"54c","Digital Archive","",""
12/11/2000 04:15,1.621,66.22,"54c","Digital Archive","",""
29/11/2000 20:15,1.370,49.01,"54c","Digital Archive","",""
01/12/2000 10:45,1.532,59.91,"54c","Digital Archive","",""
02/12/2000 11:15,1.809,80.23,"54c","Digital Archive","",""
05/12/2000 18:45,2.449,134.40,"54c","Digital Archive","Non-independent peak removed B",""
08/12/2000 11:15,2.065,100.75,"54c","Digital Archive","",""
13/12/2000 03:15,2.368,127.03,"54c","Digital Archive","",""
07/02/2001 03:45,2.163,109.02,"54c","Digital Archive","",""
19/08/2001 23:15,1.472,55.79,"54c","Digital Archive","",""
01/10/2001 03:30,1.606,65.14,"54c","Digital Archive","",""
08/10/2001 03:45,1.908,87.97,"54c","Digital Archive","Non-independent peak removed B",""
26/01/2002 22:00,1.351,47.78,"54c","Digital Archive","",""
30/01/2002 12:45,1.395,50.64,"54c","Digital Archive","",""
01/02/2002 20:00,2.596,148.15,"54c","Digital Archive","Non-independent peak removed B",""
03/02/2002 18:00,1.617,65.93,"54c","Digital Archive","",""
05/02/2002 23:45,1.612,65.57,"54c","Digital Archive","",""
07/02/2002 16:15,1.366,48.75,"54c","Digital Archive","",""
11/02/2002 09:15,1.571,62.65,"54c","Digital Archive","",""
22/02/2002 06:30,1.497,57.49,"54c","Digital Archive","",""
25/02/2002 21:15,1.587,63.78,"54c","Digital Archive","",""
10/03/2002 18:30,1.538,60.33,"54c","Digital Archive","",""
