"NAME:","Aln at Hawkhill"
"NUMBER:","22004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
13/05/1960 00:00,1.783,33.05,"2b","Spreadsheet","Taken from northumbria high flows study",""
07/06/1960 00:00,0.300,0.44,"2a","FSR","",""
11/07/1960 00:00,0.860,7.11,"2a","FSR","",""
27/08/1960 00:00,0.520,1.89,"2a","FSR","",""
16/09/1960 00:00,0.530,1.98,"2a","FSR","",""
09/10/1960 00:00,2.590,64.60,"2b","FSR","",""
20/10/1960 00:00,1.798,33.55,"2b","Spreadsheet","Taken from northumbria high flows study",""
23/10/1960 00:00,1.884,36.50,"2b","Spreadsheet","Taken from northumbria high flows study",""
01/11/1960 00:00,2.576,63.98,"2b","Spreadsheet","Taken from northumbria high flows study",""
16/12/1960 00:00,0.910,8.25,"2a","FSR","",""
03/01/1961 00:00,1.510,24.46,"2b","FSR","",""
06/02/1961 00:00,1.110,13.92,"2a","FSR","",""
01/03/1961 00:00,0.440,1.21,"2a","FSR","",""
05/04/1961 00:00,0.680,3.83,"2a","FSR","",""
05/05/1961 00:00,0.750,4.95,"2a","FSR","",""
11/06/1961 00:00,0.790,5.68,"2a","FSR","",""
15/07/1961 00:00,1.220,16.57,"2b","FSR","",""
08/08/1961 00:00,1.896,36.92,"2b","Spreadsheet","Taken from northumbria high flows study",""
14/09/1961 00:00,0.390,0.88,"2a","FSR","",""
20/10/1961 00:00,1.210,16.32,"2b","FSR","",""
30/11/1961 00:00,0.730,4.61,"2a","FSR","",""
10/12/1961 00:00,1.410,21.59,"2b","FSR","",""
05/01/1962 00:00,1.997,40.54,"2b","Spreadsheet","Taken from northumbria high flows study",""
12/02/1962 00:00,0.550,2.19,"2a","FSR","",""
10/03/1962 00:00,1.160,15.10,"2b","FSR","",""
07/04/1962 00:00,0.950,9.24,"2a","FSR","",""
19/05/1962 00:00,1.480,23.58,"2b","FSR","",""
01/06/1962 00:00,0.340,0.62,"2a","FSR","",""
11/07/1962 00:00,0.610,2.87,"2a","FSR","",""
26/08/1962 00:00,1.280,18.09,"2b","FSR","",""
12/09/1962 00:00,2.627,66.26,"2b","Spreadsheet","Taken from northumbria high flows study",""
01/10/1962 00:00,0.710,4.29,"2a","FSR","",""
17/11/1962 00:00,2.164,46.83,"2b","Spreadsheet","Taken from northumbria high flows study",""
23/11/1962 00:00,1.835,34.81,"2b","Spreadsheet","Taken from northumbria high flows study",""
14/12/1962 00:00,0.690,3.98,"2a","FSR","",""
04/01/1963 00:00,1.180,15.58,"2b","FSR","",""
01/02/1963 00:00,0.740,4.78,"2a","FSR","",""
07/03/1963 00:00,2.957,81.83,"2b","Spreadsheet","Taken from northumbria high flows study",""
05/04/1963 00:00,1.230,16.82,"2b","FSR","",""
21/05/1963 00:00,0.400,0.94,"2a","FSR","",""
29/06/1963 00:00,0.660,3.54,"2a","FSR","",""
02/07/1963 00:00,0.860,7.11,"2a","FSR","",""
16/08/1963 00:00,2.173,47.18,"2b","Spreadsheet","Taken from northumbria high flows study",""
01/09/1963 00:00,2.164,46.83,"2b","Spreadsheet","Taken from northumbria high flows study",""
31/10/1963 00:00,0.610,2.87,"2a","FSR","",""
10/11/1963 00:00,2.512,61.17,"2b","Spreadsheet","Taken from northumbria high flows study",""
17/11/1963 00:00,1.817,34.19,"2b","Spreadsheet","Taken from northumbria high flows study",""
23/11/1963 00:00,2.292,51.93,"2b","Spreadsheet","Taken from northumbria high flows study",""
17/12/1963 00:00,1.070,12.65,"2a","FSR","",""
14/01/1964 00:00,1.130,14.39,"2b","FSR","",""
23/02/1964 00:00,1.130,14.39,"2b","FSR","",""
14/03/1964 00:00,2.524,61.69,"2b","Spreadsheet","Taken from northumbria high flows study",""
25/03/1964 00:00,2.204,48.39,"2b","Spreadsheet","Taken from northumbria high flows study",""
19/04/1964 00:00,1.010,10.86,"2a","FSR","",""
01/05/1964 00:00,0.340,0.62,"2a","FSR","",""
04/06/1964 00:00,0.880,7.55,"2a","FSR","",""
18/07/1964 00:00,0.430,1.14,"2a","FSR","",""
19/08/1964 00:00,0.460,1.36,"2a","FSR","",""
16/09/1964 00:00,0.390,0.88,"2a","FSR","",""
12/10/1964 00:00,0.410,1.01,"2a","FSR","",""
29/11/1964 00:00,0.430,1.14,"2a","FSR","",""
13/12/1964 00:00,0.820,6.27,"2a","FSR","",""
13/01/1965 00:00,0.820,6.27,"2a","FSR","",""
05/02/1965 00:00,0.720,4.45,"2a","FSR","",""
23/03/1965 00:00,1.774,32.75,"2b","Spreadsheet","Taken from northumbria high flows study",""
28/04/1965 00:00,0.950,9.24,"2a","FSR","",""
03/05/1965 00:00,0.670,3.68,"2a","FSR","",""
25/06/1965 00:00,0.360,0.72,"2a","FSR","",""
29/07/1965 00:00,1.859,35.63,"2b","Spreadsheet","Taken from northumbria high flows study",""
04/08/1965 00:00,1.220,16.57,"2b","FSR","",""
17/09/1965 00:00,1.829,34.60,"2b","Spreadsheet","Taken from northumbria high flows study",""
01/10/1965 09:00,2.256,50.46,"2b","Spreadsheet","Taken from northumbria high flows study",""
