"NAME:","Tarset Burn at Greenhaugh"
"NUMBER:","23010"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
31/10/1970 00:00,2.805,85.77,"2c","Spreadsheet","Taken from northumbria high flows study",""
23/11/1970 00:00,1.874,39.39,"2c","Spreadsheet","Taken from northumbria high flows study",""
07/01/1971 00:00,2.243,55.75,"2c","Spreadsheet","Taken from northumbria high flows study",""
12/02/1971 00:00,1.409,22.58,"2b","Spreadsheet","Taken from northumbria high flows study",""
14/08/1971 00:00,1.906,40.70,"2c","Spreadsheet","Taken from northumbria high flows study",""
04/11/1971 00:00,1.682,32.00,"2c","Spreadsheet","Taken from northumbria high flows study",""
25/11/1971 00:00,1.617,29.66,"2c","Spreadsheet","Taken from northumbria high flows study",""
26/01/1972 00:00,1.552,27.40,"2c","Spreadsheet","Taken from northumbria high flows study",""
03/02/1972 00:00,1.794,36.21,"2c","Spreadsheet","Taken from northumbria high flows study",""
16/03/1972 00:00,1.611,29.45,"2c","Spreadsheet","Taken from northumbria high flows study",""
12/05/1972 00:00,1.532,26.72,"2c","Spreadsheet","Taken from northumbria high flows study",""
11/12/1972 00:00,1.890,40.05,"2c","Spreadsheet","Taken from northumbria high flows study",""
23/01/1973 00:00,1.507,25.88,"2c","Spreadsheet","Taken from northumbria high flows study",""
04/04/1973 00:00,1.414,22.73,"2b","Spreadsheet","Taken from northumbria high flows study",""
04/05/1973 00:00,2.184,52.95,"2c","Spreadsheet","Taken from northumbria high flows study",""
20/12/1973 00:00,1.563,27.77,"2c","Spreadsheet","Taken from northumbria high flows study",""
10/01/1974 00:00,1.461,24.35,"2b","Spreadsheet","Taken from northumbria high flows study",""
08/02/1974 00:00,1.575,28.19,"2c","Spreadsheet","Taken from northumbria high flows study",""
15/02/1974 00:00,1.413,22.70,"2b","Spreadsheet","Taken from northumbria high flows study",""
20/03/1974 00:00,2.070,47.74,"2c","Spreadsheet","Taken from northumbria high flows study",""
07/09/1974 00:00,1.790,36.09,"2c","Spreadsheet","Taken from northumbria high flows study",""
10/11/1974 00:00,2.276,57.35,"2c","Spreadsheet","Taken from northumbria high flows study",""
22/11/1974 00:00,2.086,48.46,"2c","Spreadsheet","Taken from northumbria high flows study",""
24/11/1974 00:00,1.495,25.49,"2c","Spreadsheet","Taken from northumbria high flows study",""
21/12/1974 00:00,2.217,54.51,"2c","Spreadsheet","Taken from northumbria high flows study",""
25/12/1974 00:00,2.235,55.37,"2c","Spreadsheet","Taken from northumbria high flows study",""
28/12/1974 00:00,1.707,32.93,"2c","Spreadsheet","Taken from northumbria high flows study",""
22/01/1975 00:00,1.894,40.21,"2c","Spreadsheet","Taken from northumbria high flows study",""
25/01/1975 00:00,2.188,53.14,"2c","Spreadsheet","Taken from northumbria high flows study",""
27/01/1975 00:00,1.725,33.60,"2c","Spreadsheet","Taken from northumbria high flows study",""
31/01/1975 00:00,1.740,34.17,"2c","Spreadsheet","Taken from northumbria high flows study",""
30/08/1975 00:00,,105.63,"2a","FSR","",""
24/09/1975 00:00,1.849,38.38,"3c","Spreadsheet","Taken from northumbria high flows study",""
27/09/1975 00:00,2.070,47.74,"3c","Spreadsheet","Taken from northumbria high flows study",""
01/12/1975 00:00,1.675,31.75,"3c","Spreadsheet","Taken from northumbria high flows study",""
02/01/1976 00:00,2.458,66.49,"3c","Spreadsheet","Taken from northumbria high flows study",""
19/01/1976 00:00,2.052,46.94,"3c","Spreadsheet","Taken from northumbria high flows study",""
23/02/1976 00:00,2.258,56.48,"3c","Spreadsheet","Taken from northumbria high flows study",""
24/03/1976 00:00,1.689,32.26,"3c","Spreadsheet","Taken from northumbria high flows study",""
15/10/1976 00:00,2.677,78.42,"3c","Spreadsheet","Taken from northumbria high flows study",""
25/01/1977 00:00,2.621,75.28,"3c","Spreadsheet","Taken from northumbria high flows study",""
03/02/1977 00:00,1.592,28.78,"3c","Spreadsheet","Taken from northumbria high flows study",""
06/02/1977 00:00,1.428,23.33,"3c","Spreadsheet","Taken from northumbria high flows study",""
09/02/1977 00:00,1.618,29.69,"3c","Spreadsheet","Taken from northumbria high flows study",""
07/10/1977 00:00,1.518,26.25,"3c","Spreadsheet","Taken from northumbria high flows study",""
09/11/1977 00:00,2.121,50.04,"3c","Spreadsheet","Taken from northumbria high flows study",""
23/12/1977 00:00,1.847,38.30,"3c","Spreadsheet","Taken from northumbria high flows study",""
28/01/1978 00:00,1.515,26.15,"3c","Spreadsheet","Taken from northumbria high flows study",""
23/02/1978 00:00,1.812,36.95,"3c","Spreadsheet","Taken from northumbria high flows study",""
07/08/1978 00:00,1.429,23.36,"3c","Spreadsheet","Taken from northumbria high flows study",""
14/08/1978 00:00,1.697,32.56,"3c","Spreadsheet","Taken from northumbria high flows study",""
15/11/1978 00:00,2.360,61.46,"3c","Spreadsheet","Taken from northumbria high flows study",""
07/12/1978 00:00,1.638,30.41,"3c","Spreadsheet","Taken from northumbria high flows study",""
24/12/1978 00:00,1.491,25.36,"3c","Spreadsheet","Taken from northumbria high flows study",""
27/12/1978 00:00,1.414,22.89,"3c","Spreadsheet","Taken from northumbria high flows study",""
07/01/1979 00:00,2.223,54.80,"3c","Spreadsheet","Taken from northumbria high flows study",""
27/02/1979 00:00,2.332,60.06,"3c","Spreadsheet","Taken from northumbria high flows study",""
02/03/1979 00:00,1.733,33.90,"3c","Spreadsheet","Taken from northumbria high flows study",""
08/03/1979 00:00,1.786,35.93,"3c","Spreadsheet","Taken from northumbria high flows study",""
25/03/1979 00:00,1.891,40.09,"3c","Spreadsheet","Taken from northumbria high flows study",""
28/03/1979 00:00,1.981,43.86,"3c","Spreadsheet","Taken from northumbria high flows study",""
28/05/1979 00:00,1.432,23.45,"3c","Spreadsheet","Taken from northumbria high flows study",""
02/12/1979 00:00,1.549,27.29,"3c","Spreadsheet","Taken from northumbria high flows study",""
04/12/1979 00:00,2.616,74.99,"3c","Spreadsheet","Taken from northumbria high flows study",""
07/12/1979 00:00,1.419,23.05,"3c","Spreadsheet","Taken from northumbria high flows study",""
09/12/1979 00:00,1.476,24.86,"3c","Spreadsheet","Taken from northumbria high flows study",""
27/12/1979 00:00,1.936,41.96,"3c","Spreadsheet","Taken from northumbria high flows study",""
09/02/1980 00:00,1.625,29.93,"3c","Spreadsheet","Taken from northumbria high flows study",""
17/03/1980 00:00,1.417,22.98,"3c","Spreadsheet","Taken from northumbria high flows study",""
27/03/1980 00:00,1.493,25.42,"3c","Spreadsheet","Taken from northumbria high flows study",""
11/06/1980 00:00,2.163,51.97,"3c","Spreadsheet","Taken from northumbria high flows study",""
14/06/1980 00:00,1.515,26.15,"3c","Spreadsheet","Taken from northumbria high flows study",""
