"NAME:","West Allen at Hindley Wrae"
"NUMBER:","23013"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
13/08/1971 00:00,1.356,42.29,"2a","Spreadsheet","Taken from northumbria high flows study",""
20/10/1971 00:00,1.132,26.01,"2a","Spreadsheet","Taken from northumbria high flows study",""
05/11/1971 00:00,1.276,35.91,"2a","Spreadsheet","Taken from northumbria high flows study",""
07/11/1971 00:00,1.164,28.04,"2a","Spreadsheet","Taken from northumbria high flows study",""
12/01/1972 00:00,1.203,30.64,"2a","Spreadsheet","Taken from northumbria high flows study",""
18/01/1972 00:00,1.147,26.96,"2a","Spreadsheet","Taken from northumbria high flows study",""
16/03/1972 00:00,1.456,51.22,"2a","Spreadsheet","Taken from northumbria high flows study",""
02/04/1972 00:00,1.109,24.63,"2a","Spreadsheet","Taken from northumbria high flows study",""
09/11/1972 00:00,1.440,49.72,"2a","Spreadsheet","Taken from northumbria high flows study",""
21/11/1972 00:00,1.320,39.34,"2a","Spreadsheet","Taken from northumbria high flows study",""
29/11/1972 00:00,1.127,25.70,"2a","Spreadsheet","Taken from northumbria high flows study",""
01/12/1972 00:00,1.314,38.86,"2a","Spreadsheet","Taken from northumbria high flows study",""
11/12/1972 00:00,1.368,43.31,"2a","Spreadsheet","Taken from northumbria high flows study",""
23/01/1973 00:00,1.108,24.56,"2a","Spreadsheet","Taken from northumbria high flows study",""
04/04/1973 00:00,1.216,31.54,"2a","Spreadsheet","Taken from northumbria high flows study",""
05/08/1973 00:00,1.388,45.04,"2a","Spreadsheet","Taken from northumbria high flows study",""
10/12/1973 00:00,1.215,31.47,"2a","Spreadsheet","Taken from northumbria high flows study",""
17/01/1974 00:00,1.239,33.17,"2a","Spreadsheet","Taken from northumbria high flows study",""
02/02/1974 00:00,1.249,33.90,"2a","Spreadsheet","Taken from northumbria high flows study",""
08/02/1974 00:00,1.134,26.14,"2a","Spreadsheet","Taken from northumbria high flows study",""
10/11/1974 00:00,1.595,65.47,"2a","Spreadsheet","Taken from northumbria high flows study",""
14/11/1974 00:00,1.105,24.17,"3c","Spreadsheet","Taken from northumbria high flows study",""
24/11/1974 00:00,1.220,31.51,"3c","Spreadsheet","Taken from northumbria high flows study",""
21/12/1974 00:00,1.377,43.58,"3c","Spreadsheet","Taken from northumbria high flows study",""
25/12/1974 00:00,1.104,24.11,"3c","Spreadsheet","Taken from northumbria high flows study",""
28/12/1974 00:00,1.465,51.44,"3c","Spreadsheet","Taken from northumbria high flows study",""
