"NAME:","Rye at Little Habton"
"NUMBER:","27014"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
28/02/1958 00:00,3.088,49.17,"1c","unknown","",""
28/03/1958 00:00,3.718,68.67,"1c","unknown","",""
29/03/1958 00:00,3.858,73.40,"1c","unknown","",""
04/04/1958 00:00,3.148,50.90,"1c","unknown","",""
19/12/1958 00:00,3.488,61.22,"1c","unknown","",""
19/01/1959 00:00,4.178,84.72,"1c","unknown","",""
22/01/1959 00:00,3.578,64.09,"1c","unknown","",""
28/04/1959 00:00,3.518,62.17,"1c","unknown","",""
07/12/1959 00:00,3.358,57.17,"1c","unknown","",""
19/01/1960 00:00,3.108,49.74,"1c","unknown","",""
21/01/1960 00:00,3.088,49.17,"1c","unknown","",""
24/01/1960 00:00,3.318,55.95,"1c","unknown","",""
28/01/1960 00:00,3.248,53.85,"1c","unknown","",""
31/01/1960 00:00,4.168,84.35,"1c","unknown","",""
25/02/1960 00:00,3.698,68.01,"1c","unknown","",""
26/02/1960 00:00,4.388,92.54,"1c","unknown","",""
10/10/1960 00:00,5.168,124.23,"1c","unknown","",""
20/10/1960 00:00,3.888,74.43,"1c","unknown","",""
01/11/1960 00:00,3.778,70.68,"1c","unknown","",""
10/11/1960 00:00,3.248,53.85,"1c","unknown","",""
04/12/1960 00:00,3.398,58.40,"1c","unknown","",""
20/12/1960 00:00,3.388,58.09,"1c","unknown","",""
06/01/1961 00:00,4.138,83.26,"1c","unknown","",""
29/01/1961 00:00,3.388,58.09,"1c","unknown","",""
20/10/1961 00:00,4.478,95.98,"1c","unknown","",""
10/12/1961 00:00,3.258,54.14,"1c","unknown","",""
08/01/1962 00:00,3.108,49.74,"1c","unknown","",""
11/01/1962 00:00,3.478,60.90,"1c","unknown","",""
30/09/1962 00:00,3.488,61.22,"1c","unknown","",""
18/11/1962 00:00,3.898,74.77,"1c","unknown","",""
14/12/1962 00:00,3.758,70.01,"1c","unknown","",""
07/03/1963 00:00,4.598,100.66,"1c","unknown","",""
09/03/1963 00:00,3.778,70.68,"1c","unknown","",""
18/03/1963 00:00,3.368,57.48,"1c","unknown","",""
14/03/1964 00:00,3.468,60.59,"1c","unknown","",""
24/03/1964 00:00,3.138,50.61,"1c","unknown","",""
25/03/1964 00:00,3.498,61.53,"1c","unknown","",""
20/04/1965 00:00,1.888,24.67,"1b","unknown","",""
30/10/1965 00:00,3.438,59.65,"1c","unknown","",""
04/12/1965 00:00,3.328,56.26,"1c","unknown","",""
09/12/1965 00:00,4.388,92.54,"1c","unknown","",""
23/12/1965 00:00,3.158,51.19,"1c","unknown","",""
08/02/1966 00:00,3.588,81.42,"2b","unknown","",""
20/02/1966 00:00,4.508,115.46,"2b","unknown","",""
22/02/1966 00:00,3.108,65.36,"2b","unknown","",""
24/02/1966 00:00,3.098,65.04,"2b","unknown","",""
25/02/1966 00:00,4.238,105.05,"2b","unknown","",""
09/04/1966 00:00,3.158,66.98,"2b","unknown","",""
13/08/1966 00:00,2.678,52.05,"2b","unknown","",""
21/08/1966 00:00,2.968,60.91,"2b","unknown","",""
23/02/1967 00:00,3.088,64.72,"2b","unknown","",""
28/02/1967 00:00,3.668,84.22,"2b","unknown","",""
09/03/1967 00:00,3.098,65.04,"2b","unknown","",""
08/04/1967 00:00,2.858,57.49,"2b","unknown","",""
15/05/1967 00:00,3.358,73.58,"2b","unknown","",""
28/05/1967 00:00,3.368,73.91,"2b","unknown","",""
14/07/1967 00:00,2.668,51.75,"2b","unknown","",""
18/08/1967 00:00,3.040,63.19,"2b","FSR","",""
05/09/1967 00:00,1.390,21.34,"2a","FSR","",""
17/10/1967 00:00,3.830,89.98,"2b","FSR","",""
05/11/1967 00:00,5.230,144.92,"2b","FSR","",""
29/12/1967 00:00,2.210,38.79,"2b","FSR","",""
14/01/1968 00:00,3.520,79.08,"2b","FSR","",""
09/02/1968 00:00,1.420,21.90,"2a","FSR","",""
24/03/1968 00:00,3.020,62.55,"2b","FSR","",""
19/04/1968 00:00,1.290,19.48,"2a","FSR","",""
06/05/1968 00:00,2.100,35.88,"2b","FSR","",""
27/06/1968 00:00,1.310,19.85,"2a","FSR","",""
16/07/1968 00:00,3.540,79.76,"2b","FSR","",""
14/08/1968 00:00,0.950,13.41,"2a","FSR","",""
20/09/1968 00:00,3.630,82.89,"2b","FSR","",""
31/10/1968 00:00,3.460,77.02,"2b","FSR","",""
02/11/1968 00:00,4.980,134.46,"2b","FSR","",""
19/12/1968 00:00,2.740,53.90,"2b","FSR","",""
21/01/1969 00:00,4.170,102.48,"2b","FSR","",""
23/02/1969 00:00,2.830,56.63,"2b","FSR","",""
31/03/1969 00:00,3.330,72.64,"2b","FSR","",""
01/04/1969 00:00,2.630,50.63,"2b","FSR","",""
31/05/1969 00:00,3.220,69.00,"2b","FSR","",""
01/07/1969 00:00,0.730,4.74,"3a","FSR","",""
16/08/1969 00:00,0.710,4.46,"3a","FSR","",""
18/09/1969 00:00,1.440,16.48,"3a","FSR","",""
22/12/1969 00:00,4.100,76.27,"3a","FSR","",""
18/01/1970 00:00,3.400,58.88,"3a","FSR","",""
22/01/1970 00:00,3.460,60.33,"3a","FSR","",""
02/02/1970 00:00,3.300,56.47,"3a","FSR","",""
20/02/1970 00:00,3.150,52.91,"3a","FSR","",""
21/02/1970 00:00,3.230,54.80,"3a","FSR","",""
13/04/1970 00:00,3.170,53.38,"3a","FSR","",""
07/01/1971 00:00,4.010,73.98,"3a","FSR","",""
21/01/1971 00:00,3.510,61.55,"3a","FSR","",""
21/11/1971 00:00,3.200,54.09,"3a","FSR","",""
25/11/1971 00:00,4.200,78.83,"3a","FSR","",""
27/11/1971 00:00,3.060,50.79,"3a","FSR","",""
27/01/1972 00:00,4.050,75.00,"3a","FSR","",""
03/02/1972 00:00,4.400,84.00,"3a","FSR","",""
12/06/1972 00:00,3.010,49.63,"3a","FSR","",""
16/07/1973 00:00,3.760,67.70,"3a","FSR","",""
08/01/1974 00:00,3.700,66.22,"3a","FSR","",""
16/01/1974 00:00,3.200,54.09,"3a","FSR","",""
