"NAME:","Whitting at Sheepbridge"
"NUMBER:","27052"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/09/1976 08:45,0.435,3.47,"2b","Digital Archive","","AMAX ONLY"
15/10/1976 04:45,0.699,7.23,"2c","Digital Archive","",""
01/01/1977 05:30,0.657,6.57,"2c","Digital Archive","",""
25/01/1977 14:00,0.808,9.08,"2c","Digital Archive","",""
27/01/1977 22:15,0.755,8.16,"2c","Digital Archive","",""
29/01/1977 11:15,0.792,8.80,"2c","Digital Archive","",""
03/02/1977 08:45,0.735,7.83,"2c","Digital Archive","",""
10/02/1977 09:15,0.790,8.76,"2c","Digital Archive","",""
23/02/1977 10:15,1.148,15.83,"2d","Digital Archive","",""
24/02/1977 16:15,1.054,13.81,"2d","Digital Archive","",""
25/02/1977 08:15,1.197,16.93,"2d","Digital Archive","",""
23/11/1977 21:00,0.580,5.41,"2c","Digital Archive","",""
11/12/1977 03:45,0.635,6.23,"2c","Digital Archive","",""
23/01/1978 15:30,0.742,7.94,"2c","Digital Archive","",""
28/01/1978 10:30,0.885,10.47,"2c","Digital Archive","",""
04/02/1978 14:15,0.603,5.75,"2c","Digital Archive","",""
01/06/1978 18:30,0.731,7.76,"2c","Digital Archive","",""
07/12/1978 23:30,0.802,8.97,"2c","Digital Archive","",""
08/12/1978 15:30,0.865,10.10,"2c","Digital Archive","",""
15/12/1978 20:00,0.953,11.77,"2d","Digital Archive","",""
24/12/1978 18:15,0.788,8.73,"2c","Digital Archive","",""
27/12/1978 17:30,1.169,16.30,"2d","Digital Archive","",""
28/12/1978 14:30,1.342,20.34,"2d","Digital Archive","",""
29/12/1978 08:30,1.314,19.66,"2d","Digital Archive","",""
01/02/1979 15:30,0.638,6.28,"2c","Digital Archive","",""
28/02/1979 04:30,1.059,13.92,"2d","Digital Archive","",""
02/03/1979 19:30,0.814,9.18,"2c","Digital Archive","",""
25/03/1979 04:00,1.103,14.85,"2d","Digital Archive","",""
