"NAME:","Blithe at Hamstall Ridware"
"NUMBER:","28002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/12/1937 00:00,1.100,14.37,"1b","CEH file","",""
30/01/1938 00:00,0.940,11.26,"1b","CEH file","",""
25/11/1938 00:00,0.990,12.21,"1b","CEH file","",""
01/01/1939 00:00,1.160,15.61,"1b","CEH file","",""
07/01/1939 00:00,1.250,17.52,"1b","CEH file","",""
11/01/1939 00:00,1.110,14.57,"1b","CEH file","",""
15/01/1939 00:00,1.160,15.61,"1b","CEH file","",""
18/01/1939 00:00,1.190,16.23,"1b","CEH file","",""
21/01/1939 00:00,0.910,10.71,"1b","CEH file","",""
26/01/1939 00:00,1.070,13.77,"1b","CEH file","",""
19/11/1939 00:00,0.880,10.16,"1b","CEH file","",""
24/11/1939 00:00,1.060,13.57,"1b","CEH file","",""
08/12/1939 00:00,1.030,12.98,"1b","CEH file","",""
07/02/1940 00:00,1.290,18.40,"1b","CEH file","",""
23/02/1940 00:00,1.290,18.40,"1b","CEH file","",""
18/03/1940 00:00,0.980,12.01,"1b","CEH file","",""
10/11/1940 00:00,0.890,10.35,"1b","CEH file","Non-independent peak removed",""
11/11/1940 00:00,1.020,12.78,"1b","CEH file","Non-independent peak removed",""
12/11/1940 00:00,0.960,11.64,"1b","CEH file","Non-independent peak removed",""
17/11/1940 00:00,1.270,17.96,"1b","CEH file","",""
22/11/1940 00:00,1.240,17.30,"1b","CEH file","",""
23/01/1941 00:00,0.840,9.46,"1b","CEH file","",""
25/01/1941 00:00,0.900,10.53,"1b","CEH file","",""
07/02/1941 00:00,1.240,17.30,"1b","CEH file","",""
23/03/1941 00:00,0.980,12.01,"1b","CEH file","",""
26/03/1941 00:00,1.240,17.30,"1b","CEH file","",""
03/04/1941 00:00,1.040,13.17,"1b","CEH file","",""
23/08/1941 00:00,1.020,12.78,"1b","CEH file","",""
18/10/1941 00:00,0.840,9.46,"1b","CEH file","",""
13/11/1941 00:00,0.890,10.35,"1b","CEH file","",""
14/11/1941 00:00,0.890,10.35,"1b","CEH file","",""
24/01/1942 00:00,1.260,17.74,"1b","CEH file","",""
04/02/1942 00:00,1.250,17.52,"1b","CEH file","",""
11/02/1942 00:00,1.170,15.81,"1b","CEH file","",""
05/03/1942 00:00,0.900,10.53,"1b","CEH file","",""
13/01/1943 00:00,1.110,14.57,"1b","CEH file","",""
22/01/1943 00:00,1.110,14.57,"1b","CEH file","",""
31/01/1943 00:00,1.060,13.57,"1b","CEH file","",""
10/01/1944 00:00,0.900,10.53,"1b","CEH file","",""
23/01/1944 00:00,1.200,16.45,"1b","CEH file","",""
21/10/1944 00:00,0.950,11.45,"1b","CEH file","",""
17/11/1944 00:00,0.970,11.82,"1b","CEH file","",""
22/11/1944 00:00,0.860,9.81,"1b","CEH file","",""
31/01/1945 00:00,1.320,19.06,"1b","CEH file","",""
04/02/1945 00:00,0.910,10.71,"1b","CEH file","",""
13/02/1945 00:00,1.050,13.37,"1b","CEH file","",""
29/10/1945 00:00,1.300,18.62,"1b","CEH file","",""
04/02/1946 00:00,1.090,14.17,"1b","CEH file","",""
08/02/1946 00:00,1.360,19.96,"1b","CEH file","",""
20/09/1946 00:00,1.340,19.51,"1b","CEH file","",""
14/11/1946 00:00,1.210,16.66,"1b","CEH file","",""
20/11/1946 00:00,1.230,17.09,"1b","CEH file","",""
12/01/1947 00:00,1.090,14.17,"1b","CEH file","",""
13/03/1947 00:00,1.030,12.98,"1b","CEH file","",""
17/03/1947 00:00,1.430,21.58,"1b","CEH file","",""
21/03/1947 00:00,1.070,13.77,"1b","CEH file","",""
30/03/1947 00:00,0.910,10.71,"1b","CEH file","",""
08/04/1947 00:00,1.050,13.37,"1b","CEH file","",""
11/01/1948 00:00,1.240,17.30,"1b","CEH file","",""
13/01/1948 00:00,1.040,13.17,"1b","CEH file","",""
12/08/1948 00:00,0.920,10.89,"1b","CEH file","",""
12/09/1948 00:00,0.860,9.81,"1b","CEH file","",""
14/12/1948 00:00,1.130,14.98,"1b","CEH file","",""
30/12/1948 00:00,1.270,17.96,"1b","CEH file","",""
01/01/1949 00:00,1.220,16.87,"1b","CEH file","",""
05/01/1949 00:00,1.020,12.78,"1b","CEH file","",""
05/04/1949 00:00,1.070,13.77,"1b","CEH file","",""
06/04/1949 00:00,1.170,15.81,"1b","CEH file","",""
07/11/1949 00:00,0.960,11.64,"1b","CEH file","",""
02/02/1950 00:00,0.870,9.99,"1b","CEH file","",""
09/02/1950 00:00,1.090,14.17,"1b","CEH file","",""
19/02/1950 00:00,0.900,10.53,"1b","CEH file","",""
24/02/1950 00:00,1.170,15.81,"1b","CEH file","",""
27/11/1950 00:00,0.950,11.45,"1b","CEH file","",""
06/12/1950 00:00,0.940,11.26,"1b","CEH file","",""
05/01/1951 00:00,1.220,16.87,"1b","CEH file","",""
13/03/1951 00:00,1.120,14.78,"1b","CEH file","",""
17/03/1951 00:00,0.910,10.71,"1b","CEH file","",""
21/03/1951 00:00,0.950,11.45,"1b","CEH file","",""
22/03/1951 00:00,0.970,11.82,"1b","CEH file","",""
06/11/1951 00:00,1.210,16.66,"1b","CEH file","",""
09/11/1951 00:00,1.130,14.98,"1b","CEH file","",""
10/11/1951 00:00,0.990,12.21,"1b","CEH file","",""
12/11/1951 00:00,1.240,17.30,"1b","CEH file","",""
25/11/1951 00:00,1.140,15.19,"1b","CEH file","",""
27/12/1951 00:00,1.010,12.59,"1b","CEH file","",""
04/01/1952 00:00,0.870,9.99,"1b","CEH file","",""
05/01/1952 00:00,0.930,11.08,"1b","CEH file","",""
11/01/1952 00:00,0.920,10.89,"1b","CEH file","",""
