"NAME:","Anker at Polesworth"
"NUMBER:","28026"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/11/1967 00:00,1.810,50.87,"1b","CEH POTs","",""
06/01/1968 00:00,1.380,27.12,"1a","CEH POTs","",""
14/01/1968 00:00,1.570,35.11,"1b","CEH POTs","",""
11/07/1968 00:00,2.350,100.96,"1b","CEH POTs","",""
02/11/1968 00:00,1.950,61.82,"1b","CEH POTs","",""
27/11/1968 00:00,1.260,23.94,"1a","CEH POTs","",""
11/02/1969 00:00,1.520,32.28,"1b","CEH POTs","",""
25/02/1969 00:00,1.450,29.03,"1a","CEH POTs","",""
13/03/1969 00:00,1.680,41.88,"1b","CEH POTs","",""
06/05/1969 00:00,2.360,102.10,"1b","CEH POTs","",""
16/05/1969 00:00,1.230,23.16,"1a","CEH POTs","",""
20/02/1970 00:00,1.080,19.37,"1a","CEH POTs","",""
12/03/1970 00:00,1.240,23.42,"1a","CEH POTs","",""
13/03/1970 00:00,1.400,27.67,"1a","CEH POTs","",""
30/11/1970 00:00,1.280,24.46,"1a","CEH POTs","",""
24/01/1971 00:00,1.400,27.67,"1a","CEH POTs","",""
27/01/1971 00:00,1.140,20.86,"1a","CEH POTs","",""
25/04/1971 00:00,1.900,57.76,"1b","CEH POTs","",""
15/08/1971 00:30,0.724,11.17,"1a","Digital Archive","",""
21/11/1971 18:15,0.785,12.48,"1a","Digital Archive","",""
28/11/1971 21:45,0.937,15.93,"1a","Digital Archive","",""
20/12/1971 06:00,0.775,12.27,"1a","Digital Archive","",""
23/12/1971 15:45,0.718,11.04,"1a","Digital Archive","",""
12/01/1972 04:45,1.013,17.74,"1a","Digital Archive","",""
19/01/1972 19:30,0.722,11.12,"1a","Digital Archive","",""
27/01/1972 15:00,0.994,17.28,"1a","Digital Archive","",""
04/02/1972 14:15,1.701,43.26,"1b","Digital Archive","",""
16/02/1972 16:45,0.858,14.11,"1a","Digital Archive","",""
05/03/1972 19:30,1.292,24.78,"1a","Digital Archive","",""
09/09/1972 15:45,1.000,17.42,"1a","Digital Archive","",""
03/12/1972 01:45,0.771,12.18,"1a","Digital Archive","",""
07/12/1972 09:00,1.264,24.04,"1a","Digital Archive","",""
21/01/1973 10:15,0.751,11.74,"1a","Digital Archive","",""
24/05/1973 10:00,0.832,13.53,"1a","Digital Archive","",""
30/05/1973 18:15,1.337,25.97,"1a","Digital Archive","",""
20/06/1973 17:30,0.876,14.52,"1a","Digital Archive","",""
29/06/1973 06:00,2.167,81.56,"1b","Digital Archive","",""
11/01/1974 19:30,1.029,18.12,"1a","Digital Archive","",""
17/01/1974 00:30,0.944,16.10,"1a","Digital Archive","",""
10/02/1974 06:45,1.177,21.80,"1a","Digital Archive","",""
16/02/1974 11:00,0.750,11.72,"1a","Digital Archive","",""
22/11/1974 05:15,1.460,29.31,"1a","Digital Archive","",""
29/11/1974 05:00,0.737,11.44,"1a","Digital Archive","",""
21/01/1975 02:00,0.976,16.85,"1a","Digital Archive","",""
27/01/1975 23:45,1.009,17.64,"1a","Digital Archive","Non-independent peak removed A",""
10/03/1975 08:00,1.896,57.44,"1b","Digital Archive","",""
14/03/1975 17:15,1.024,18.00,"1a","Digital Archive","",""
18/04/1975 03:45,0.726,11.21,"1a","Digital Archive","",""
02/12/1975 12:45,0.632,9.26,"1a","Digital Archive","","AMAX ONLY"
21/12/1976 14:30,0.930,15.77,"1a","Digital Archive","",""
02/01/1977 03:00,1.289,24.70,"1a","Digital Archive","",""
15/01/1977 23:45,0.832,13.53,"1a","Digital Archive","",""
28/01/1977 18:00,1.718,44.39,"1b","Digital Archive","",""
03/02/1977 23:15,0.879,14.59,"1a","Digital Archive","",""
08/02/1977 04:00,0.827,13.41,"1a","Digital Archive","",""
11/02/1977 14:45,1.473,29.76,"1b","Digital Archive","",""
16/02/1977 17:45,0.800,12.81,"1a","Digital Archive","",""
19/02/1977 15:30,1.610,37.48,"1b","Digital Archive","",""
25/02/1977 07:15,2.104,75.47,"1b","Digital Archive","",""
11/12/1977 15:45,0.790,12.59,"1a","Digital Archive","",""
24/01/1978 07:45,0.939,15.98,"1a","Digital Archive","",""
29/01/1978 07:15,1.312,25.31,"1a","Digital Archive","",""
02/02/1978 10:30,0.933,15.84,"1a","Digital Archive","",""
05/02/1978 07:30,1.080,19.37,"1a","Digital Archive","",""
06/05/1978 19:45,0.763,12.00,"1a","Digital Archive","",""
15/12/1978 07:00,0.948,16.19,"1a","Digital Archive","",""
25/12/1978 11:00,1.386,27.29,"1a","Digital Archive","",""
29/12/1978 20:15,2.039,69.50,"1b","Digital Archive","",""
02/02/1979 08:00,2.223,87.22,"1b","Digital Archive","",""
23/02/1979 05:15,0.778,12.33,"1a","Digital Archive","",""
01/03/1979 03:00,1.100,19.86,"1a","Digital Archive","",""
19/03/1979 11:00,1.100,19.86,"1a","Digital Archive","",""
25/03/1979 16:45,0.953,16.31,"1a","Digital Archive","",""
29/03/1979 21:00,1.667,41.04,"1b","Digital Archive","",""
13/04/1979 04:30,0.856,14.07,"1a","Digital Archive","",""
27/05/1979 04:15,0.722,11.12,"1a","Digital Archive","",""
31/05/1979 14:45,1.248,23.63,"1a","Digital Archive","",""
14/12/1979 23:15,1.057,18.80,"1a","Digital Archive","",""
28/12/1979 14:00,1.870,55.40,"1b","Digital Archive","",""
04/01/1980 13:45,1.013,17.74,"1a","Digital Archive","",""
22/01/1980 05:00,0.866,14.29,"1a","Digital Archive","",""
31/01/1980 20:15,0.785,12.48,"1a","Digital Archive","",""
05/02/1980 13:30,0.992,17.23,"1a","Digital Archive","",""
09/02/1980 09:00,1.309,25.23,"1a","Digital Archive","",""
26/02/1980 15:00,1.162,21.42,"1a","Digital Archive","",""
19/03/1980 05:15,0.875,14.50,"1a","Digital Archive","",""
16/08/1980 09:30,1.661,40.65,"1b","Digital Archive","",""
17/10/1980 19:30,1.457,29.22,"1a","Digital Archive","",""
16/11/1980 10:00,1.113,20.19,"1a","Digital Archive","",""
18/12/1980 06:15,0.874,14.48,"1a","Digital Archive","",""
21/12/1980 07:30,1.731,45.27,"1b","Digital Archive","",""
10/02/1981 06:00,0.902,15.12,"1a","Digital Archive","",""
28/02/1981 23:30,0.902,15.12,"1a","Digital Archive","",""
10/03/1981 17:30,1.845,53.48,"1b","Digital Archive","",""
27/04/1981 18:15,1.679,41.81,"1b","Digital Archive","",""
02/06/1981 18:00,0.857,14.09,"1a","Digital Archive","",""
