"NAME:","Meden at Church Warsop"
"NUMBER:","28032"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/03/1965 00:00,0.480,1.95,"1b","CEH POTs","",""
02/09/1965 00:00,0.460,1.80,"1b","CEH POTs","",""
02/12/1965 00:00,0.570,2.71,"1b","CEH POTs","",""
04/12/1965 00:00,0.500,2.11,"1b","CEH POTs","",""
09/12/1965 00:00,0.830,5.72,"1b","CEH POTs","",""
13/12/1965 00:00,0.670,3.73,"1b","CEH POTs","",""
18/12/1965 00:00,0.660,3.62,"1b","CEH POTs","",""
23/12/1965 00:00,0.570,2.71,"1b","CEH POTs","",""
02/01/1966 00:00,0.610,3.10,"1b","CEH POTs","",""
08/02/1966 00:00,0.740,4.54,"1b","CEH POTs","",""
19/02/1966 00:00,0.760,4.79,"1b","CEH POTs","",""
22/02/1966 00:00,0.660,3.62,"1b","CEH POTs","",""
25/02/1966 00:00,0.520,2.27,"1b","CEH POTs","",""
02/04/1966 00:00,0.550,2.53,"1b","CEH POTs","",""
05/04/1966 00:00,0.710,4.18,"1b","CEH POTs","",""
09/04/1966 00:00,0.510,2.19,"1b","CEH POTs","",""
20/04/1966 00:00,0.460,1.80,"1b","CEH POTs","",""
21/08/1966 00:00,0.570,2.71,"1b","CEH POTs","",""
27/02/1967 00:00,0.610,3.10,"1b","CEH POTs","",""
09/03/1967 00:00,0.930,7.21,"1b","CEH POTs","",""
14/05/1967 00:00,0.670,3.73,"1b","CEH POTs","",""
28/05/1967 00:00,0.750,4.67,"1b","CEH POTs","",""
16/10/1967 00:00,0.660,3.62,"1b","CEH POTs","",""
04/11/1967 00:00,0.670,3.73,"1b","CEH POTs","",""
14/01/1968 00:00,0.520,2.27,"1b","CEH POTs","",""
05/02/1968 00:00,0.470,1.87,"1b","CEH POTs","",""
01/05/1968 00:00,0.590,2.90,"1b","CEH POTs","",""
27/06/1968 00:00,0.600,3.00,"1b","CEH POTs","",""
07/07/1968 00:00,0.590,2.90,"1b","CEH POTs","",""
10/07/1968 00:00,1.140,10.96,"1b","CEH POTs","",""
14/07/1968 00:00,0.570,2.71,"1b","CEH POTs","",""
01/09/1968 00:00,0.470,1.87,"1b","CEH POTs","",""
