"NAME:","Burbage Brook at Burbage"
"NUMBER:","28070"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/12/1925 00:00,0.500,2.77,"Ab","CEH file","",""
05/03/1926 00:00,0.460,2.37,"Aa","CEH file","",""
18/07/1926 00:00,0.550,3.31,"Ab","CEH file","",""
18/11/1926 00:00,0.440,2.16,"Aa","CEH file","",""
09/04/1927 00:00,0.470,2.47,"Ab","CEH file","",""
10/04/1927 00:00,0.440,2.16,"Aa","CEH file","",""
15/09/1927 00:00,0.530,3.09,"Ab","CEH file","",""
22/10/1927 00:00,0.500,2.77,"Ab","CEH file","",""
19/11/1927 00:00,0.490,2.67,"Ab","CEH file","",""
20/11/1927 00:00,0.510,2.87,"Ab","CEH file","",""
22/12/1927 00:00,0.480,2.57,"Ab","CEH file","",""
04/01/1928 00:00,0.660,4.64,"Ab","CEH file","",""
06/01/1928 00:00,0.680,4.91,"Ab","CEH file","",""
21/01/1928 00:00,0.490,2.67,"Ab","CEH file","",""
24/01/1928 00:00,0.500,2.77,"Ab","CEH file","",""
15/02/1928 00:00,0.560,3.42,"Ab","CEH file","",""
11/10/1928 00:00,0.520,2.98,"Ab","CEH file","",""
23/11/1928 00:00,0.460,2.37,"Aa","CEH file","",""
24/11/1928 00:00,0.510,2.87,"Ab","CEH file","",""
25/11/1928 00:00,0.520,2.98,"Ab","CEH file","",""
30/01/1929 00:00,0.440,2.16,"Aa","CEH file","",""
11/11/1929 00:00,0.560,3.42,"Ab","CEH file","",""
18/11/1929 00:00,0.490,2.67,"Ab","CEH file","",""
19/11/1929 00:00,0.470,2.47,"Ab","CEH file","",""
25/11/1929 00:00,0.430,2.05,"Aa","CEH file","",""
07/12/1929 00:00,0.520,2.98,"Ab","CEH file","",""
24/12/1929 00:00,0.550,3.31,"Ab","CEH file","",""
28/12/1929 00:00,0.480,2.57,"Ab","CEH file","",""
25/03/1930 00:00,0.465,2.42,"Ab","CEH POTs","",""
21/07/1930 00:00,0.490,2.67,"Ab","CEH POTs","",""
22/07/1930 00:00,0.516,2.93,"Ab","CEH POTs","",""
17/09/1930 00:00,0.472,2.49,"Ab","CEH POTs","",""
31/12/1930 00:00,0.447,2.23,"Aa","CEH POTs","",""
16/01/1931 00:00,0.439,2.15,"Aa","CEH POTs","",""
05/06/1931 00:00,0.488,2.64,"Ab","CEH POTs","",""
14/06/1931 00:00,0.437,2.12,"Aa","CEH POTs","",""
17/06/1931 00:00,0.460,2.37,"Aa","CEH POTs","",""
05/08/1931 00:00,0.526,3.04,"Ab","CEH POTs","",""
08/08/1931 00:00,0.881,7.95,"Ab","CEH POTs","",""
14/08/1931 00:00,0.564,3.46,"Ab","CEH POTs","",""
20/08/1931 00:00,0.460,2.37,"Aa","CEH POTs","",""
03/09/1931 00:00,0.455,2.31,"Aa","CEH POTs","",""
04/09/1931 00:00,1.247,15.16,"Ab","CEH POTs","",""
04/11/1931 00:00,0.541,3.21,"Ab","CEH POTs","",""
24/11/1931 00:00,0.455,2.31,"Aa","CEH POTs","",""
06/01/1932 00:00,0.544,3.23,"Ab","CEH POTs","",""
06/04/1932 00:00,0.485,2.62,"Ab","CEH POTs","",""
21/05/1932 00:00,1.090,11.79,"Ab","CEH POTs","",""
23/05/1932 00:00,0.513,2.91,"Ab","CEH POTs","",""
13/07/1932 00:00,0.665,4.71,"Ab","CEH POTs","",""
04/03/1933 00:00,0.536,3.15,"Ab","CEH POTs","",""
07/10/1933 00:00,0.559,3.41,"Ab","CEH POTs","",""
04/12/1934 00:00,0.505,2.83,"Ab","CEH POTs","",""
16/02/1935 00:00,0.480,2.57,"Ab","CEH POTs","",""
24/09/1935 00:00,0.429,2.05,"Aa","CEH POTs","",""
09/10/1935 00:00,0.460,2.37,"Aa","CEH POTs","",""
21/10/1935 00:00,0.445,2.20,"Aa","CEH POTs","",""
17/11/1935 00:00,0.577,3.61,"Ab","CEH POTs","",""
27/12/1935 00:00,0.508,2.85,"Ab","CEH POTs","",""
02/06/1936 00:00,0.511,2.88,"Ab","CEH POTs","",""
27/10/1936 00:00,0.442,2.18,"Aa","CEH POTs","",""
12/11/1936 00:00,0.447,2.23,"Aa","CEH POTs","",""
15/11/1936 00:00,0.450,2.26,"Aa","CEH POTs","",""
16/11/1936 00:00,0.470,2.47,"Ab","CEH POTs","",""
13/12/1936 00:00,0.592,3.79,"Ab","CEH POTs","",""
06/01/1937 00:00,0.450,2.26,"Aa","CEH POTs","",""
20/01/1937 00:00,0.470,2.47,"Ab","CEH POTs","",""
31/01/1937 00:00,0.472,2.49,"Ab","CEH POTs","",""
25/02/1937 00:00,0.472,2.49,"Ab","CEH POTs","",""
17/03/1937 00:00,0.635,4.32,"Ab","CEH POTs","",""
15/07/1937 00:00,0.485,2.62,"Ab","CEH POTs","",""
02/12/1937 00:00,0.749,5.88,"Ab","CEH POTs","",""
22/12/1937 00:00,0.457,2.34,"Aa","CEH POTs","",""
28/01/1938 00:00,0.554,3.35,"Ab","CEH POTs","",""
04/10/1938 00:00,0.523,3.01,"Ab","CEH POTs","",""
23/11/1938 00:00,0.457,2.34,"Aa","CEH POTs","",""
07/01/1939 00:00,0.648,4.48,"Ab","CEH POTs","",""
14/01/1939 00:00,0.706,5.26,"Ab","CEH POTs","",""
18/01/1939 00:00,0.536,3.15,"Ab","CEH POTs","",""
02/09/1939 00:00,0.450,2.26,"Aa","CEH POTs","",""
17/10/1939 00:00,0.579,3.64,"Ab","CEH POTs","",""
18/11/1939 00:00,0.541,3.21,"Ab","CEH POTs","",""
25/11/1939 00:00,0.483,2.59,"Ab","CEH POTs","",""
23/02/1940 00:00,0.612,4.03,"Ab","CEH POTs","",""
31/10/1940 00:00,0.528,3.07,"Ab","CEH POTs","",""
11/11/1940 00:00,0.513,2.91,"Ab","CEH POTs","",""
17/11/1940 00:00,0.462,2.39,"Ab","CEH POTs","",""
21/11/1940 00:00,0.577,3.61,"Ab","CEH POTs","",""
07/02/1941 00:00,0.574,3.58,"Ab","CEH POTs","",""
08/02/1941 00:00,0.762,6.06,"Ab","CEH POTs","",""
27/02/1941 00:00,0.457,2.34,"Aa","CEH POTs","",""
08/03/1941 00:00,0.582,3.67,"Ab","CEH POTs","",""
25/03/1941 00:00,0.635,4.32,"Ab","CEH POTs","",""
26/05/1941 00:00,0.544,3.23,"Ab","CEH POTs","",""
18/10/1941 00:00,0.648,4.48,"Ab","CEH POTs","",""
11/11/1941 00:00,0.429,2.05,"Aa","CEH POTs","",""
11/01/1943 00:00,0.521,2.99,"Ab","CEH POTs","",""
10/05/1943 00:00,0.439,2.15,"Aa","CEH POTs","",""
22/01/1944 00:00,0.516,2.93,"Ab","CEH POTs","",""
24/01/1944 00:00,0.432,2.07,"Aa","CEH POTs","",""
03/07/1944 00:00,0.457,2.34,"Aa","CEH POTs","",""
02/09/1944 00:00,0.665,4.71,"Ab","CEH POTs","",""
20/11/1944 00:00,0.457,2.34,"Aa","CEH POTs","",""
27/11/1944 00:00,0.503,2.80,"Ab","CEH POTs","",""
30/01/1945 00:00,0.457,2.34,"Aa","CEH POTs","",""
03/06/1945 00:00,0.457,2.34,"Aa","CEH POTs","",""
26/10/1945 00:00,0.594,3.82,"Ab","CEH POTs","",""
29/10/1945 00:00,0.559,3.41,"Ab","CEH POTs","",""
31/01/1946 00:00,0.584,3.70,"Ab","CEH POTs","",""
08/02/1946 00:00,0.498,2.75,"Ab","CEH POTs","",""
20/05/1946 00:00,0.432,2.07,"Aa","CEH POTs","",""
12/06/1946 00:00,0.592,3.79,"Ab","CEH POTs","",""
04/09/1946 00:00,0.437,2.12,"Aa","CEH POTs","",""
20/09/1946 00:00,0.660,4.65,"Ab","CEH POTs","",""
14/11/1946 00:00,0.582,3.67,"Ab","CEH POTs","",""
20/11/1946 00:00,0.452,2.29,"Aa","CEH POTs","",""
19/03/1947 00:00,0.561,3.43,"Ab","CEH POTs","",""
21/03/1947 00:00,0.686,4.98,"Ab","CEH POTs","",""
08/04/1947 00:00,0.533,3.12,"Ab","CEH POTs","",""
10/01/1948 00:00,0.579,3.64,"Ab","CEH POTs","",""
13/01/1948 00:00,0.635,4.32,"Ab","CEH POTs","",""
11/08/1948 00:00,0.488,2.64,"Ab","CEH POTs","",""
22/08/1948 00:00,0.521,2.99,"Ab","CEH POTs","",""
06/04/1949 00:00,0.584,3.70,"Ab","CEH POTs","",""
09/02/1950 00:00,0.404,1.79,"Aa","CEH POTs","",""
21/11/1950 00:00,0.432,2.07,"Aa","CEH POTs","",""
06/01/1951 00:00,0.442,2.18,"Aa","CEH POTs","",""
13/03/1951 00:00,0.457,2.34,"Aa","CEH POTs","",""
27/05/1951 00:00,0.432,2.07,"Aa","CEH POTs","",""
05/11/1951 00:00,0.620,4.13,"Ab","CEH POTs","",""
