"NAME:","Great Eau at Claythorpe Mill"
"NUMBER:","29002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/03/1963 00:00,0.280,2.64,"1a","CEH handwritten and typed annual maxima list","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem Recoder incorrectly geared peak level unreliable flow from ann max listing",""
14/03/1964 00:00,0.280,2.50,"1a","CEH handwritten and typed annual maxima list","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem Recoder incorrectly geared peak unreliable flow from ann max listing",""
20/03/1965 00:00,,2.06,"1a","Typed Ann max list","","AMAX ONLY"
11/11/1965 00:00,0.340,1.21,"1a","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
18/11/1965 00:00,0.420,1.88,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
20/11/1965 00:00,0.340,1.21,"1a","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
25/11/1965 00:00,0.450,2.19,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
27/11/1965 00:00,0.350,1.26,"1a","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
29/11/1965 00:00,0.730,6.60,"1c","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
02/12/1965 00:00,0.440,2.08,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
05/12/1965 00:00,0.420,1.88,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
09/12/1965 00:00,0.590,4.10,"1c","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
13/12/1965 00:00,0.450,2.19,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
18/12/1965 00:00,0.580,3.95,"1c","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
23/12/1965 00:00,0.550,3.49,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
29/12/1965 00:00,0.540,3.34,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
01/01/1966 00:00,0.550,3.49,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
28/01/1966 00:00,0.490,2.66,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
08/02/1966 00:00,0.600,4.26,"1c","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
12/02/1966 00:00,0.420,1.88,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
19/02/1966 00:00,0.500,2.79,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
08/03/1966 00:00,0.330,1.16,"1a","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
12/03/1966 00:00,0.570,3.79,"1c","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
20/03/1966 00:00,0.560,3.64,"1c","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
18/04/1966 00:00,0.410,1.78,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
23/11/1966 00:00,0.360,1.34,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
01/12/1966 00:00,0.390,1.59,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
27/02/1967 00:00,0.430,1.98,"1b","CEH handwritten","Threshold is set at 40 cusec or a head of 1' Gauge zero 21.60,Oct-dec 68 station metric, stage in ft change to stagem",""
