"NAME:","Bain at Goulceby Bridge"
"NUMBER:","30011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
31/07/1966 00:00,0.271,1.81,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
15/05/1967 00:00,0.287,2.00,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
28/05/1967 00:00,0.323,2.48,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
06/11/1967 00:00,0.335,2.65,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
11/07/1968 00:00,0.527,6.02,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
16/09/1968 00:00,0.326,2.52,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
31/10/1968 00:00,0.259,1.66,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
02/11/1968 00:00,0.747,11.31,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
08/11/1968 00:00,0.338,2.70,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
05/01/1969 00:00,0.268,1.77,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
13/01/1969 00:00,0.287,2.00,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
16/01/1969 00:00,0.372,3.20,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
21/01/1969 00:00,0.366,3.11,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
23/02/1969 00:00,0.351,2.88,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
13/03/1969 00:00,0.363,3.06,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
31/03/1969 00:00,0.271,1.81,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
12/04/1969 00:00,0.265,1.74,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
15/04/1969 00:00,0.341,2.74,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
22/04/1969 00:00,0.302,2.19,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
03/06/1969 00:00,0.351,2.88,"3a","CEH POTS 24-9-72","Datum 0.00 Threshold 0.256 applied",""
22/07/1972 00:00,0.150,0.58,"1b","CEH POTS 20-3-79","Datum 0.00 Threshold 0.291 applied",""
16/07/1973 00:00,0.290,1.61,"1b","CEH POTS 20-3-79","Datum 0.00 Threshold 0.291 applied",""
09/01/1974 00:00,0.240,1.19,"1b","CEH POTS 20-3-79","Datum 0.00 Threshold 0.291 applied",""
04/10/1974 00:00,0.350,2.16,"1b","CEH POTS 20-3-79","Datum 0.00 Threshold 0.291 applied",""
01/02/1975 00:00,0.190,0.83,"1b","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
02/12/1975 00:00,0.190,0.83,"1b","WISKI","",""
28/01/1977 00:00,0.430,2.99,"1c","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
03/02/1977 00:00,0.370,2.36,"1b","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
10/02/1977 00:00,0.525,4.14,"1c","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
19/02/1977 00:00,0.405,2.72,"1c","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
24/02/1977 00:00,0.355,2.21,"1b","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
29/01/1978 00:00,0.300,1.69,"1b","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
01/02/1978 00:00,0.360,2.26,"1b","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
05/02/1978 00:00,0.310,1.78,"1b","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
23/02/1978 00:00,0.330,1.97,"1b","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
05/05/1978 00:00,0.410,2.77,"1c","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
15/12/1978 00:00,0.305,1.74,"1b","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
25/12/1978 00:00,0.300,1.69,"1b","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
29/12/1978 00:00,0.500,3.82,"1c","CEH POTS 10-10-85","Datum 0.00 Threshold 0.290 applied",""
14/12/1979 15:30,0.388,2.54,"","Digital Archive","",""
28/12/1979 10:45,0.325,1.92,"","Digital Archive","",""
04/01/1980 08:30,0.333,2.00,"","Digital Archive","",""
01/02/1980 00:30,0.295,1.65,"","Digital Archive","",""
05/02/1980 08:15,0.355,2.21,"","Digital Archive","",""
08/02/1980 18:15,0.457,3.30,"","Digital Archive","",""
26/02/1980 04:45,0.407,2.74,"","Digital Archive","",""
12/03/1980 23:45,0.327,1.94,"","Digital Archive","",""
18/03/1980 11:15,0.536,4.28,"","Digital Archive","",""
29/03/1980 05:00,0.314,1.82,"","Digital Archive","",""
17/10/1980 02:00,0.368,2.34,"","Digital Archive","",""
28/10/1980 21:15,0.300,1.69,"","Digital Archive","",""
15/11/1980 00:45,0.335,2.01,"","Digital Archive","",""
10/02/1981 02:00,0.468,3.43,"","Digital Archive","",""
11/03/1981 23:45,0.451,3.23,"","Digital Archive","",""
15/03/1981 17:00,0.311,1.79,"","Digital Archive","",""
24/03/1981 00:00,0.308,1.77,"","Digital Archive","",""
