"NAME:","West Glen at Easton Wood"
"NUMBER:","31023"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/03/1972 00:00,0.265,0.57,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
27/06/1973 00:00,0.320,0.91,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
21/07/1973 00:00,0.360,1.24,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
09/02/1974 00:00,0.269,0.59,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
07/10/1974 00:00,0.397,1.60,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
15/10/1974 00:00,0.275,0.62,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
21/11/1974 00:00,0.430,1.96,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
20/01/1975 00:00,0.289,0.71,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
26/01/1975 00:00,0.327,0.96,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
09/03/1975 00:00,0.530,3.31,"2c","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
17/04/1975 00:00,0.312,0.86,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
18/04/1975 00:00,0.518,3.13,"2c","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
01/12/1975 00:00,0.184,0.23,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
31/12/1976 00:00,0.334,1.02,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
27/01/1977 00:00,0.368,1.32,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
10/02/1977 00:00,0.367,1.31,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
18/02/1977 00:00,0.295,0.74,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
23/02/1977 00:00,0.299,0.77,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
25/02/1977 00:00,0.423,1.88,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
11/01/1978 00:00,0.326,0.96,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
05/05/1978 00:00,0.385,1.48,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
24/12/1978 00:00,0.348,1.14,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
27/12/1978 00:00,0.280,0.65,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
28/12/1978 00:00,0.391,1.54,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
01/02/1979 00:00,0.350,1.15,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
28/02/1979 00:00,0.297,0.76,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
20/03/1979 00:00,0.270,0.60,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
28/03/1979 00:00,0.265,0.57,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
07/04/1979 00:00,0.325,0.95,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
13/12/1979 00:00,0.375,1.38,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
27/12/1979 00:00,0.335,1.03,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
21/01/1980 00:00,0.286,0.69,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
06/02/1980 00:00,0.281,0.66,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
07/02/1980 00:00,0.295,0.74,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
25/02/1980 00:00,0.359,1.23,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
17/03/1980 00:00,0.360,1.24,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
14/08/1980 00:00,0.775,7.82,"2c","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m, in range peak",""
16/10/1980 00:00,0.404,1.67,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
15/11/1980 00:00,0.289,0.71,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
10/03/1981 00:00,0.282,0.66,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
13/03/1981 00:00,0.270,0.60,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
14/03/1981 00:00,0.269,0.59,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
26/04/1981 00:00,0.455,2.27,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
21/05/1981 00:00,0.265,0.57,"2a","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
01/06/1981 00:00,0.390,1.53,"2b","CEHPOT 27 Feb 1987 15:56","Stage, Datum 0.00, Threshold level=0.264m",""
26/09/1981 10:00,0.197,0.27,"2a","Digital Archive","","AMAX ONLY"
30/12/1981 17:00,0.271,0.60,"2a","Digital Archive","","AMAX ONLY"
03/01/1982 00:00,0.381,1.44,"2b","Digital Archive","",""
07/03/1982 00:45,0.317,0.89,"2a","Digital Archive","",""
15/03/1982 19:00,0.307,0.82,"2a","Digital Archive","",""
23/06/1982 14:00,0.523,3.20,"2c","Digital Archive","",""
25/06/1982 18:15,0.773,7.78,"2c","Digital Archive","in range peak, steep rise, symetrical peak",""
14/11/1982 23:00,0.241,0.45,"2a","Digital Archive","",""
09/12/1982 22:45,0.404,1.67,"2b","Digital Archive","",""
19/12/1982 16:30,0.279,0.65,"2a","Digital Archive","",""
31/01/1983 19:45,0.277,0.64,"2a","Digital Archive","",""
11/04/1983 02:45,0.445,2.14,"2b","Digital Archive","",""
20/04/1983 19:45,0.356,1.21,"2b","Digital Archive","",""
