"NAME:","Gwash South Arm at Manton"
"NUMBER:","31025"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
24/12/1978 00:00,0.956,8.44,"1c","CEH POTS 27-2-87","CEH POTS 27-2-87",""
29/12/1978 00:00,0.780,5.76,"1b","CEH POTS 27-2-87","CEH POTS 27-2-87",""
01/02/1979 00:00,1.113,11.18,"1c","CEH POTS 27-2-87","CEH POTS 27-2-87",""
29/03/1979 00:00,0.700,4.69,"1b","CEH POTS 27-2-87","CEH POTS 27-2-87",""
07/04/1979 00:00,1.060,10.22,"1c","CEH POTS 27-2-87","CEH POTS 27-2-87",""
14/12/1979 00:00,0.880,7.24,"1c","CEH POTS 27-2-87","CEH POTS 27-2-87",""
27/12/1979 00:00,0.870,7.08,"1c","CEH POTS 27-2-87","CEH POTS 27-2-87",""
14/08/1980 00:00,1.625,22.13,"1c","CEH POTS 27-2-87","CEH POTS 27-2-87, Extrapolated flow",""
16/10/1980 00:00,0.785,5.83,"1b","CEH POTS 27-2-87","CEH POTS 27-2-87",""
15/11/1980 00:00,0.870,7.08,"1c","CEH POTS 27-2-87","CEH POTS 27-2-87",""
20/12/1980 00:00,0.725,5.01,"1b","CEH POTS 27-2-87","CEH POTS 27-2-87",""
21/01/1981 00:00,0.706,4.76,"1b","CEH POTS 27-2-87","CEH POTS 27-2-87",""
27/04/1981 00:00,1.279,14.39,"1c","CEH POTS 27-2-87","CEH POTS 27-2-87",""
02/06/1981 00:00,,22.46,"1a","CEH POTS 27-2-87","CEH POTS 27-2-87, protected flow",""
02/06/1981 13:15,0.839,6.62,"1c","Digital Archive","CEH POTS 27-2-87, protected flow","AMAX ONLY"
30/12/1981 18:15,0.856,6.87,"1c","Digital Archive","",""
02/01/1982 23:00,0.862,6.96,"1c","Digital Archive","",""
07/03/1982 02:30,1.042,9.90,"1c","Digital Archive","",""
15/03/1982 20:00,0.834,6.54,"1c","Digital Archive","",""
23/06/1982 00:45,0.722,4.97,"1b","Digital Archive","Non-independent peak removed A",""
25/06/1982 19:45,0.732,5.11,"1b","Digital Archive","Non-independent peak removed A",""
10/12/1982 02:15,0.953,8.40,"1c","Digital Archive","",""
06/01/1983 17:00,0.501,2.41,"1b","Digital Archive","",""
31/01/1983 21:30,0.745,5.28,"1b","Digital Archive","",""
11/04/1983 06:30,0.616,3.65,"1b","Digital Archive","",""
20/04/1983 22:15,0.757,5.45,"1b","Digital Archive","",""
25/04/1983 12:30,0.586,3.31,"1b","Digital Archive","",""
01/05/1983 20:15,0.711,4.83,"1b","Digital Archive","Non-independent peak removed A",""
21/05/1983 17:15,0.476,2.17,"1b","Digital Archive","",""
01/06/1983 10:15,1.095,10.85,"1c","Digital Archive","",""
27/11/1983 08:30,0.497,2.37,"1b","Digital Archive","",""
03/01/1984 01:30,0.541,2.82,"1b","Digital Archive","",""
29/01/1984 16:15,0.720,4.95,"1b","Digital Archive","Non-independent peak removed A",""
24/03/1984 16:30,0.941,8.20,"1c","Digital Archive","",""
23/11/1984 23:15,0.922,7.89,"1c","Digital Archive","",""
03/12/1984 00:15,0.532,2.73,"1b","Digital Archive","",""
24/12/1984 16:00,0.488,2.28,"1b","Digital Archive","",""
21/01/1985 20:15,0.838,6.60,"1c","Digital Archive","",""
11/04/1985 20:45,0.883,7.28,"1c","Digital Archive","",""
20/05/1985 22:30,0.857,6.89,"1c","Digital Archive","",""
07/06/1985 09:00,0.648,4.03,"1b","Digital Archive","",""
08/06/1985 00:15,0.500,2.40,"1b","Digital Archive","",""
05/12/1985 18:45,0.782,5.79,"1b","Digital Archive","",""
07/12/1985 00:15,0.865,7.01,"1c","Digital Archive","",""
24/12/1985 09:00,0.754,5.40,"1b","Digital Archive","",""
25/12/1985 03:00,0.500,2.40,"1b","Digital Archive","",""
26/12/1985 03:15,0.685,4.49,"1b","Digital Archive","",""
10/01/1986 12:30,1.116,11.23,"1c","Digital Archive","",""
02/02/1986 07:15,0.529,2.70,"1b","Digital Archive","",""
15/04/1986 15:30,0.726,5.03,"1b","Digital Archive","",""
17/04/1986 23:45,0.462,2.04,"1b","Digital Archive","",""
20/04/1986 11:15,0.669,4.29,"1b","Digital Archive","",""
22/04/1986 18:15,0.456,1.98,"1b","Digital Archive","",""
26/08/1986 03:00,0.474,2.15,"1b","Digital Archive","",""
21/11/1986 03:30,0.765,5.56,"1b","Digital Archive","",""
15/12/1986 16:30,0.522,2.62,"1b","Digital Archive","",""
30/12/1986 16:45,0.592,3.38,"1b","Digital Archive","",""
01/01/1987 10:45,0.816,6.28,"1c","Digital Archive","",""
22/01/1987 17:15,0.510,2.50,"1b","Digital Archive","",""
12/02/1987 17:00,0.469,2.10,"1b","Digital Archive","",""
19/06/1987 13:00,0.476,2.17,"1b","Digital Archive","",""
10/10/1987 14:15,0.570,3.13,"1b","Digital Archive","",""
16/10/1987 05:00,0.680,4.43,"1b","Digital Archive","",""
21/10/1987 04:45,0.964,8.58,"1c","Digital Archive","",""
11/11/1987 20:00,0.544,2.85,"1b","Digital Archive","",""
19/11/1987 18:00,0.460,2.02,"1b","Digital Archive","",""
27/12/1987 11:00,0.616,3.65,"1b","Digital Archive","",""
02/01/1988 13:00,0.683,4.47,"1b","Digital Archive","",""
06/01/1988 14:00,0.575,3.19,"1b","Digital Archive","",""
24/01/1988 06:00,1.276,14.33,"1c","Digital Archive","",""
25/01/1988 21:15,0.523,2.63,"1b","Digital Archive","",""
28/01/1988 13:00,0.595,3.41,"1b","Digital Archive","",""
29/01/1988 18:15,0.742,5.24,"1b","Digital Archive","",""
01/02/1988 06:30,0.591,3.37,"1b","Digital Archive","",""
05/02/1988 01:15,0.591,3.37,"1b","Digital Archive","",""
15/03/1988 17:30,0.707,4.78,"1b","Digital Archive","Non-independent peak removed B",""
20/03/1988 01:45,0.507,2.47,"1b","Digital Archive","Non-independent peak removed B",""
25/03/1988 09:45,0.550,2.92,"1b","Digital Archive","",""
15/03/1989 00:15,0.474,2.15,"1b","Digital Archive","",""
02/04/1989 20:45,0.550,2.92,"1b","Digital Archive","",""
05/04/1989 13:45,0.573,3.16,"1b","Digital Archive","Non-independent peak removed A",""
25/04/1989 16:15,0.657,4.14,"1b","Digital Archive","",""
08/11/1989 22:00,0.483,2.24,"1b","Digital Archive","",""
14/12/1989 23:00,0.861,6.95,"1c","Digital Archive","",""
16/12/1989 14:00,0.620,3.70,"1b","Digital Archive","",""
19/12/1989 01:00,0.788,5.88,"1b","Digital Archive","",""
02/02/1990 04:00,0.504,2.44,"1b","Digital Archive","",""
07/02/1990 19:45,0.628,3.79,"1b","Digital Archive","",""
28/02/1990 19:00,0.510,2.50,"1b","Digital Archive","",""
10/01/1991 03:45,0.768,5.60,"1b","Digital Archive","Non-independent peak removed B",""
28/02/1991 03:15,0.722,4.97,"1b","Digital Archive","",""
09/01/1992 14:15,0.873,7.13,"1c","Digital Archive","",""
22/03/1992 13:15,0.477,2.18,"1b","Digital Archive","",""
23/09/1992 08:45,1.276,14.33,"1c","Digital Archive","",""
25/09/1992 23:30,0.474,2.15,"1b","Digital Archive","",""
03/10/1992 01:45,0.952,8.38,"1c","Digital Archive","Non-independent peak removed A",""
25/10/1992 11:30,0.621,3.71,"1b","Digital Archive","",""
11/11/1992 10:00,0.847,6.74,"1c","Digital Archive","",""
26/11/1992 00:00,0.777,5.72,"1b","Digital Archive","",""
30/11/1992 19:45,0.587,3.32,"1b","Digital Archive","",""
02/12/1992 20:00,0.759,5.47,"1b","Digital Archive","",""
07/12/1992 03:00,0.898,7.52,"1c","Digital Archive","",""
18/12/1992 18:45,0.503,2.43,"1b","Digital Archive","",""
13/01/1993 19:00,1.419,17.36,"1c","Digital Archive","symetrical peak",""
11/06/1993 14:15,0.967,8.63,"1c","Digital Archive","Non-independent peak removed B",""
16/07/1993 17:00,0.463,2.05,"1b","Digital Archive","",""
16/09/1993 22:30,0.509,2.49,"1b","Digital Archive","",""
05/10/1993 19:45,0.819,6.32,"1c","Digital Archive","",""
13/10/1993 09:15,0.740,5.21,"1b","Digital Archive","",""
14/11/1993 00:15,1.044,9.94,"1c","Digital Archive","",""
09/12/1993 02:30,0.476,2.17,"1b","Digital Archive","",""
12/12/1993 19:00,1.261,14.03,"1c","Digital Archive","",""
15/12/1993 05:30,0.731,5.09,"1b","Digital Archive","",""
20/12/1993 21:45,0.523,2.63,"1b","Digital Archive","",""
23/12/1993 20:30,0.501,2.41,"1b","Digital Archive","",""
29/12/1993 14:15,0.955,8.43,"1c","Digital Archive","",""
