"NAME:","Willow Brook at Fotheringhay"
"NUMBER:","32002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
30/12/1938 00:00,,3.14,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold, taken from sws year book",""
02/01/1939 00:00,,3.54,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
08/01/1939 00:00,,6.37,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
16/01/1939 00:00,,4.95,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
26/01/1939 00:00,,10.33,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
01/02/1939 00:00,,2.21,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold, taken from sws year book",""
18/10/1939 00:00,,2.55,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
19/11/1939 00:00,,2.29,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
25/11/1939 00:00,,3.45,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
05/12/1939 00:00,,4.48,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
09/12/1939 00:00,,3.68,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
08/02/1940 00:00,,5.52,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
21/02/1940 00:00,,5.04,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
29/02/1940 00:00,,2.41,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
18/03/1940 00:00,,5.21,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
23/11/1940 00:00,,5.38,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
26/01/1941 00:00,,5.10,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
09/02/1941 00:00,,2.29,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
20/02/1941 00:00,,2.26,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
08/03/1941 00:00,,6.88,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
26/03/1941 00:00,,4.25,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
02/04/1941 00:00,,3.37,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
25/01/1942 00:00,,2.86,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
04/02/1942 00:00,,2.83,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
11/02/1942 00:00,,3.40,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
04/03/1942 00:00,,3.51,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
13/01/1943 00:00,,2.35,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold, taken from sws year book",""
24/02/1943 00:00,,4.16,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
05/04/1944 00:00,,0.74,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold, annual maximum below threshold",""
01/02/1945 00:00,,4.67,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
13/02/1945 00:00,,2.69,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
07/02/1946 00:00,,1.42,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold, annual maximum below threshold",""
16/11/1946 00:00,,2.41,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
21/11/1946 00:00,,2.83,"1a","CEH POT 10/05/1972","flow data, table shows peaks over 2.12 cumecs,no level threshold",""
