"NAME:","Nene/Brampton at St Andrews Total"
"NUMBER:","32007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/11/1940 00:00,,14.59,"","FEH CDROM","",""
22/11/1940 00:00,,27.09,"","FEH CDROM","",""
22/01/1941 00:00,,30.23,"","FEH CDROM","",""
25/01/1941 00:00,,30.87,"","FEH CDROM","",""
28/01/1941 00:00,,17.56,"","FEH CDROM","",""
07/02/1941 00:00,,10.64,"","FEH CDROM","",""
08/03/1941 00:00,,31.51,"","FEH CDROM","",""
26/03/1941 00:00,,13.43,"","FEH CDROM","",""
01/04/1941 00:00,,10.10,"","FEH CDROM","",""
11/06/1941 00:00,,10.10,"","FEH CDROM","",""
24/01/1942 00:00,,24.68,"","FEH CDROM","",""
04/02/1942 00:00,,21.72,"","FEH CDROM","",""
10/02/1942 00:00,,12.30,"","FEH CDROM","",""
04/03/1942 00:00,,12.86,"","FEH CDROM","",""
12/01/1943 00:00,,11.19,"","FEH CDROM","",""
01/02/1943 00:00,,22.90,"","FEH CDROM","",""
04/04/1944 00:00,,3.47,"","FEH","","AMAX ONLY"
31/01/1945 00:00,,25.28,"","FEH CDROM","",""
28/12/1945 00:00,,14.01,"","FEH CDROM","",""
11/01/1946 00:00,,11.19,"","FEH CDROM","",""
09/02/1946 00:00,,12.86,"","FEH CDROM","",""
15/11/1946 00:00,,19.40,"","FEH CDROM","",""
20/11/1946 00:00,,15.17,"","FEH CDROM","",""
24/11/1946 00:00,,12.30,"","FEH CDROM","",""
27/11/1946 00:00,,19.40,"","FEH CDROM","",""
11/01/1947 00:00,,12.30,"","FEH CDROM","",""
11/03/1947 00:00,,14.59,"","FEH CDROM","",""
18/03/1947 00:00,,24.80,"","FEH CDROM","",""
21/03/1947 00:00,,15.76,"","FEH CDROM","",""
24/03/1947 00:00,,10.64,"","FEH CDROM","",""
11/01/1948 00:00,,6.00,"","FEH","","AMAX ONLY"
14/12/1948 00:00,,10.10,"","FEH CDROM","",""
06/02/1950 00:00,,12.86,"","FEH CDROM","",""
10/02/1950 00:00,,14.59,"","FEH CDROM","",""
13/02/1950 00:00,,18.17,"","FEH CDROM","",""
21/11/1950 00:00,,16.72,"","FEH CDROM","",""
05/01/1951 00:00,,14.24,"","FEH CDROM","",""
11/02/1951 00:00,,12.30,"","FEH CDROM","",""
17/02/1951 00:00,,13.32,"","FEH CDROM","",""
14/03/1951 00:00,,11.19,"","FEH CDROM","",""
18/03/1951 00:00,,12.30,"","FEH CDROM","",""
09/04/1951 00:00,,22.31,"","FEH CDROM","",""
13/04/1951 00:00,,12.30,"","FEH CDROM","",""
05/05/1951 00:00,,21.37,"","FEH CDROM","",""
25/11/1951 00:00,,17.56,"","FEH CDROM","",""
09/03/1952 00:00,,15.88,"","FEH CDROM","",""
17/12/1952 00:00,,10.64,"","FEH CDROM","",""
19/12/1952 00:00,,14.01,"","FEH CDROM","",""
11/02/1953 00:00,,14.01,"","FEH CDROM","",""
07/03/1954 00:00,,13.33,"","FEH CDROM","",""
26/11/1954 00:00,,16.96,"","FEH CDROM","",""
30/11/1954 00:00,,11.19,"","FEH CDROM","",""
09/12/1954 00:00,,19.98,"","FEH CDROM","",""
13/12/1954 00:00,,14.01,"","FEH CDROM","",""
16/01/1955 00:00,,10.64,"","FEH CDROM","",""
22/01/1955 00:00,,11.19,"","FEH CDROM","",""
26/03/1955 00:00,,21.26,"","FEH CDROM","",""
16/05/1955 00:00,,16.36,"","FEH CDROM","",""
26/01/1956 00:00,,10.21,"","FEH CDROM","",""
28/12/1956 00:00,,10.21,"","FEH CDROM","",""
01/01/1957 00:00,,11.08,"","FEH CDROM","",""
29/01/1958 00:00,,12.19,"","FEH CDROM","",""
24/02/1958 00:00,,10.53,"","FEH CDROM","",""
02/07/1958 00:00,,17.56,"","FEH CDROM","",""
07/01/1959 00:00,,26.49,"","FEH CDROM","",""
18/01/1959 00:00,,13.43,"","FEH CDROM","",""
20/01/1959 00:00,,16.24,"","FEH CDROM","Non-independent peak removed",""
22/01/1959 00:00,,14.36,"","FEH CDROM","",""
16/04/1959 00:00,,10.10,"","FEH CDROM","",""
25/01/1960 00:00,,12.30,"","FEH CDROM","",""
30/10/1960 00:00,,12.30,"","FEH CDROM","",""
01/11/1960 00:00,,11.52,"","FEH CDROM","",""
04/12/1960 00:00,,18.17,"","FEH CDROM","",""
21/12/1960 00:00,,17.93,"","FEH CDROM","",""
30/12/1961 00:00,,8.96,"","FEH","","AMAX ONLY"
06/03/1963 00:00,,9.18,"","FEH","","AMAX ONLY"
24/03/1964 00:00,,12.03,"","CEH Handwritten","Flow from St Andrew Mill record only with combined rating",""
