"NAME:","Flore at Experimental Catchment"
"NUMBER:","32029"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/10/1964 00:00,0.076,0.01,"1a","CEH handwritten","",""
06/10/1964 00:00,0.094,0.02,"1a","CEH handwritten","",""
01/11/1964 00:00,0.085,0.02,"1a","CEH handwritten","",""
02/11/1964 00:00,0.104,0.03,"1a","CEH handwritten","",""
03/11/1964 00:00,0.113,0.03,"1a","CEH handwritten","",""
13/12/1964 00:00,0.104,0.03,"1a","CEH handwritten","",""
29/12/1964 00:00,0.189,0.08,"1a","CEH handwritten","",""
16/01/1965 00:00,0.170,0.06,"1a","CEH handwritten","",""
02/02/1965 00:00,0.113,0.03,"1a","CEH handwritten","",""
01/03/1965 00:00,0.076,0.01,"1a","CEH handwritten","",""
05/03/1965 00:00,0.094,0.02,"1a","CEH handwritten","",""
08/03/1965 00:00,0.132,0.04,"1a","CEH handwritten","",""
21/03/1965 00:00,0.454,0.29,"1a","CEH handwritten","",""
01/05/1965 00:00,0.161,0.06,"1a","CEH handwritten","",""
04/05/1965 00:00,0.208,0.09,"1a","CEH handwritten","",""
01/06/1965 00:00,0.104,0.03,"1a","CEH handwritten","",""
08/06/1965 00:00,0.113,0.03,"1a","CEH handwritten","",""
18/06/1965 00:00,0.123,0.04,"1a","CEH handwritten","",""
20/07/1965 00:00,0.539,0.42,"1b","CEH handwritten","",""
23/07/1965 00:00,0.302,0.16,"1a","CEH handwritten","",""
02/08/1965 00:00,0.142,0.05,"1a","CEH handwritten","",""
01/09/1965 00:00,0.085,0.02,"1a","CEH handwritten","",""
03/09/1965 00:00,0.094,0.02,"1a","CEH handwritten","",""
04/09/1965 00:00,0.104,0.03,"1a","CEH handwritten","",""
08/09/1965 00:00,0.416,0.26,"1a","CEH handwritten","",""
25/09/1965 00:00,0.643,0.65,"1b","CEH handwritten","Looks OK for AMAX",""
30/09/1965 00:00,0.435,0.27,"1a","CEH handwritten","Not a peak",""
01/10/1965 00:00,0.406,0.25,"1a","CEH handwritten","Not a peak",""
01/11/1965 00:00,0.170,0.06,"1a","CEH handwritten","",""
18/11/1965 00:00,0.312,0.17,"1a","CEH handwritten","",""
25/11/1965 00:00,0.283,0.15,"1a","CEH handwritten","",""
29/11/1965 00:00,0.690,0.76,"1b","CEH handwritten","",""
02/12/1965 00:00,0.586,0.52,"1b","CEH handwritten","",""
05/12/1965 00:00,0.680,0.74,"1b","CEH handwritten","",""
17/12/1965 00:00,0.557,0.46,"1b","CEH handwritten","",""
18/12/1965 00:00,0.850,1.24,"1b","CEH handwritten","",""
23/12/1965 00:00,0.879,1.34,"1b","CEH handwritten","Looks OK for AMAX",""
29/12/1965 00:00,0.472,0.24,"1b","CEH handwritten","",""
31/12/1965 00:00,0.520,0.39,"1b","CEH handwritten","Not a peak",""
01/01/1966 00:00,0.510,0.37,"1b","CEH handwritten","Not a peak",""
25/01/1966 00:00,0.378,0.22,"1a","CEH handwritten","",""
29/01/1966 00:00,0.340,0.19,"1a","CEH handwritten","",""
01/02/1966 00:00,0.265,0.13,"1a","CEH handwritten","",""
10/02/1966 00:00,0.387,0.23,"1a","CEH handwritten","",""
12/02/1966 00:00,0.425,0.27,"1a","CEH handwritten","",""
19/02/1966 00:00,0.491,0.34,"1b","CEH handwritten","",""
21/02/1966 00:00,0.633,0.62,"1b","CEH handwritten","",""
22/02/1966 00:00,0.680,0.74,"1b","CEH handwritten","",""
25/02/1966 00:00,0.775,1.00,"1b","CEH handwritten","",""
01/03/1966 00:00,0.312,0.17,"1a","CEH handwritten","Not a peak",""
01/04/1966 00:00,0.151,0.05,"1a","CEH handwritten","",""
02/04/1966 00:00,0.170,0.06,"1a","CEH handwritten","",""
06/04/1966 00:00,0.265,0.13,"1a","CEH handwritten","",""
09/04/1966 00:00,0.312,0.17,"1a","CEH handwritten","",""
15/04/1966 00:00,0.406,0.25,"1a","CEH handwritten","",""
18/04/1966 00:00,0.576,0.50,"1b","CEH handwritten","",""
19/04/1966 00:00,0.586,0.52,"1b","CEH handwritten","",""
22/04/1966 00:00,0.444,0.28,"1a","CEH handwritten","",""
01/05/1966 00:00,0.217,0.10,"1a","CEH handwritten","",""
11/05/1966 00:00,0.265,0.13,"1a","CEH handwritten","",""
12/05/1966 00:00,0.302,0.16,"1a","CEH handwritten","",""
01/06/1966 00:00,0.132,0.04,"1a","CEH handwritten","",""
