"NAME:","Ivel at Blunham"
"NUMBER:","33022"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/11/1965 00:00,0.730,10.83,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed, Spike on peak ignored.",""
05/12/1965 00:00,0.790,12.38,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed, Spike on peak ignored.",""
09/12/1965 00:00,0.900,15.44,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed",""
17/12/1965 00:00,0.790,12.38,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed, Spike on peak ignored.",""
23/12/1965 00:00,0.880,14.86,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed",""
10/01/1966 00:00,0.990,18.14,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed",""
19/04/1966 00:00,0.930,16.32,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed",""
03/12/1966 00:00,0.750,11.34,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed",""
11/12/1966 00:00,1.220,25.86,"Rating review 20123","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed",""
31/12/1966 00:00,0.820,13.19,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed",""
20/02/1967 00:00,0.820,13.19,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.885modn Threshold Level = 19.616m, IOH noted a Datum error which appears to have been addressed",""
02/11/1967 00:00,0.870,14.58,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
05/11/1967 00:00,0.810,12.92,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
14/01/1968 00:00,1.070,20.70,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
10/08/1968 00:00,0.780,12.12,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m., spike on peak ignored.",""
17/09/1968 00:00,1.200,25.15,"Rating review 20123","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
02/11/1968 00:00,0.870,14.58,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
18/12/1968 00:00,0.970,17.53,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
21/12/1968 00:00,0.760,11.60,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
22/12/1968 00:00,0.990,18.14,"Rating review 20122","CEH POTS 28/07/1978","Non-independent peak removed Datum 18.898modn Threshold Level = 19.622m., spike on peak ignored.",""
25/12/1968 00:00,0.790,12.38,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
13/01/1969 00:00,0.880,14.86,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m., spike on peak ignored.",""
16/01/1969 00:00,1.040,19.73,"Rating review 20122","CEH POTS 28/07/1978","Non-independent peak removed Datum 18.898modn Threshold Level = 19.622m., spike on peak ignored.",""
18/01/1969 00:00,0.880,14.86,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
23/01/1969 00:00,1.030,19.41,"Rating review 20122","CEH POTS 28/07/1978","Datum 18.898modn Threshold Level = 19.622m.",""
