"NAME:","Clipstone Brook at Clipstone"
"NUMBER:","33030"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/10/1966 00:00,1.040,9.20,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
03/10/1966 00:00,1.030,9.15,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
13/10/1966 00:00,0.990,8.81,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
14/10/1966 00:00,0.680,4.98,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m",""
19/10/1966 00:00,0.750,5.72,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
05/11/1966 00:00,0.660,4.76,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m",""
10/11/1966 00:00,1.000,8.98,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
27/02/1967 00:00,0.680,4.93,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
28/10/1967 00:00,0.800,5.58,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
02/11/1967 00:00,1.180,8.41,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
14/01/1968 00:00,1.360,11.39,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
11/07/1968 00:00,0.800,5.18,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
16/07/1968 00:00,0.660,4.39,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
09/08/1968 00:00,1.070,9.12,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
16/09/1968 00:00,1.760,4.39,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
01/10/1968 00:00,0.920,7.28,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
21/12/1968 00:00,0.680,4.67,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
22/02/1969 00:00,0.660,4.59,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
13/03/1969 00:00,1.230,11.86,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
12/03/1970 00:00,0.820,4.13,"1b","CEH AMAX 26/06/1978","83.52modn Datum, Threshold Level 84.134m, annual maximum below threshold Flow from CEH Ann Max Flow List","AMAX ONLY"
23/01/1971 00:00,1.320,13.31,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
31/01/1971 00:00,0.920,7.93,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m Flow from estimate",""
19/10/1971 00:00,0.630,4.44,"1b","CEH POTS 26/06/1978","83.52modn Datum, Threshold Level 84.134m",""
06/12/1972 00:00,0.230,0.95,"1b","CEH AMAX 26/06/1978","83.52modn Datum, Threshold Level 84.134m, annual maximum below threshold","AMAX ONLY"
09/02/1974 00:00,0.935,5.05,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00,GORA crump weir drowning curve used",""
10/03/1974 00:00,1.175,10.96,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00,GORA crump weir drowning curve used",""
27/09/1974 00:00,0.778,6.11,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
04/10/1974 23:00,0.718,5.41,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
07/10/1974 00:00,1.295,12.71,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00,GORA crump weir drowning curve used",""
18/11/1974 00:00,1.145,13.99,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00,GORA crump weir drowning curve used",""
21/11/1974 23:00,0.830,6.14,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00,GORA crump weir drowning curve used",""
20/01/1975 00:00,0.880,7.37,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
27/01/1975 00:00,0.670,4.87,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
14/02/1975 00:00,0.830,6.74,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
13/03/1975 00:00,0.660,4.76,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
04/04/1975 00:00,0.830,6.74,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
17/05/1975 00:00,0.850,6.99,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
04/01/1976 00:00,0.170,0.60,"1b","CEH POTS 06/09/1988","Below Threshold.","AMAX ONLY"
19/12/1976 00:00,0.630,4.44,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
31/12/1976 00:00,1.010,9.08,"1b","CEH POTS 06/09/1988","Threshold Level 0.617m datum 0.00",""
