"NAME:","Wittle at Quidenham"
"NUMBER:","33045"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
06/11/1967 00:00,0.402,0.85,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m converted from ft to m",""
06/01/1968 00:00,0.344,0.61,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m converted from ft to m",""
14/01/1968 00:00,0.369,0.71,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m converted from ft to m",""
09/02/1968 00:00,0.378,0.75,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m converted from ft to m",""
16/09/1968 00:00,,3.40,"1a","FEH CD-ROM","",""
02/11/1968 00:00,0.360,0.67,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m,Spike on peak ignored. converted from ft to m",""
22/12/1968 00:00,0.427,0.97,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m converted from ft to m",""
04/01/1969 00:00,0.378,0.75,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m converted from ft to m",""
23/01/1969 00:00,0.360,0.67,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
28/01/1969 00:00,0.364,0.69,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
06/02/1969 00:00,0.426,0.97,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
12/02/1969 00:00,0.343,0.61,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
22/02/1969 00:00,0.504,1.38,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
13/03/1969 00:00,0.413,0.91,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
06/05/1969 00:00,0.350,0.63,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
18/05/1969 00:00,0.431,0.99,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
08/12/1969 00:00,0.320,0.52,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
15/12/1969 00:00,0.352,0.64,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
16/01/1970 00:00,0.422,0.95,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
20/02/1970 00:00,0.475,1.22,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
13/03/1970 00:00,0.375,0.73,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
12/04/1970 00:00,0.315,0.50,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
29/12/1970 00:00,0.425,0.96,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
24/01/1971 00:00,0.470,1.19,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m,Spike on peak ignored.",""
31/01/1971 00:00,0.335,0.58,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
22/11/1971 00:00,0.410,0.89,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
27/01/1972 00:00,0.500,1.35,"1d","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
12/02/1972 00:00,0.352,0.64,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
05/05/1973 00:00,0.205,0.20,"1c","CEHPOT 23/5/78","Stage, Datum 0.00, threshold 0.313m",""
15/02/1974 00:00,0.268,0.35,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
19/11/1974 00:00,0.475,1.22,"1d","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
23/01/1975 00:00,0.370,0.71,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m, Peak taken after debris removed.",""
28/01/1975 00:00,0.369,0.71,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m, Debris on crest. Est by awa",""
19/04/1975 00:00,0.400,0.84,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
17/11/1975 00:00,0.244,0.29,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
15/01/1977 00:00,0.390,0.80,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
28/01/1977 00:00,0.344,0.61,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
11/02/1977 00:00,0.320,0.52,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
21/02/1977 00:00,0.367,0.70,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
25/02/1977 00:00,0.353,0.64,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
21/03/1978 00:00,0.375,0.73,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
29/12/1978 00:00,0.350,0.63,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
02/02/1979 00:00,0.658,2.27,"1d","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m, In bank peak.",""
14/02/1979 00:00,0.392,0.81,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
24/02/1979 00:00,0.373,0.73,"1c","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
29/03/1979 00:00,0.510,1.41,"1d","CEHPOT 22/04/88","Stage, Datum 0.00, Threshold 0.315m",""
14/12/1979 10:00,0.238,0.27,"1c","Digital Archive","",""
29/12/1979 02:00,0.393,0.81,"1c","Digital Archive","",""
01/07/1980 13:30,0.236,0.27,"1c","Digital Archive","",""
14/07/1980 13:45,0.172,0.14,"1b","Digital Archive","",""
19/07/1980 22:00,0.224,0.24,"1c","Digital Archive","",""
16/10/1980 19:00,0.137,0.10,"1b","Digital Archive","",""
16/11/1980 08:00,0.187,0.16,"1b","Digital Archive","",""
21/12/1980 01:30,0.382,0.76,"1c","Digital Archive","",""
15/01/1981 07:00,0.433,1.00,"1d","Digital Archive","",""
11/03/1981 14:30,0.504,1.38,"1d","Digital Archive","",""
27/04/1981 13:15,0.586,1.84,"1d","Digital Archive","",""
25/06/1981 08:15,0.166,0.13,"1b","Digital Archive","",""
07/10/1981 03:30,0.164,0.13,"1b","Digital Archive","",""
20/10/1981 16:00,0.195,0.18,"1c","Digital Archive","",""
19/11/1981 00:00,0.145,0.11,"1b","Digital Archive","",""
31/12/1981 01:45,0.465,1.17,"1d","Digital Archive","",""
17/02/1982 11:00,0.186,0.16,"1b","Digital Archive","",""
20/03/1982 05:15,0.201,0.19,"1c","Digital Archive","",""
06/05/1982 08:30,0.138,0.10,"1b","Digital Archive","",""
27/05/1982 13:45,0.241,0.28,"1c","Digital Archive","",""
18/06/1982 18:15,0.190,0.17,"1b","Digital Archive","",""
22/06/1982 22:30,0.167,0.13,"1b","Digital Archive","",""
26/06/1982 18:30,0.207,0.20,"1c","Digital Archive","",""
03/10/1982 04:30,0.202,0.19,"1c","Digital Archive","",""
07/10/1982 18:45,0.228,0.25,"1c","Digital Archive","Non-independent peak removed",""
23/10/1982 05:45,0.449,1.09,"1d","Digital Archive","",""
16/11/1982 22:00,0.256,0.32,"1c","Digital Archive","",""
25/11/1982 15:00,0.333,0.57,"1c","Digital Archive","",""
10/12/1982 16:00,0.544,1.60,"1d","Digital Archive","",""
07/01/1983 03:15,0.293,0.43,"1c","Digital Archive","",""
14/01/1983 14:15,0.256,0.32,"1c","Digital Archive","",""
01/02/1983 08:45,0.252,0.31,"1c","Digital Archive","",""
08/02/1983 02:15,0.326,0.54,"1c","Digital Archive","",""
12/02/1983 03:45,0.307,0.48,"1c","Digital Archive","",""
02/04/1983 11:15,0.254,0.31,"1c","Digital Archive","",""
12/04/1983 19:00,0.375,0.73,"1c","Digital Archive","",""
19/04/1983 06:30,0.321,0.52,"1c","Digital Archive","",""
01/05/1983 18:30,0.219,0.23,"1c","Digital Archive","",""
09/05/1983 07:45,0.263,0.34,"1c","Digital Archive","",""
16/05/1983 04:45,0.319,0.52,"1c","Digital Archive","",""
21/05/1983 13:30,0.284,0.40,"1c","Digital Archive","",""
07/06/1983 12:00,0.195,0.18,"1c","Digital Archive","",""
23/06/1983 05:30,0.291,0.42,"1c","Digital Archive","",""
25/06/1983 06:00,0.257,0.32,"1c","Digital Archive","",""
18/09/1983 14:30,0.135,0.09,"1b","Digital Archive","",""
27/11/1983 11:30,0.317,0.51,"1c","Digital Archive","",""
09/12/1983 04:45,0.173,0.14,"1b","Digital Archive","",""
16/01/1984 17:45,0.203,0.19,"1c","Digital Archive","",""
28/01/1984 19:30,0.587,1.85,"1d","Digital Archive","",""
26/03/1984 10:15,0.256,0.32,"1c","Digital Archive","",""
22/05/1984 07:45,0.232,0.26,"1c","Digital Archive","",""
28/05/1984 11:45,0.230,0.25,"1c","Digital Archive","",""
01/06/1984 16:00,0.229,0.25,"1c","Digital Archive","",""
07/06/1984 03:15,0.202,0.19,"1c","Digital Archive","",""
20/06/1984 22:30,0.194,0.17,"1c","Digital Archive","",""
20/09/1984 20:30,0.148,0.11,"1b","Digital Archive","",""
24/09/1984 02:15,0.165,0.13,"1b","Digital Archive","",""
24/11/1984 01:00,0.405,0.87,"1c","Digital Archive","",""
06/12/1984 11:00,0.203,0.19,"1c","Digital Archive","",""
21/12/1984 01:45,0.291,0.42,"1c","Digital Archive","",""
22/01/1985 01:15,0.652,2.24,"1d","Digital Archive","Non-independent peak removed A","AMAX ONLY"
30/01/1985 10:00,0.358,0.66,"1c","Digital Archive","",""
02/03/1985 19:45,0.210,0.21,"1c","Digital Archive","",""
11/03/1985 08:30,0.238,0.27,"1c","Digital Archive","",""
01/04/1985 05:15,0.195,0.18,"1c","Digital Archive","",""
08/04/1985 20:30,0.243,0.29,"1c","Digital Archive","",""
12/04/1985 06:45,0.340,0.59,"1c","Digital Archive","",""
15/04/1985 06:45,0.356,0.66,"1c","Digital Archive","",""
09/05/1985 13:00,0.194,0.17,"1c","Digital Archive","",""
15/05/1985 00:00,0.414,0.91,"1d","Digital Archive","",""
07/06/1985 16:15,0.321,0.52,"1c","Digital Archive","",""
12/06/1985 16:00,0.289,0.42,"1c","Digital Archive","",""
14/06/1985 17:30,0.365,0.69,"1c","Digital Archive","",""
23/06/1985 10:30,0.233,0.26,"1c","Digital Archive","",""
26/06/1985 11:30,0.331,0.56,"1c","Digital Archive","",""
29/06/1985 21:00,0.321,0.52,"1c","Digital Archive","",""
05/07/1985 19:45,0.210,0.21,"1c","Digital Archive","",""
07/12/1985 08:45,0.294,0.43,"1c","Digital Archive","",""
26/12/1985 22:45,0.379,0.75,"1c","Digital Archive","",""
05/01/1986 20:15,0.286,0.41,"1c","Digital Archive","",""
10/01/1986 19:45,0.363,0.68,"1c","Digital Archive","",""
22/01/1986 18:45,0.241,0.28,"1c","Digital Archive","",""
06/03/1986 16:45,0.177,0.15,"1b","Digital Archive","",""
09/04/1986 20:00,0.216,0.22,"1c","Digital Archive","",""
21/04/1986 21:15,0.316,0.51,"1c","Digital Archive","",""
07/05/1986 06:00,0.207,0.20,"1c","Digital Archive","",""
