"NAME:","Thet at Redbridge"
"NUMBER:","33046"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
06/01/1968 00:00,0.597,3.98,"1d","CEH POTS 23-5-78","Datum 20.12 Threshold 20.696 applied",""
14/01/1968 00:00,0.710,4.99,"1d","CEH POTS 23-5-78","Datum 20.12 Threshold 20.696 applied",""
09/02/1968 00:00,0.634,4.31,"1d","CEH POTS 23-5-78","Datum 20.12 Threshold 20.696 applied",""
11/09/1968 00:00,0.622,4.20,"1d","CEH POTS 23-5-78","Datum 20.12 Threshold 20.696 applied",""
16/09/1968 00:00,2.115,17.52,"1d","CEH POTS 23-5-78","Datum 20.12 Threshold 20.696 applied",""
08/10/1968 00:00,0.585,3.87,"1d","CEH POTS 23-5-78","Datum 20.12 Threshold 20.696 applied",""
02/11/1968 00:00,0.689,4.80,"1d","CEH POTS 23-5-78","Datum 20.12 Threshold 20.696 applied",""
18/12/1968 00:00,0.619,4.17,"1d","CEH POTS 23-5-78","Datum 20.12 Threshold 20.696 applied",""
22/12/1968 00:00,0.856,6.29,"1d","CEH POTS 23-5-78","Datum 20.12 Threshold 20.696 applied",""
07/01/1969 00:00,0.649,4.44,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
28/01/1969 00:00,0.757,5.41,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
06/02/1969 00:00,0.825,6.01,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
12/02/1969 00:00,0.582,3.83,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
23/02/1969 00:00,1.123,8.67,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
13/03/1969 00:00,0.820,5.97,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
18/05/1969 00:00,0.800,5.79,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
03/12/1969 00:00,0.640,4.36,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
15/12/1969 00:00,0.610,4.10,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
16/01/1970 00:00,0.866,6.38,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
20/02/1970 00:00,1.050,8.02,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied, correct level uncertain",""
13/03/1970 00:00,0.627,4.25,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
30/11/1970 00:00,0.770,5.52,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
30/12/1970 00:00,0.808,5.86,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
24/01/1971 00:00,1.215,9.49,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
31/01/1971 00:00,0.595,3.96,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
22/11/1971 00:00,0.960,7.22,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
28/01/1972 00:00,0.880,6.50,"1d","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
20/06/1973 00:00,0.345,1.67,"1c","CEH POTS 23-5-78","Datum 0.00 Threshold 0.576 applied",""
15/02/1974 00:00,0.611,4.11,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
30/10/1974 00:00,0.625,4.23,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
19/11/1974 00:00,1.174,9.13,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
22/01/1975 00:00,0.769,5.51,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
28/01/1975 00:00,0.748,5.33,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
19/04/1975 00:00,0.667,4.60,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
02/12/1975 00:00,0.380,1.95,"1c","CEH POTS 16-2-88","Threshold 0.574 applied",""
02/01/1977 00:00,0.576,3.77,"1c","CEH POTS 16-2-88","Threshold 0.574 applied",""
15/01/1977 00:00,0.781,5.62,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
28/01/1977 00:00,0.702,4.92,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
11/02/1977 00:00,0.647,4.43,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
20/02/1977 00:00,0.710,4.99,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
25/02/1977 00:00,0.623,4.21,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
02/02/1978 00:00,0.618,4.17,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
21/03/1978 00:00,0.689,4.80,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
30/07/1978 00:00,0.643,4.39,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
29/12/1978 00:00,0.838,6.13,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
02/02/1979 00:00,1.485,11.90,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
14/02/1979 00:00,0.766,5.49,"1d","CEH POTS 16-2-88","Threshold 0.574 applied",""
