"NAME:","Larling Brook at Stonebridge"
"NUMBER:","33048"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/12/1969 00:00,0.380,0.17,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
15/12/1969 00:00,0.400,0.19,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
22/12/1969 00:00,0.355,0.14,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
09/01/1970 00:00,0.375,0.16,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
16/01/1970 00:00,0.463,0.28,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
19/02/1970 00:00,0.490,0.32,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
12/03/1970 00:00,0.430,0.23,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
06/04/1970 00:00,0.392,0.18,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
12/04/1970 00:00,0.392,0.18,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
29/11/1970 00:00,0.374,0.16,"1b","CEH POTS 17-5-88","Clock stopped. Trace sketched inby GA, threshold 0.350 applied",""
29/12/1970 00:00,0.372,0.16,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
24/01/1971 00:00,0.488,0.32,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
31/01/1971 00:00,0.392,0.18,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
26/03/1971 00:00,0.352,0.14,"1b","CEH POTS 17-5-88","Gaps in trace. Peak sketched in by GA, threshold 0.350 applied",""
24/04/1971 00:00,0.373,0.16,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
22/11/1971 00:00,0.393,0.18,"1b","CEH POTS 17-5-88","Trace sketched from tape recorder by GA, threshold 0.350 applied",""
27/01/1972 00:00,0.467,0.28,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
12/02/1972 00:00,0.389,0.18,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
02/08/1972 00:00,0.374,0.16,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
19/06/1973 00:00,0.325,0.11,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
09/02/1974 00:00,0.379,0.17,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
18/11/1974 00:00,0.518,0.37,"1b","CEH POTS 17-5-88","Threshold 0.350 applied",""
