"NAME:","Granta at Babraham"
"NUMBER:","33055"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/12/1976 00:00,0.395,2.88,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
20/12/1976 00:00,0.366,2.46,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
01/01/1977 00:00,0.445,3.68,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
27/01/1977 00:00,0.366,2.46,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
18/02/1977 00:00,0.370,2.52,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
20/02/1977 00:00,0.455,3.85,"4e","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
12/01/1978 00:00,0.400,2.96,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
23/01/1978 00:00,0.380,2.66,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
04/02/1978 00:00,0.370,2.52,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
17/03/1978 00:00,0.395,2.88,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
06/05/1978 00:00,0.755,6.50,"4e","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362,Flow est",""
28/12/1978 00:00,0.385,2.73,"4d","CEHPOT 30/06/88","Stage without 1m offset, datum 0.00, threshold lvl 0.362",""
02/02/1979 14:15,1.662,6.28,"5e","Digital Archive","out of bank event. Flow from CEH estimate",""
07/02/1979 23:30,0.296,1.66,"5c","Digital Archive","",""
14/02/1979 00:45,0.425,3.37,"5c","Digital Archive","",""
