"NAME:","Waveney at Needham Mill"
"NUMBER:","34006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/11/1963 00:00,0.790,9.09,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
16/03/1964 00:00,1.200,22.81,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
24/03/1964 00:00,0.800,9.35,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
19/04/1964 00:00,0.810,9.61,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
22/03/1965 00:00,0.740,7.87,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
29/11/1965 00:00,0.840,10.41,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
06/12/1965 00:00,0.960,13.96,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
10/12/1965 00:00,1.380,67.07,"2b","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
18/12/1965 00:00,1.100,18.83,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
01/01/1966 00:00,0.790,9.09,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
21/02/1966 00:00,0.810,9.61,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
23/11/1966 00:00,0.860,10.96,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
10/12/1966 00:00,1.120,19.59,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
24/12/1966 00:00,0.840,10.41,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
31/12/1966 00:00,0.980,14.61,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
21/02/1967 00:00,0.840,10.41,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
28/02/1967 00:00,0.800,9.35,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
06/11/1967 00:00,0.870,11.24,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
06/01/1968 00:00,0.900,12.11,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied, Correlation with mill weir level",""
15/01/1968 00:00,1.170,21.57,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
10/02/1968 00:00,1.080,18.09,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
17/09/1968 00:00,1.800,113.20,"2c","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
22/12/1968 00:00,1.100,18.83,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
04/01/1969 00:00,0.940,13.33,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
16/01/1969 00:00,0.860,10.96,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
23/01/1969 00:00,1.010,15.61,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
29/01/1969 00:00,0.870,11.24,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
12/02/1969 00:00,0.780,8.84,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
23/02/1969 00:00,1.340,52.51,"2b","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
14/03/1969 00:00,1.220,24.12,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
19/03/1969 00:00,0.860,10.96,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
07/05/1969 00:00,1.030,16.30,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
18/05/1969 00:00,0.840,10.41,"2a","CEH POT 9-6-72","Datum 0.00 Threshold 0.778 applied",""
09/12/1969 00:00,0.890,11.47,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
16/12/1969 00:00,0.920,12.39,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
11/01/1970 00:00,0.820,9.48,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
17/01/1970 00:00,1.170,21.70,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
24/01/1970 00:00,0.860,10.59,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
20/02/1970 00:00,1.130,20.01,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
13/03/1970 00:00,0.860,10.59,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
13/04/1970 00:00,0.880,11.17,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
30/11/1970 00:00,0.830,9.75,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
30/12/1970 00:00,1.190,22.57,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
24/01/1971 00:00,1.340,28.72,"3b","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
01/02/1971 00:00,1.080,18.01,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
23/11/1971 00:00,0.980,14.36,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
29/11/1971 00:00,0.930,12.71,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
28/01/1972 00:00,1.340,28.72,"3b","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
06/12/1972 00:00,0.510,3.14,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
15/02/1974 00:00,0.730,7.23,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
30/10/1974 00:00,0.820,9.48,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
19/11/1974 00:00,1.360,29.59,"3b","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
22/11/1974 00:00,1.410,31.82,"3b","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
21/01/1975 00:00,1.060,17.24,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
29/01/1975 00:00,1.080,18.01,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
14/03/1975 00:00,0.860,10.59,"3a","CEH POT 20-10-78","Datum 0.00 Threshold 0.794",""
02/12/1975 00:00,0.530,3.44,"4a","CEH POT 4-7-89","Datum 0.00 Threshold 0.795applied",""
12/12/1976 00:00,0.600,4.59,"4a","CEH POT 4-7-89","Datum 0.00 Threshold 0.795applied",""
15/01/1977 00:00,1.000,37.32,"4a","CEH POT 4-7-89","Datum 0.00 Threshold 0.795applied",""
26/02/1977 00:00,0.920,12.36,"4a","CEH POT 4-7-89","Datum 0.00 Threshold 0.795applied",""
22/03/1978 00:00,0.860,10.57,"4a","CEH POT 4-7-89","Datum 0.00 Threshold 0.795applied",""
03/02/1979 00:00,1.370,29.61,"4b","CEH POT 4-7-89","Datum 0.00 Threshold 0.795applied",""
14/02/1979 00:00,0.990,14.65,"4a","CEH POT 4-7-89","Datum 0.00 Threshold 0.795applied",""
25/02/1979 00:00,0.850,10.29,"4a","CEH POT 4-7-89","Datum 0.00 Threshold 0.795applied",""
24/03/1979 00:00,1.020,15.66,"4b","CEH POT 4-7-89","Datum 0.00 Threshold 0.795applied",""
14/12/1979 21:45,0.614,4.84,"4a","Digital Archive","",""
29/12/1979 00:30,0.777,8.35,"4a","Digital Archive","",""
