"NAME:","Can at Beach's Mill"
"NUMBER:","37006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/03/1963 00:00,,10.80,"","FEH","","AMAX ONLY"
15/03/1964 00:00,,33.10,"","FEH","","AMAX ONLY"
15/10/1964 00:00,0.460,1.52,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
14/11/1964 00:00,0.310,0.47,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
13/12/1964 00:00,0.430,1.27,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
24/01/1965 00:00,0.500,1.87,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
20/02/1965 00:00,0.300,0.42,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
20/03/1965 00:00,,4.89,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
20/04/1965 00:00,0.580,2.64,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
27/05/1965 00:00,0.300,0.42,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
08/06/1965 00:00,0.370,0.84,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
23/07/1965 00:00,0.480,1.69,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
03/08/1965 00:00,0.490,1.78,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
03/09/1965 00:00,,8.09,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
01/10/1965 00:00,0.610,2.96,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
29/11/1965 00:00,,10.12,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
09/12/1965 00:00,,19.20,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow. CEH monthly max gives 16.2 m3/s; FEH gives 19.2 m3/s",""
02/01/1966 00:00,,12.60,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
10/02/1966 00:00,,15.10,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
01/03/1966 00:00,0.530,2.15,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
07/05/1966 00:00,0.430,1.27,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
23/06/1966 00:00,0.580,2.64,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
20/07/1966 00:00,0.390,0.97,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
31/08/1966 00:00,0.560,2.44,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
01/09/1966 00:00,0.370,0.84,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
23/10/1966 00:00,,8.10,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
05/11/1966 00:00,,4.30,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
10/12/1966 00:00,,17.20,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
26/01/1967 00:00,,11.20,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
28/02/1967 00:00,,19.90,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
09/03/1967 00:00,,8.08,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
10/04/1967 00:00,,13.70,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
05/05/1967 00:00,0.600,2.85,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
25/06/1967 00:00,1.000,8.16,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
18/07/1967 00:00,0.300,0.42,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
15/08/1967 00:00,0.300,0.42,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
15/09/1967 00:00,0.300,0.42,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
31/10/1967 00:00,0.820,5.53,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
04/11/1967 00:00,,14.70,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
18/12/1967 00:00,,10.40,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
14/01/1968 00:00,,16.20,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
13/02/1968 00:00,,5.70,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
24/03/1968 00:00,0.450,1.43,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
18/04/1968 00:00,0.760,4.73,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
04/05/1968 00:00,0.490,1.78,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
28/06/1968 00:00,,2.70,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
09/08/1968 00:00,,5.00,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
16/09/1968 00:00,,18.90,"","CEH MonthlyMax 6-11-72","Datum 0.00, Estimated Flow",""
12/10/1968 00:00,1.300,13.15,"","CEH MonthlyMax 6-11-72","Datum 0.00",""
