"NAME:","Tilling Bourne at Shalford"
"NUMBER:","39029"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
15/09/1968 21:00,2.844,6.09,"[migrated]2","Digital Archive","",""
13/03/1969 21:00,1.145,3.23,"[migrated]2","Digital Archive","",""
02/08/1969 21:00,0.730,2.36,"[migrated]2","Digital Archive","",""
14/01/1970 21:00,0.403,1.56,"[migrated]2","Digital Archive","",""
06/04/1970 21:00,0.247,1.11,"[migrated]2","Digital Archive","",""
15/11/1970 21:00,1.365,3.65,"[migrated]2","Digital Archive","",""
24/01/1971 21:00,0.885,2.70,"[migrated]2","Digital Archive","",""
19/06/1971 21:00,0.928,2.79,"[migrated]2","Digital Archive","",""
04/08/1971 21:00,0.483,1.77,"[migrated]2","Digital Archive","",""
06/03/1972 21:00,0.584,2.02,"[migrated]2","Digital Archive","",""
06/12/1972 21:00,0.374,1.48,"[migrated]2","Digital Archive","",""
10/02/1974 21:00,0.584,2.02,"[migrated]2","Digital Archive","",""
26/06/1974 21:00,0.270,1.18,"[migrated]2","Digital Archive","",""
27/09/1974 21:00,0.403,1.56,"[migrated]2","Digital Archive","",""
22/11/1974 21:00,0.890,2.71,"[migrated]2","Digital Archive","",""
27/01/1975 21:00,0.563,1.97,"[migrated]2","Digital Archive","",""
19/04/1975 21:00,0.551,1.94,"[migrated]2","Digital Archive","",""
14/09/1975 21:00,0.303,1.28,"[migrated]2","Digital Archive","",""
02/12/1975 21:00,0.307,1.29,"[migrated]2","Digital Archive","",""
01/01/1977 21:00,0.664,2.21,"[migrated]2","Digital Archive","",""
27/08/1977 21:00,0.254,1.13,"[migrated]2","Digital Archive","",""
28/01/1978 21:00,0.452,1.69,"[migrated]2","Digital Archive","",""
06/05/1978 21:00,0.539,1.91,"[migrated]2","Digital Archive","",""
07/04/1979 21:00,1.030,3.00,"[migrated]2","Digital Archive","",""
27/12/1979 21:00,1.155,3.25,"[migrated]2","Digital Archive","",""
01/04/1980 21:00,0.263,1.16,"[migrated]2","Digital Archive","",""
14/06/1980 21:00,0.290,1.24,"[migrated]2","Digital Archive","",""
16/10/1980 21:00,0.519,1.86,"[migrated]2","Digital Archive","",""
26/05/1981 21:00,0.495,1.80,"[migrated]2","Digital Archive","",""
19/09/1981 21:00,0.342,1.39,"[migrated]2","Digital Archive","",""
14/12/1981 21:00,0.321,1.33,"[migrated]2","Digital Archive","",""
09/12/1982 21:00,0.726,2.35,"[migrated]2","Digital Archive","",""
01/06/1983 21:00,0.495,1.80,"[migrated]2","Digital Archive","",""
24/03/1984 21:00,0.830,2.58,"[migrated]2","Digital Archive","",""
22/05/1984 21:00,0.257,1.14,"[migrated]2","Digital Archive","",""
21/01/1985 21:00,0.551,1.94,"[migrated]2","Digital Archive","",""
05/07/1985 21:00,0.437,1.65,"[migrated]2","Digital Archive","",""
26/12/1985 21:00,0.584,2.02,"[migrated]2","Digital Archive","",""
19/11/1986 21:00,,1.37,"[migrated]2","Digital Archive","",""
07/04/1987 21:00,0.241,1.09,"[migrated]2","Digital Archive","",""
08/10/1987 09:30,0.271,1.18,"[migrated]2","Digital Archive","",""
10/10/1987 22:30,0.541,5.09,"[migrated]2","Digital Archive","",""
16/10/1987 06:45,0.272,1.67,"[migrated]2","Digital Archive","",""
21/10/1987 03:00,0.328,2.25,"[migrated]2","Digital Archive","",""
12/11/1987 04:45,0.269,1.64,"[migrated]2","Digital Archive","",""
05/01/1988 22:00,0.258,1.53,"[migrated]2","Digital Archive","",""
22/01/1988 14:00,0.285,1.23,"[migrated]2","Digital Archive","",""
26/01/1988 14:00,0.371,2.74,"[migrated]2","Digital Archive","",""
30/01/1988 00:15,0.505,4.54,"[migrated]2","Digital Archive","",""
01/02/1988 10:15,0.395,3.04,"[migrated]2","Digital Archive","",""
04/02/1988 19:45,0.309,1.30,"[migrated]2","Digital Archive","",""
08/02/1988 07:30,0.254,1.13,"[migrated]2","Digital Archive","",""
21/03/1988 08:45,0.291,1.24,"[migrated]2","Digital Archive","",""
01/09/1988 21:15,0.277,1.20,"[migrated]2","Digital Archive","",""
24/02/1989 18:15,0.282,1.22,"[migrated]2","Digital Archive","",""
26/02/1989 04:30,0.300,1.27,"[migrated]2","Digital Archive","",""
17/03/1989 00:15,0.277,1.20,"[migrated]2","Digital Archive","",""
11/04/1989 13:15,0.305,1.29,"[migrated]2","Digital Archive","",""
17/12/1989 10:30,0.309,1.30,"[migrated]2","Digital Archive","",""
21/12/1989 04:00,0.273,1.60,"[migrated]2","Digital Archive","",""
04/02/1990 15:45,0.674,2.23,"[migrated]2","Digital Archive","",""
08/02/1990 14:45,0.532,1.89,"[migrated]2","Digital Archive","",""
12/02/1990 15:00,0.346,1.40,"[migrated]2","Digital Archive","",""
15/02/1990 08:30,0.352,1.42,"[migrated]2","Digital Archive","",""
10/01/1991 09:00,0.308,1.29,"[migrated]2","Digital Archive","",""
26/11/1992 14:45,0.428,1.72,"[migrated]2","Digital Archive","",""
03/12/1992 11:15,0.403,1.56,"[migrated]2","Digital Archive","",""
18/12/1992 18:45,0.315,1.32,"[migrated]2","Digital Archive","",""
10/01/1993 18:00,0.409,1.58,"[migrated]2","Digital Archive","",""
13/01/1993 17:00,0.250,1.12,"[migrated]2","Digital Archive","",""
01/04/1993 21:45,1.025,2.99,"[migrated]2","Digital Archive","",""
02/10/1993 23:45,0.540,1.91,"[migrated]2","Digital Archive","",""
13/10/1993 23:15,0.343,1.39,"[migrated]2","Digital Archive","",""
14/11/1993 12:45,0.248,1.44,"[migrated]2","Digital Archive","",""
20/12/1993 14:00,0.295,1.25,"[migrated]2","Digital Archive","",""
30/12/1993 18:15,0.264,1.16,"[migrated]2","Digital Archive","",""
02/01/1994 14:30,0.293,1.15,"[migrated]2","Digital Archive","",""
04/01/1994 17:15,0.418,1.60,"[migrated]2","Digital Archive","",""
10/01/1994 11:15,1.126,3.19,"[migrated]2","Digital Archive","",""
13/01/1994 01:30,0.274,1.19,"[migrated]2","Digital Archive","",""
03/02/1994 15:45,0.344,1.40,"[migrated]2","Digital Archive","",""
01/04/1994 07:00,0.303,1.98,"[migrated]2","Digital Archive","",""
09/04/1994 06:30,0.257,1.52,"[migrated]2","Digital Archive","",""
05/11/1994 06:30,0.319,1.33,"[migrated]2","Digital Archive","",""
09/12/1994 08:00,0.516,1.85,"[migrated]2","Digital Archive","",""
30/12/1994 05:30,0.295,1.26,"[migrated]2","Digital Archive","",""
18/01/1995 11:00,0.284,1.22,"[migrated]2","Digital Archive","",""
19/01/1995 21:30,0.375,1.48,"[migrated]2","Digital Archive","",""
22/01/1995 05:00,0.459,1.71,"[migrated]2","Digital Archive","",""
28/01/1995 09:30,0.401,1.56,"[migrated]2","Digital Archive","",""
30/01/1995 04:30,0.389,1.52,"[migrated]2","Digital Archive","",""
01/02/1995 22:45,0.406,1.57,"[migrated]2","Digital Archive","",""
12/02/1995 08:00,0.301,1.27,"[migrated]2","Digital Archive","",""
23/02/1995 06:30,0.319,1.33,"[migrated]2","Digital Archive","",""
08/03/1995 06:15,0.305,1.29,"[migrated]2","Digital Archive","",""
22/12/1995 23:30,0.306,1.29,"[migrated]2","Digital Archive","",""
09/01/1996 16:30,0.497,1.81,"[migrated]2","Digital Archive","",""
25/02/1996 20:15,0.253,1.13,"[migrated]2","Digital Archive","",""
20/11/1996 11:45,0.325,1.34,"[migrated]2","Digital Archive","",""
03/01/1998 22:30,0.253,1.13,"[migrated]2","Digital Archive","",""
05/01/1998 14:30,0.338,1.38,"[migrated]2","Digital Archive","",""
01/11/1998 11:15,0.346,1.40,"[migrated]2","Digital Archive","",""
10/11/1998 08:15,0.292,1.25,"[migrated]2","Digital Archive","",""
16/01/1999 20:30,0.427,1.62,"[migrated]2","Digital Archive","",""
20/01/1999 12:00,0.407,1.57,"[migrated]2","Digital Archive","",""
02/06/1999 13:00,0.245,1.10,"[migrated]2","Digital Archive","",""
22/09/1999 23:45,0.254,1.13,"[migrated]2","Digital Archive","",""
24/09/1999 13:00,0.324,1.34,"[migrated]2","Digital Archive","",""
25/12/1999 13:15,0.587,2.03,"[migrated]2","Digital Archive","",""
04/04/2000 12:30,0.242,1.09,"[migrated]2","Digital Archive","",""
15/04/2000 18:00,0.244,1.10,"[migrated]2","Digital Archive","",""
18/04/2000 22:30,0.290,1.24,"[migrated]2","Digital Archive","",""
21/04/2000 03:30,0.244,1.10,"[migrated]2","Digital Archive","",""
28/05/2000 08:30,0.311,1.30,"[migrated]2","Digital Archive","",""
05/07/2000 21:30,0.344,1.40,"[migrated]2","Digital Archive","",""
16/09/2000 01:45,0.518,1.86,"[migrated]2","Digital Archive","",""
20/09/2000 08:45,0.247,1.11,"[migrated]2","Digital Archive","",""
10/10/2000 13:15,0.504,1.82,"[migrated]2","Digital Archive","",""
12/10/2000 08:45,0.296,1.26,"[migrated]2","Digital Archive","",""
21/10/2000 14:15,0.467,1.73,"[migrated]2","Digital Archive","",""
31/10/2000 11:15,0.920,2.77,"[migrated]2","Digital Archive","",""
02/11/2000 22:00,0.537,1.91,"[migrated]2","Digital Archive","",""
07/11/2000 17:30,0.999,2.94,"[migrated]2","Digital Archive","",""
12/11/2000 14:15,0.408,1.57,"[migrated]2","Digital Archive","",""
16/11/2000 14:30,0.310,1.30,"[migrated]2","Digital Archive","",""
25/11/2000 21:30,0.334,1.37,"[migrated]2","Digital Archive","",""
01/12/2000 23:00,0.564,1.97,"[migrated]2","Digital Archive","",""
04/12/2000 21:30,0.504,1.82,"[migrated]2","Digital Archive","",""
08/12/2000 19:15,0.625,2.12,"[migrated]2","Digital Archive","",""
13/12/2000 12:45,0.755,2.42,"[migrated]2","Digital Archive","",""
15/12/2000 12:45,0.374,1.48,"[migrated]2","Digital Archive","",""
01/01/2001 18:00,0.471,1.74,"[migrated]2","Digital Archive","",""
04/01/2001 15:45,0.561,1.96,"[migrated]2","Digital Archive","",""
24/01/2001 07:45,0.455,1.70,"[migrated]2","Digital Archive","",""
27/01/2001 07:15,0.483,1.77,"[migrated]2","Digital Archive","",""
08/02/2001 17:45,0.698,2.29,"[migrated]2","Digital Archive","",""
13/02/2001 01:00,0.580,2.01,"[migrated]2","Digital Archive","",""
28/02/2001 22:15,0.369,1.47,"[migrated]2","Digital Archive","",""
07/03/2001 07:15,0.354,1.43,"[migrated]2","Digital Archive","",""
18/03/2001 05:30,0.467,1.73,"[migrated]2","Digital Archive","",""
23/03/2001 16:30,0.488,1.78,"[migrated]2","Digital Archive","",""
28/03/2001 16:00,0.648,2.17,"[migrated]2","Digital Archive","",""
09/04/2001 06:15,0.420,1.61,"[migrated]2","Digital Archive","",""
30/04/2001 06:30,0.342,1.39,"[migrated]2","Digital Archive","",""
08/07/2001 15:00,0.277,1.20,"[migrated]2","Digital Archive","",""
09/08/2001 23:45,0.275,1.20,"[migrated]2","Digital Archive","",""
03/10/2001 00:15,0.318,1.32,"[migrated]2","Digital Archive","",""
06/10/2001 16:15,0.247,1.11,"[migrated]2","Digital Archive","",""
08/10/2001 02:45,0.619,2.10,"[migrated]2","Digital Archive","",""
09/10/2001 22:15,0.256,1.14,"[migrated]2","Digital Archive","",""
21/10/2001 10:45,0.283,1.22,"[migrated]2","Digital Archive","",""
24/10/2001 10:15,0.344,1.40,"[migrated]2","Digital Archive","",""
24/01/2002 07:45,0.263,1.16,"[migrated]2","Digital Archive","",""
26/01/2002 22:15,0.479,1.76,"[migrated]2","Digital Archive","",""
05/02/2002 06:45,0.547,1.93,"[migrated]2","Digital Archive","",""
26/02/2002 16:30,0.390,1.53,"[migrated]2","Digital Archive","",""
18/03/2002 21:45,0.468,1.73,"[migrated]2","Digital Archive","",""
13/05/2002 23:30,0.296,1.26,"[migrated]2","Digital Archive","",""
06/06/2002 03:30,0.337,1.38,"[migrated]2","Digital Archive","",""
13/11/2002 03:15,0.331,1.36,"[migrated]2","Digital Archive","",""
15/11/2002 03:00,0.472,1.74,"[migrated]2","Digital Archive","",""
23/11/2002 11:45,0.532,1.89,"[migrated]2","Digital Archive","",""
22/12/2002 15:15,0.461,1.71,"[migrated]2","Digital Archive","",""
27/12/2002 07:00,0.502,1.82,"[migrated]2","Digital Archive","",""
02/01/2003 03:00,0.711,2.32,"[migrated]2","Digital Archive","",""
03/01/2003 22:00,0.331,1.36,"[migrated]2","Digital Archive","",""
22/01/2003 07:45,0.614,2.09,"[migrated]2","Digital Archive","",""
02/02/2003 00:00,0.262,1.16,"[migrated]2","Digital Archive","",""
23/11/2003 19:30,0.494,1.80,"[migrated]2","Digital Archive","",""
26/11/2003 15:15,0.309,1.30,"[migrated]2","Digital Archive","",""
08/01/2004 20:15,0.325,1.34,"[migrated]2","Digital Archive","",""
13/01/2004 08:30,0.339,1.38,"[migrated]2","Digital Archive","",""
02/02/2004 08:30,0.313,1.31,"[migrated]2","Digital Archive","",""
05/05/2004 03:15,0.312,1.31,"[migrated]2","Digital Archive","",""
25/10/2004 14:15,0.243,1.10,"[migrated]2","Digital Archive","",""
03/12/2005 03:30,0.278,1.20,"[migrated]2","Digital Archive","",""
11/10/2006 18:15,0.305,1.29,"[migrated]2","Digital Archive","",""
24/10/2006 10:15,0.392,1.53,"[migrated]2","Digital Archive","",""
03/12/2006 21:45,0.246,1.11,"[migrated]2","Digital Archive","",""
06/12/2006 05:45,0.251,1.12,"[migrated]2","Digital Archive","",""
07/12/2006 22:45,0.418,1.60,"[migrated]2","Digital Archive","",""
12/12/2006 07:45,0.286,1.23,"[migrated]2","Digital Archive","",""
30/12/2006 23:15,0.246,1.11,"[migrated]2","Digital Archive","",""
18/01/2007 04:30,0.274,1.19,"[migrated]2","Digital Archive","",""
14/02/2007 20:30,0.319,1.33,"[migrated]2","Digital Archive","",""
25/02/2007 09:45,0.291,1.24,"[migrated]2","Digital Archive","",""
06/03/2007 08:30,0.510,1.84,"[migrated]2","Digital Archive","",""
07/03/2007 23:30,0.256,1.14,"[migrated]2","Digital Archive","",""
