"NAME:","Law Brook at Albury"
"NUMBER:","39036"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/09/1968 00:00,,0.30,"","FEH","",""
09/10/1968 00:00,,0.27,"1a","FEH","",""
17/12/1968 00:00,,0.63,"1a","FEH","",""
21/12/1968 00:00,,0.34,"1a","FEH","",""
12/01/1969 00:00,,0.27,"1a","FEH","",""
28/01/1969 00:00,,0.31,"1a","FEH","",""
21/02/1969 00:00,,0.44,"1a","FEH","",""
12/03/1969 00:00,,0.31,"1a","FEH","",""
06/07/1969 00:00,,0.26,"1a","FEH","",""
02/08/1969 00:00,,0.43,"1a","FEH","",""
14/01/1970 00:00,,0.21,"1a","Hydpeaks","","AMAX ONLY"
14/11/1970 00:00,,0.46,"1a","FEH","",""
18/11/1970 00:00,,0.30,"1a","FEH","",""
20/12/1970 00:00,,0.27,"1a","FEH","",""
23/12/1970 00:00,,0.39,"1a","FEH","",""
25/12/1970 00:00,,0.36,"1a","FEH","",""
11/06/1971 00:00,,0.28,"1a","FEH","",""
18/06/1971 00:00,,0.37,"1a","FEH","",""
05/08/1971 00:00,,0.27,"1a","FEH","",""
04/03/1972 00:00,,0.21,"1a","Hydpeaks","","AMAX ONLY"
06/12/1972 00:00,,0.22,"1a","Hydpeaks","","AMAX ONLY"
10/02/1974 00:00,,0.40,"1a","FEH","",""
14/02/1974 00:00,,0.31,"1a","FEH","",""
18/11/1974 00:00,,0.40,"1a","FEH","",""
20/11/1974 00:00,,0.26,"1a","FEH","",""
21/11/1974 00:00,,0.57,"1a","FEH","",""
26/12/1974 00:00,,0.38,"1a","FEH","",""
18/01/1975 00:00,,0.34,"1a","FEH","",""
20/01/1975 00:00,,0.40,"1a","FEH","",""
25/01/1975 00:00,,0.29,"1a","FEH","",""
28/01/1975 00:00,,0.36,"1a","FEH","",""
31/01/1975 00:00,,0.27,"1a","FEH","",""
18/04/1975 00:00,,0.33,"1a","FEH","",""
13/09/1975 00:00,,0.30,"1a","FEH","",""
27/09/1975 00:00,,0.33,"1a","FEH","",""
01/12/1975 00:00,,0.30,"1a","FEH","",""
15/07/1976 00:00,,0.56,"1a","FEH","",""
29/10/1976 00:00,,0.41,"1a","FEH","",""
05/12/1976 00:00,,0.46,"1a","FEH","",""
01/01/1977 00:00,,0.43,"1a","FEH","",""
13/01/1977 00:00,,0.42,"1a","FEH","",""
26/01/1977 00:00,,0.30,"1a","FEH","",""
09/02/1977 00:00,,0.40,"1a","FEH","",""
18/02/1977 00:00,,0.45,"1a","FEH","",""
24/08/1977 00:00,,0.30,"1a","FEH","",""
27/08/1977 00:00,,0.64,"1a","FEH","",""
21/10/1977 00:00,,0.41,"1a","FEH","",""
07/12/1977 00:00,,0.32,"1a","FEH","",""
10/12/1977 00:00,,0.29,"1a","FEH","",""
11/01/1978 00:00,,0.43,"1a","FEH","",""
23/01/1978 00:00,,0.38,"1a","FEH","",""
27/01/1978 00:00,,0.40,"1a","FEH","",""
01/05/1978 00:00,,0.42,"1a","FEH","",""
05/05/1978 00:00,,0.35,"1a","FEH","",""
03/08/1978 00:00,,0.33,"1a","FEH","",""
24/03/1979 00:00,,0.35,"1a","FEH","",""
07/04/1979 00:00,,0.72,"1a","FEH","",""
10/04/1979 00:00,,0.27,"1a","FEH","",""
10/05/1979 00:00,,0.27,"1a","FEH","",""
13/12/1979 00:00,,0.30,"1a","FEH","",""
27/12/1979 00:00,,0.62,"1a","FEH","",""
20/01/1980 00:00,,0.30,"1a","FEH","",""
20/09/1980 00:00,,0.35,"1a","FEH","",""
10/10/1980 00:00,,0.32,"1a","FEH","",""
15/10/1980 00:00,,0.41,"1a","FEH","",""
13/04/1981 00:00,,0.44,"1a","FEH","",""
25/05/1981 00:00,,0.30,"1a","FEH","",""
26/05/1981 00:00,,0.32,"1a","FEH","",""
01/06/1981 00:00,,0.74,"1a","FEH","",""
06/08/1981 00:00,,0.77,"1a","FEH","",""
19/09/1981 00:00,,0.38,"1a","FEH","",""
25/09/1981 00:00,,0.34,"1a","FEH","",""
30/09/1981 00:00,,0.27,"1a","FEH","",""
20/10/1981 00:00,,0.25,"1a","Hydpeaks","","AMAX ONLY"
13/10/1982 00:00,,0.29,"1a","FEH","",""
22/10/1982 00:00,,0.36,"1a","FEH","",""
12/11/1982 00:00,,0.27,"1a","FEH","",""
24/11/1982 00:00,,0.29,"1a","FEH","",""
09/12/1982 00:00,,0.67,"1a","FEH","",""
12/12/1982 00:00,,0.34,"1a","FEH","",""
19/12/1982 00:00,,0.30,"1a","FEH","",""
03/01/1983 00:00,,0.28,"1a","FEH","",""
18/04/1983 00:00,,0.28,"1a","FEH","",""
24/04/1983 00:00,,0.36,"1a","FEH","",""
18/05/1983 00:00,,0.27,"1a","FEH","",""
31/05/1983 00:00,,0.67,"1a","FEH","",""
06/07/1983 00:00,,0.67,"1a","FEH","",""
21/08/1983 00:00,,0.17,"1a","Hydpeaks","",""
12/09/1983 00:00,,0.13,"1a","Hydpeaks","",""
15/10/1983 00:00,,0.20,"1a","Hydpeaks","",""
26/11/1983 00:00,,0.26,"1a","Hydpeaks","",""
21/12/1983 00:00,,0.55,"1a","Hydpeaks","",""
25/01/1984 00:00,,0.44,"1a","Hydpeaks","",""
22/02/1984 00:00,,0.17,"1a","Hydpeaks","",""
25/03/1984 00:00,,0.34,"1a","Hydpeaks","",""
27/05/1984 00:00,,0.23,"1a","Hydpeaks","",""
17/06/1984 00:00,,0.13,"1a","Hydpeaks","",""
04/08/1984 00:00,,0.13,"1a","Hydpeaks","",""
20/09/1984 00:00,,0.15,"1a","Hydpeaks","",""
05/10/1984 00:00,,0.46,"1a","Hydpeaks","",""
22/11/1984 00:00,,0.38,"1a","Hydpeaks","",""
05/12/1984 00:00,,0.25,"1a","Hydpeaks","",""
21/01/1985 00:00,,0.31,"1a","Hydpeaks","",""
08/02/1985 00:00,,0.20,"1a","Hydpeaks","",""
03/03/1985 00:00,,0.13,"1a","Hydpeaks","",""
11/04/1985 00:00,,0.18,"1a","Hydpeaks","",""
14/05/1985 00:00,,0.14,"1a","Hydpeaks","",""
24/06/1985 00:00,,0.11,"1a","Hydpeaks","",""
05/07/1985 00:00,,0.39,"1a","Hydpeaks","",""
23/08/1985 00:00,,0.17,"1a","Hydpeaks","",""
02/09/1985 00:00,,0.11,"1a","Hydpeaks","",""
04/10/1985 00:00,,0.17,"1a","Hydpeaks","",""
17/11/1985 00:00,,0.14,"1a","Hydpeaks","",""
03/03/1986 00:00,,0.23,"1a","Hydpeaks","",""
15/04/1986 00:00,,0.15,"1a","Hydpeaks","",""
20/05/1986 00:00,,0.17,"1a","Hydpeaks","",""
11/06/1986 00:00,,0.13,"1a","Hydpeaks","",""
04/07/1986 00:00,,0.18,"1a","Hydpeaks","",""
25/08/1986 00:00,,0.23,"1a","Hydpeaks","",""
13/09/1986 00:00,,0.12,"1a","Hydpeaks","",""
14/10/1986 00:00,,0.16,"1a","Hydpeaks","",""
20/11/1986 00:00,,0.30,"1a","Hydpeaks","",""
31/12/1986 00:00,,0.20,"1a","Hydpeaks","",""
06/02/1987 00:00,,0.13,"1a","Hydpeaks","",""
27/03/1987 00:00,,0.17,"1a","Hydpeaks","",""
01/04/1987 10:15,0.118,0.20,"1b","Digital Archive","",""
06/04/1987 21:45,0.120,0.21,"1b","Digital Archive","",""
20/07/1987 10:30,0.101,0.16,"1a","Digital Archive","",""
22/08/1987 18:00,0.115,0.20,"1b","Digital Archive","",""
05/09/1987 17:45,0.112,0.19,"1b","Digital Archive","",""
07/10/1987 22:45,0.150,0.30,"1b","Digital Archive","",""
10/10/1987 11:00,0.182,0.40,"1b","Digital Archive","",""
15/10/1987 22:00,0.145,0.28,"1b","Digital Archive","",""
20/10/1987 18:15,0.228,0.57,"1b","Digital Archive","",""
11/11/1987 17:30,0.180,0.39,"1b","Digital Archive","",""
13/11/1987 09:15,0.118,0.20,"1b","Digital Archive","",""
05/01/1988 09:00,0.128,0.23,"1b","Digital Archive","",""
21/01/1988 23:15,0.143,0.27,"1b","Digital Archive","",""
24/01/1988 20:15,0.155,0.31,"1b","Digital Archive","",""
27/01/1988 14:45,0.172,0.37,"1b","Digital Archive","",""
29/01/1988 10:15,0.231,0.58,"1b","Digital Archive","",""
31/01/1988 23:00,0.222,0.54,"1b","Digital Archive","",""
04/02/1988 08:00,0.166,0.35,"1b","Digital Archive","",""
20/03/1988 17:45,0.108,0.18,"1a","Digital Archive","",""
16/04/1988 06:30,0.108,0.18,"1a","Digital Archive","",""
01/09/1988 13:45,0.123,0.22,"1b","Digital Archive","",""
14/11/1988 09:00,0.129,0.23,"1b","Digital Archive","",""
14/01/1989 05:30,0.108,0.18,"1a","Digital Archive","",""
24/02/1989 14:30,0.115,0.20,"1b","Digital Archive","",""
20/03/1989 16:00,0.115,0.20,"1b","Digital Archive","",""
11/04/1989 12:30,0.119,0.21,"1b","Digital Archive","",""
06/06/1989 18:30,0.100,0.16,"1a","Digital Archive","",""
07/07/1989 00:00,0.098,0.15,"1a","Digital Archive","",""
14/08/1989 00:45,0.096,0.15,"1a","Digital Archive","",""
12/09/1989 21:15,0.093,0.14,"1a","Digital Archive","",""
27/10/1989 13:00,0.101,0.16,"1a","Digital Archive","",""
14/12/1989 10:00,0.128,0.23,"1b","Digital Archive","",""
20/12/1989 20:30,0.153,0.31,"1b","Digital Archive","",""
02/02/1990 01:00,0.152,0.30,"1b","Digital Archive","",""
03/02/1990 13:45,0.210,0.50,"1b","Digital Archive","",""
07/02/1990 11:45,0.175,0.38,"1b","Digital Archive","",""
22/04/1990 17:45,0.114,0.19,"1b","Digital Archive","",""
07/06/1990 16:15,0.093,0.14,"1a","Digital Archive","",""
16/10/1990 15:45,0.100,0.16,"1a","Digital Archive","",""
25/12/1990 11:45,0.097,0.15,"1a","Digital Archive","",""
26/12/1990 14:45,0.093,0.14,"1a","Digital Archive","",""
10/01/1991 11:30,0.120,0.21,"1b","Digital Archive","",""
27/02/1991 15:15,0.100,0.16,"1a","Digital Archive","",""
15/03/1991 15:00,0.093,0.14,"1a","Digital Archive","",""
18/03/1991 15:15,0.094,0.14,"1a","Digital Archive","",""
21/03/1991 14:45,0.114,0.19,"1b","Digital Archive","",""
02/04/1991 09:15,0.107,0.18,"1a","Digital Archive","",""
03/04/1991 09:15,0.100,0.16,"1a","Digital Archive","",""
09/04/1991 09:45,0.094,0.14,"1a","Digital Archive","",""
15/04/1991 10:00,0.093,0.14,"1a","Digital Archive","",""
19/04/1991 10:30,0.094,0.14,"1a","Digital Archive","",""
24/04/1991 14:30,0.093,0.14,"1a","Digital Archive","",""
29/04/1991 15:00,0.105,0.17,"1a","Digital Archive","",""
09/05/1991 13:45,0.094,0.14,"1a","Digital Archive","",""
16/05/1991 10:30,0.105,0.17,"1a","Digital Archive","",""
20/05/1991 11:15,0.097,0.15,"1a","Digital Archive","",""
22/05/1991 09:45,0.108,0.18,"1a","Digital Archive","",""
11/06/1991 10:30,0.093,0.14,"1a","Digital Archive","",""
14/06/1991 10:15,0.093,0.14,"1a","Digital Archive","",""
24/06/1991 09:45,0.100,0.16,"1a","Digital Archive","",""
27/06/1991 10:00,0.100,0.16,"1a","Digital Archive","",""
05/07/1991 10:00,0.097,0.15,"1a","Digital Archive","",""
23/07/1991 09:45,0.096,0.15,"1a","Digital Archive","",""
23/08/1991 15:00,0.097,0.15,"1a","Digital Archive","",""
10/09/1991 10:15,0.096,0.15,"1a","Digital Archive","",""
20/11/1991 10:30,0.104,0.17,"1a","Digital Archive","",""
15/01/1992 13:00,0.096,0.15,"1a","Digital Archive","",""
15/04/1992 13:45,0.107,0.18,"1a","Digital Archive","",""
01/05/1992 16:00,0.105,0.17,"1a","Digital Archive","",""
08/05/1992 09:00,0.093,0.14,"1a","Digital Archive","",""
13/07/1992 16:00,0.094,0.14,"1a","Digital Archive","",""
23/09/1992 09:00,0.125,0.22,"1b","Digital Archive","",""
12/10/1992 16:45,0.105,0.17,"1a","Digital Archive","",""
11/11/1992 16:45,0.104,0.17,"1a","Digital Archive","",""
25/11/1992 23:45,0.156,0.31,"1b","Digital Archive","",""
28/11/1992 10:00,0.134,0.25,"1b","Digital Archive","",""
02/12/1992 13:45,0.171,0.36,"1b","Digital Archive","",""
03/12/1992 15:00,0.150,0.30,"1b","Digital Archive","",""
18/12/1992 15:00,0.135,0.25,"1b","Digital Archive","",""
10/01/1993 17:00,0.143,0.27,"1b","Digital Archive","",""
13/01/1993 17:15,0.114,0.19,"1b","Digital Archive","",""
01/04/1993 19:15,0.111,0.19,"1b","Digital Archive","",""
27/04/1993 16:15,0.093,0.14,"1a","Digital Archive","",""
20/05/1993 16:15,0.103,0.17,"1a","Digital Archive","",""
06/08/1993 15:45,0.093,0.14,"1a","Digital Archive","",""
01/09/1993 16:30,0.093,0.14,"1a","Digital Archive","",""
02/10/1993 14:15,0.199,0.46,"1b","Digital Archive","",""
13/10/1993 08:45,0.104,0.17,"1a","Digital Archive","",""
29/11/1993 17:00,0.116,0.20,"1b","Digital Archive","",""
30/11/1993 16:30,0.097,0.15,"1a","Digital Archive","",""
19/12/1993 17:30,0.131,0.24,"1b","Digital Archive","",""
20/12/1993 16:00,0.118,0.20,"1b","Digital Archive","",""
30/12/1993 18:30,0.123,0.22,"1b","Digital Archive","",""
02/01/1994 04:30,0.112,0.19,"1b","Digital Archive","",""
03/01/1994 14:00,0.119,0.21,"1b","Digital Archive","",""
