"NAME:","Ravensbourne at Catford Hill"
"NUMBER:","39056"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
18/01/1975 00:00,,10.45,"","FEH","",""
20/01/1975 00:00,,11.75,"","FEH","",""
28/01/1975 00:00,,8.72,"","FEH","",""
18/04/1975 00:00,,11.89,"","FEH","",""
16/05/1975 00:00,,16.98,"","FEH","",""
13/09/1975 00:00,,15.17,"","FEH","",""
26/09/1975 00:00,,11.96,"","FEH","",""
28/11/1975 00:00,,10.07,"","FEH","",""
20/07/1976 00:00,,13.99,"","FEH","",""
03/10/1976 00:00,,10.42,"","FEH","",""
12/11/1976 00:00,,9.05,"","FEH","",""
30/11/1976 00:00,,9.56,"","FEH","",""
01/01/1977 00:00,,10.14,"1a","FEH","",""
13/01/1977 00:00,,10.10,"1a","FEH","",""
12/06/1977 00:00,,14.28,"1a","FEH","",""
13/06/1977 00:00,,22.07,"1a","FEH","",""
16/08/1977 00:00,,13.08,"1a","FEH","",""
27/08/1977 00:00,,13.37,"1a","FEH","",""
21/10/1977 00:00,,9.15,"1a","FEH","",""
07/11/1977 00:00,,9.66,"1a","FEH","",""
09/12/1977 00:00,,9.83,"1a","FEH","",""
26/12/1977 00:00,,10.24,"1a","FEH","",""
11/01/1978 00:00,,11.47,"1a","FEH","",""
27/01/1978 00:00,,11.93,"1a","FEH","",""
24/02/1978 00:00,,9.86,"1a","FEH","",""
05/05/1978 00:00,,9.83,"1a","FEH","",""
23/06/1978 00:00,,8.56,"1a","FEH","",""
08/07/1978 00:00,,9.56,"1a","FEH","",""
31/07/1978 00:00,,15.85,"1a","FEH","",""
02/08/1978 00:00,,10.17,"1a","FEH","",""
12/12/1978 00:00,,13.15,"1a","FEH","",""
09/03/1979 00:00,,8.75,"1a","FEH","",""
07/04/1979 00:00,,8.70,"1a","FEH","",""
23/04/1979 00:00,,10.07,"1a","FEH","",""
01/05/1979 00:00,,9.73,"1a","FEH","",""
27/05/1979 00:00,,9.79,"1a","FEH","",""
09/08/1979 00:00,,9.05,"1a","FEH","",""
09/10/1979 00:00,,17.75,"1a","FEH","",""
09/12/1979 00:00,,9.83,"1a","FEH","",""
27/12/1979 00:00,,12.18,"1a","FEH","",""
24/06/1980 00:00,,10.52,"1a","FEH","",""
26/07/1980 00:00,,12.18,"1a","FEH","",""
15/10/1980 00:00,,12.97,"1a","FEH","",""
30/03/1981 00:00,,8.70,"1a","FEH","",""
27/05/1981 00:00,,8.70,"1a","FEH","",""
21/07/1981 00:00,,12.28,"1a","FEH","",""
22/07/1981 00:00,,10.24,"1a","FEH","",""
31/07/1981 00:00,,9.38,"1a","FEH","",""
06/08/1981 00:00,,21.51,"1a","FEH","",""
06/08/1981 06:00,,10.62,"1a","FEH","",""
20/09/1981 00:00,,11.04,"1a","FEH","",""
20/10/1981 00:00,,15.29,"1a","FEH","",""
14/12/1981 00:00,,10.69,"1a","FEH","",""
27/05/1982 00:00,,12.18,"1a","FEH","",""
22/06/1982 00:00,,10.42,"1a","FEH","",""
24/09/1982 00:00,,13.88,"1a","FEH","",""
14/10/1982 00:00,,13.26,"1a","FEH","",""
22/10/1982 00:00,,9.42,"1a","FEH","",""
09/12/1982 00:00,,10.49,"1a","FEH","",""
14/12/1982 00:00,,8.59,"1a","FEH","",""
18/04/1983 00:00,,9.05,"1a","FEH","",""
27/04/1983 00:00,,13.26,"1a","FEH","",""
15/05/1983 00:00,,11.93,"1a","FEH","",""
16/05/1983 00:00,,8.75,"1a","FEH","",""
01/06/1983 00:00,,16.72,"1a","FEH","",""
06/07/1983 00:00,,18.44,"1a","FEH","",""
21/11/1983 00:00,,11.18,"1a","FEH","",""
20/12/1983 00:00,,9.01,"1a","FEH","",""
21/12/1983 00:00,,10.38,"1a","FEH","",""
23/01/1984 00:00,0.693,8.84,"1b","Hydpeaks","",""
03/02/1984 00:00,0.409,2.91,"1b","Hydpeaks","",""
23/03/1984 00:00,0.681,8.51,"1b","Hydpeaks","",""
11/04/1984 00:00,0.534,5.06,"1b","Hydpeaks","",""
21/05/1984 00:00,0.699,9.01,"1b","Hydpeaks","",""
17/06/1984 00:00,0.661,7.97,"1b","Hydpeaks","",""
23/07/1984 00:00,0.521,4.80,"1b","Hydpeaks","",""
15/08/1984 00:00,0.453,3.59,"1b","Hydpeaks","",""
20/09/1984 00:00,0.736,10.29,"1c","Hydpeaks","",""
05/10/1984 00:00,0.907,16.49,"1c","Hydpeaks","",""
22/11/1984 00:00,0.814,13.03,"1c","Hydpeaks","",""
05/12/1984 00:00,0.594,6.35,"1b","Hydpeaks","",""
25/01/1985 23:00,0.695,8.89,"1b","Digital Archive","",""
14/05/1985 14:15,0.669,8.18,"1b","Digital Archive","Non-independent peak removed A",""
21/05/1985 09:30,0.690,8.75,"1b","Digital Archive","",""
26/05/1985 15:30,0.731,10.10,"1c","Digital Archive","",""
04/06/1985 16:15,0.786,12.03,"1c","Digital Archive","",""
19/06/1985 17:30,0.680,8.48,"1b","Digital Archive","",""
10/08/1985 05:15,0.690,8.75,"1b","Digital Archive","",""
22/08/1985 00:15,0.695,8.89,"1b","Digital Archive","",""
26/12/1985 03:30,0.754,10.90,"1c","Digital Archive","",""
27/01/1986 17:15,0.596,6.38,"1b","Digital Archive","","AMAX ONLY"
02/04/1986 00:00,0.525,4.87,"1b","Hydpeaks","",""
31/05/1986 00:00,0.420,3.06,"1b","Hydpeaks","",""
11/06/1986 00:00,0.522,4.81,"1b","Hydpeaks","",""
04/07/1986 00:00,0.670,8.21,"1b","Hydpeaks","",""
03/08/1986 00:00,0.903,16.34,"1c","Hydpeaks","",""
15/09/1986 00:00,0.531,4.99,"1b","Hydpeaks","",""
14/10/1986 00:00,0.612,6.75,"1b","Hydpeaks","",""
17/11/1986 00:00,0.643,7.51,"1b","Hydpeaks","",""
25/12/1986 00:00,0.591,6.27,"1b","Hydpeaks","",""
01/01/1987 00:00,0.399,2.76,"1b","Hydpeaks","",""
