"NAME:","Ock at Abingdon"
"NUMBER:","39081"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
31/05/1979 00:00,,8.36,"","FEH","",""
01/06/1979 00:00,,7.96,"","FEH","",""
14/12/1979 00:00,,6.77,"","FEH","",""
29/12/1979 00:00,,11.90,"","FEH","",""
21/01/1980 00:00,,7.47,"","FEH","",""
05/02/1980 00:00,,7.28,"","FEH","",""
13/03/1980 00:00,,6.87,"","FEH","",""
19/03/1980 00:00,,9.29,"","FEH","",""
02/04/1980 00:00,,9.51,"","FEH","",""
02/03/1981 00:00,,8.67,"","FEH","",""
14/03/1981 00:00,,9.35,"","FEH","",""
22/03/1981 00:00,,8.57,"","FEH","",""
01/04/1981 00:00,,8.90,"","FEH","",""
27/04/1981 00:00,,8.32,"","FEH","",""
28/05/1981 00:00,,7.89,"","FEH","",""
15/12/1981 00:00,,15.00,"","FEH","",""
30/12/1981 00:00,,14.20,"","FEH","",""
02/01/1982 00:00,,13.70,"","FEH","",""
18/01/1982 00:00,,15.40,"","FEH","",""
07/03/1982 00:00,,8.67,"","FEH","",""
12/03/1982 00:00,,7.49,"","FEH","",""
16/03/1982 00:00,,15.60,"","FEH","",""
25/11/1982 00:00,,7.21,"","FEH","",""
10/12/1982 00:00,,10.90,"","FEH","",""
21/12/1982 00:00,,9.59,"","FEH","",""
01/02/1983 00:00,,7.58,"","FEH","",""
20/04/1983 00:00,,7.74,"","FEH","",""
01/05/1983 00:00,,12.90,"","FEH","",""
01/06/1983 00:00,,6.28,"","Hydpeaks","",""
24/07/1983 00:00,,1.08,"","Hydpeaks","",""
15/09/1983 00:00,,0.82,"","Hydpeaks","",""
15/10/1983 00:00,,1.60,"","Hydpeaks","",""
27/11/1983 00:00,,1.66,"","Hydpeaks","",""
21/12/1983 00:00,,4.41,"","Hydpeaks","",""
27/01/1984 00:00,,12.50,"","Hydpeaks","",""
25/03/1984 00:00,,7.65,"","Hydpeaks","",""
22/05/1984 00:00,,2.55,"","Hydpeaks","",""
14/07/1984 00:00,,0.48,"","Hydpeaks","",""
05/08/1984 00:00,,0.49,"","Hydpeaks","",""
20/09/1984 00:00,,1.17,"","Hydpeaks","",""
24/10/1984 00:00,,0.86,"","Hydpeaks","",""
23/11/1984 00:00,,4.80,"","Hydpeaks","",""
27/12/1984 00:00,,3.49,"","Hydpeaks","",""
22/01/1985 00:00,,8.73,"","Hydpeaks","",""
09/02/1985 00:00,,10.30,"","Hydpeaks","",""
27/03/1985 00:00,,3.98,"","Hydpeaks","",""
22/05/1985 00:00,,4.77,"","Hydpeaks","",""
08/06/1985 00:00,,9.88,"","Hydpeaks","",""
04/08/1985 00:00,,1.56,"","Hydpeaks","",""
02/09/1985 00:00,,0.86,"","Hydpeaks","",""
07/10/1985 00:00,,1.25,"","Hydpeaks","",""
26/12/1985 00:00,,11.70,"","Hydpeaks","",""
02/01/1986 00:00,,9.46,"","Hydpeaks","",""
02/02/1986 00:00,,5.16,"","Hydpeaks","",""
24/03/1986 00:00,,4.87,"","Hydpeaks","",""
15/04/1986 00:00,,6.67,"","Hydpeaks","",""
20/05/1986 00:00,,3.92,"","Hydpeaks","",""
05/07/1986 00:00,,0.73,"","Hydpeaks","",""
25/08/1986 00:00,,1.71,"","Hydpeaks","",""
14/09/1986 00:00,,2.33,"","Hydpeaks","",""
22/10/1986 00:00,,1.44,"","Hydpeaks","",""
21/11/1986 00:00,,7.21,"","Hydpeaks","",""
16/12/1986 00:00,,9.43,"","Hydpeaks","",""
01/01/1987 00:00,,8.19,"","Hydpeaks","",""
05/01/1987 09:30,0.386,3.80,"","Digital Archive","",""
25/01/1987 15:15,0.296,2.53,"","Digital Archive","",""
14/02/1987 20:15,0.381,3.74,"","Digital Archive","",""
28/02/1987 04:30,0.391,3.87,"","Digital Archive","",""
10/03/1987 04:00,0.510,5.86,"","Digital Archive","",""
27/03/1987 17:30,0.792,11.68,"","Digital Archive","",""
05/04/1987 05:45,0.806,12.01,"","Digital Archive","",""
06/06/1987 22:00,0.194,1.34,"","Digital Archive","",""
20/06/1987 12:30,0.236,1.79,"","Digital Archive","",""
26/06/1987 16:45,0.200,1.39,"","Digital Archive","",""
11/10/1987 06:00,0.211,1.52,"","Digital Archive","",""
16/10/1987 21:30,0.291,2.48,"","Digital Archive","",""
22/10/1987 01:00,0.317,2.81,"","Digital Archive","",""
01/11/1987 17:15,0.250,1.95,"","Digital Archive","",""
12/11/1987 16:30,0.504,5.75,"","Digital Archive","",""
20/11/1987 08:00,0.616,7.86,"","Digital Archive","",""
17/12/1987 23:45,0.230,1.72,"","Digital Archive","",""
31/12/1987 18:30,0.358,3.38,"","Digital Archive","",""
06/01/1988 20:45,0.708,9.78,"","Digital Archive","",""
26/01/1988 09:45,0.814,10.61,"","Digital Archive","",""
02/02/1988 22:30,0.820,12.34,"","Digital Archive","",""
14/02/1988 18:00,0.540,6.38,"","Digital Archive","",""
16/03/1988 04:45,0.379,3.69,"","Digital Archive","",""
21/03/1988 13:45,0.499,5.65,"","Digital Archive","",""
09/06/1988 19:45,0.214,1.54,"","Digital Archive","",""
26/06/1988 13:30,0.195,1.35,"","Digital Archive","",""
05/07/1988 03:00,0.186,1.25,"","Digital Archive","",""
18/07/1988 04:15,0.163,1.02,"","Digital Archive","",""
01/09/1988 19:00,0.163,1.02,"","Digital Archive","",""
28/09/1988 11:15,0.158,0.98,"","Digital Archive","",""
13/10/1988 12:45,0.272,2.22,"","Digital Archive","",""
19/10/1988 18:30,0.319,2.83,"","Digital Archive","",""
30/11/1988 21:45,0.305,2.66,"","Digital Archive","",""
05/12/1988 05:15,0.300,2.58,"","Digital Archive","",""
15/01/1989 02:45,0.204,1.45,"","Digital Archive","",""
22/01/1989 09:00,0.257,2.05,"","Digital Archive","",""
29/01/1989 07:00,0.261,2.10,"","Digital Archive","",""
19/02/1989 20:45,0.338,3.11,"","Digital Archive","",""
28/02/1989 03:00,0.777,9.70,"","Digital Archive","",""
15/03/1989 10:45,0.460,4.99,"","Digital Archive","",""
21/03/1989 13:30,0.446,4.74,"","Digital Archive","",""
06/04/1989 11:30,0.679,8.62,"","Digital Archive","",""
12/04/1989 01:30,0.456,4.93,"","Digital Archive","",""
14/05/1989 19:15,0.217,1.59,"","Digital Archive","",""
21/05/1989 15:00,0.185,1.24,"","Digital Archive","",""
04/06/1989 20:30,0.165,1.05,"","Digital Archive","",""
11/06/1989 19:45,0.180,1.19,"","Digital Archive","",""
07/07/1989 23:45,0.177,1.16,"","Digital Archive","",""
17/12/1989 11:15,0.354,3.32,"","Digital Archive","",""
21/12/1989 14:30,0.754,7.06,"","Digital Archive","",""
26/12/1989 16:45,0.549,6.14,"","Digital Archive","",""
07/01/1990 16:00,0.421,4.34,"","Digital Archive","",""
26/01/1990 06:45,0.509,5.72,"","Digital Archive","",""
04/02/1990 23:45,1.197,10.79,"","Digital Archive","",""
20/03/1990 11:45,0.286,2.40,"","Digital Archive","",""
08/04/1990 18:00,0.208,1.48,"","Digital Archive","",""
14/05/1990 14:15,0.167,1.07,"","Digital Archive","",""
22/05/1990 23:30,0.153,0.94,"","Digital Archive","",""
27/12/1990 08:45,0.167,1.07,"","Digital Archive","",""
10/01/1991 18:30,0.425,4.25,"","Digital Archive","",""
20/01/1991 02:00,0.246,1.92,"","Digital Archive","",""
16/02/1991 16:00,0.202,1.42,"","Digital Archive","",""
24/02/1991 02:00,0.209,1.49,"","Digital Archive","",""
08/03/1991 01:15,0.625,7.10,"","Digital Archive","",""
07/04/1991 22:00,0.231,1.73,"","Digital Archive","",""
30/04/1991 19:45,0.284,2.39,"","Digital Archive","",""
06/05/1991 20:30,0.187,1.26,"","Digital Archive","",""
12/05/1991 21:00,0.168,1.08,"","Digital Archive","",""
21/05/1991 18:15,0.159,0.99,"","Digital Archive","",""
19/11/1991 20:45,0.216,1.58,"","Digital Archive","",""
26/01/1992 20:30,0.159,0.99,"","Digital Archive","",""
27/09/1992 05:15,0.625,5.50,"","Digital Archive","",""
04/10/1992 21:30,0.453,4.45,"","Digital Archive","",""
11/10/1992 20:45,0.200,1.39,"","Digital Archive","",""
21/10/1992 08:00,0.337,3.06,"","Digital Archive","",""
29/10/1992 00:45,0.368,3.45,"","Digital Archive","",""
03/11/1992 15:15,0.333,3.04,"","Digital Archive","",""
12/11/1992 05:00,0.446,4.45,"","Digital Archive","",""
16/11/1992 23:45,0.671,7.11,"","Digital Archive","",""
01/12/1992 19:00,0.967,11.00,"","Digital Archive","",""
08/12/1992 20:00,0.860,9.71,"","Digital Archive","",""
20/12/1992 01:45,0.781,8.80,"","Digital Archive","",""
07/01/1993 14:00,0.597,6.40,"","Digital Archive","",""
15/01/1993 06:30,1.067,12.28,"","Digital Archive","",""
02/04/1993 01:30,0.331,2.96,"","Digital Archive","",""
06/04/1993 00:30,0.518,5.74,"","Digital Archive","",""
