"NAME:","Cole at Inglesham"
"NUMBER:","39090"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/12/1976 00:00,,1.64,"","Hydpeaks","",""
14/01/1977 00:00,,1.78,"","Hydpeaks","",""
20/02/1977 00:00,,1.82,"","Hydpeaks","",""
16/03/1977 00:00,,9.28,"","Hydpeaks","",""
03/05/1977 00:00,,5.47,"","Hydpeaks","",""
14/06/1977 00:00,,9.36,"","Hydpeaks","",""
13/07/1977 00:00,,1.53,"","Hydpeaks","",""
25/08/1977 00:00,,5.64,"","Hydpeaks","",""
21/10/1977 00:00,,1.41,"","Hydpeaks","",""
12/11/1977 00:00,,4.80,"","Hydpeaks","",""
10/12/1977 00:00,,10.90,"","Hydpeaks","",""
23/01/1978 00:00,,15.50,"","Hydpeaks","",""
04/02/1978 00:00,,6.12,"","Hydpeaks","",""
28/03/1978 00:00,,4.58,"","Hydpeaks","",""
02/05/1978 00:00,,4.47,"","Hydpeaks","",""
07/06/1978 00:00,,1.01,"","Hydpeaks","",""
31/07/1978 00:00,,4.68,"","Hydpeaks","",""
28/09/1978 00:00,,0.50,"","Hydpeaks","",""
09/10/1978 00:00,,0.18,"","Hydpeaks","",""
19/11/1978 00:00,,1.01,"","Hydpeaks","",""
13/12/1978 00:00,,3.26,"","Hydpeaks","",""
25/01/1979 00:00,,4.00,"","Hydpeaks","",""
01/02/1979 00:00,,10.40,"","Hydpeaks","",""
28/03/1979 00:00,,12.50,"","Hydpeaks","",""
30/05/1979 00:00,,7.71,"","Hydpeaks","",""
17/08/1979 00:00,,1.76,"","Hydpeaks","",""
19/09/1979 00:00,,0.41,"","Hydpeaks","",""
25/10/1979 00:00,,1.90,"","Hydpeaks","",""
27/11/1979 00:00,,1.70,"","Hydpeaks","",""
28/12/1979 00:00,,26.30,"","Hydpeaks","",""
21/01/1980 00:00,,8.66,"","Hydpeaks","",""
05/02/1980 00:00,,9.02,"","Hydpeaks","",""
18/03/1980 00:00,,8.69,"","Hydpeaks","",""
01/04/1980 00:00,,9.69,"","Hydpeaks","",""
28/06/1980 00:00,,2.24,"","Hydpeaks","",""
26/07/1980 00:00,,1.53,"","Hydpeaks","",""
13/08/1980 00:00,,2.25,"","Hydpeaks","",""
21/09/1980 00:00,,2.67,"","Hydpeaks","",""
16/10/1980 00:00,,4.84,"","Hydpeaks","",""
18/11/1980 00:00,,8.71,"","Hydpeaks","",""
19/12/1980 00:00,,4.74,"","Hydpeaks","",""
21/01/1981 00:00,,1.70,"","Hydpeaks","",""
03/02/1981 00:00,,2.71,"","Hydpeaks","",""
11/03/1981 00:00,,13.70,"","Hydpeaks","",""
01/04/1981 00:00,,8.81,"","Hydpeaks","",""
26/05/1981 00:00,,8.54,"","Hydpeaks","",""
02/06/1981 00:00,,10.80,"","Hydpeaks","",""
06/08/1981 00:00,,4.36,"","Hydpeaks","",""
26/09/1981 00:00,,3.91,"","Hydpeaks","",""
20/10/1981 00:00,,8.40,"","Hydpeaks","",""
20/11/1981 00:00,,5.53,"","Hydpeaks","",""
14/12/1981 00:00,,14.80,"","Hydpeaks","",""
01/01/1982 00:00,,13.90,"","Hydpeaks","",""
12/02/1982 00:00,,6.74,"","Hydpeaks","",""
16/03/1982 00:00,,18.80,"","Hydpeaks","",""
07/04/1982 00:00,,4.56,"","Hydpeaks","",""
23/05/1982 00:00,,1.03,"","Hydpeaks","",""
18/06/1982 00:00,,3.57,"","Hydpeaks","",""
