"NAME:","Wealdstone Brook at Wembley"
"NUMBER:","39096"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
22/09/1976 00:00,,5.26,"","FEH","",""
26/09/1976 00:00,,5.70,"","FEH","",""
21/10/1976 00:00,,5.05,"","FEH","",""
29/11/1976 00:00,,5.73,"","FEH","",""
30/11/1976 00:00,,10.58,"","FEH","",""
31/12/1976 00:00,,5.45,"","FEH","",""
13/03/1977 00:00,,5.13,"","FEH","",""
10/06/1977 00:00,,5.33,"","FEH","",""
12/06/1977 00:00,,4.53,"","FEH","",""
13/06/1977 00:00,,9.21,"","FEH","",""
06/08/1977 00:00,,4.75,"","FEH","",""
16/08/1977 00:00,,19.05,"","FEH","",""
27/08/1977 00:00,,6.58,"","FEH","",""
20/10/1977 00:00,,6.01,"","FEH","",""
21/10/1977 00:00,,10.22,"","FEH","",""
05/11/1977 00:00,,5.70,"","FEH","",""
07/12/1977 00:00,,6.83,"","FEH","",""
11/01/1978 00:00,,9.41,"","FEH","",""
05/05/1978 00:00,,4.69,"","FEH","",""
10/12/1978 00:00,,9.77,"","FEH","",""
28/12/1978 00:00,,5.39,"","FEH","",""
01/02/1979 00:00,,4.68,"1a","FEH","",""
07/04/1979 00:00,,6.86,"1a","FEH","",""
26/05/1979 00:00,,4.57,"1a","FEH","",""
30/05/1979 00:00,,12.06,"1a","FEH","",""
07/06/1979 00:00,,4.62,"1a","FEH","",""
13/06/1979 00:00,,8.44,"1a","FEH","",""
08/10/1979 00:00,,4.84,"1a","FEH","",""
09/10/1979 00:00,,6.50,"1a","FEH","",""
13/12/1979 00:00,,8.45,"1a","FEH","",""
27/12/1979 00:00,,12.01,"1a","FEH","",""
01/04/1980 00:00,,8.07,"1a","FEH","",""
13/06/1980 00:00,,7.70,"1a","FEH","",""
07/07/1980 00:00,,4.67,"1a","FEH","",""
26/07/1980 00:00,,8.76,"1a","FEH","",""
14/08/1980 00:00,,7.37,"1a","FEH","",""
15/10/1980 00:00,,9.15,"1a","FEH","",""
10/03/1981 00:00,,5.42,"1a","FEH","",""
25/05/1981 00:00,,7.94,"1a","FEH","",""
01/06/1981 00:00,,8.25,"1a","FEH","",""
06/08/1981 00:00,,14.79,"1a","FEH","",""
06/08/1981 06:00,,9.21,"1a","FEH","",""
12/09/1981 00:00,,8.73,"1a","FEH","",""
19/09/1981 00:00,,7.30,"1a","FEH","",""
06/10/1981 00:00,,8.73,"1a","FEH","",""
20/10/1981 00:00,,10.37,"1a","FEH","",""
27/05/1982 00:00,,10.26,"1a","FEH","",""
27/05/1982 06:00,,6.17,"1a","FEH","",""
05/06/1982 00:00,,5.70,"1a","FEH","",""
11/06/1982 00:00,,4.92,"1a","FEH","",""
18/06/1982 00:00,,8.54,"1a","FEH","",""
26/06/1982 00:00,,16.33,"1a","FEH","",""
14/07/1982 00:00,,4.67,"1a","FEH","",""
04/08/1982 00:00,,7.79,"1a","FEH","",""
13/08/1982 00:00,,4.50,"1a","FEH","",""
03/10/1982 00:00,,5.18,"1a","FEH","",""
