"NAME:","Rother at Udiam"
"NUMBER:","40004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/10/1962 00:00,0.690,5.56,"1b","CEH files","",""
21/11/1962 00:00,1.480,11.14,"1c","CEH files","",""
11/12/1962 00:00,1.210,9.12,"1b","CEH files","",""
30/01/1963 00:00,0.310,2.68,"1a","CEH files","",""
08/02/1963 00:00,0.920,7.16,"1b","CEH files","",""
12/03/1963 00:00,2.130,22.82,"1c","CEH files","",""
21/04/1963 00:00,2.020,20.56,"1c","CEH files","",""
01/05/1963 00:00,0.460,3.89,"1b","CEH files","",""
18/06/1963 00:00,0.850,6.68,"1b","CEH files","",""
06/07/1963 00:00,1.110,8.45,"1b","CEH files","",""
20/08/1963 00:00,0.440,3.74,"1b","CEH files","",""
05/09/1963 00:00,1.110,8.45,"1b","CEH files","",""
31/10/1963 00:00,0.970,7.51,"1b","CEH files","",""
19/11/1963 00:00,2.890,41.62,"1c","CEH files","",""
25/12/1963 00:00,1.160,8.79,"1b","CEH files","",""
15/01/1964 00:00,0.620,5.06,"1b","CEH files","",""
24/02/1964 00:00,1.190,8.99,"1b","CEH files","",""
15/03/1964 00:00,2.900,41.91,"1c","CEH files","",""
17/04/1964 00:00,1.430,10.57,"1b","CEH files","",""
03/05/1964 00:00,1.130,8.59,"1b","CEH files","",""
19/06/1964 00:00,1.680,14.30,"1c","CEH files","",""
04/07/1964 00:00,0.160,0.94,"1a","CEH files","",""
18/08/1964 00:00,0.090,0.38,"1a","CEH files","",""
13/09/1964 00:00,0.060,0.20,"1a","CEH files","",""
14/10/1964 00:00,0.410,3.51,"1b","CEH files","",""
16/11/1964 00:00,0.550,4.55,"1b","CEH files","",""
31/12/1964 00:00,1.510,11.59,"1c","CEH files","",""
15/01/1965 00:00,1.830,16.93,"1c","CEH files","",""
01/02/1965 00:00,0.240,1.78,"1a","CEH files","",""
20/03/1965 00:00,1.520,11.75,"1c","CEH files","",""
28/04/1965 00:00,0.260,2.03,"1a","CEH files","",""
04/05/1965 00:00,1.510,11.59,"1c","CEH files","",""
17/06/1965 00:00,0.550,4.55,"1b","CEH files","",""
12/07/1965 00:00,0.410,3.51,"1b","CEH files","",""
03/08/1965 00:00,1.460,10.85,"1c","CEH files","",""
04/09/1965 00:00,2.500,31.29,"1c","CEH files","",""
01/10/1965 00:00,0.580,4.77,"1b","CEH files","",""
29/11/1965 00:00,1.980,19.77,"1c","CEH files","",""
09/12/1965 00:00,2.960,43.63,"1c","CEH files","",""
02/01/1966 00:00,1.980,19.77,"1c","CEH files","",""
25/02/1966 00:00,2.790,38.83,"1c","CEH files","",""
01/03/1966 00:00,0.630,5.13,"1b","CEH files","",""
19/04/1966 00:00,2.230,24.98,"1c","CEH files","",""
12/05/1966 00:00,0.850,6.68,"1b","CEH files","",""
23/06/1966 00:00,0.740,5.91,"1b","CEH files","",""
29/07/1966 00:00,0.180,1.13,"1a","CEH files","",""
27/08/1966 00:00,1.460,10.85,"1c","CEH files","",""
02/09/1966 00:00,0.090,0.38,"1a","CEH files","",""
23/10/1966 00:00,2.350,27.70,"1c","CEH files","",""
30/11/1966 00:00,1.800,16.39,"1c","CEH files","",""
29/12/1966 00:00,1.950,19.18,"1c","CEH files","",""
23/01/1967 00:00,2.010,20.36,"1c","CEH files","",""
28/02/1967 00:00,2.750,37.74,"1c","CEH files","",""
01/03/1967 00:00,1.830,16.93,"1c","CEH files","",""
10/04/1967 00:00,2.190,24.11,"1c","CEH files","",""
05/05/1967 00:00,1.490,11.29,"1c","CEH files","",""
26/06/1967 00:00,1.950,19.18,"1c","CEH files","",""
01/07/1967 00:00,0.090,0.38,"1a","CEH files","",""
02/08/1967 00:00,1.130,8.59,"1b","CEH files","",""
14/09/1967 00:00,0.350,3.05,"1b","CEH files","",""
28/10/1967 00:00,1.950,19.18,"1c","CEH files","",""
04/11/1967 00:00,3.090,47.48,"1c","CEH files","",""
19/12/1967 00:00,1.720,14.98,"1c","CEH files","",""
14/01/1968 00:00,2.650,35.09,"1c","CEH files","",""
07/02/1968 00:00,2.380,28.40,"1c","CEH files","",""
23/03/1968 00:00,0.200,1.33,"1a","CEH files","",""
18/04/1968 00:00,1.340,9.98,"1b","CEH files","",""
11/05/1968 00:00,1.400,10.38,"1b","CEH files","",""
29/06/1968 00:00,0.600,4.91,"1b","CEH files","",""
10/07/1968 00:00,1.520,11.75,"1c","CEH files","",""
08/08/1968 00:00,0.870,8.81,"2b","CEH files","",""
26/09/1968 00:00,2.160,29.71,"2c","CEH files","",""
12/10/1968 00:00,2.070,27.52,"2c","CEH files","",""
01/11/1968 00:00,1.220,11.91,"2b","CEH files","",""
22/12/1968 11:00,1.960,24.94,"2c","Digital Archive","Non-independent peak removed B",""
14/01/1969 11:00,1.694,19.18,"2c","Digital Archive","",""
18/01/1969 05:30,1.950,24.73,"2c","Digital Archive","",""
21/02/1969 00:00,2.230,31.46,"2c","CEH files","",""
24/04/1969 00:00,0.580,6.13,"2b","CEH files","",""
17/11/1969 13:45,2.178,30.18,"2c","Digital Archive","",""
22/12/1969 16:30,1.769,20.74,"2c","Digital Archive","",""
23/01/1970 00:00,2.070,27.52,"2c","CEH files","",""
25/01/1970 00:00,2.120,28.72,"2c","CEH files","",""
20/02/1970 04:15,1.758,20.53,"2c","Digital Archive","",""
07/04/1970 06:00,2.117,28.65,"2c","Digital Archive","",""
19/11/1970 16:15,2.487,38.31,"2c","Digital Archive","Non-independent peak removed A",""
30/11/1970 15:00,1.603,17.39,"2c","Digital Archive","",""
07/01/1971 14:30,1.894,23.47,"2c","Digital Archive","",""
21/01/1971 14:00,1.671,18.71,"2c","Digital Archive","",""
24/01/1971 08:15,2.757,46.12,"2c","Digital Archive","",""
26/01/1971 05:30,1.958,24.92,"2c","Digital Archive","",""
19/03/1971 08:00,1.909,23.81,"2c","Digital Archive","",""
15/06/1971 08:00,2.107,28.41,"2c","Digital Archive","",""
19/06/1971 14:45,2.141,29.26,"2c","Digital Archive","",""
06/03/1972 20:00,1.351,13.05,"2b","Digital Archive","","AMAX ONLY"
09/12/1972 21:15,1.648,18.25,"2c","Digital Archive","",""
10/05/1973 03:00,1.054,10.45,"2b","Digital Archive","","AMAX ONLY"
11/02/1974 16:45,2.910,50.80,"2c","Digital Archive","",""
15/02/1974 18:00,2.759,46.15,"2c","Digital Archive","",""
06/09/1974 05:00,1.613,17.56,"2c","Digital Archive","",""
28/09/1974 11:30,1.960,24.94,"2c","Digital Archive","",""
19/10/1974 08:45,1.743,20.21,"2c","Digital Archive","",""
14/11/1974 19:30,2.312,33.57,"2c","Digital Archive","",""
19/11/1974 06:00,1.998,25.84,"2c","Digital Archive","",""
22/11/1974 14:45,3.186,59.79,"2c","Digital Archive","",""
26/12/1974 12:45,1.797,21.35,"2c","Digital Archive","",""
17/01/1975 00:00,2.040,26.80,"2c","CEH files","",""
21/01/1975 00:00,2.380,35.37,"2c","CEH files","",""
28/01/1975 00:00,2.180,30.20,"2c","CEH files","",""
17/05/1975 20:45,2.188,30.43,"2c","Digital Archive","",""
29/11/1975 09:30,1.758,20.50,"2c","Digital Archive","",""
02/12/1975 19:00,2.167,29.88,"2c","Digital Archive","",""
09/11/1976 02:15,2.829,48.31,"2c","Digital Archive","",""
01/12/1976 02:00,2.710,44.72,"2c","Digital Archive","",""
08/12/1976 02:15,2.117,28.65,"2c","Digital Archive","",""
14/01/1977 14:45,2.599,41.47,"2c","Digital Archive","",""
10/02/1977 20:15,1.822,21.89,"2c","Digital Archive","",""
