"NAME:","Darent at Lullingstone"
"NUMBER:","40018"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/11/1965 00:00,0.240,1.74,"1b","CEH files","",""
10/12/1965 00:00,0.350,3.02,"1c","CEH files","",""
19/12/1965 00:00,0.300,2.41,"1c","CEH files","",""
23/12/1965 00:00,0.240,1.74,"1b","CEH files","",""
02/01/1966 00:00,0.240,1.74,"1b","CEH files","",""
10/02/1966 00:00,0.280,2.18,"1c","CEH files","",""
20/02/1966 00:00,0.240,1.74,"1b","CEH files","",""
25/02/1966 00:00,0.320,2.65,"1c","CEH files","",""
19/04/1966 00:00,0.320,2.65,"1c","CEH files","",""
21/02/1967 00:00,0.300,2.41,"1c","CEH files","",""
28/02/1967 00:00,0.270,2.07,"1c","CEH files","",""
10/04/1967 00:00,0.290,2.30,"1c","CEH files","",""
12/04/1967 00:00,0.250,1.85,"1b","CEH files","",""
06/05/1967 00:00,0.260,1.96,"1b","CEH files","",""
25/06/1967 00:00,0.260,1.96,"1b","CEH files","",""
05/11/1967 00:00,0.430,4.07,"1c","CEH files","",""
14/01/1968 00:00,0.330,2.77,"1c","CEH files","",""
07/02/1968 00:00,0.280,2.18,"1c","CEH files","",""
15/09/1968 00:00,,23.00,"1a","CEH/EA","Estimated - recorded lost in flood.",""
13/03/1969 00:00,0.420,3.93,"1c","CEH files","",""
07/01/1970 00:00,0.260,1.96,"1b","CEH files","",""
14/01/1970 00:00,0.240,1.74,"1b","CEH files","",""
25/01/1970 00:00,0.260,1.96,"1b","CEH files","",""
07/04/1970 00:00,0.270,2.07,"1c","CEH files","",""
14/11/1970 00:00,0.240,1.74,"1b","CEH files","",""
16/11/1970 00:00,0.310,2.53,"1c","CEH files","",""
19/11/1970 00:00,0.330,2.77,"1c","CEH files","",""
20/11/1970 00:00,0.330,2.77,"1c","CEH files","",""
21/01/1971 00:00,0.260,1.96,"1b","CEH files","",""
23/01/1971 00:00,0.330,2.77,"1c","CEH files","",""
25/01/1971 00:00,0.280,2.18,"1c","CEH files","",""
27/01/1971 00:00,0.290,2.30,"1c","CEH files","",""
15/03/1971 00:00,0.240,1.74,"1b","CEH files","",""
19/03/1971 00:00,0.310,2.53,"1c","CEH files","",""
25/04/1971 00:00,0.250,1.85,"1b","CEH files","",""
10/06/1971 00:00,0.260,1.96,"1b","CEH files","",""
15/06/1971 00:00,0.390,3.53,"1c","CEH files","",""
19/06/1971 00:00,0.420,3.93,"1c","CEH files","",""
20/06/1971 00:00,0.370,3.27,"1c","CEH files","",""
22/06/1971 00:00,0.260,1.96,"1b","CEH files","",""
11/01/1972 00:00,0.250,1.85,"1b","CEH files","",""
05/03/1972 00:00,0.240,1.74,"1b","CEH files","",""
07/03/1972 00:00,0.240,1.74,"1b","CEH files","",""
09/12/1972 00:00,0.280,2.18,"1c","CEH files","",""
28/09/1973 00:00,0.250,1.85,"1b","CEH files","",""
09/02/1974 00:00,0.250,1.85,"1b","CEH files","",""
11/02/1974 00:00,0.470,4.63,"1c","CEH files","",""
13/02/1974 00:00,0.340,2.89,"1c","CEH files","",""
15/02/1974 00:00,0.380,3.40,"1c","CEH files","",""
17/03/1974 00:00,0.260,1.96,"1b","CEH files","",""
05/09/1974 00:00,0.260,1.96,"1b","CEH files","",""
27/09/1974 00:00,0.280,2.18,"1c","CEH files","",""
18/10/1974 00:00,0.290,2.30,"1c","CEH files","",""
19/10/1974 00:00,0.240,1.74,"1b","CEH files","",""
13/11/1974 00:00,0.320,2.65,"1c","CEH files","",""
14/11/1974 00:00,0.330,2.77,"1c","CEH files","",""
18/11/1974 00:00,0.340,2.89,"1c","CEH files","",""
22/11/1974 00:00,0.570,6.14,"1c","CEH files","",""
23/12/1974 00:00,0.320,2.65,"1c","CEH files","",""
27/12/1974 00:00,0.300,2.41,"1c","CEH files","",""
17/01/1975 00:00,0.250,1.85,"1b","CEH files","",""
18/01/1975 00:00,0.370,3.27,"1c","CEH files","",""
20/01/1975 00:00,0.440,4.21,"1c","CEH files","",""
22/01/1975 00:00,0.340,2.89,"1c","CEH files","",""
25/01/1975 00:00,0.290,2.30,"1c","CEH files","",""
28/01/1975 00:00,0.430,4.07,"1c","CEH files","",""
29/01/1975 00:00,0.380,3.40,"1c","CEH files","",""
31/01/1975 00:00,0.340,2.89,"1c","CEH files","",""
15/02/1975 00:00,0.250,1.85,"1b","CEH files","",""
06/03/1975 00:00,0.250,1.85,"1b","CEH files","",""
07/03/1975 00:00,0.260,1.96,"1b","CEH files","",""
08/03/1975 00:00,0.330,2.77,"1c","CEH files","",""
20/03/1975 00:00,0.290,2.30,"1c","CEH files","",""
22/03/1975 00:00,0.370,3.27,"1c","CEH files","",""
27/03/1975 00:00,0.290,2.30,"1c","CEH files","",""
29/03/1975 00:00,0.260,1.96,"1b","CEH files","",""
02/04/1975 00:00,0.280,2.18,"1c","CEH files","",""
18/04/1975 00:00,0.330,2.77,"1c","CEH files","",""
19/04/1975 00:00,0.310,2.53,"1c","CEH files","",""
16/05/1975 00:00,0.400,3.67,"1c","CEH files","",""
17/05/1975 00:00,0.380,3.40,"1c","CEH files","",""
28/11/1975 00:00,0.250,1.85,"1b","CEH files","",""
01/12/1975 00:00,0.330,2.77,"1c","CEH files","",""
23/01/1976 00:00,0.290,2.30,"1c","CEH files","",""
12/11/1976 00:00,0.250,1.85,"1b","CEH files","",""
29/11/1976 00:00,0.350,3.02,"1c","CEH files","",""
30/11/1976 00:00,0.390,3.53,"1c","CEH files","",""
06/12/1976 00:00,0.270,2.07,"1c","CEH files","",""
07/12/1976 00:00,0.330,2.77,"1c","CEH files","",""
01/01/1977 00:00,0.310,2.53,"1c","CEH files","",""
08/01/1977 00:00,0.330,2.77,"1c","CEH files","",""
14/01/1977 00:00,0.360,3.14,"1c","CEH files","",""
03/02/1977 00:00,0.260,1.96,"1b","CEH files","",""
10/02/1977 00:00,0.260,1.96,"1b","CEH files","",""
18/02/1977 00:00,0.240,1.74,"1b","CEH files","",""
20/02/1977 00:00,0.270,2.07,"1c","CEH files","",""
27/03/1977 00:00,0.240,1.74,"1b","CEH files","",""
14/08/1977 00:00,0.250,1.85,"1b","CEH files","",""
27/08/1977 00:00,0.270,2.07,"1c","CEH files","",""
11/12/1977 00:00,0.270,2.07,"1c","CEH files","",""
11/01/1978 00:00,0.250,1.85,"1b","CEH files","",""
12/01/1978 00:00,0.350,3.02,"1c","CEH files","",""
28/01/1978 00:00,0.460,4.49,"1c","CEH files","",""
29/01/1978 00:00,0.360,3.14,"1c","CEH files","",""
02/02/1978 00:00,0.320,2.65,"1c","CEH files","",""
04/02/1978 00:00,0.330,2.77,"1c","CEH files","",""
24/02/1978 00:00,0.270,2.07,"1c","CEH files","",""
28/02/1978 00:00,0.290,2.30,"1c","CEH files","",""
16/03/1978 00:00,0.250,1.85,"1b","CEH files","",""
02/05/1978 00:00,0.400,3.67,"1c","CEH files","",""
05/05/1978 00:00,0.310,2.53,"1c","CEH files","",""
06/05/1978 00:00,0.360,3.14,"1c","CEH files","",""
29/12/1978 00:00,0.250,1.85,"1b","CEH files","",""
01/02/1979 00:00,0.290,2.30,"1c","CEH files","",""
13/02/1979 00:00,0.270,2.07,"1c","CEH files","",""
16/03/1979 00:00,0.250,1.85,"1b","CEH files","",""
25/03/1979 00:00,0.260,1.96,"1b","CEH files","",""
27/03/1979 00:00,0.260,1.96,"1b","CEH files","",""
28/03/1979 00:00,0.290,2.30,"1c","CEH files","",""
29/03/1979 00:00,0.320,2.65,"1c","CEH files","",""
01/05/1979 00:00,0.260,1.96,"1b","CEH files","",""
15/12/1979 00:00,0.280,2.18,"1c","CEH files","",""
28/12/1979 00:00,0.450,4.35,"1c","CEH files","",""
16/10/1980 00:00,0.250,1.85,"1b","CEH files","",""
17/11/1980 00:00,0.290,2.30,"1c","CEH files","",""
20/12/1980 00:00,0.270,2.07,"1c","CEH files","",""
21/12/1980 00:00,0.250,1.85,"1b","CEH files","",""
10/03/1981 00:00,0.250,1.85,"1b","CEH files","",""
11/03/1981 00:00,0.290,2.30,"1c","CEH files","",""
25/05/1981 00:00,0.240,1.74,"1b","CEH files","",""
21/07/1981 00:00,0.270,2.07,"1c","CEH files","",""
20/10/1981 00:00,0.320,2.65,"1c","CEH files","",""
14/12/1981 00:00,0.320,2.65,"1c","CEH files","",""
15/12/1981 00:00,0.350,3.02,"1c","CEH files","",""
29/12/1981 00:00,0.320,2.65,"1c","CEH files","",""
01/01/1982 00:00,0.250,1.85,"1b","CEH files","",""
03/01/1982 00:00,0.290,2.30,"1c","CEH files","",""
18/10/1982 00:00,0.260,1.96,"1b","CEH files","",""
21/10/1982 00:00,0.250,1.85,"1b","CEH files","",""
22/10/1982 00:00,0.360,3.14,"1c","CEH files","",""
23/11/1982 00:00,0.290,2.30,"1c","CEH files","",""
25/11/1982 00:00,0.360,3.14,"1c","CEH files","",""
09/12/1982 00:00,0.460,4.49,"1c","CEH files","",""
12/12/1982 00:00,0.290,2.30,"1c","CEH files","",""
19/12/1982 00:00,0.280,2.18,"1c","CEH files","",""
03/01/1983 00:00,0.280,2.18,"1c","CEH files","",""
04/01/1983 00:00,0.250,1.85,"1b","CEH files","",""
14/01/1983 00:00,0.240,1.74,"1b","CEH files","",""
31/01/1983 00:00,0.240,1.74,"1b","CEH files","",""
05/02/1983 00:00,0.240,1.74,"1b","CEH files","",""
01/04/1983 00:00,0.380,3.40,"1c","CEH files","",""
03/04/1983 00:00,0.280,2.18,"1c","CEH files","",""
05/04/1983 00:00,0.390,3.53,"1c","CEH files","",""
18/04/1983 00:00,0.330,2.77,"1c","CEH files","",""
20/04/1983 00:00,0.260,1.96,"1b","CEH files","",""
25/04/1983 00:00,0.260,1.96,"1b","CEH files","",""
15/05/1983 00:00,0.270,2.07,"1c","CEH files","",""
01/06/1983 00:00,0.360,3.14,"1c","CEH files","",""
06/07/1983 00:00,0.280,2.18,"1c","CEH files","",""
22/04/1990 13:30,0.160,0.97,"1b","Digital Archive","","AMAX ONLY"
28/10/1990 12:00,0.168,1.04,"1b","Digital Archive","","AMAX ONLY"
10/01/1991 08:30,0.289,2.28,"1c","Digital Archive","",""
31/03/1992 00:15,0.202,1.36,"1b","Digital Archive","",""
01/05/1992 10:00,0.193,1.27,"1b","Digital Archive","",""
21/10/1992 15:30,0.246,1.81,"1b","Digital Archive","",""
17/11/1992 04:15,0.231,1.65,"1b","Digital Archive","",""
26/11/1992 12:15,0.432,4.10,"1c","Digital Archive","",""
29/11/1992 10:45,0.312,2.55,"1c","Digital Archive","",""
03/12/1992 18:15,0.344,2.94,"1c","Digital Archive","",""
19/12/1992 03:45,0.296,2.36,"1c","Digital Archive","",""
11/01/1993 00:45,0.319,2.64,"1c","Digital Archive","",""
13/01/1993 22:00,0.277,2.15,"1c","Digital Archive","",""
24/01/1993 09:15,0.195,1.29,"1b","Digital Archive","",""
01/04/1993 23:30,0.211,1.45,"1b","Digital Archive","",""
11/04/1993 07:00,0.216,1.50,"1b","Digital Archive","",""
02/10/1993 17:15,0.243,1.78,"1b","Digital Archive","",""
12/10/1993 17:45,0.259,1.95,"1b","Digital Archive","",""
14/11/1993 11:00,0.238,1.72,"1b","Digital Archive","",""
08/12/1993 22:45,0.211,1.45,"1b","Digital Archive","",""
13/12/1993 00:30,0.238,1.72,"1b","Digital Archive","",""
15/12/1993 11:45,0.248,1.83,"1b","Digital Archive","",""
19/12/1993 14:15,0.312,2.55,"1c","Digital Archive","Non-independent peak removed A",""
31/12/1993 01:30,0.321,2.66,"1c","Digital Archive","",""
02/01/1994 15:30,0.312,2.55,"1c","Digital Archive","",""
05/01/1994 19:30,0.442,4.24,"1c","Digital Archive","Genuine peak, slight noise.",""
10/01/1994 13:45,0.418,3.91,"1c","Digital Archive","",""
03/02/1994 23:00,0.312,2.55,"1c","Digital Archive","",""
01/04/1994 10:30,0.233,1.67,"1b","Digital Archive","",""
04/04/1994 11:45,0.261,1.97,"1c","Digital Archive","",""
10/04/1994 16:15,0.270,2.07,"1c","Digital Archive","",""
22/05/1994 06:45,0.216,1.50,"1b","Digital Archive","",""
25/06/1994 10:30,0.228,1.62,"1b","Digital Archive","",""
25/10/1994 09:15,0.241,1.75,"1b","Digital Archive","",""
31/10/1994 12:30,0.342,2.92,"1c","Digital Archive","",""
11/12/1994 12:00,0.222,1.56,"1b","Digital Archive","",""
18/12/1994 15:30,0.208,1.42,"1b","Digital Archive","",""
29/12/1994 13:15,0.333,2.81,"1c","Digital Archive","",""
20/01/1995 11:00,0.414,3.85,"1c","Digital Archive","",""
30/01/1995 02:15,0.407,3.76,"1c","Digital Archive","",""
01/02/1995 13:45,0.402,3.69,"1c","Digital Archive","",""
14/02/1995 18:30,0.407,3.76,"1c","Digital Archive","",""
23/02/1995 02:15,0.337,2.86,"1c","Digital Archive","",""
