"NAME:","Rother at Iping Mill"
"NUMBER:","41011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/10/1967 00:00,1.010,17.79,"3e","CEH files","",""
02/11/1967 00:00,0.980,16.81,"3e","CEH files","",""
28/06/1968 00:00,1.040,18.77,"3e","CEH files","",""
16/09/1968 00:00,2.970,114.69,"3h","CEH files","Flow from rating, but estimated to be between 100 and 150m3/s.",""
26/09/1968 00:00,0.940,15.53,"3e","CEH files","",""
10/10/1968 00:00,1.120,21.45,"3e","CEH files","",""
12/10/1968 00:00,0.980,16.81,"3e","CEH files","",""
28/10/1968 00:00,1.090,20.44,"3e","CEH files","",""
01/11/1968 00:00,1.160,22.82,"3e","CEH files","",""
17/12/1968 00:00,1.680,42.96,"3f","CEH files","",""
22/12/1968 00:00,1.220,24.91,"3e","CEH files","",""
13/01/1969 00:00,1.150,22.48,"3e","CEH files","",""
17/01/1969 00:00,1.070,19.77,"3e","CEH files","",""
28/01/1969 00:00,1.050,19.10,"3e","CEH files","",""
21/02/1969 00:00,0.920,14.90,"3e","CEH files","",""
13/03/1969 00:00,1.120,21.45,"3e","CEH files","",""
22/12/1969 00:00,1.000,17.46,"3e","CEH files","",""
14/11/1970 00:00,1.020,18.12,"3e","CEH files","",""
18/11/1970 00:00,1.060,19.44,"3e","CEH files","",""
21/01/1971 00:00,0.990,17.14,"3e","CEH files","",""
23/01/1971 00:00,1.370,30.28,"3e","CEH files","",""
25/01/1971 00:00,1.020,18.12,"3e","CEH files","",""
18/03/1971 00:00,0.970,16.49,"3e","CEH files","",""
11/01/1972 00:00,0.910,14.59,"3e","CEH files","",""
06/12/1972 00:00,1.000,17.46,"3e","CEH files","",""
11/02/1974 00:00,1.620,40.58,"3f","CEH files","",""
15/02/1974 00:00,1.350,29.55,"3e","CEH files","",""
05/09/1974 00:00,1.240,25.61,"3e","CEH files","",""
27/09/1974 00:00,1.010,17.79,"3e","CEH files","",""
18/10/1974 00:00,0.860,13.04,"3e","CEH files","",""
13/11/1974 00:00,1.280,27.03,"3e","CEH files","",""
18/11/1974 00:00,1.250,25.96,"3e","CEH files","",""
21/11/1974 00:00,1.130,21.79,"3e","CEH files","",""
22/11/1974 00:00,1.580,38.96,"3f","CEH files","",""
25/12/1974 00:00,1.010,17.79,"3e","CEH files","",""
27/12/1974 00:00,0.910,14.59,"3e","CEH files","",""
18/01/1975 00:00,0.870,13.35,"3e","CEH files","",""
20/01/1975 00:00,1.490,35.25,"3f","CEH files","",""
22/01/1975 00:00,1.100,20.78,"3e","CEH files","",""
25/01/1975 00:00,0.890,13.96,"3e","CEH files","",""
27/01/1975 00:00,1.200,24.21,"3e","CEH files","",""
28/01/1975 00:00,1.050,19.10,"3e","CEH files","",""
08/03/1975 00:00,1.050,19.10,"3e","CEH files","",""
18/04/1975 00:00,1.200,24.21,"3e","CEH files","",""
01/12/1975 00:00,1.100,20.78,"3e","CEH files","",""
12/11/1976 00:00,0.920,14.90,"3e","CEH files","",""
29/11/1976 00:00,1.310,28.10,"3e","CEH files","",""
30/11/1976 00:00,1.200,24.21,"3e","CEH files","",""
31/12/1976 00:00,0.920,14.90,"3e","CEH files","",""
01/01/1977 00:00,1.120,21.45,"3e","CEH files","",""
13/01/1977 00:00,1.040,18.77,"3e","CEH files","",""
26/01/1977 00:00,0.870,13.35,"3e","CEH files","",""
03/02/1977 00:00,0.890,13.96,"3e","CEH files","",""
10/02/1977 00:00,1.000,17.46,"3e","CEH files","",""
18/02/1977 00:00,0.950,15.85,"3e","CEH files","",""
15/03/1977 00:00,0.900,14.27,"3e","CEH files","",""
07/12/1977 00:00,1.090,20.44,"3e","CEH files","",""
10/12/1977 00:00,1.090,20.44,"3e","CEH files","",""
23/01/1978 00:00,1.080,20.10,"3e","CEH files","",""
28/01/1978 00:00,0.970,16.49,"3e","CEH files","",""
26/02/1978 00:00,0.900,14.27,"3e","CEH files","",""
01/02/1979 00:00,0.870,13.35,"3e","CEH files","",""
25/03/1979 00:00,1.270,26.67,"3e","CEH files","",""
09/12/1979 00:00,0.870,13.35,"3e","CEH files","",""
14/12/1979 00:00,0.860,13.04,"3e","CEH files","",""
27/12/1979 00:00,1.970,53.96,"3f","CEH files","",""
19/12/1980 00:00,0.910,14.59,"3e","CEH files","",""
09/03/1981 00:00,1.060,19.44,"3e","CEH files","",""
11/03/1981 00:00,1.000,17.46,"3e","CEH files","",""
25/05/1981 00:00,0.900,14.27,"3e","CEH files","",""
26/05/1981 00:00,0.980,16.81,"3e","CEH files","",""
02/06/1981 00:00,0.930,15.22,"3e","CEH files","",""
26/09/1981 00:00,0.950,15.85,"3e","CEH files","",""
14/12/1981 00:00,0.990,17.14,"3e","CEH files","",""
10/03/1982 00:00,1.120,21.45,"3e","CEH files","",""
22/10/1982 00:00,1.100,20.78,"3e","CEH files","",""
12/11/1982 00:00,0.890,13.96,"3e","CEH files","",""
23/11/1982 00:00,0.980,16.81,"3e","CEH files","",""
09/12/1982 00:00,1.270,26.67,"3e","CEH files","",""
19/12/1982 00:00,1.000,17.46,"3e","CEH files","",""
04/01/1983 00:00,1.170,23.17,"3e","CEH files","",""
06/06/1983 01:00,0.933,15.31,"3e","Digital Archive","",""
27/11/1983 08:00,0.884,13.78,"3e","Digital Archive","",""
20/12/1983 18:30,0.845,12.58,"3e","Digital Archive","",""
22/12/1983 19:00,0.871,13.38,"3e","Digital Archive","",""
03/01/1984 06:15,1.059,19.40,"3e","Digital Archive","",""
