"NAME:","Adur E Branch at Sakeham"
"NUMBER:","41012"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/11/1967 00:00,1.580,17.79,"1b","CEH files","",""
04/11/1967 00:00,2.220,34.84,"1b","CEH files","",""
19/12/1967 00:00,1.500,16.00,"1b","CEH files","",""
14/01/1968 00:00,1.510,16.22,"1b","CEH files","",""
06/02/1968 00:00,1.710,20.87,"1b","CEH files","",""
15/09/1968 00:00,1.440,14.70,"1b","CEH files","",""
11/10/1968 00:00,1.470,15.34,"1b","CEH files","",""
02/11/1968 00:00,1.520,16.44,"1b","CEH files","",""
22/12/1968 00:00,1.520,16.44,"1b","CEH files","",""
17/01/1969 00:00,1.600,18.25,"1b","CEH files","",""
28/01/1969 00:00,1.400,13.86,"1b","CEH files","",""
20/02/1969 00:00,1.870,24.94,"1b","CEH files","",""
13/03/1969 00:00,1.750,21.86,"1b","CEH files","",""
16/11/1969 00:00,1.600,18.25,"1b","CEH files","",""
14/12/1969 00:00,1.480,15.56,"1b","CEH files","",""
14/01/1970 00:00,1.440,14.70,"1b","CEH files","",""
14/11/1970 00:00,1.480,15.56,"1b","CEH files","",""
18/11/1970 00:00,1.680,20.14,"1b","CEH files","",""
23/01/1971 00:00,1.770,22.36,"1b","CEH files","",""
17/03/1971 00:00,1.610,18.48,"1b","CEH files","",""
19/06/1971 00:00,1.870,24.94,"1b","CEH files","",""
11/01/1972 00:00,1.700,20.63,"1b","CEH files","",""
05/03/1972 00:00,1.700,20.63,"1b","CEH files","",""
09/12/1972 00:00,1.750,21.86,"1b","CEH files","",""
13/12/1972 00:00,1.470,15.34,"1b","CEH files","",""
06/01/1974 00:00,1.460,15.13,"1b","CEH files","",""
11/01/1974 00:00,1.550,17.11,"1b","CEH files","",""
11/02/1974 00:00,2.530,44.71,"1b","CEH files","",""
13/02/1974 00:00,1.420,14.28,"1b","CEH files","",""
15/02/1974 00:00,2.250,35.75,"1b","CEH files","",""
05/09/1974 00:00,1.620,18.72,"1b","CEH files","",""
27/09/1974 00:00,1.640,19.19,"1b","CEH files","",""
19/10/1974 00:00,1.520,16.44,"1b","CEH files","",""
21/10/1974 00:00,1.450,14.91,"1b","CEH files","",""
13/11/1974 00:00,1.930,26.54,"1b","CEH files","",""
16/11/1974 00:00,1.850,24.42,"1b","CEH files","",""
18/11/1974 00:00,1.900,25.73,"1b","CEH files","",""
20/11/1974 00:00,1.590,18.02,"1b","CEH files","",""
21/11/1974 00:00,1.770,22.36,"1b","CEH files","",""
22/11/1974 00:00,2.640,48.45,"1b","CEH files","",""
25/12/1974 00:00,1.700,20.63,"1b","CEH files","",""
27/12/1974 00:00,1.550,17.11,"1b","CEH files","",""
17/01/1975 00:00,1.620,18.72,"1b","CEH files","",""
18/01/1975 00:00,1.510,16.22,"1b","CEH files","",""
20/01/1975 00:00,2.300,37.29,"1b","CEH files","",""
22/01/1975 00:00,1.600,18.25,"1b","CEH files","",""
25/01/1975 00:00,1.380,13.45,"1b","CEH files","",""
27/01/1975 00:00,2.090,31.01,"1b","CEH files","",""
28/01/1975 00:00,1.620,18.72,"1b","CEH files","",""
08/03/1975 00:00,1.500,16.00,"1b","CEH files","",""
18/04/1975 00:00,1.610,18.48,"1b","CEH files","",""
17/05/1975 00:00,1.490,15.78,"1b","CEH files","",""
27/10/1975 00:00,1.440,14.70,"1b","CEH files","",""
28/11/1975 00:00,1.610,18.48,"1b","CEH files","",""
02/12/1975 00:00,2.000,28.46,"1b","CEH files","",""
02/06/1976 00:00,0.193,0.20,"1a","Digital Archive","","AMAX ONLY"
08/11/1976 00:00,1.650,19.43,"1b","CEH files","",""
10/11/1976 00:00,1.460,15.13,"1b","CEH files","",""
12/11/1976 00:00,2.050,29.86,"1b","CEH files","",""
29/11/1976 00:00,1.440,14.70,"1b","CEH files","",""
30/11/1976 00:00,1.900,25.73,"1b","CEH files","",""
06/12/1976 00:00,1.470,15.34,"1b","CEH files","",""
07/12/1976 00:00,1.640,19.19,"1b","CEH files","",""
01/01/1977 00:00,1.510,16.22,"1b","CEH files","",""
13/01/1977 00:00,2.220,34.84,"1b","CEH files","",""
10/02/1977 00:00,1.740,21.61,"1b","CEH files","",""
27/08/1977 00:00,1.530,16.66,"1b","CEH files","",""
02/11/1977 00:00,1.490,15.78,"1b","CEH files","",""
05/11/1977 23:45,0.280,0.36,"1a","Digital Archive","","AMAX ONLY"
07/12/1977 00:00,2.130,32.17,"1b","CEH files","",""
10/12/1977 00:00,1.640,19.19,"1b","CEH files","",""
11/12/1977 00:00,1.480,15.56,"1b","CEH files","",""
11/01/1978 00:00,1.920,26.27,"1b","CEH files","",""
23/01/1978 00:00,1.850,24.42,"1b","CEH files","",""
28/01/1978 00:00,1.740,21.61,"1b","CEH files","",""
26/02/1978 00:00,1.350,12.84,"1b","CEH files","",""
02/05/1978 00:00,1.350,12.84,"1b","CEH files","",""
06/05/1978 00:00,1.440,14.70,"1b","CEH files","",""
01/02/1979 00:00,1.490,15.78,"1b","CEH files","",""
08/04/1979 00:00,2.120,31.87,"1b","CEH files","",""
09/12/1979 00:00,1.560,17.33,"1b","CEH files","",""
28/12/1979 00:00,2.620,47.76,"1b","CEH files","",""
03/01/1980 00:00,1.500,16.00,"1b","CEH files","",""
21/01/1980 00:00,1.500,16.00,"1b","CEH files","",""
31/01/1980 00:00,1.360,13.04,"1b","CEH files","",""
02/02/1980 00:00,1.580,17.79,"1b","CEH files","",""
03/02/1980 00:00,1.380,13.45,"1b","CEH files","",""
04/02/1980 00:00,1.320,12.25,"1b","CEH files","",""
08/07/1980 00:00,1.580,17.79,"1b","CEH files","",""
13/10/1980 00:00,1.990,28.18,"1b","CEH files","",""
01/11/1980 00:00,1.990,28.18,"1b","CEH files","",""
17/12/1980 00:00,1.350,12.84,"1b","CEH files","",""
03/03/1981 00:00,1.440,14.70,"1b","CEH files","",""
09/03/1981 00:00,1.350,12.84,"1b","CEH files","",""
11/03/1981 00:00,1.400,13.86,"1b","CEH files","",""
30/03/1981 00:00,1.870,24.94,"1b","CEH files","",""
14/04/1981 00:00,2.000,28.46,"1b","CEH files","",""
06/08/1981 00:00,1.810,23.38,"1b","CEH files","",""
25/09/1981 00:00,1.440,14.70,"1b","CEH files","",""
26/09/1981 00:00,1.940,26.81,"1b","CEH files","",""
14/12/1981 00:00,1.960,27.36,"1b","CEH files","",""
05/01/1982 00:00,1.470,15.34,"1b","CEH files","",""
10/03/1982 00:00,1.650,19.43,"1b","CEH files","",""
14/10/1982 00:00,1.500,16.00,"1b","CEH files","",""
17/10/1982 00:00,1.410,14.07,"1b","CEH files","",""
18/10/1982 00:00,1.670,19.90,"1b","CEH files","",""
22/10/1982 00:00,2.040,29.58,"1b","CEH files","",""
23/11/1982 00:00,1.660,19.66,"1b","CEH files","",""
25/11/1982 00:00,1.690,20.39,"1b","CEH files","",""
27/11/1982 00:00,1.500,16.00,"1b","CEH files","",""
09/12/1982 00:00,2.140,32.46,"1b","CEH files","",""
04/01/1983 00:00,1.690,20.39,"1b","CEH files","",""
06/04/1983 02:15,1.379,13.43,"1b","Digital Archive","",""
18/04/1983 15:45,1.294,11.74,"1b","Digital Archive","",""
06/06/1983 05:15,1.842,24.21,"1b","Digital Archive","",""
21/12/1983 08:00,1.240,10.71,"1b","Digital Archive","",""
03/01/1984 06:00,1.190,9.80,"1b","Digital Archive","",""
13/01/1984 11:15,1.294,11.74,"1b","Digital Archive","",""
17/01/1984 00:30,1.675,20.02,"1b","Digital Archive","",""
23/01/1984 19:45,1.815,23.51,"1b","Digital Archive","",""
26/01/1984 12:15,1.457,15.06,"1b","Digital Archive","",""
31/01/1984 02:45,1.419,14.26,"1b","Digital Archive","",""
24/03/1984 14:45,1.720,21.12,"1b","Digital Archive","",""
