"NAME:","Arun at Pallingham"
"NUMBER:","41014"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/02/1974 00:00,2.810,87.37,"4f","CEH files","",""
15/02/1974 00:00,2.440,50.23,"4f","CEH files","",""
05/09/1974 00:00,2.530,57.89,"4f","CEH files","",""
27/09/1974 00:00,2.400,47.07,"4f","CEH files","",""
14/11/1974 00:00,2.500,55.25,"4f","CEH files","",""
18/11/1974 00:00,2.490,54.38,"4f","CEH files","",""
22/11/1974 00:00,2.720,76.90,"4f","CEH files","",""
26/12/1974 00:00,2.330,41.91,"4f","CEH files","",""
27/12/1974 00:00,2.150,32.96,"4e","CEH files","",""
19/01/1975 00:00,2.180,33.66,"4e","CEH files","Non-independent peak removed",""
20/01/1975 00:00,2.650,69.43,"4f","CEH files","Non-independent peak removed",""
22/01/1975 00:00,2.140,32.72,"4e","CEH files","",""
27/01/1975 00:00,2.440,50.23,"4f","CEH files","",""
09/03/1975 00:00,2.190,33.89,"4e","CEH files","",""
19/04/1975 00:00,2.290,39.16,"4f","CEH files","",""
17/05/1975 00:00,2.170,33.42,"4e","CEH files","",""
02/12/1975 00:00,2.350,43.34,"4f","CEH files","",""
13/11/1976 00:00,2.430,49.42,"4f","CEH files","",""
30/11/1976 00:00,2.640,68.41,"4f","CEH files","",""
06/12/1976 00:00,2.180,33.66,"4e","CEH files","",""
02/01/1977 00:00,2.460,51.86,"4f","CEH files","",""
14/01/1977 00:00,2.420,48.63,"4f","CEH files","",""
26/01/1977 00:00,2.120,32.26,"4e","CEH files","",""
10/02/1977 00:00,2.210,34.36,"4e","CEH files","",""
01/03/1977 23:45,0.323,1.51,"4b","Digital Archive","","AMAX ONLY"
08/12/1977 00:00,2.770,82.60,"4f","CEH files","",""
11/12/1977 00:00,2.320,41.21,"4f","CEH files","",""
12/01/1978 00:00,2.480,53.53,"4f","CEH files","",""
24/01/1978 00:00,2.270,37.84,"4f","CEH files","",""
28/01/1978 00:00,2.260,37.19,"4f","CEH files","",""
02/05/1978 00:00,2.490,54.38,"4f","CEH files","",""
06/05/1978 00:00,2.380,45.55,"4f","CEH files","",""
01/03/1979 11:15,0.300,1.23,"4b","Digital Archive","","AMAX ONLY"
25/03/1979 00:00,2.200,34.13,"4e","CEH files","",""
08/04/1979 00:00,2.950,105.73,"4f","CEH files","",""
10/12/1979 00:00,2.180,33.66,"4e","CEH files","",""
14/12/1979 00:00,2.360,44.07,"4f","CEH files","",""
28/12/1979 00:00,3.220,149.05,"4f","CEH files","",""
29/12/1979 00:00,2.654,69.84,"4f","Digital Archive","","AMAX ONLY"
22/01/1980 00:00,2.150,32.96,"4e","CEH files","",""
21/09/1980 00:00,2.340,42.62,"4f","CEH files","",""
11/10/1980 00:00,2.200,34.13,"4e","CEH files","",""
16/10/1980 00:00,2.500,55.25,"4f","CEH files","",""
10/03/1981 00:00,2.150,32.96,"4e","CEH files","",""
11/03/1981 00:00,2.170,33.42,"4e","CEH files","",""
14/04/1981 00:00,2.770,82.60,"4f","CEH files","",""
26/05/1981 00:00,2.510,56.12,"4f","CEH files","",""
02/06/1981 00:00,2.740,79.14,"4f","CEH files","Genuine peak.",""
07/08/1981 12:00,1.973,28.92,"4e","Digital Archive","",""
27/09/1981 11:00,2.332,42.06,"4f","Digital Archive","",""
01/10/1981 19:15,2.079,31.32,"4e","Digital Archive","",""
26/10/1981 18:15,1.669,22.43,"4e","Digital Archive","",""
15/12/1981 00:30,2.450,51.04,"4f","Digital Archive","",""
22/12/1981 07:45,1.932,28.02,"4e","Digital Archive","",""
30/12/1981 06:15,2.118,32.21,"4e","Digital Archive","",""
06/01/1982 14:00,1.817,25.52,"4e","Digital Archive","",""
04/03/1982 02:30,1.685,22.76,"4e","Digital Archive","",""
11/03/1982 01:15,2.108,31.98,"4e","Digital Archive","",""
17/03/1982 03:30,1.475,18.60,"4e","Digital Archive","",""
05/10/1982 11:30,1.809,25.35,"4e","Digital Archive","",""
14/10/1982 23:00,2.469,52.61,"4f","Digital Archive","",""
18/10/1982 04:45,2.122,32.31,"4e","Digital Archive","",""
23/10/1982 00:00,2.743,79.48,"4f","Digital Archive","",""
09/11/1982 15:00,1.662,22.29,"4e","Digital Archive","",""
13/11/1982 13:15,1.998,29.48,"4e","Digital Archive","",""
17/11/1982 05:00,1.595,20.94,"4e","Digital Archive","",""
25/11/1982 23:30,2.364,44.36,"4f","Digital Archive","",""
09/12/1982 22:30,2.887,97.14,"4f","Digital Archive","",""
13/12/1982 10:30,2.071,31.13,"4e","Digital Archive","",""
20/12/1982 16:30,2.140,32.72,"4e","Digital Archive","",""
05/01/1983 00:30,2.361,44.14,"4f","Digital Archive","",""
01/02/1983 17:15,1.702,23.11,"4e","Digital Archive","",""
06/04/1983 19:00,1.858,26.40,"4e","Digital Archive","",""
19/04/1983 12:15,2.091,31.59,"4e","Digital Archive","",""
02/06/1983 02:30,2.016,29.89,"4e","Digital Archive","",""
06/06/1983 09:15,1.952,28.46,"4e","Digital Archive","",""
24/06/1983 10:15,1.745,24.00,"4e","Digital Archive","",""
28/11/1983 02:00,1.781,24.76,"4e","Digital Archive","",""
10/12/1983 09:00,1.524,19.54,"4e","Digital Archive","",""
21/12/1983 12:30,2.210,34.36,"4e","Digital Archive","",""
03/01/1984 22:45,2.265,37.51,"4f","Digital Archive","",""
14/01/1984 02:30,1.822,25.63,"4e","Digital Archive","",""
17/01/1984 12:45,2.398,46.92,"4f","Digital Archive","",""
24/01/1984 08:00,2.354,43.63,"4f","Digital Archive","",""
27/01/1984 00:30,2.255,36.87,"4f","Digital Archive","",""
31/01/1984 14:15,1.901,27.34,"4e","Digital Archive","",""
23/02/1984 16:00,1.876,26.79,"4e","Digital Archive","",""
25/03/1984 06:15,2.400,47.07,"4f","Digital Archive","",""
29/03/1984 15:30,1.945,28.30,"4e","Digital Archive","",""
28/05/1984 02:45,1.720,23.48,"4e","Digital Archive","",""
05/10/1984 10:30,1.524,19.54,"4e","Digital Archive","",""
24/10/1984 21:30,1.712,23.32,"4e","Digital Archive","",""
24/11/1984 01:00,2.533,58.16,"4f","Digital Archive","",""
07/12/1984 00:45,2.302,39.97,"4f","Digital Archive","",""
17/12/1984 15:00,1.850,26.23,"4e","Digital Archive","",""
22/01/1985 09:15,2.530,57.89,"4f","Digital Archive","",""
26/01/1985 15:30,2.140,32.72,"4e","Digital Archive","",""
08/02/1985 13:15,2.032,30.25,"4e","Digital Archive","",""
03/03/1985 15:00,1.508,19.23,"4e","Digital Archive","",""
27/03/1985 15:45,1.690,22.86,"4e","Digital Archive","",""
02/04/1985 06:45,1.623,21.50,"4e","Digital Archive","",""
12/04/1985 10:00,1.884,26.97,"4e","Digital Archive","",""
05/08/1985 20:45,1.684,22.74,"4e","Digital Archive","",""
11/08/1985 09:15,1.559,20.23,"4e","Digital Archive","",""
25/08/1985 09:00,1.904,27.40,"4e","Digital Archive","",""
07/12/1985 23:45,2.045,30.54,"4e","Digital Archive","",""
27/12/1985 04:00,2.713,76.13,"4f","Digital Archive","",""
03/01/1986 16:15,2.701,74.82,"4f","Digital Archive","",""
09/01/1986 08:00,2.063,30.95,"4e","Digital Archive","",""
23/01/1986 15:30,1.766,24.44,"4e","Digital Archive","",""
30/01/1986 06:30,2.293,39.36,"4f","Digital Archive","",""
05/03/1986 19:00,1.547,19.99,"4e","Digital Archive","",""
25/03/1986 04:45,1.751,24.13,"4e","Digital Archive","",""
31/03/1986 07:45,1.662,22.29,"4e","Digital Archive","",""
21/04/1986 04:45,1.621,21.46,"4e","Digital Archive","",""
16/11/1986 00:45,1.866,26.58,"4e","Digital Archive","",""
