"NAME:","West Avon at Upavon"
"NUMBER:","43017"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
22/01/1971 00:00,0.520,3.74,"1[migrated]4","CEH files","",""
24/01/1971 00:00,0.540,3.97,"1[migrated]4","CEH files","",""
18/03/1971 00:00,0.500,3.51,"1[migrated]4","CEH files","",""
26/04/1971 00:00,0.520,3.74,"1[migrated]4","CEH files","",""
12/06/1971 00:00,0.500,3.51,"1[migrated]4","CEH files","",""
20/06/1971 00:00,0.430,2.76,"1[migrated]4","CEH files","",""
17/01/1972 00:00,0.400,2.46,"1[migrated]4","CEH files","",""
03/02/1972 00:00,0.670,5.60,"1[migrated]4","CEH files","",""
05/03/1972 00:00,0.620,4.95,"1[migrated]4","CEH files","",""
07/03/1972 00:00,0.650,5.33,"1[migrated]4","CEH files","",""
14/04/1972 00:00,0.470,3.18,"1[migrated]4","CEH files","",""
06/12/1972 00:00,0.780,7.14,"1[migrated]4","CEH files","",""
13/12/1972 00:00,0.410,2.56,"1[migrated]4","CEH files","",""
07/01/1974 00:00,0.470,3.18,"1[migrated]4","CEH files","",""
09/02/1974 00:00,0.700,6.01,"1[migrated]4","CEH files","",""
11/02/1974 00:00,0.800,7.44,"1[migrated]4","CEH files","",""
15/02/1974 00:00,0.730,6.42,"1[migrated]4","CEH files","",""
27/09/1974 00:00,0.850,8.19,"1[migrated]4","CEH files","",""
14/11/1974 00:00,0.420,2.66,"1[migrated]4","CEH files","",""
18/11/1974 00:00,0.640,5.20,"1[migrated]4","CEH files","",""
22/11/1974 00:00,0.510,3.62,"1[migrated]4","CEH files","",""
27/12/1974 00:00,0.510,3.62,"1[migrated]4","CEH files","",""
18/01/1975 00:00,0.450,2.97,"1[migrated]4","CEH files","",""
20/01/1975 00:00,0.690,5.87,"1[migrated]4","CEH files","",""
27/01/1975 00:00,0.570,4.33,"1[migrated]4","CEH files","",""
28/01/1975 00:00,0.550,4.09,"1[migrated]4","CEH files","",""
09/03/1975 00:00,0.420,2.66,"1[migrated]4","CEH files","",""
02/12/1975 00:00,0.200,0.83,"1[migrated]3","CEH files","",""
01/12/1976 00:00,0.560,4.21,"1[migrated]4","CEH files","",""
19/12/1976 00:00,0.540,3.97,"1[migrated]4","CEH files","",""
21/12/1976 00:00,0.510,3.62,"1[migrated]4","CEH files","",""
31/12/1976 00:00,0.470,3.18,"1[migrated]4","CEH files","",""
01/01/1977 00:00,0.580,4.45,"1[migrated]4","CEH files","",""
14/01/1977 00:00,0.560,4.21,"1[migrated]4","CEH files","",""
22/01/1977 00:00,0.420,2.66,"1[migrated]4","CEH files","",""
25/01/1977 00:00,0.410,2.56,"1[migrated]4","CEH files","",""
03/02/1977 00:00,0.400,2.46,"1[migrated]4","CEH files","",""
05/02/1977 00:00,0.490,3.40,"1[migrated]4","CEH files","",""
10/02/1977 00:00,0.590,4.57,"1[migrated]4","CEH files","",""
18/02/1977 00:00,0.540,3.97,"1[migrated]4","CEH files","",""
20/02/1977 00:00,0.710,6.14,"1[migrated]4","CEH files","",""
24/02/1977 00:00,0.770,6.99,"1[migrated]4","CEH files","",""
13/03/1977 00:00,0.420,2.66,"1[migrated]4","CEH files","",""
15/03/1977 00:00,0.530,3.85,"1[migrated]4","CEH files","",""
13/06/1977 00:00,0.450,2.97,"1[migrated]4","CEH files","",""
14/06/1977 00:00,0.420,2.66,"1[migrated]4","CEH files","",""
10/12/1977 00:00,0.530,3.85,"1[migrated]4","CEH files","",""
23/01/1978 00:00,0.590,4.57,"1[migrated]4","CEH files","",""
28/01/1978 00:00,0.740,6.56,"1[migrated]4","CEH files","",""
05/02/1978 00:00,0.400,2.46,"1[migrated]4","CEH files","",""
02/05/1978 00:00,0.580,4.45,"1[migrated]4","CEH files","",""
01/02/1979 00:00,0.460,3.08,"1[migrated]4","CEH files","",""
13/02/1979 00:00,0.400,2.46,"1[migrated]4","CEH files","",""
14/03/1979 00:00,0.400,2.46,"1[migrated]4","CEH files","",""
18/03/1979 00:00,0.460,3.08,"1[migrated]4","CEH files","",""
28/03/1979 00:00,0.610,4.82,"1[migrated]4","CEH files","",""
29/03/1979 00:00,0.540,3.97,"1[migrated]4","CEH files","",""
30/05/1979 00:00,0.510,3.62,"1[migrated]4","CEH files","",""
27/12/1979 00:00,1.000,10.64,"1[migrated]4","CEH files","",""
21/01/1980 00:00,0.460,3.08,"1[migrated]4","CEH files","",""
22/01/1980 00:00,0.430,2.76,"1[migrated]4","CEH files","",""
05/02/1980 00:00,0.490,3.40,"1[migrated]4","CEH files","",""
18/03/1980 00:00,0.460,3.08,"1[migrated]4","CEH files","",""
24/03/1980 00:00,0.450,2.97,"1[migrated]4","CEH files","",""
