"NAME:","Frome at East Stoke Total"
"NUMBER:","44001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
09/01/1992 19:30,0.409,8.00,"","Digital Archive","",""
11/02/1992 19:45,0.412,8.62,"","Digital Archive","",""
02/03/1992 10:45,0.365,5.88,"","Digital Archive","",""
08/04/1992 00:00,,11.10,"","Chart","","AMAX ONLY"
03/12/1992 21:15,,19.54,"","445912.FQ.HiUKPOT","",""
19/12/1992 23:30,,20.45,"","445912.FQ.HiUKPOT","",""
11/01/1993 02:30,,19.33,"","445912.FQ.HiUKPOT","",""
06/04/1993 01:15,,13.07,"","445912.FQ.HiUKPOT","",""
13/10/1993 19:00,,19.57,"","445912.FQ.HiUKPOT","",""
14/11/1993 09:15,,18.28,"","445912.FQ.HiUKPOT","",""
01/12/1993 02:00,,14.88,"","445912.FQ.HiUKPOT","",""
30/12/1993 23:00,,28.34,"","445912.FQ.HiUKPOT","",""
03/02/1994 21:30,,21.16,"","445912.FQ.HiUKPOT","",""
23/02/1994 16:45,,20.15,"","445912.FQ.HiUKPOT","",""
01/04/1994 07:15,,17.17,"","445912.FQ.HiUKPOT","",""
26/05/1994 16:45,,13.94,"","445912.FQ.HiUKPOT","",""
31/10/1994 13:30,,20.08,"","445912.FQ.HiUKPOT","",""
10/11/1994 09:00,,22.90,"","445912.FQ.HiUKPOT","",""
09/12/1994 02:00,,17.01,"","445912.FQ.HiUKPOT","",""
30/12/1994 03:45,,15.98,"","445912.FQ.HiUKPOT","",""
06/01/1995 04:15,,18.05,"","445912.FQ.HiUKPOT","",""
28/01/1995 02:45,,25.91,"","445912.FQ.HiUKPOT","",""
26/11/1995 02:45,,12.85,"","445912.FQ.HiUKPOT","",""
22/12/1995 17:45,,17.09,"","445912.FQ.HiUKPOT","",""
09/01/1996 14:15,,14.90,"","445912.FQ.HiUKPOT","",""
12/02/1996 19:30,,19.06,"","445912.FQ.HiUKPOT","",""
25/02/1996 17:15,,16.78,"","445912.FQ.HiUKPOT","",""
22/03/1996 04:15,,14.75,"","445912.FQ.HiUKPOT","",""
20/11/1996 12:15,,13.93,"","445912.FQ.HiUKPOT","",""
03/12/1996 23:00,,13.58,"","445912.FQ.HiUKPOT","",""
18/02/1997 13:00,,14.67,"","445912.FQ.HiUKPOT","",""
05/03/1997 01:15,,15.95,"","445912.FQ.HiUKPOT","",""
20/11/1997 08:30,,16.66,"","445912.FQ.HiUKPOT","",""
28/11/1997 16:30,,21.54,"","445912.FQ.HiUKPOT","",""
18/12/1997 18:15,,16.52,"","445912.FQ.HiUKPOT","",""
25/12/1997 14:15,,16.51,"","445912.FQ.HiUKPOT","",""
08/01/1998 13:00,,23.61,"","445912.FQ.HiUKPOT","",""
04/03/1998 02:15,,15.09,"","445912.FQ.HiUKPOT","",""
19/04/1998 23:30,,12.61,"","445912.FQ.HiUKPOT","",""
25/10/1998 05:00,,17.14,"","445912.FQ.HiUKPOT","",""
01/11/1998 13:30,,15.38,"","445912.FQ.HiUKPOT","",""
09/11/1998 14:00,,13.46,"","445912.FQ.HiUKPOT","",""
09/12/1998 07:45,,12.61,"","445912.FQ.HiUKPOT","",""
27/12/1998 02:45,,18.90,"","445912.FQ.HiUKPOT","",""
04/01/1999 11:45,,18.35,"","445912.FQ.HiUKPOT","",""
20/01/1999 14:00,,23.55,"","445912.FQ.HiUKPOT","",""
24/04/1999 00:15,,16.93,"","445912.FQ.HiUKPOT","",""
25/10/1999 03:00,,13.62,"","445912.FQ.HiUKPOT","",""
26/12/1999 09:30,,23.47,"","445912.FQ.HiUKPOT","",""
04/01/2000 08:00,,21.17,"","445912.FQ.HiUKPOT","",""
11/02/2000 03:45,,13.13,"","445912.FQ.HiUKPOT","",""
01/03/2000 04:00,,13.82,"","445912.FQ.HiUKPOT","",""
04/04/2000 13:00,,16.93,"","445912.FQ.HiUKPOT","",""
20/04/2000 11:00,,18.28,"","445912.FQ.HiUKPOT","",""
07/11/2000 06:15,,24.39,"","445912.FQ.HiUKPOT","",""
