"NAME:","Hooke at Hooke"
"NUMBER:","44801"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/04/1992 00:45,0.241,0.43,"1[migrated]3","Digital Archive","","AMAX ONLY"
06/12/1992 21:15,0.305,0.72,"1[migrated]4","Digital Archive","",""
18/12/1992 11:30,0.363,1.03,"1[migrated]4","Digital Archive","",""
10/01/1993 12:15,0.307,0.73,"1[migrated]4","Digital Archive","",""
13/01/1993 13:15,0.308,0.73,"1[migrated]4","Digital Archive","",""
08/09/1993 23:15,0.328,0.84,"1[migrated]4","Digital Archive","",""
30/09/1993 14:00,0.360,1.01,"1[migrated]4","Digital Archive","",""
13/11/1993 16:30,0.365,1.04,"1[migrated]4","Digital Archive","",""
29/11/1993 22:00,0.335,0.87,"1[migrated]4","Digital Archive","",""
20/12/1993 09:15,0.395,1.22,"1[migrated]4","Digital Archive","",""
30/12/1993 15:45,0.352,0.97,"1[migrated]4","Digital Archive","",""
02/01/1994 01:30,0.333,0.86,"1[migrated]4","Digital Archive","",""
05/01/1994 21:45,0.342,0.91,"1[migrated]4","Digital Archive","Genuine peak.",""
09/01/1994 21:30,0.347,0.94,"1[migrated]4","Digital Archive","",""
03/02/1994 08:45,0.426,1.42,"1[migrated]4","Digital Archive","",""
06/02/1994 15:45,0.309,0.74,"1[migrated]4","Digital Archive","",""
23/02/1994 00:30,0.305,0.72,"1[migrated]4","Digital Archive","",""
31/03/1994 22:30,0.368,1.06,"1[migrated]4","Digital Archive","",""
24/05/1994 20:45,0.317,0.78,"1[migrated]4","Digital Archive","",""
31/10/1994 10:45,0.393,1.21,"1[migrated]4","Digital Archive","",""
09/11/1994 18:15,0.377,1.11,"1[migrated]4","Digital Archive","",""
05/12/1994 16:15,0.331,0.85,"1[migrated]4","Digital Archive","",""
08/12/1994 11:00,0.319,0.79,"1[migrated]4","Digital Archive","",""
05/01/1995 14:30,0.363,1.03,"1[migrated]4","Digital Archive","",""
19/01/1995 12:30,0.333,0.86,"1[migrated]4","Digital Archive","",""
21/01/1995 12:15,0.356,0.99,"1[migrated]4","Digital Archive","",""
27/01/1995 16:15,0.446,1.56,"1[migrated]4","Digital Archive","Genuine peak, slightly noisy.",""
01/02/1995 07:30,0.377,1.11,"1[migrated]4","Digital Archive","",""
10/02/1995 02:00,0.319,0.79,"1[migrated]4","Digital Archive","",""
11/02/1995 15:45,0.368,1.06,"1[migrated]4","Digital Archive","",""
14/02/1995 18:00,0.497,1.93,"1[migrated]4","Digital Archive","Genuine peak.",""
19/02/1995 03:00,0.310,0.74,"1[migrated]4","Digital Archive","",""
02/03/1995 17:30,0.324,0.82,"1[migrated]4","Digital Archive","",""
05/03/1995 01:00,0.377,1.11,"1[migrated]4","Digital Archive","",""
06/10/1995 16:30,0.310,0.74,"1[migrated]4","Digital Archive","",""
22/12/1995 04:45,0.319,0.79,"1[migrated]4","Digital Archive","",""
09/02/1996 12:15,0.333,0.86,"1[migrated]4","Digital Archive","",""
