"NAME:","Axe at Whitford"
"NUMBER:","45004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/12/1964 16:00,1.645,67.30,"01 V24","Digital Archive","",""
20/01/1965 14:00,1.624,64.90,"01 V24","Digital Archive","",""
03/08/1965 01:00,1.700,73.80,"01 V24","Digital Archive","",""
29/11/1965 10:00,2.176,148.00,"01 V24","Digital Archive","",""
23/12/1965 06:00,1.751,80.30,"01 V24","Digital Archive","",""
29/12/1965 21:00,1.566,58.60,"01 V24","Digital Archive","",""
20/02/1966 06:00,1.556,57.50,"01 V24","Digital Archive","",""
25/02/1966 16:00,2.007,118.00,"01 V24","Digital Archive","",""
15/10/1966 07:00,1.510,52.80,"01 V24","Digital Archive","",""
23/10/1966 06:00,1.585,60.60,"01 V24","Digital Archive","",""
17/02/1967 04:00,1.609,63.20,"01 V24","Digital Archive","",""
21/02/1967 01:00,1.501,52.00,"01 V24","Digital Archive","",""
17/10/1967 07:00,1.590,61.10,"01 V24","Digital Archive","",""
31/10/1967 15:00,1.529,54.70,"01 V24","Digital Archive","",""
09/01/1968 07:00,1.679,71.30,"01 V24","Digital Archive","",""
28/06/1968 16:00,1.760,81.40,"01 V24","Digital Archive","",""
11/07/1968 01:00,2.515,266.00,"01 V25","Digital Archive","",""
18/12/1968 09:00,1.716,75.80,"01 V24","Digital Archive","",""
22/12/1968 08:00,1.698,73.60,"01 V24","Digital Archive","",""
25/12/1968 14:00,1.589,61.00,"01 V24","Digital Archive","",""
12/01/1969 17:00,1.670,70.20,"01 V24","Digital Archive","",""
22/02/1969 16:00,2.020,120.00,"01 V24","Digital Archive","",""
13/03/1969 06:00,1.762,81.70,"01 V24","Digital Archive","",""
29/07/1969 14:00,1.711,75.20,"01 V24","Digital Archive","",""
15/11/1969 14:00,1.486,50.50,"01 V24","Digital Archive","",""
11/01/1970 18:00,1.596,61.80,"01 V24","Digital Archive","",""
18/01/1970 13:00,1.554,57.30,"01 V24","Digital Archive","",""
20/01/1970 07:00,1.556,57.50,"01 V24","Digital Archive","",""
22/01/1970 03:00,1.524,54.20,"01 V24","Digital Archive","",""
30/01/1970 01:00,1.554,57.30,"01 V24","Digital Archive","",""
01/02/1970 14:00,1.560,57.90,"01 V24","Digital Archive","",""
12/02/1970 15:00,1.583,60.40,"01 V24","Digital Archive","",""
18/11/1970 21:00,1.622,64.70,"01 V24","Digital Archive","",""
23/11/1970 10:00,1.637,66.40,"01 V24","Digital Archive","",""
29/11/1970 19:00,1.719,76.20,"01 V24","Digital Archive","",""
07/01/1971 22:00,1.543,56.20,"01 V24","Digital Archive","",""
21/01/1971 06:00,1.646,67.40,"01 V24","Digital Archive","",""
23/01/1971 21:00,1.563,58.30,"01 V24","Digital Archive","",""
26/01/1971 08:00,1.589,61.00,"01 V24","Digital Archive","",""
18/03/1971 04:00,1.616,64.00,"01 V24","Digital Archive","",""
11/01/1972 18:00,1.645,67.30,"01 V24","Digital Archive","",""
15/01/1972 15:00,1.602,62.40,"01 V24","Digital Archive","",""
03/02/1972 21:00,1.608,63.10,"01 V24","Digital Archive","",""
03/03/1972 20:00,1.499,51.80,"01 V24","Digital Archive","",""
07/03/1972 16:00,1.845,93.00,"01 V24","Digital Archive","",""
02/12/1972 11:00,2.033,122.00,"01 V24","Digital Archive","",""
04/12/1972 17:00,1.615,63.90,"01 V24","Digital Archive","",""
06/12/1972 14:00,1.957,110.00,"01 V24","Digital Archive","",""
20/01/1973 18:00,1.533,55.20,"01 V24","Digital Archive","",""
04/01/1974 23:00,1.872,96.90,"01 V24","Digital Archive","",""
07/01/1974 13:00,1.581,60.20,"01 V24","Digital Archive","",""
31/01/1974 02:00,1.751,80.30,"01 V24","Digital Archive","",""
09/02/1974 14:00,1.574,59.40,"01 V24","Digital Archive","",""
11/02/1974 10:00,1.965,111.00,"01 V24","Digital Archive","",""
15/02/1974 04:00,1.978,113.00,"01 V24","Digital Archive","",""
02/09/1974 18:00,1.553,57.20,"01 V24","Digital Archive","",""
05/09/1974 15:00,1.764,82.00,"01 V24","Digital Archive","",""
27/09/1974 18:00,1.816,89.00,"01 V24","Digital Archive","",""
14/11/1974 00:00,1.827,90.50,"01 V24","Digital Archive","",""
