"NAME:","Tale at Fairmile"
"NUMBER:","45013"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/12/1978 23:00,0.912,8.39,"1a","Digital Archive","",""
29/12/1978 00:00,0.669,4.05,"1a","Digital Archive","",""
20/01/1979 05:00,0.991,10.19,"1a","Digital Archive","",""
02/02/1979 00:00,0.600,3.14,"1a","Digital Archive","",""
10/02/1979 07:00,0.640,3.65,"1a","Digital Archive","",""
25/03/1979 04:00,0.741,5.15,"1a","Digital Archive","",""
10/04/1979 16:00,0.676,4.15,"1a","Digital Archive","",""
30/05/1979 17:00,0.740,5.14,"1a","Digital Archive","",""
25/10/1979 09:00,0.663,3.97,"1a","Digital Archive","",""
27/12/1979 23:00,1.478,17.32,"3a","Digital Archive","Genuine peak.",""
21/01/1980 09:00,1.205,11.85,"3a","Digital Archive","",""
04/02/1980 17:00,0.781,5.17,"3a","Digital Archive","",""
06/02/1980 19:00,0.620,3.27,"3a","Digital Archive","",""
31/03/1980 22:00,0.869,6.37,"3a","Digital Archive","",""
16/10/1980 13:00,0.972,7.90,"3a","Digital Archive","",""
17/11/1980 17:00,1.154,10.93,"3a","Digital Archive","",""
19/12/1980 18:00,0.634,3.42,"3a","Digital Archive","",""
23/02/1981 13:00,0.703,4.21,"3a","Digital Archive","",""
27/02/1981 23:00,1.055,9.23,"3a","Digital Archive","",""
09/03/1981 17:00,1.353,12.55,"4a","Digital Archive","Genuine peak.",""
22/03/1981 03:00,1.059,7.93,"4a","Digital Archive","",""
01/10/1981 19:00,0.660,3.12,"4a","Digital Archive","",""
25/10/1981 17:00,0.680,3.32,"4a","Digital Archive","",""
11/12/1981 12:00,0.675,3.27,"4a","Digital Archive","",""
14/12/1981 00:00,1.138,9.09,"4a","Digital Archive","",""
20/12/1981 13:00,1.299,11.64,"4a","Digital Archive","",""
27/12/1981 09:00,0.689,3.41,"4a","Digital Archive","",""
29/12/1981 07:00,0.686,3.38,"4a","Digital Archive","Genuine peak.",""
30/12/1981 14:00,1.723,19.56,"4a","Digital Archive","Genuine peak.",""
16/01/1982 10:00,0.665,3.17,"4a","Digital Archive","",""
05/02/1982 20:00,0.634,2.88,"4a","Digital Archive","",""
11/02/1982 13:00,0.625,2.79,"4a","Digital Archive","",""
07/03/1982 02:00,0.578,2.37,"4a","Digital Archive","",""
10/03/1982 04:00,0.577,2.36,"4a","Digital Archive","",""
15/03/1982 20:00,0.948,6.41,"4a","Digital Archive","",""
17/10/1982 00:00,1.001,7.12,"4a","Digital Archive","",""
06/11/1982 01:00,0.790,4.49,"4a","Digital Archive","",""
07/11/1982 22:00,1.307,11.77,"4a","Digital Archive","",""
12/11/1982 10:00,1.276,11.26,"4a","Digital Archive","",""
21/11/1982 19:00,0.718,3.71,"4a","Digital Archive","",""
07/12/1982 17:00,0.740,3.94,"4a","Digital Archive","",""
10/12/1982 02:00,0.920,6.05,"4a","Digital Archive","",""
12/12/1982 09:00,0.648,3.01,"4a","Digital Archive","",""
19/12/1982 20:00,0.735,3.89,"4a","Digital Archive","",""
04/01/1983 04:00,0.584,2.42,"4a","Digital Archive","",""
31/01/1983 15:00,1.179,9.71,"4a","Digital Archive","",""
20/04/1983 21:00,0.666,3.18,"4a","Digital Archive","",""
25/04/1983 01:00,0.916,6.00,"4a","Digital Archive","",""
11/05/1983 14:00,0.945,6.37,"4a","Digital Archive","",""
16/05/1983 16:00,0.736,3.90,"4a","Digital Archive","",""
21/05/1983 00:00,0.816,4.79,"4a","Digital Archive","",""
15/12/1983 07:00,1.243,10.72,"4a","Digital Archive","",""
19/12/1983 00:00,1.217,10.31,"4a","Digital Archive","",""
20/12/1983 19:00,1.230,10.51,"4a","Digital Archive","",""
13/01/1984 09:00,0.669,3.21,"4a","Digital Archive","",""
16/01/1984 21:00,0.722,3.75,"4a","Digital Archive","",""
23/01/1984 14:00,0.820,4.83,"4a","Digital Archive","",""
26/01/1984 04:00,1.416,13.66,"4a","Digital Archive","Genuine peak.",""
06/02/1984 19:00,0.654,3.07,"4a","Digital Archive","",""
24/03/1984 02:00,0.753,4.08,"4a","Digital Archive","",""
08/11/1984 12:00,0.973,6.74,"4a","Digital Archive","",""
14/11/1984 12:00,0.657,3.10,"4a","Digital Archive","",""
23/11/1984 04:00,0.856,5.26,"4a","Digital Archive","",""
01/12/1984 11:00,0.787,4.46,"4a","Digital Archive","",""
03/12/1984 13:00,0.745,3.99,"4a","Digital Archive","",""
21/01/1985 10:00,0.921,6.06,"4a","Digital Archive","",""
28/01/1985 01:00,1.004,7.16,"4a","Digital Archive","",""
07/04/1985 18:00,1.075,6.09,"8b","Digital Archive","",""
22/12/1985 07:00,1.032,5.67,"8b","Digital Archive","",""
24/12/1985 04:00,0.966,5.04,"8b","Digital Archive","",""
25/12/1985 22:00,1.381,9.25,"8b","Digital Archive","Genuine peak.",""
01/01/1986 19:00,0.896,4.39,"8b","Digital Archive","",""
07/01/1986 16:00,1.261,7.97,"8b","Digital Archive","",""
