"NAME:","Kenwyn at Truro"
"NUMBER:","48005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/11/1968 17:45,0.593,2.14,"4d","Digital Archive","",""
17/12/1968 05:30,0.611,2.29,"4d","Digital Archive","",""
22/12/1968 01:30,0.879,5.12,"4d","TRURO GS.SG.HiUKPOT","",""
12/01/1969 12:00,0.840,4.63,"4d","TRURO GS.SG.HiUKPOT","",""
17/01/1969 14:00,0.797,4.12,"4d","TRURO GS.SG.HiUKPOT","",""
29/07/1969 04:45,0.985,6.48,"4e","TRURO GS.SG.HiUKPOT","",""
19/12/1969 09:39,0.682,2.92,"4d","TRURO GS.SG.HiUKPOT","",""
15/01/1970 09:15,0.788,4.02,"4d","TRURO GS.SG.HiUKPOT","",""
18/01/1970 06:30,0.873,5.04,"4d","TRURO GS.SG.HiUKPOT","",""
23/01/1970 03:30,0.684,2.94,"4d","TRURO GS.SG.HiUKPOT","",""
12/02/1970 05:30,0.739,3.49,"4d","TRURO GS.SG.HiUKPOT","",""
23/11/1970 03:15,0.698,3.07,"4d","TRURO GS.SG.HiUKPOT","",""
29/11/1971 23:45,1.015,6.90,"4e","TRURO GS.SG.HiUKPOT","",""
01/02/1972 07:30,0.679,2.89,"4d","TRURO GS.SG.HiUKPOT","",""
02/02/1972 09:15,0.730,3.39,"4d","TRURO GS.SG.HiUKPOT","",""
03/03/1972 12:30,0.683,2.93,"4d","TRURO GS.SG.HiUKPOT","",""
06/03/1972 07:00,0.730,3.39,"4d","TRURO GS.SG.HiUKPOT","",""
13/06/1972 08:00,0.761,3.72,"4d","TRURO GS.SG.HiUKPOT","",""
19/11/1972 16:00,0.707,3.16,"4d","TRURO GS.SG.HiUKPOT","",""
04/12/1972 09:00,0.730,3.39,"4d","TRURO GS.SG.HiUKPOT","",""
06/12/1972 16:45,0.677,2.87,"4d","TRURO GS.SG.HiUKPOT","",""
19/01/1973 19:15,0.907,5.47,"4e","TRURO GS.SG.HiUKPOT","",""
08/01/1974 13:38,0.922,5.65,"4e","TRURO GS.SG.HiUKPOT","",""
10/01/1974 11:10,0.832,4.53,"4d","TRURO GS.SG.HiUKPOT","",""
