"NAME:","Cober at Trenear"
"NUMBER:","48801"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/01/1988 08:30,0.813,2.15,"1a","Digital Archive","",""
13/01/1988 02:30,0.758,1.82,"1a","Digital Archive","",""
22/01/1988 05:00,0.754,1.80,"1a","Digital Archive","",""
25/01/1988 05:30,0.867,2.51,"1a","Digital Archive","",""
28/01/1988 00:30,1.365,7.48,"1a","Digital Archive","Genuine peak.",""
01/02/1988 05:30,1.207,5.56,"1a","Digital Archive","Genuine peak, flat topped.",""
13/02/1988 19:00,0.874,2.56,"1a","Digital Archive","",""
18/03/1988 17:30,0.926,2.94,"1a","Digital Archive","",""
20/03/1988 20:30,0.768,1.88,"1a","Digital Archive","",""
02/04/1988 06:30,0.736,1.70,"1a","Digital Archive","",""
10/07/1988 19:00,0.748,1.77,"1a","Digital Archive","",""
01/09/1988 07:30,0.814,2.16,"1a","Digital Archive","",""
06/10/1988 10:45,0.763,1.85,"1a","Digital Archive","",""
09/10/1988 07:30,0.947,3.10,"1a","Digital Archive","",""
11/10/1988 20:45,1.034,3.83,"1a","Digital Archive","Genuine peak.",""
27/10/1988 00:00,0.689,1.45,"1a","Digital Archive","",""
30/11/1988 01:15,0.852,2.41,"1a","Digital Archive","",""
03/12/1988 21:15,0.689,1.45,"1a","Digital Archive","",""
05/12/1988 19:30,0.805,2.10,"1a","Digital Archive","",""
21/01/1989 12:00,0.460,0.56,"1a","Digital Archive","",""
25/02/1989 17:30,0.490,0.65,"1a","Digital Archive","",""
02/03/1989 12:30,0.462,0.57,"1a","Digital Archive","",""
09/03/1989 10:00,0.469,0.59,"1a","Digital Archive","",""
14/03/1989 21:15,0.651,1.27,"1a","Digital Archive","",""
19/03/1989 04:00,0.432,0.48,"1a","Digital Archive","",""
01/04/1989 23:00,0.428,0.47,"1a","Digital Archive","",""
04/10/1989 14:30,0.596,1.03,"1a","Digital Archive","",""
08/11/1989 12:30,0.550,0.85,"1a","Digital Archive","",""
16/12/1989 06:30,0.409,0.43,"1a","Digital Archive","",""
18/12/1989 18:00,0.497,0.67,"1a","Digital Archive","",""
20/12/1989 22:00,0.456,0.55,"1a","Digital Archive","",""
24/12/1989 23:30,0.493,0.66,"1a","Digital Archive","",""
02/01/1990 11:00,0.402,0.41,"1a","Digital Archive","",""
06/01/1990 13:00,0.435,0.49,"1a","Digital Archive","",""
25/01/1990 08:00,0.421,0.46,"1a","Digital Archive","",""
28/01/1990 04:30,0.541,0.82,"1a","Digital Archive","",""
30/01/1990 01:00,0.564,0.90,"1a","Digital Archive","",""
03/02/1990 14:30,0.669,1.35,"1a","Digital Archive","",""
07/02/1990 16:30,0.675,1.38,"1a","Digital Archive","",""
12/02/1990 00:30,0.638,1.21,"1a","Digital Archive","",""
14/02/1990 17:00,0.652,1.27,"1a","Digital Archive","",""
27/02/1990 08:30,0.508,0.71,"1a","Digital Archive","",""
09/12/1990 11:30,0.437,0.50,"1a","Digital Archive","",""
02/01/1991 07:00,0.577,0.95,"1a","Digital Archive","",""
10/01/1991 04:30,0.472,0.60,"1a","Digital Archive","",""
18/01/1991 21:30,0.402,0.41,"1a","Digital Archive","",""
22/02/1991 22:30,0.433,0.49,"1a","Digital Archive","",""
04/03/1991 16:30,0.428,0.47,"1a","Digital Archive","",""
13/03/1991 02:00,0.469,0.59,"1a","Digital Archive","",""
16/03/1991 14:00,0.455,0.55,"1a","Digital Archive","",""
18/03/1991 21:30,0.600,1.05,"1a","Digital Archive","",""
20/03/1991 15:00,0.499,0.68,"1a","Digital Archive","",""
23/06/1991 16:30,0.462,1.57,"5a","Digital Archive","",""
31/10/1991 20:00,0.347,1.05,"5a","Digital Archive","","AMAX ONLY"
26/11/1992 05:30,0.463,1.57,"5a","Digital Archive","",""
30/11/1992 19:00,0.735,2.97,"5a","Digital Archive","",""
02/12/1992 17:00,0.769,3.16,"5a","Digital Archive","",""
18/12/1992 19:00,0.600,2.25,"5a","Digital Archive","",""
10/01/1993 19:30,0.555,2.02,"5a","Digital Archive","",""
13/01/1993 20:30,0.535,1.92,"5a","Digital Archive","",""
20/01/1993 15:00,0.448,1.50,"5a","Digital Archive","",""
22/01/1993 16:30,0.437,1.45,"5a","Digital Archive","",""
09/06/1993 10:00,0.670,2.62,"5a","Digital Archive","",""
12/06/1993 21:30,0.532,1.91,"5a","Digital Archive","",""
16/06/1993 15:30,0.550,2.00,"5a","Digital Archive","",""
