"NAME:","Taw at Taw Bridge"
"NUMBER:","50007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/11/1973 00:00,1.105,13.90,"6c","Digital Archive","",""
07/12/1973 22:00,1.179,15.56,"6c","Digital Archive","",""
05/01/1974 06:00,1.626,26.49,"6c","Digital Archive","Non-independent peak removed A",""
08/01/1974 17:00,1.611,26.10,"6c","Digital Archive","",""
11/01/1974 03:00,1.297,18.29,"6c","Digital Archive","Non-independent peak removed A",""
16/01/1974 10:00,1.282,17.94,"6c","Digital Archive","",""
26/01/1974 16:00,1.302,18.41,"6c","Digital Archive","",""
28/01/1974 00:00,1.148,14.86,"6c","Digital Archive","",""
30/01/1974 18:00,1.503,23.33,"6c","Digital Archive","",""
02/02/1974 03:00,1.090,13.57,"6c","Digital Archive","",""
09/02/1974 10:00,2.450,50.05,"6c","Digital Archive","Genuine peak.",""
11/02/1974 09:00,1.906,34.05,"6c","Digital Archive","Genuine peak.",""
15/02/1974 02:00,1.468,22.45,"6c","Digital Archive","",""
03/09/1974 00:00,1.185,15.69,"6c","Digital Archive","",""
05/09/1974 10:00,1.628,26.54,"6c","Digital Archive","",""
23/09/1974 20:00,1.100,13.79,"6c","Digital Archive","",""
27/09/1974 16:00,2.263,44.37,"6c","Digital Archive","",""
18/10/1974 20:00,1.192,15.85,"6c","Digital Archive","",""
04/11/1974 10:00,1.029,12.25,"6c","Digital Archive","",""
11/11/1974 14:00,1.578,25.25,"6c","Digital Archive","Non-independent peak removed A",""
13/11/1974 19:00,1.830,31.95,"6c","Digital Archive","",""
25/12/1974 18:00,1.376,20.19,"6c","Digital Archive","",""
27/12/1974 04:00,1.705,28.57,"6c","Digital Archive","Genuine peak, part of rising limb missing.",""
14/01/1975 15:00,1.026,12.19,"6c","Digital Archive","",""
20/01/1975 07:00,1.843,32.31,"6c","Digital Archive","",""
22/01/1975 15:00,1.358,19.75,"6c","Digital Archive","",""
25/01/1975 10:00,1.192,15.85,"6c","Digital Archive","",""
28/01/1975 17:00,1.230,16.72,"6c","Digital Archive","",""
31/01/1975 11:00,1.430,21.51,"6c","Digital Archive","",""
01/12/1975 22:00,1.500,23.26,"6c","Digital Archive","",""
12/02/1976 20:00,1.279,17.87,"6c","Digital Archive","",""
01/10/1976 20:00,1.452,22.06,"6c","Digital Archive","",""
15/10/1976 03:00,1.486,22.91,"6c","Digital Archive","",""
30/11/1976 17:00,1.875,33.19,"6c","Digital Archive","Genuine peak.",""
01/12/1976 23:00,1.422,21.31,"6c","Digital Archive","Genuine peak.",""
13/01/1977 17:00,1.016,11.98,"6c","Digital Archive","",""
28/01/1977 01:00,1.157,15.06,"6c","Digital Archive","",""
15/02/1977 20:00,1.067,13.07,"6c","Digital Archive","",""
18/02/1977 14:00,1.363,19.87,"6c","Digital Archive","",""
20/02/1977 05:00,1.189,15.78,"6c","Digital Archive","",""
16/03/1977 00:00,1.258,17.37,"6c","Digital Archive","",""
03/05/1977 08:00,1.116,14.14,"6c","Digital Archive","",""
10/06/1977 16:00,1.009,11.83,"6c","Digital Archive","",""
11/01/1978 05:00,1.187,15.74,"6c","Digital Archive","",""
19/01/1978 09:00,1.139,14.66,"6c","Digital Archive","",""
22/01/1978 04:00,1.136,14.59,"6c","Digital Archive","",""
23/01/1978 13:00,1.047,12.64,"6c","Digital Archive","",""
23/02/1978 21:00,1.777,30.51,"6c","Digital Archive","",""
28/02/1978 01:00,1.026,12.19,"6c","Digital Archive","",""
28/03/1978 17:00,1.424,21.36,"6c","Digital Archive","",""
23/12/1978 19:00,1.347,19.49,"6c","Digital Archive","",""
10/01/1979 09:00,1.141,14.70,"6c","Digital Archive","",""
01/02/1979 15:00,1.327,19.01,"6c","Digital Archive","",""
09/03/1979 14:00,1.133,14.52,"6c","Digital Archive","",""
11/03/1979 18:00,1.067,13.07,"6c","Digital Archive","",""
10/12/1979 00:00,1.355,19.68,"6c","Digital Archive","",""
15/12/1979 14:00,1.182,15.62,"6c","Digital Archive","",""
27/12/1979 13:00,2.993,67.49,"6c","Digital Archive","Genuine peak, flat topped.",""
21/01/1980 21:00,1.281,17.91,"6c","Digital Archive","",""
03/02/1980 17:00,1.327,19.01,"6c","Digital Archive","",""
