"NAME:","Lew at Gribbleford Bridge"
"NUMBER:","50008"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
20/03/1988 17:30,1.515,29.32,"1c","Digital Archive","",""
06/10/1988 06:30,2.247,64.28,"1c","Digital Archive","",""
09/10/1988 07:00,2.380,71.97,"1c","Digital Archive","Genuine peak.",""
11/10/1988 19:30,1.816,42.17,"1c","Digital Archive","",""
18/02/1989 05:30,1.568,31.43,"1c","Digital Archive","",""
14/03/1989 20:30,1.678,36.01,"1c","Digital Archive","",""
20/03/1989 19:30,1.517,29.40,"1c","Digital Archive","",""
29/10/1989 22:30,1.660,35.24,"1c","Digital Archive","",""
08/11/1989 10:15,1.909,46.58,"1c","Digital Archive","",""
24/12/1989 19:30,1.891,45.71,"1c","Digital Archive","",""
29/01/1990 17:30,2.163,59.64,"1c","Digital Archive","",""
01/02/1990 20:30,2.099,56.21,"1c","Digital Archive","",""
07/02/1990 13:30,1.518,29.44,"1c","Digital Archive","",""
11/02/1990 16:45,1.738,38.64,"1c","Digital Archive","",""
15/02/1990 01:00,1.529,29.87,"1c","Digital Archive","",""
01/01/1991 22:30,2.548,82.25,"1c","Digital Archive","Genuine peak.",""
22/02/1991 20:30,1.696,36.79,"1c","Digital Archive","",""
08/11/1991 12:15,1.086,14.80,"1c","Digital Archive","","AMAX ONLY"
30/11/1992 10:15,2.086,55.52,"1c","Digital Archive","",""
02/12/1992 17:15,1.659,35.20,"1c","Digital Archive","",""
18/12/1992 11:45,1.975,49.83,"1c","Digital Archive","",""
10/01/1993 14:00,2.342,69.73,"1c","Digital Archive","Genuine peak.",""
13/01/1993 14:15,1.672,35.75,"1c","Digital Archive","",""
11/10/1993 20:00,1.825,42.59,"1c","Digital Archive","",""
12/12/1993 16:30,1.690,36.53,"1c","Digital Archive","",""
19/12/1993 03:45,1.832,42.92,"1c","Digital Archive","",""
20/12/1993 09:00,1.740,38.72,"1c","Digital Archive","",""
05/01/1994 07:15,1.701,37.01,"1c","Digital Archive","",""
03/04/1994 20:30,1.899,46.10,"1c","Digital Archive","",""
30/10/1994 19:00,2.126,52.88,"2 V1","Digital Archive","",""
07/12/1994 03:00,2.360,63.71,"2 V1","Digital Archive","Genuine peak.",""
08/12/1994 10:30,1.505,29.95,"2 V1","Digital Archive","",""
18/12/1994 04:15,1.628,33.86,"2 V1","Digital Archive","",""
28/12/1994 19:45,1.972,46.43,"2 V1","Digital Archive","",""
17/01/1995 17:15,1.512,30.17,"2 V1","Digital Archive","",""
25/01/1995 04:00,1.656,34.79,"2 V1","Digital Archive","",""
27/01/1995 18:00,2.024,48.55,"2 V1","Digital Archive","",""
29/01/1995 08:45,1.527,30.63,"2 V1","Digital Archive","",""
01/02/1995 07:15,1.632,33.99,"2 V1","Digital Archive","",""
14/02/1995 20:00,1.547,31.25,"2 V1","Digital Archive","",""
22/12/1995 07:45,1.427,27.37,"2 V1","Digital Archive","","AMAX ONLY"
04/11/1996 06:15,1.821,40.60,"2 V1","Digital Archive","",""
29/11/1996 13:15,1.818,40.49,"2 V1","Digital Archive","",""
01/01/1998 20:00,1.822,40.64,"2 V1","Digital Archive","",""
03/01/1998 08:45,1.900,43.59,"2 V1","Digital Archive","",""
05/01/1998 10:15,1.799,39.80,"2 V1","Digital Archive","",""
07/03/1998 02:30,1.595,32.78,"2 V1","Digital Archive","",""
20/07/1998 23:30,1.510,30.11,"2 V1","Digital Archive","",""
23/10/1998 04:00,1.741,37.71,"2 V1","Digital Archive","",""
24/10/1998 14:00,2.313,61.43,"2 V1","Digital Archive","Genuine peak.",""
31/10/1998 12:30,2.625,77.54,"2 V1","Digital Archive","Genuine peak.",""
25/12/1998 16:30,1.991,47.19,"2 V1","Digital Archive","",""
26/12/1998 16:00,1.901,43.63,"2 V1","Digital Archive","",""
02/01/1999 01:45,1.541,31.07,"2 V1","Digital Archive","",""
16/01/1999 04:45,1.985,46.95,"2 V1","Digital Archive","",""
19/01/1999 21:30,2.772,85.96,"2 V1","Digital Archive","Genuine peak, part of rising limb missing.",""
02/03/1999 18:00,1.741,37.71,"2 V1","Digital Archive","",""
05/11/1999 12:45,1.585,32.46,"2 V1","Digital Archive","",""
18/12/1999 22:15,2.964,97.79,"2 V1","Digital Archive","Genuine peak.",""
24/12/1999 03:00,1.982,46.83,"2 V1","Digital Archive","",""
26/12/1999 04:45,2.408,66.09,"2 V1","Digital Archive","Genuine peak.",""
28/02/2000 00:30,1.736,37.54,"2 V1","Digital Archive","",""
29/02/2000 08:15,1.497,29.71,"2 V1","Digital Archive","",""
15/09/2000 05:45,1.630,33.92,"2 V1","Digital Archive","",""
27/09/2000 22:15,1.612,33.33,"2 V1","Digital Archive","",""
09/10/2000 14:15,1.815,40.38,"2 V1","Digital Archive","",""
11/10/2000 22:00,1.974,46.51,"2 V1","Digital Archive","",""
28/10/2000 14:15,1.582,32.36,"2 V1","Digital Archive","",""
30/10/2000 06:00,2.795,87.32,"2 V1","Digital Archive","Genuine peak, flat topped.",""
05/11/2000 19:45,1.775,38.93,"2 V1","Digital Archive","",""
04/12/2000 08:00,1.613,33.37,"2 V1","Digital Archive","",""
05/12/2000 11:30,1.545,31.19,"2 V1","Digital Archive","",""
07/12/2000 21:15,2.033,48.92,"2 V1","Digital Archive","",""
31/12/2000 23:00,1.886,43.05,"2 V1","Digital Archive","",""
03/04/2001 22:15,1.615,33.43,"2 V1","Digital Archive","",""
26/01/2002 13:00,1.780,39.11,"2 V1","Digital Archive","Non-independent peak removed A",""
04/02/2002 15:30,1.766,38.60,"2 V1","Digital Archive","",""
20/02/2002 05:45,1.579,32.27,"2 V1","Digital Archive","",""
26/02/2002 02:30,2.027,48.67,"2 V1","Digital Archive","",""
27/11/2002 16:30,1.404,30.28,"3 V2e","Digital Archive","",""
01/01/2003 13:30,1.564,35.74,"3 V2e","Digital Archive","",""
13/12/2003 08:45,1.406,30.35,"3 V2e","Digital Archive","Series used : SS50F007SG,SS50F007SG,",""
08/01/2004 10:15,1.817,44.11,"3 V2e","Digital Archive","Series used : SS50F007SG,SS50F007SG,",""
01/02/2004 19:00,2.332,60.46,"3 V2e","Digital Archive","Series used : SS50F007SG,SS50F007SG,",""
19/12/2004 02:00,1.557,35.50,"3 V2e","Digital Archive","Series used : SS50F007SG,SS50F007SG,",""
28/12/2004 02:45,1.384,29.58,"3 V2d","Digital Archive","Series used : SS50F007SG,SS50F007SG,",""
06/11/2005 10:45,2.209,56.62,"3 V2e","Digital Archive","Series used : SS50F007SG,SS50F007SG,",""
03/12/2005 19:30,1.577,36.18,"3 V2e","Digital Archive","Series used : SS50F007SG,SS50F007SG,",""
15/02/2006 05:30,1.565,35.77,"3 V2e","Digital Archive","Series used : SS50F007SG,SS50F007SG,",""
11/10/2006 02:45,1.666,39.15,"3 V2e","Digital Archive","",""
23/11/2006 03:15,1.430,31.18,"3 V2e","Digital Archive","",""
24/11/2006 23:30,2.340,60.70,"3 V2e","Digital Archive","",""
28/11/2006 06:00,1.670,39.28,"3 V2e","Digital Archive","",""
03/12/2006 07:15,1.761,42.28,"3 V2e","Digital Archive","",""
10/01/2007 01:00,1.766,42.45,"3 V2e","Digital Archive","",""
06/03/2007 02:45,1.565,35.77,"3 V2e","Digital Archive","",""
13/05/2007 13:15,1.549,35.23,"3 V2e","Digital Archive","",""
17/07/2007 16:30,1.416,30.70,"3 V2e","Digital Archive","",""
30/11/2007 20:15,1.820,44.21,"3 V2e","Digital Archive","",""
08/12/2007 13:00,1.683,39.71,"3 V2e","Digital Archive","",""
15/01/2008 08:45,1.732,41.33,"3 V2e","Digital Archive","",""
10/03/2008 06:30,1.719,40.90,"3 V2e","Digital Archive","",""
09/07/2008 18:45,1.621,37.65,"3 V2e","Digital Archive","",""
07/08/2008 18:15,2.216,56.84,"3 V2e","Digital Archive","",""
13/08/2008 14:15,1.951,48.44,"3 V2e","Digital Archive","",""
05/09/2008 10:45,1.443,31.63,"3 V2e","Digital Archive","",""
08/11/2008 22:00,1.593,36.71,"3 V2e","Digital Archive","",""
13/12/2008 04:30,2.299,59.43,"3 V2e","Digital Archive","",""
09/02/2009 22:15,2.362,61.38,"3 V2e","Digital Archive","",""
10/03/2009 03:45,1.539,34.90,"3 V2e","Digital Archive","",""
29/07/2009 14:15,1.770,42.58,"3 V2e","Digital Archive","",""
07/11/2009 21:45,1.521,34.29,"3 V2e","Digital Archive","",""
13/11/2009 20:15,1.623,37.72,"3 V2e","Digital Archive","",""
21/11/2009 16:30,1.524,34.39,"3 V2e","Digital Archive","",""
25/11/2009 02:15,1.382,29.48,"3 V2d","Digital Archive","",""
28/11/2009 20:00,1.399,30.11,"3 V2e","Digital Archive","",""
16/01/2010 20:30,1.473,32.65,"3 V2e","Digital Archive","",""
11/01/2011 00:15,1.396,30.01,"3 V2e","Digital Archive","",""
13/01/2011 06:00,1.482,32.96,"3 V2e","Digital Archive","",""
12/12/2011 23:15,1.763,42.35,"3 V2e","Digital Archive","",""
03/01/2012 13:15,1.973,49.15,"3 V2e","Digital Archive","",""
29/04/2012 13:15,1.887,46.38,"3 V2e","Digital Archive","",""
24/09/2012 06:30,1.831,44.57,"3 V2e","Digital Archive","",""
06/10/2012 02:45,2.070,52.24,"3 V2e","Digital Archive","",""
09/10/2012 17:45,1.607,37.18,"3 V2e","Digital Archive","",""
15/10/2012 02:30,1.406,30.35,"3 V2e","Digital Archive","",""
21/11/2012 08:00,2.303,59.56,"3 V2e","Digital Archive","",""
22/11/2012 21:30,1.941,48.12,"3 V2e","Digital Archive","",""
24/11/2012 23:45,2.422,63.24,"3 V2e","Digital Archive","",""
20/12/2012 04:00,1.476,32.76,"3 V2e","Digital Archive","",""
22/12/2012 09:00,2.123,53.92,"3 V2e","Digital Archive","",""
29/12/2012 10:30,1.644,38.42,"3 V2e","Digital Archive","",""
31/12/2012 13:15,1.421,30.87,"3 V2e","Digital Archive","",""
27/01/2013 05:30,1.460,32.21,"3 V2e","Digital Archive","",""
28/01/2013 19:45,1.387,29.70,"3 V2e","Digital Archive","",""
30/01/2013 03:15,1.772,42.64,"3 V2e","Digital Archive","",""
22/03/2013 09:30,1.496,33.44,"3 V2e","Digital Archive","",""
15/05/2013 05:00,1.559,35.57,"3 V2e","Digital Archive","",""
28/10/2013 05:15,1.674,39.41,"3 V2e","Digital Archive","",""
03/11/2013 22:15,1.390,29.80,"3 V2e","Digital Archive","",""
18/12/2013 22:00,2.249,57.87,"3 V2e","Digital Archive","",""
24/12/2013 01:00,2.416,63.05,"3 V2e","Digital Archive","",""
30/12/2013 10:30,1.523,34.36,"3 V2e","Digital Archive","",""
01/01/2014 12:30,1.640,38.28,"3 V2e","Digital Archive","",""
07/01/2014 09:00,1.403,30.25,"3 V2e","Digital Archive","",""
26/01/2014 13:00,1.438,31.46,"3 V2e","Digital Archive","",""
05/02/2014 10:15,1.483,33.00,"3 V2e","Digital Archive","",""
12/02/2014 14:30,1.672,39.35,"3 V2e","Digital Archive","",""
12/12/2014 06:30,1.382,29.48,"3 V2d","Digital Archive","",""
03/01/2015 11:00,1.720,40.93,"3 V2e","Digital Archive","",""
