"NAME:","Lew at Norley Bridge"
"NUMBER:","50009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/09/1988 21:00,0.474,2.00,"2b","Digital Archive","","AMAX ONLY"
06/10/1988 05:30,1.626,17.76,"2c","Digital Archive","",""
09/10/1988 06:00,1.601,17.34,"2c","Digital Archive","",""
11/10/1988 18:30,1.100,10.19,"2c","Digital Archive","",""
04/12/1988 08:30,0.996,8.98,"2c","Digital Archive","",""
18/02/1989 05:30,1.085,10.01,"2c","Digital Archive","",""
24/02/1989 08:30,0.972,8.72,"2c","Digital Archive","",""
14/03/1989 19:00,1.151,10.81,"2c","Digital Archive","",""
20/03/1989 19:00,1.151,10.81,"2c","Digital Archive","",""
29/10/1989 21:00,1.065,9.77,"2c","Digital Archive","",""
08/11/1989 09:00,1.490,15.56,"2c","Digital Archive","",""
24/12/1989 17:30,1.440,14.79,"2c","Digital Archive","",""
27/01/1990 19:00,0.981,8.81,"2c","Digital Archive","",""
29/01/1990 16:00,1.692,18.89,"2c","Digital Archive","",""
01/02/1990 19:00,1.289,12.62,"2c","Digital Archive","",""
03/02/1990 09:30,0.955,8.53,"2c","Digital Archive","",""
07/02/1990 12:30,1.044,9.53,"2c","Digital Archive","",""
11/02/1990 16:00,1.194,11.36,"2c","Digital Archive","",""
13/02/1990 16:00,0.981,8.81,"2c","Digital Archive","",""
14/02/1990 23:30,1.098,10.16,"2c","Digital Archive","",""
28/02/1990 11:00,1.047,9.56,"2c","Digital Archive","",""
25/12/1990 10:00,1.090,10.07,"2c","Digital Archive","",""
26/12/1990 11:00,0.972,8.72,"2c","Digital Archive","",""
01/01/1991 21:30,1.791,20.66,"2c","Digital Archive","Genuine peak.",""
08/01/1991 14:30,1.036,9.44,"2c","Digital Archive","",""
09/01/1991 20:00,0.953,8.51,"2c","Digital Archive","",""
22/02/1991 19:15,1.309,12.90,"2c","Digital Archive","",""
04/04/1991 09:00,0.912,8.07,"2c","Digital Archive","",""
06/04/1991 16:45,0.897,7.92,"2c","Digital Archive","",""
08/11/1991 11:30,0.736,5.72,"2b","Digital Archive","","AMAX ONLY"
25/10/1992 16:45,0.952,8.50,"2c","Digital Archive","",""
02/11/1992 10:15,0.992,8.94,"2c","Digital Archive","",""
18/11/1992 19:00,1.174,11.10,"2c","Digital Archive","",""
