"NAME:","Okement at Jacobstowe"
"NUMBER:","50011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/11/1973 00:00,0.898,23.04,"2c","Digital Archive","",""
04/01/1974 19:00,1.832,64.36,"2c","Digital Archive","",""
08/01/1974 15:00,1.414,44.49,"2c","Digital Archive","",""
10/01/1974 23:00,0.915,23.69,"2c","Digital Archive","",""
12/01/1974 03:00,0.953,25.14,"2c","Digital Archive","",""
16/01/1974 09:00,0.968,25.72,"2c","Digital Archive","",""
26/01/1974 15:00,1.151,33.08,"2c","Digital Archive","",""
27/01/1974 21:00,0.978,26.11,"2c","Digital Archive","",""
30/01/1974 17:00,1.509,48.83,"2c","Digital Archive","",""
02/02/1974 01:00,0.920,23.88,"2c","Digital Archive","",""
09/02/1974 08:00,2.568,103.70,"2c","Digital Archive","Genuine peak.",""
11/02/1974 05:00,2.230,85.00,"2c","Digital Archive","Genuine peak, flat topped.",""
14/02/1974 23:00,1.636,54.79,"2c","Digital Archive","",""
02/09/1974 20:00,1.328,40.66,"2c","Digital Archive","",""
05/09/1974 08:00,1.689,57.34,"2c","Digital Archive","",""
07/09/1974 08:00,0.889,22.70,"2c","Digital Archive","",""
23/09/1974 16:00,0.991,26.62,"2c","Digital Archive","",""
27/09/1974 11:00,3.048,131.90,"2c","Digital Archive","Genuine peak.",""
18/10/1974 18:00,1.378,42.87,"2c","Digital Archive","",""
11/11/1974 12:00,1.161,33.50,"2c","Digital Archive","",""
13/11/1974 17:00,2.073,76.67,"2c","Digital Archive","",""
22/12/1974 08:00,1.044,28.72,"2c","Digital Archive","",""
25/12/1974 16:00,1.243,36.97,"2c","Digital Archive","",""
27/12/1974 01:00,1.440,45.67,"2c","Digital Archive","",""
20/01/1975 03:00,2.191,82.91,"2c","Digital Archive","",""
22/01/1975 15:00,1.351,41.67,"2c","Digital Archive","",""
25/01/1975 09:00,1.092,30.65,"2c","Digital Archive","",""
28/01/1975 13:00,0.952,25.10,"2c","Digital Archive","",""
31/01/1975 07:00,1.577,52.00,"2c","Digital Archive","",""
28/11/1975 15:00,0.926,24.10,"2c","Digital Archive","",""
01/12/1975 18:00,1.506,48.69,"2c","Digital Archive","",""
13/02/1976 00:00,0.879,22.33,"2c","Digital Archive","",""
01/10/1976 19:00,0.982,26.27,"2c","Digital Archive","",""
03/10/1976 14:00,0.873,22.11,"2c","Digital Archive","",""
15/10/1976 02:00,1.115,31.59,"2c","Digital Archive","",""
30/11/1976 14:00,1.644,55.18,"2c","Digital Archive","",""
01/12/1976 21:00,1.062,29.44,"2c","Digital Archive","",""
27/01/1977 23:00,0.971,25.84,"2c","Digital Archive","",""
03/02/1977 11:00,1.006,27.21,"2c","Digital Archive","",""
10/02/1977 12:00,0.870,21.99,"2c","Digital Archive","",""
