"NAME:","Yeo at Pen Mill"
"NUMBER:","52006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
16/06/1962 00:00,1.360,11.33,"2c","CEH files","",""
08/07/1962 00:00,1.060,8.51,"2c","CEH files","",""
07/08/1962 00:00,1.660,14.44,"2c","CEH files","",""
30/09/1962 00:00,2.190,20.60,"2c","CEH files","",""
01/11/1962 00:00,1.550,13.26,"2c","CEH files","",""
16/11/1962 00:00,2.970,31.11,"2c","CEH files","",""
08/12/1962 00:00,1.740,15.31,"2c","CEH files","",""
11/01/1963 00:00,1.160,9.42,"2c","CEH files","",""
15/02/1963 00:00,4.750,149.82,"2d","Estimate","Rating gives flow of 331.235 m3/s, but this is overestimate. Estimated at 149.82 m3/s by linear interpolation of highest gauging (4.13m, 84.21 m3/s) and EA (1983) estimate of 1979 event (4.57m) at 138.9 m3/s.",""
17/03/1963 00:00,3.660,41.72,"2c","CEH files","",""
20/04/1963 00:00,3.780,43.68,"2c","CEH files","",""
01/05/1963 00:00,1.230,10.07,"2c","CEH files","",""
01/06/1963 00:00,0.860,6.81,"2c","CEH files","",""
16/07/1963 00:00,1.000,7.98,"2c","CEH files","",""
04/08/1963 00:00,0.880,6.97,"2c","CEH files","",""
02/09/1963 00:00,1.490,12.64,"2c","CEH files","",""
24/10/1963 00:00,1.130,9.14,"2c","CEH files","",""
17/11/1963 00:00,3.840,44.68,"2c","CEH files","",""
25/12/1963 00:00,2.150,20.11,"2c","CEH files","",""
07/01/1964 00:00,0.480,3.59,"2b","CEH files","",""
24/02/1964 00:00,1.080,8.69,"2c","CEH files","",""
19/03/1964 00:00,3.860,40.91,"2c","CEH files","",""
28/04/1964 00:00,1.840,16.44,"2c","CEH files","",""
25/05/1964 00:00,2.260,21.48,"2c","CEH files","",""
01/06/1964 00:00,1.920,17.36,"2c","CEH files","",""
14/07/1964 00:00,0.210,0.91,"2a","CEH files","",""
19/08/1964 00:00,0.200,0.85,"2a","CEH files","",""
16/09/1964 00:00,0.230,1.05,"2a","CEH files","",""
10/10/1964 00:00,0.400,2.57,"2b","CEH files","",""
16/11/1964 00:00,0.300,1.59,"2a","CEH files","",""
30/12/1964 00:00,2.590,25.79,"2c","CEH files","",""
13/01/1965 00:00,3.790,43.85,"2c","CEH files","",""
01/02/1965 00:00,0.380,2.34,"2b","CEH files","",""
22/03/1965 00:00,1.850,16.55,"2c","CEH files","",""
01/04/1965 00:00,0.340,1.93,"2a","CEH files","",""
12/05/1965 00:00,0.460,3.31,"2b","CEH files","",""
22/06/1965 00:00,0.240,1.12,"2a","CEH files","",""
21/07/1965 00:00,0.610,4.89,"2c","CEH files","",""
03/08/1965 00:00,2.620,26.20,"2c","CEH files","",""
25/09/1965 00:00,1.630,14.11,"2c","CEH files","",""
05/10/1965 00:00,0.470,3.45,"2b","CEH files","",""
29/11/1965 00:00,3.860,40.91,"2c","CEH files","",""
29/12/1965 00:00,3.350,36.81,"2c","CEH files","",""
02/01/1966 00:00,2.220,20.98,"2c","CEH files","",""
25/02/1966 00:00,3.980,55.70,"2d","CEH files","",""
16/04/1966 00:00,2.160,20.23,"2c","CEH files","",""
08/05/1966 00:00,2.020,18.54,"2c","CEH files","",""
09/06/1966 00:00,0.400,2.57,"2b","CEH files","",""
03/08/1966 00:00,1.260,10.35,"2c","CEH files","",""
05/09/1966 00:00,0.340,1.93,"2a","CEH files","",""
22/10/1966 00:00,2.430,23.66,"2c","CEH files","",""
04/11/1966 00:00,4.020,61.61,"2d","CEH files","",""
05/11/1966 09:00,4.271,113.45,"2d","Digital Archive","","AMAX ONLY"
29/12/1966 00:00,1.620,14.01,"2c","CEH files","",""
23/01/1967 00:00,3.110,33.17,"2c","CEH files","",""
17/02/1967 00:00,3.580,40.43,"2c","CEH files","",""
09/03/1967 00:00,3.120,33.32,"2c","CEH files","",""
10/04/1967 00:00,0.470,3.45,"2b","CEH files","",""
04/05/1967 00:00,3.620,41.07,"2c","CEH files","",""
09/06/1967 00:00,0.450,3.18,"2b","CEH files","",""
07/07/1967 00:00,0.850,6.73,"2c","CEH files","",""
16/08/1967 00:00,1.070,8.60,"2c","CEH files","",""
26/09/1967 00:00,0.850,6.73,"2c","CEH files","",""
16/10/1967 00:00,3.560,40.11,"2c","CEH files","",""
31/10/1967 09:00,2.470,24.19,"2c","Digital Archive","","AMAX ONLY"
01/11/1967 00:00,2.320,22.24,"2c","CEH files","",""
19/12/1967 00:00,1.580,13.58,"2c","CEH files","",""
09/01/1968 00:00,3.440,38.21,"2c","CEH files","",""
14/02/1968 00:00,2.440,23.79,"2c","CEH files","",""
25/03/1968 00:00,0.870,6.89,"2c","CEH files","",""
19/04/1968 00:00,0.750,5.93,"2c","CEH files","",""
08/05/1968 00:00,1.510,12.85,"2c","CEH files","",""
28/06/1968 00:00,3.190,34.37,"2c","CEH files","",""
10/07/1968 00:00,3.440,38.21,"2c","CEH files","",""
17/08/1968 00:00,0.370,2.24,"2b","CEH files","",""
15/09/1968 00:00,1.810,16.10,"2c","CEH files","",""
28/10/1968 00:00,3.030,31.99,"2c","CEH files","",""
27/11/1968 00:00,2.500,24.59,"2c","CEH files","",""
22/12/1968 00:00,3.630,41.23,"2c","CEH files","",""
25/12/1968 09:00,2.703,27.33,"2c","Digital Archive","","AMAX ONLY"
18/01/1969 00:00,2.820,28.97,"2c","CEH files","",""
22/02/1969 00:00,3.940,50.31,"2d","CEH files","",""
13/03/1969 00:00,3.750,43.19,"2c","CEH files","",""
23/04/1969 00:00,0.520,4.17,"2b","CEH files","",""
30/05/1969 00:00,1.380,11.52,"2c","CEH files","",""
18/06/1969 00:00,0.710,5.63,"2c","CEH files","",""
29/07/1969 00:00,1.000,7.98,"2c","CEH files","",""
12/08/1969 00:00,0.410,2.68,"2b","CEH files","",""
18/09/1969 00:00,0.660,5.25,"2c","CEH files","",""
23/01/1970 09:00,1.889,17.00,"2c","Digital Archive","","AMAX ONLY"
20/11/1970 09:00,3.444,38.27,"2c","Digital Archive","","AMAX ONLY"
07/01/1971 00:00,3.300,36.04,"2c","CEH files","",""
21/01/1971 00:00,3.770,43.52,"2c","CEH files","",""
22/01/1971 00:00,3.110,33.17,"2c","CEH files","",""
23/01/1971 00:00,3.450,38.37,"2c","CEH files","",""
11/01/1972 00:00,3.100,33.02,"2c","CEH files","",""
03/02/1972 00:00,3.850,44.84,"2c","CEH files","",""
07/03/1972 00:00,3.980,55.70,"2d","CEH files","",""
02/12/1972 00:00,3.550,39.95,"2c","CEH files","",""
06/12/1972 00:00,3.930,49.04,"2d","CEH files","",""
13/12/1972 00:00,3.120,33.32,"2c","CEH files","",""
15/01/1973 09:00,1.190,9.69,"2c","Digital Archive","","AMAX ONLY"
05/01/1974 00:00,3.030,31.99,"2c","CEH files","Non-independent peak removed",""
05/01/1974 15:30,3.119,33.30,"2c","Digital Archive","Non-independent peak removed",""
07/01/1974 13:45,3.165,33.99,"2c","Digital Archive","Non-independent peak removed",""
10/01/1974 22:15,2.651,26.62,"2c","Digital Archive","",""
16/01/1974 15:45,1.980,18.06,"2c","Digital Archive","",""
28/01/1974 08:45,2.200,20.73,"2c","Digital Archive","",""
09/02/1974 16:30,2.359,22.74,"2c","Digital Archive","",""
11/02/1974 09:45,4.210,98.13,"2d","Digital Archive","",""
15/02/1974 07:15,3.979,55.56,"2d","Digital Archive","",""
01/03/1974 08:00,2.239,21.22,"2c","Digital Archive","",""
05/09/1974 17:45,2.721,27.58,"2c","Digital Archive","",""
07/09/1974 14:15,2.006,18.37,"2c","Digital Archive","",""
23/09/1974 16:45,1.973,17.98,"2c","Digital Archive","",""
