"NAME:","Cary at Somerton"
"NUMBER:","52011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/12/1965 09:00,0.833,6.86,"2b","Digital Archive","","AMAX ONLY"
10/02/1966 09:00,0.981,8.31,"2b","Digital Archive","","AMAX ONLY"
06/11/1966 09:00,1.462,13.08,"2b","Digital Archive","","AMAX ONLY"
17/02/1967 09:00,0.954,8.05,"2b","Digital Archive","","AMAX ONLY"
11/07/1968 09:00,1.264,9.91,"3b","Digital Archive","","AMAX ONLY"
25/12/1968 09:00,1.266,9.92,"3b","Digital Archive","","AMAX ONLY"
23/11/1969 09:00,1.067,8.18,"3b","Digital Archive","","AMAX ONLY"
16/01/1970 09:00,0.961,7.27,"3b","Digital Archive","","AMAX ONLY"
22/01/1971 09:00,1.098,8.45,"3b","Digital Archive","","AMAX ONLY"
08/03/1972 09:00,1.407,11.18,"3b","Digital Archive","","AMAX ONLY"
08/12/1972 09:00,1.320,10.40,"3b","Digital Archive","","AMAX ONLY"
21/07/1973 09:00,0.971,7.35,"3b","Digital Archive","","AMAX ONLY"
05/01/1974 00:00,0.980,7.43,"3b","CEH files","",""
07/01/1974 00:00,1.050,8.03,"3b","CEH files","",""
08/01/1974 00:00,0.980,7.43,"3b","CEH files","",""
11/01/1974 00:00,0.950,7.17,"3b","CEH files","",""
09/02/1974 00:00,0.960,7.26,"3b","CEH files","",""
11/02/1974 00:00,1.220,9.52,"3b","CEH files","",""
15/02/1974 00:00,0.980,7.43,"3b","CEH files","",""
29/09/1974 00:00,1.300,10.23,"3b","CEH files","",""
14/11/1974 00:00,1.060,8.12,"3b","CEH files","",""
22/11/1974 00:00,1.050,8.03,"3b","CEH files","",""
27/12/1974 00:00,0.950,7.17,"3b","CEH files","",""
20/01/1975 09:00,1.098,8.45,"3b","Digital Archive","","AMAX ONLY"
21/01/1975 00:00,1.220,9.52,"3b","CEH files","",""
09/03/1975 12:30,0.720,5.24,"3b","Digital Archive","",""
27/03/1975 20:15,0.537,3.53,"3a","Digital Archive","",""
15/03/1976 22:30,0.541,3.57,"3a","Digital Archive","",""
22/03/1976 16:00,0.702,5.09,"3b","Digital Archive","",""
02/10/1976 05:15,0.736,5.37,"3b","Digital Archive","",""
